Date,Value,Open,Close,High,Low
03/08/09,211901500.0,1.4,1.44,1.46,1.38
04/08/09,282862540.0,1.48,1.36,1.48,1.36
06/08/09,199770280.0,1.34,1.34,1.38,1.3
07/08/09,112200540.0,1.34,1.34,1.36,1.32
10/08/09,136745700.0,1.36,1.38,1.4,1.34
11/08/09,70286820.0,1.38,1.36,1.4,1.34
12/08/09,113217860.0,1.34,1.34,1.36,1.32
13/08/09,168227200.0,1.36,1.38,1.42,1.36
14/08/09,63077520.0,1.4,1.38,1.4,1.36
17/08/09,240914560.0,1.34,1.28,1.36,1.28
18/08/09,196406200.0,1.22,1.26,1.28,1.22
19/08/09,86890000.0,1.3,1.28,1.32,1.28
20/08/09,70751720.0,1.32,1.24,1.32,1.24
24/08/09,292387500.0,1.32,1.42,1.42,1.32
25/08/09,479758960.0,1.4,1.5,1.54,1.4
26/08/09,311129700.0,1.52,1.54,1.58,1.52
03/09/09,357283640.0,1.48,1.48,1.52,1.44
04/09/09,191193300.0,1.52,1.54,1.54,1.52
16/09/09,109736840.0,1.52,1.5,1.52,1.48
17/09/09,152744080.0,1.54,1.52,1.54,1.5
18/09/09,126935720.0,1.5,1.56,1.56,1.48
22/09/09,105694320.0,1.54,1.54,1.54,1.52
23/09/09,132526260.0,1.56,1.54,1.58,1.52
30/09/09,20699900.0,1.48,1.5,1.5,1.48
01/10/09,32370120.0,1.5,1.52,1.54,1.5
02/10/09,29694620.0,1.48,1.5,1.5,1.46
05/10/09,41394580.0,1.5,1.52,1.52,1.48
06/10/09,300392280.0,1.52,1.6,1.6,1.52
07/10/09,241247660.0,1.64,1.68,1.68,1.64
08/10/09,213680620.0,1.68,1.72,1.74,1.68
09/10/09,123866120.0,1.72,1.66,1.72,1.64
12/10/09,69338000.0,1.68,1.64,1.7,1.62
13/10/09,75988560.0,1.64,1.64,1.68,1.62
14/10/09,44294120.0,1.64,1.66,1.68,1.64
15/10/09,257242180.0,1.68,1.72,1.74,1.68
16/10/09,42234660.0,1.72,1.66,1.72,1.66
19/10/09,42073580.0,1.66,1.68,1.7,1.66
20/10/09,56683980.0,1.68,1.68,1.7,1.66
21/10/09,106606300.0,1.68,1.64,1.68,1.64
22/10/09,112286540.0,1.64,1.64,1.66,1.62
23/10/09,84368560.0,1.66,1.66,1.66,1.64
26/10/09,30438700.0,1.64,1.64,1.66,1.64
27/10/09,86646760.0,1.64,1.64,1.64,1.6
28/10/09,105913520.0,1.64,1.58,1.64,1.56
29/10/09,202522560.0,1.54,1.52,1.54,1.5
30/10/09,77035920.0,1.56,1.54,1.56,1.52
03/11/09,133138440.0,1.5,1.48,1.52,1.46
04/11/09,131533940.0,1.48,1.5,1.52,1.44
05/11/09,42050260.0,1.5,1.52,1.54,1.48
06/11/09,66267240.0,1.56,1.54,1.56,1.52
09/11/09,30140000.0,1.54,1.5,1.54,1.48
10/11/09,86085720.0,1.54,1.56,1.56,1.52
11/11/09,173988420.0,1.56,1.62,1.64,1.52
15/12/09,47999740.0,1.42,1.44,1.44,1.42
16/12/09,65188780.0,1.44,1.46,1.48,1.42
17/12/09,64810880.0,1.48,1.42,1.48,1.4
18/12/09,48101900.0,1.4,1.38,1.42,1.38
21/12/09,37281520.0,1.4,1.38,1.4,1.38
22/12/09,59511960.0,1.4,1.38,1.4,1.32
23/12/09,19659400.0,1.38,1.36,1.38,1.34
29/12/09,183005660.0,1.4,1.48,1.48,1.4
04/01/10,82315780.0,1.46,1.46,1.46,1.42
05/01/10,53781640.0,1.46,1.44,1.46,1.44
06/01/10,27384540.0,1.44,1.44,1.44,1.42
07/01/10,115084000.0,1.44,1.42,1.46,1.42
08/01/10,69832500.0,1.42,1.42,1.46,1.42
11/01/10,54999700.0,1.42,1.4,1.42,1.38
12/01/10,88395020.0,1.4,1.44,1.44,1.38
13/01/10,53226200.0,1.42,1.4,1.42,1.38
14/01/10,65072340.0,1.4,1.42,1.42,1.4
15/01/10,71481920.0,1.4,1.4,1.4,1.38
18/01/10,147219560.0,1.38,1.36,1.38,1.34
19/01/10,68709400.0,1.38,1.36,1.38,1.34
20/01/10,148499580.0,1.36,1.3,1.36,1.28
21/01/10,156324160.0,1.26,1.28,1.3,1.24
22/01/10,129083840.0,1.24,1.26,1.26,1.22
25/01/10,58910920.0,1.24,1.28,1.28,1.22
26/01/10,92721220.0,1.28,1.22,1.28,1.22
27/01/10,109977640.0,1.2,1.2,1.22,1.16
28/01/10,124351000.0,1.2,1.22,1.24,1.16
29/01/10,83902620.0,1.18,1.2,1.24,1.18
01/02/10,40704940.0,1.18,1.18,1.2,1.16
02/02/10,75866660.0,1.2,1.14,1.2,1.1
03/02/10,63691840.0,1.16,1.14,1.16,1.1
04/02/10,84476780.0,1.12,1.14,1.18,1.1
05/02/10,149336440.0,1.08,1.08,1.1,1.04
08/02/10,57633380.0,1.08,1.1,1.12,1.06
09/02/10,68982740.0,1.08,1.12,1.12,1.06
10/02/10,110490600.0,1.16,1.16,1.16,1.12
11/02/10,77042600.0,1.14,1.2,1.2,1.14
08/03/10,147230220.0,1.38,1.34,1.38,1.32
12/03/10,45765220.0,1.28,1.26,1.28,1.24
15/03/10,42265180.0,1.28,1.28,1.28,1.24
16/03/10,100173020.0,1.26,1.3,1.32,1.24
17/03/10,93866380.0,1.32,1.34,1.36,1.32
31/03/10,69430540.0,1.28,1.28,1.28,1.26
20/04/10,134153940.0,1.36,1.3,1.36,1.28
21/04/10,158303200.0,1.32,1.36,1.36,1.3
22/04/10,73623580.0,1.36,1.32,1.36,1.32
23/04/10,68100940.0,1.32,1.3,1.32,1.3
29/04/10,25407820.0,1.34,1.32,1.34,1.3
30/04/10,78133240.0,1.32,1.34,1.36,1.32
04/05/10,118723500.0,1.34,1.34,1.36,1.32
05/05/10,190610340.0,1.28,1.26,1.28,1.22
13/05/10,91374620.0,1.32,1.32,1.34,1.3
14/05/10,67520620.0,1.32,1.34,1.34,1.3
17/05/10,65357020.0,1.32,1.28,1.34,1.28
18/05/10,37223100.0,1.3,1.28,1.3,1.26
19/05/10,98983880.0,1.26,1.24,1.28,1.24
20/05/10,57357400.0,1.24,1.24,1.26,1.22
21/05/10,118233540.0,1.18,1.22,1.22,1.18
24/05/10,35635440.0,1.22,1.22,1.24,1.22
25/05/10,68576060.0,1.2,1.18,1.22,1.16
26/05/10,77726860.0,1.18,1.18,1.2,1.16
27/05/10,21575680.0,1.2,1.24,1.24,1.2
28/05/10,66530880.0,1.26,1.28,1.28,1.24
31/05/10,11764500.0,1.26,1.26,1.26,1.24
01/06/10,134088540.0,1.24,1.2,1.24,1.18
02/06/10,98244720.0,1.2,1.2,1.24,1.2
03/06/10,67525200.0,1.24,1.24,1.24,1.2
04/06/10,73538560.0,1.22,1.2,1.22,1.2
07/06/10,42171460.0,1.18,1.18,1.2,1.18
08/06/10,128038500.0,1.2,1.24,1.24,1.2
09/06/10,142046540.0,1.26,1.24,1.28,1.24
10/06/10,14458580.0,1.24,1.22,1.26,1.22
