Date,Value,Open,Close,High,Low
04/06/18,125031800.0,2.2,3.5,5.5,1.51
05/06/18,50887620.0,3.65,2.86,3.74,2.7
06/06/18,39695430.0,2.78,3.13,3.19,2.42
07/06/18,24699650.0,3.19,2.94,3.26,2.76
08/06/18,9800060.0,2.9,2.86,2.99,2.77
11/06/18,74447160.0,2.87,3.58,4.24,2.8
13/06/18,89152070.0,3.32,3.8,4.1,3.2
14/06/18,43305660.0,3.8,3.8,4.05,3.7
18/06/18,24795490.0,3.86,3.33,3.99,3.3
19/06/18,9445910.0,3.36,3.3,3.46,3.14
20/06/18,6815400.0,3.32,3.12,3.32,3.08
21/06/18,9444130.0,3.12,2.81,3.12,2.74
22/06/18,3910370.0,2.85,2.85,2.86,2.55
25/06/18,8241350.0,3.04,2.66,3.13,2.58
26/06/18,5483720.0,2.65,2.6,2.79,2.5
27/06/18,7991030.0,2.55,2.8,2.9,2.42
28/06/18,10890050.0,2.82,2.62,3.03,2.61
29/06/18,2663750.0,2.63,2.55,2.72,2.53
02/07/18,1249740.0,2.53,2.58,2.63,2.53
03/07/18,4431390.0,2.58,2.74,2.78,2.5
04/07/18,1150440.0,2.72,2.68,2.74,2.58
05/07/18,2496120.0,2.7,2.63,2.7,2.59
06/07/18,3235860.0,2.67,2.51,2.67,2.5
09/07/18,1678340.0,2.52,2.44,2.59,2.44
10/07/18,5597390.0,2.45,2.34,2.48,2.29
11/07/18,1487620.0,2.2,2.25,2.39,2.2
12/07/18,2392660.0,2.24,2.05,2.35,2.01
13/07/18,2063980.0,2.02,2.0,2.1,1.9
16/07/18,2288140.0,2.01,2.16,2.24,2.01
17/07/18,1019910.0,2.16,2.16,2.19,2.1
18/07/18,1157550.0,2.2,2.06,2.2,2.02
19/07/18,722960.0,2.08,2.03,2.1,2.01
20/07/18,1146240.0,2.02,2.0,2.09,1.96
23/07/18,841320.0,1.98,1.94,2.0,1.92
24/07/18,332410.0,1.98,2.01,2.06,1.98
25/07/18,339090.0,2.05,2.02,2.05,1.98
26/07/18,435890.0,1.99,2.0,2.02,1.98
27/07/18,5411710.0,2.0,2.35,2.4,2.0
30/07/18,3064860.0,2.35,2.25,2.39,2.2
31/07/18,6142460.0,2.25,2.47,2.5,2.23
01/08/18,3378940.0,2.52,2.37,2.52,2.28
02/08/18,2577660.0,2.32,2.26,2.32,2.2
03/08/18,1956850.0,2.26,2.3,2.37,2.26
06/08/18,4104890.0,2.25,2.14,2.25,2.08
07/08/18,1215250.0,2.14,2.13,2.18,2.07
08/08/18,490880.0,2.18,2.15,2.19,2.1
09/08/18,235390.0,2.15,2.12,2.15,2.1
10/08/18,1022910.0,2.16,2.2,2.24,2.15
13/08/18,1688390.0,2.2,2.21,2.3,2.2
14/08/18,364870.0,2.21,2.18,2.21,2.1
15/08/18,1223850.0,2.22,2.2,2.24,2.1
16/08/18,366890.0,2.12,2.16,2.2,2.12
17/08/18,866740.0,2.16,2.06,2.16,2.05
20/08/18,579310.0,2.05,2.11,2.14,2.05
22/08/18,1338230.0,2.12,2.04,2.12,1.95
23/08/18,393690.0,2.0,2.02,2.05,1.98
24/08/18,688860.0,2.02,2.09,2.09,2.0
28/08/18,325120.0,2.1,2.04,2.12,2.04
29/08/18,454950.0,2.05,2.06,2.08,2.0
30/08/18,594220.0,2.07,2.06,2.1,1.97
31/08/18,300890.0,2.09,2.05,2.09,2.0
03/09/18,383940.0,2.08,2.04,2.08,2.0
04/09/18,306100.0,2.04,2.03,2.04,1.96
05/09/18,846650.0,2.03,2.0,2.03,1.95
06/09/18,95650.0,1.99,1.94,1.99,1.94
07/09/18,236560.0,1.94,2.0,2.04,1.94
10/09/18,553310.0,2.02,1.95,2.02,1.9
11/09/18,1602310.0,1.99,1.66,1.99,1.66
12/09/18,923840.0,1.67,1.6,1.74,1.55
13/09/18,252090.0,1.62,1.56,1.62,1.52
14/09/18,1150760.0,1.56,1.71,1.79,1.55
