Date,Value,Open,Close,High,Low
03/08/09,233299350.0,38.5,38.5,39.0,37.5
04/08/09,148144100.0,39.5,39.0,40.0,38.5
06/08/09,97831550.0,39.5,39.0,39.5,38.5
07/08/09,127303850.0,39.0,39.0,39.0,38.5
10/08/09,75346600.0,39.0,38.5,39.5,38.0
11/08/09,31341000.0,39.0,38.5,39.0,38.0
12/08/09,49113700.0,38.5,38.5,38.5,38.0
13/08/09,41077350.0,38.5,38.0,38.5,38.0
14/08/09,85402500.0,38.5,38.0,38.5,38.0
17/08/09,56466950.0,38.0,37.0,38.0,37.0
18/08/09,60183400.0,36.5,37.0,37.5,36.0
19/08/09,71233800.0,38.0,37.5,38.5,37.5
20/08/09,63410150.0,37.5,37.0,38.0,37.0
24/08/09,179644550.0,38.0,39.5,40.5,38.0
25/08/09,73305450.0,39.5,38.5,39.5,38.5
26/08/09,152304700.0,39.0,39.0,39.5,38.5
03/09/09,97923200.0,38.0,37.5,38.0,37.5
04/09/09,105708000.0,38.0,38.0,38.5,37.5
16/09/09,81041250.0,37.5,37.5,37.5,37.5
17/09/09,99647100.0,38.0,37.5,38.5,37.5
18/09/09,57177350.0,38.0,38.5,38.5,38.0
22/09/09,41595400.0,38.5,38.0,38.5,37.5
23/09/09,82660650.0,38.5,38.5,39.0,38.5
30/09/09,106519500.0,38.0,38.5,38.5,37.5
01/10/09,201262050.0,38.5,39.0,39.5,38.5
02/10/09,61733700.0,38.5,39.0,39.5,38.0
05/10/09,46503250.0,39.0,39.0,39.0,38.5
06/10/09,99082400.0,39.0,39.0,40.0,39.0
07/10/09,366772300.0,39.5,41.5,42.0,39.5
08/10/09,233786850.0,42.0,42.0,42.5,41.5
09/10/09,132385250.0,41.5,42.0,42.5,41.5
12/10/09,107330500.0,42.5,41.0,42.5,41.0
13/10/09,102156900.0,41.0,40.5,42.0,40.5
14/10/09,117910050.0,41.0,42.0,42.0,41.0
15/10/09,61789900.0,42.0,42.0,42.0,41.5
16/10/09,55527150.0,41.5,41.0,41.5,41.0
19/10/09,45029650.0,41.0,42.0,42.0,41.0
20/10/09,103707450.0,42.0,42.5,43.0,41.5
21/10/09,76146350.0,42.5,41.5,42.5,41.0
22/10/09,167868500.0,41.5,40.0,41.5,40.0
23/10/09,71377850.0,40.5,40.5,41.0,40.0
26/10/09,44068300.0,41.0,41.0,41.5,41.0
27/10/09,107977100.0,41.0,41.0,41.5,40.5
28/10/09,250681000.0,40.5,39.5,40.5,38.5
29/10/09,79200750.0,39.5,40.0,40.0,38.5
30/10/09,155954900.0,40.5,41.0,41.0,40.5
03/11/09,152807550.0,40.5,41.0,41.0,40.0
04/11/09,47502750.0,40.5,40.0,41.0,40.0
05/11/09,32205750.0,40.0,41.0,41.0,40.0
06/11/09,74470450.0,41.0,41.5,41.5,41.0
09/11/09,22419050.0,41.5,41.0,41.5,40.0
10/11/09,155432100.0,41.0,44.0,44.0,41.0
11/11/09,46007150.0,44.0,43.5,44.0,42.5
15/12/09,73686650.0,46.5,46.5,46.5,46.0
16/12/09,57456150.0,46.5,46.0,46.5,46.0
17/12/09,48715850.0,45.5,46.5,46.5,45.5
18/12/09,67740800.0,46.0,45.5,46.0,45.5
21/12/09,46449600.0,45.5,45.5,45.5,45.0
22/12/09,62298050.0,45.5,44.0,45.5,43.5
23/12/09,41199750.0,44.0,44.5,45.0,44.0
29/12/09,49849000.0,45.0,45.0,45.0,44.5
04/01/10,23129800.0,44.0,44.0,44.0,43.5
05/01/10,56072850.0,44.0,43.5,44.0,43.5
06/01/10,65081350.0,43.5,44.5,44.5,43.5
07/01/10,54897050.0,44.5,45.0,45.0,44.0
08/01/10,44930750.0,44.5,45.0,45.5,44.5
11/01/10,64671900.0,45.0,45.5,45.5,44.5
12/01/10,65657300.0,45.5,46.5,46.5,45.5
13/01/10,46813900.0,46.0,46.5,46.5,46.0
14/01/10,131566700.0,46.5,46.0,46.5,46.0
15/01/10,99790700.0,46.0,44.5,46.0,44.5
18/01/10,44546950.0,44.5,45.0,45.0,44.5
19/01/10,130174350.0,44.5,44.0,44.5,44.0
20/01/10,55325500.0,45.0,44.5,45.0,44.0
21/01/10,110315100.0,44.0,44.5,44.5,44.0
22/01/10,92938750.0,44.5,43.0,44.5,43.0
25/01/10,90739450.0,43.0,42.0,43.0,41.5
26/01/10,75350650.0,42.0,41.5,42.5,41.0
27/01/10,65654200.0,41.5,41.0,42.0,40.5
28/01/10,59743900.0,41.0,42.0,42.0,41.0
29/01/10,82042100.0,41.5,42.0,42.0,41.5
01/02/10,37617550.0,41.5,40.5,41.5,40.0
02/02/10,87735700.0,41.0,39.5,41.5,39.5
03/02/10,63189050.0,40.0,39.0,40.5,38.5
04/02/10,112614350.0,39.0,39.5,40.5,39.0
05/02/10,182704200.0,38.5,37.5,38.5,37.0
08/02/10,57993200.0,38.0,36.5,38.0,36.5
09/02/10,107902100.0,36.0,36.5,36.5,36.0
10/02/10,242434100.0,38.0,38.0,38.5,37.5
11/02/10,91346100.0,38.5,39.0,39.0,38.0
08/03/10,84076200.0,44.5,45.5,45.5,44.5
12/03/10,188392600.0,45.0,45.5,45.5,45.0
15/03/10,98862450.0,45.5,45.5,46.0,45.5
16/03/10,278385750.0,45.5,45.5,46.0,45.5
17/03/10,128877050.0,45.5,46.0,46.0,45.5
31/03/10,205361000.0,50.5,50.0,50.5,49.5
20/04/10,280560100.0,50.0,50.5,50.5,50.0
21/04/10,345493800.0,50.5,51.5,52.5,50.5
22/04/10,123958250.0,52.0,51.0,52.0,50.5
23/04/10,82611050.0,50.5,50.5,50.5,50.0
29/04/10,96226750.0,53.5,55.0,55.5,53.5
30/04/10,544517550.0,53.5,53.0,54.0,52.5
04/05/10,185858850.0,52.5,50.0,52.5,50.0
05/05/10,305557950.0,49.5,49.0,49.5,48.5
13/05/10,266469300.0,52.0,53.5,53.5,51.5
14/05/10,288689950.0,53.5,56.5,58.0,53.0
17/05/10,312562300.0,56.0,57.5,59.0,55.5
18/05/10,294418250.0,57.5,57.0,57.5,55.5
19/05/10,244298550.0,56.5,56.0,56.5,55.5
20/05/10,313435950.0,56.0,56.5,57.0,56.0
21/05/10,301577500.0,54.5,55.0,55.5,54.0
24/05/10,79277800.0,56.0,53.5,56.0,53.5
25/05/10,279109250.0,53.0,52.0,53.0,51.5
26/05/10,155325100.0,52.5,54.0,54.5,52.5
27/05/10,66678450.0,53.5,55.0,55.5,53.5
28/05/10,90917150.0,55.5,57.0,57.0,55.5
31/05/10,84660150.0,56.0,57.5,57.5,56.0
01/06/10,178572200.0,57.0,56.0,57.0,56.0
02/06/10,193501050.0,55.5,57.5,57.5,55.5
03/06/10,112259600.0,57.0,57.0,57.5,56.5
04/06/10,142934800.0,57.0,57.0,57.0,56.5
