Date,Value,Open,Close,High,Low
03/08/09,5280560.0,2.22,2.2,2.22,2.18
04/08/09,3879960.0,2.2,2.24,2.24,2.2
06/08/09,30309280.0,2.26,2.32,2.44,2.26
07/08/09,7344440.0,2.32,2.26,2.32,2.24
10/08/09,23945960.0,2.28,2.3,2.34,2.22
11/08/09,39971340.0,2.36,2.4,2.48,2.34
12/08/09,12080160.0,2.4,2.34,2.4,2.32
13/08/09,18938480.0,2.38,2.36,2.44,2.36
14/08/09,7395080.0,2.4,2.32,2.4,2.32
17/08/09,11887460.0,2.3,2.2,2.3,2.2
18/08/09,4547240.0,2.14,2.2,2.24,2.12
19/08/09,4056180.0,2.2,2.18,2.22,2.18
20/08/09,4600360.0,2.18,2.16,2.18,2.12
24/08/09,3795900.0,2.2,2.18,2.2,2.18
25/08/09,10745640.0,2.18,2.2,2.26,2.18
26/08/09,1283860.0,2.22,2.22,2.24,2.2
03/09/09,2088620.0,2.16,2.18,2.18,2.14
04/09/09,6369340.0,2.2,2.16,2.2,2.16
16/09/09,2892040.0,2.18,2.16,2.18,2.14
17/09/09,2344540.0,2.16,2.14,2.18,2.14
18/09/09,1554360.0,2.16,2.16,2.16,2.14
22/09/09,327720.0,2.16,2.14,2.16,2.14
23/09/09,1538960.0,2.14,2.12,2.14,2.12
30/09/09,687440.0,1.9,1.86,1.9,1.82
01/10/09,781800.0,1.84,1.84,1.84,1.82
02/10/09,843420.0,1.82,1.82,1.84,1.8
05/10/09,206240.0,1.86,1.86,1.86,1.84
06/10/09,1296260.0,1.88,1.86,1.9,1.86
07/10/09,430260.0,1.9,1.92,1.92,1.9
08/10/09,600340.0,1.92,1.96,1.96,1.92
09/10/09,377320.0,1.96,1.94,1.98,1.94
12/10/09,1069760.0,1.94,1.9,1.94,1.9
13/10/09,195300.0,1.86,1.86,1.86,1.86
14/10/09,31840.0,1.86,1.88,1.88,1.86
15/10/09,122100.0,1.86,1.88,1.88,1.86
19/10/09,307340.0,1.86,1.84,1.86,1.84
20/10/09,739440.0,1.82,1.82,1.84,1.82
21/10/09,457000.0,1.8,1.8,1.8,1.78
22/10/09,90000.0,1.8,1.8,1.8,1.8
23/10/09,474400.0,1.8,1.8,1.82,1.8
26/10/09,403200.0,1.8,1.8,1.8,1.8
27/10/09,2723020.0,1.8,1.76,1.8,1.76
28/10/09,2293380.0,1.76,1.7,1.76,1.7
29/10/09,465320.0,1.7,1.66,1.7,1.66
30/10/09,2190900.0,1.6,1.66,1.74,1.6
03/11/09,127680.0,1.66,1.64,1.68,1.62
04/11/09,420760.0,1.64,1.6,1.64,1.58
05/11/09,119180.0,1.62,1.64,1.7,1.62
06/11/09,2855180.0,1.76,1.8,1.8,1.7
09/11/09,904780.0,1.8,1.7,1.8,1.7
10/11/09,685020.0,1.7,1.7,1.72,1.7
11/11/09,677720.0,1.66,1.66,1.68,1.66
15/12/09,1446540.0,1.52,1.56,1.62,1.52
16/12/09,15780.0,1.62,1.56,1.62,1.56
17/12/09,323600.0,1.54,1.54,1.56,1.54
18/12/09,192240.0,1.52,1.54,1.54,1.52
21/12/09,205160.0,1.54,1.56,1.58,1.54
22/12/09,23780.0,1.58,1.62,1.62,1.58
23/12/09,80000.0,1.6,1.6,1.6,1.6
29/12/09,358800.0,1.56,1.56,1.56,1.56
05/01/10,593480.0,1.56,1.54,1.56,1.54
06/01/10,154000.0,1.54,1.54,1.54,1.54
07/01/10,991300.0,1.54,1.6,1.62,1.54
08/01/10,60040.0,1.58,1.58,1.58,1.58
11/01/10,236140.0,1.58,1.54,1.58,1.54
12/01/10,195140.0,1.56,1.58,1.6,1.56
13/01/10,2001600.0,1.6,1.7,1.72,1.6
14/01/10,7441960.0,1.74,1.88,2.0,1.74
15/01/10,1400040.0,1.86,1.84,1.92,1.84
18/01/10,430300.0,1.94,1.8,1.94,1.72
19/01/10,860580.0,1.76,1.76,1.82,1.74
20/01/10,239900.0,1.74,1.7,1.76,1.7
21/01/10,84420.0,1.7,1.7,1.7,1.68
22/01/10,1304020.0,1.64,1.6,1.66,1.6
25/01/10,247080.0,1.6,1.62,1.62,1.6
26/01/10,7900.0,1.58,1.58,1.58,1.58
27/01/10,451680.0,1.58,1.56,1.58,1.56
28/01/10,74360.0,1.52,1.58,1.6,1.52
29/01/10,347600.0,1.58,1.58,1.58,1.58
