Date,Value,Open,Close,High,Low
01/06/21,3215755116.0,13.48,13.48,13.56,13.46
02/06/21,925889904.0,13.48,13.48,13.5,13.46
03/06/21,1956805658.0,13.5,13.1,13.5,12.68
04/06/21,301505780.0,13.1,13.4,13.42,13.1
07/06/21,107596098.0,13.4,13.46,13.48,13.38
08/06/21,132596134.0,13.46,13.46,13.48,13.38
09/06/21,395501156.0,13.46,13.7,13.76,13.42
10/06/21,332593100.0,13.78,13.92,14.16,13.74
11/06/21,87118870.0,13.92,14.04,14.1,13.8
14/06/21,166249346.0,14.1,14.68,14.7,14.06
15/06/21,199090818.0,14.66,14.66,14.76,14.42
16/06/21,144383876.0,14.7,14.74,14.76,14.5
17/06/21,126083214.0,14.76,14.6,14.78,14.42
18/06/21,46002452.0,14.6,14.3,14.66,14.3
21/06/21,53414982.0,14.3,14.5,14.54,14.3
22/06/21,155515888.0,14.48,14.58,14.58,14.32
23/06/21,149883804.0,14.58,14.74,14.76,14.52
24/06/21,471663576.0,14.76,15.34,15.6,14.76
25/06/21,338775236.0,15.6,15.34,15.98,15.24
28/06/21,64331354.0,15.5,15.6,15.8,15.5
29/06/21,369807684.0,15.62,16.04,16.08,15.62
30/06/21,495712002.0,16.12,16.52,16.8,16.12
01/07/21,642162224.0,16.68,17.0,17.0,16.52
02/07/21,188686396.0,16.86,17.0,17.16,16.84
05/07/21,232876312.0,17.0,16.88,17.12,16.74
06/07/21,218282364.0,16.9,16.44,17.0,16.3
07/07/21,134475846.0,16.5,16.2,16.58,16.18
08/07/21,167557576.0,16.2,16.7,16.7,16.2
09/07/21,279879050.0,16.7,17.0,17.06,16.4
12/07/21,85519166.0,16.9,16.92,17.02,16.8
13/07/21,167510072.0,16.92,16.64,16.94,16.42
14/07/21,118279840.0,16.64,16.34,16.64,16.24
15/07/21,104011926.0,16.36,16.4,16.6,16.22
16/07/21,301356876.0,16.48,15.68,16.56,15.56
19/07/21,550134530.0,15.68,15.18,15.68,14.42
21/07/21,213839342.0,15.1,15.02,15.1,14.66
22/07/21,108784616.0,15.02,15.26,15.52,15.02
23/07/21,119258314.0,15.38,15.0,15.4,14.88
26/07/21,69785526.0,15.06,14.9,15.06,14.74
27/07/21,76647566.0,14.9,15.08,15.18,14.88
28/07/21,61382764.0,14.9,14.88,15.0,14.76
29/07/21,248642980.0,14.88,15.26,15.46,14.86
30/07/21,202743066.0,15.26,14.78,15.46,14.66
02/08/21,94755256.0,14.8,14.78,15.06,14.68
03/08/21,121669914.0,14.84,15.0,15.18,14.78
04/08/21,108561886.0,15.12,15.58,15.6,15.12
05/08/21,74438402.0,15.58,15.3,15.58,15.1
06/08/21,335374720.0,15.34,15.7,15.98,15.34
09/08/21,350601352.0,15.72,16.78,16.96,15.72
10/08/21,539661662.0,16.78,16.92,16.96,16.52
11/08/21,465857350.0,16.96,17.0,17.4,16.72
12/08/21,197124950.0,16.88,16.52,16.9,16.28
13/08/21,455261510.0,15.92,15.54,16.1,15.4
16/08/21,232083180.0,15.4,15.9,16.0,15.2
17/08/21,83512392.0,15.92,15.98,16.2,15.88
18/08/21,116770414.0,16.08,16.04,16.36,15.9
19/08/21,107878706.0,16.04,16.4,16.46,16.04
20/08/21,246741996.0,16.46,16.8,16.86,16.22
23/08/21,97074870.0,16.8,16.76,16.88,16.54
24/08/21,104849298.0,16.76,16.76,16.76,16.66
25/08/21,86957086.0,16.76,16.62,16.76,16.58
26/08/21,209077518.0,16.62,16.3,16.68,16.22
27/08/21,119315112.0,16.34,16.74,16.88,16.34
31/08/21,186085562.0,16.74,16.84,16.96,16.7
01/09/21,178478184.0,16.84,16.6,16.96,16.44
02/09/21,262399902.0,16.6,16.5,16.6,16.38
03/09/21,120811826.0,16.76,16.7,16.76,16.5
06/09/21,106884036.0,16.7,16.72,16.96,16.68
07/09/21,650788038.0,16.74,17.68,17.7,16.74
08/09/21,383873066.0,17.5,17.2,17.5,17.12
09/09/21,274265426.0,17.22,17.36,17.46,17.22
10/09/21,209217146.0,17.38,17.48,17.68,17.36
13/09/21,218655160.0,17.46,17.58,17.86,17.4
14/09/21,527480674.0,17.66,18.26,18.26,17.58
15/09/21,542506548.0,18.3,19.0,19.0,18.26
16/09/21,673198816.0,18.98,18.96,19.5,18.84
17/09/21,918824310.0,19.0,19.5,19.84,18.88
20/09/21,441447430.0,19.3,19.3,19.7,18.6
21/09/21,438018718.0,18.92,18.94,19.16,18.76
22/09/21,174413532.0,19.1,19.42,19.52,19.04
23/09/21,541089048.0,19.7,19.6,20.0,19.46
24/09/21,664790014.0,19.68,19.92,20.1,19.68
27/09/21,465113245.0,20.0,20.25,20.7,19.98
27/09/21,465113245.0,20.0,20.25,20.7,19.98
28/09/21,2183472476.0,19.3,18.62,19.34,18.62
29/09/21,1773559566.0,18.62,17.82,18.78,17.54
30/09/21,814034986.0,18.1,18.8,18.86,18.1
01/10/21,645575178.0,18.74,18.8,19.1,18.62
04/10/21,265693942.0,19.0,19.06,19.14,18.76
05/10/21,703468226.0,19.0,18.8,19.06,18.76
06/10/21,217303548.0,18.8,19.0,19.14,18.76
07/10/21,789986470.0,19.14,18.5,19.88,18.3
08/10/21,625317668.0,18.62,18.44,18.84,18.04
11/10/21,242120900.0,18.26,18.98,19.02,18.26
12/10/21,899977816.0,18.96,17.7,18.96,17.62
13/10/21,936610032.0,18.0,17.0,18.2,16.5
14/10/21,731700044.0,17.02,16.54,17.34,16.4
15/10/21,1001269532.0,16.7,16.38,16.96,16.12
18/10/21,1352277012.0,16.36,15.2,16.38,15.08
19/10/21,1129732218.0,15.28,15.14,15.98,15.08
20/10/21,792583134.0,15.78,15.52,15.78,15.32
21/10/21,518424530.0,15.76,16.58,16.64,15.6
22/10/21,230024958.0,16.62,16.2,16.72,16.14
25/10/21,159737604.0,16.18,16.24,16.66,16.0
