Date,Value,Open,Close,High,Low
03/08/09,1629700.0,1.8,1.84,1.84,1.8
04/08/09,788080.0,1.86,1.86,1.88,1.86
06/08/09,1023300.0,1.84,1.88,1.88,1.84
07/08/09,792180.0,1.88,1.9,1.92,1.88
10/08/09,1369700.0,1.92,1.96,1.96,1.9
11/08/09,752640.0,1.96,1.96,1.96,1.96
12/08/09,6497540.0,1.98,2.02,2.06,1.96
13/08/09,1668360.0,2.04,2.08,2.08,2.04
14/08/09,457580.0,2.08,2.02,2.08,2.02
17/08/09,519200.0,2.0,1.92,2.0,1.92
18/08/09,361600.0,1.9,1.92,1.92,1.9
19/08/09,1382300.0,1.94,1.92,1.94,1.9
20/08/09,47540.0,1.9,1.92,1.92,1.9
24/08/09,751600.0,1.92,1.94,1.98,1.92
25/08/09,873300.0,1.94,1.96,2.0,1.94
26/08/09,1107640.0,1.98,2.0,2.04,1.98
03/09/09,77520.0,2.04,2.04,2.04,2.04
04/09/09,255160.0,2.04,2.06,2.06,2.04
16/09/09,1665440.0,2.04,2.04,2.06,2.02
17/09/09,2010100.0,2.0,2.02,2.02,2.0
18/09/09,50500.0,2.02,2.02,2.02,2.02
22/09/09,412080.0,2.02,2.02,2.02,2.02
23/09/09,361440.0,2.02,2.02,2.02,2.0
30/09/09,133000.0,1.9,1.9,1.9,1.9
01/10/09,104500.0,1.9,1.9,1.9,1.9
02/10/09,257140.0,1.9,1.9,1.9,1.86
05/10/09,3337060.0,1.88,1.84,1.88,1.84
06/10/09,535780.0,1.86,1.88,1.88,1.86
07/10/09,539600.0,1.9,1.9,1.9,1.9
08/10/09,148800.0,1.86,1.86,1.86,1.86
09/10/09,131600.0,1.88,1.88,1.88,1.88
12/10/09,587540.0,1.88,1.8,1.88,1.8
13/10/09,154880.0,1.8,1.8,1.88,1.8
14/10/09,198100.0,1.82,1.8,1.82,1.8
15/10/09,135600.0,1.8,1.78,1.8,1.78
16/10/09,71400.0,1.78,1.8,1.8,1.78
20/10/09,789720.0,1.78,1.8,1.8,1.76
21/10/09,5005340.0,1.78,1.72,1.78,1.72
22/10/09,814240.0,1.76,1.68,1.76,1.68
23/10/09,280500.0,1.7,1.68,1.7,1.66
26/10/09,596300.0,1.66,1.64,1.66,1.64
27/10/09,427840.0,1.62,1.64,1.64,1.62
28/10/09,224900.0,1.64,1.62,1.64,1.62
29/10/09,729420.0,1.62,1.6,1.62,1.58
30/10/09,796460.0,1.6,1.62,1.62,1.6
03/11/09,91200.0,1.6,1.6,1.6,1.6
04/11/09,171520.0,1.62,1.62,1.62,1.6
05/11/09,227380.0,1.64,1.66,1.66,1.64
06/11/09,51080.0,1.64,1.68,1.68,1.64
09/11/09,918840.0,1.64,1.68,1.68,1.64
10/11/09,63360.0,1.68,1.72,1.72,1.68
11/11/09,177140.0,1.7,1.72,1.72,1.7
15/12/09,107260.0,1.6,1.62,1.62,1.6
16/12/09,118040.0,1.62,1.6,1.62,1.58
17/12/09,240000.0,1.6,1.6,1.6,1.6
18/12/09,522060.0,1.6,1.6,1.6,1.58
21/12/09,47400.0,1.58,1.58,1.58,1.58
22/12/09,18327520.0,1.6,1.62,1.62,1.6
05/01/10,216020.0,1.58,1.62,1.62,1.58
06/01/10,207840.0,1.58,1.6,1.6,1.58
07/01/10,1582200.0,1.6,1.58,1.6,1.58
08/01/10,579940.0,1.58,1.58,1.6,1.58
11/01/10,79000.0,1.58,1.58,1.58,1.58
12/01/10,804220.0,1.58,1.58,1.58,1.58
13/01/10,2169420.0,1.56,1.58,1.6,1.56
14/01/10,327040.0,1.58,1.56,1.58,1.56
15/01/10,356660.0,1.56,1.58,1.58,1.56
18/01/10,63960.0,1.56,1.56,1.56,1.56
19/01/10,42160.0,1.58,1.56,1.58,1.56
20/01/10,162240.0,1.56,1.56,1.56,1.56
21/01/10,173760.0,1.56,1.58,1.58,1.56
