Date,Value,Open,Close,High,Low
16/07/24,28001520.0,1.76,1.71,1.84,1.71
17/07/24,8568260.0,1.72,1.71,1.72,1.7
18/07/24,3510100.0,1.71,1.73,1.73,1.7
19/07/24,1145560.0,1.74,1.73,1.76,1.73
22/07/24,1088040.0,1.73,1.73,1.74,1.71
23/07/24,366290.0,1.73,1.73,1.73,1.71
25/07/24,53360.0,1.73,1.72,1.73,1.71
26/07/24,525450.0,1.73,1.72,1.73,1.71
29/07/24,135740.0,1.73,1.71,1.75,1.71
29/07/24,135740.0,1.73,1.71,1.75,1.71
30/07/24,412900.0,1.73,1.72,1.73,1.71
31/07/24,501230.0,1.71,1.72,1.72,1.71
01/08/24,355510.0,1.72,1.7,1.72,1.7
02/08/24,1477410.0,1.72,1.7,1.72,1.7
05/08/24,1300930.0,1.7,1.7,1.71,1.7
06/08/24,290730.0,1.7,1.7,1.71,1.7
07/08/24,375740.0,1.7,1.71,1.71,1.7
08/08/24,195560.0,1.71,1.71,1.71,1.7
09/08/24,156410.0,1.7,1.7,1.71,1.7
12/08/24,154700.0,1.7,1.7,1.7,1.7
13/08/24,346860.0,1.71,1.71,1.71,1.7
14/08/24,335020.0,1.7,1.71,1.71,1.7
15/08/24,1361700.0,1.7,1.7,1.7,1.7
16/08/24,500370.0,1.71,1.71,1.71,1.7
19/08/24,617290.0,1.71,1.71,1.71,1.7
20/08/24,141220.0,1.7,1.71,1.71,1.7
21/08/24,933690.0,1.71,1.71,1.71,1.7
22/08/24,496490.0,1.7,1.71,1.71,1.7
27/08/24,292660.0,1.71,1.7,1.71,1.7
28/08/24,1351390.0,1.7,1.75,1.78,1.7
29/08/24,2528020.0,1.75,1.82,1.89,1.75
30/08/24,968090.0,1.82,1.85,1.88,1.77
02/09/24,152520.0,1.85,1.83,1.85,1.79
03/09/24,202310.0,1.83,1.84,1.85,1.83
04/09/24,1024470.0,1.84,1.8,1.84,1.75
05/09/24,176350.0,1.83,1.8,1.83,1.76
06/09/24,73500.0,1.8,1.8,1.8,1.77
09/09/24,161440.0,1.8,1.77,1.8,1.76
10/09/24,578640.0,1.77,1.81,1.82,1.77
11/09/24,57000.0,1.8,1.78,1.8,1.78
12/09/24,675290.0,1.78,1.8,1.82,1.77
13/09/24,286760.0,1.8,1.8,1.81,1.75
16/09/24,115850.0,1.75,1.8,1.8,1.75
17/09/24,126750.0,1.76,1.79,1.79,1.76
18/09/24,57300.0,1.79,1.8,1.8,1.79
19/09/24,139380.0,1.79,1.79,1.79,1.76
20/09/24,205260.0,1.76,1.75,1.79,1.75
23/09/24,308650.0,1.75,1.79,1.8,1.74
24/09/24,669350.0,1.75,1.82,1.82,1.75
25/09/24,859110.0,1.81,1.83,1.85,1.8
26/09/24,3152470.0,1.83,2.0,2.1,1.83
27/09/24,1100940.0,2.0,2.0,2.04,1.94
30/09/24,242810.0,2.0,2.0,2.19,2.0
01/10/24,323690.0,2.0,2.1,2.1,1.94
02/10/24,168560.0,2.09,1.96,2.09,1.95
03/10/24,342000.0,1.96,2.0,2.05,1.91
04/10/24,726620.0,2.0,2.0,2.05,1.92
07/10/24,981220.0,2.0,2.0,2.03,1.88
08/10/24,183480.0,1.97,1.91,1.97,1.9
09/10/24,167020.0,1.9,1.88,1.9,1.88
10/10/24,37400.0,1.88,1.86,1.88,1.86
11/10/24,340730.0,1.86,1.91,1.91,1.85
14/10/24,139100.0,1.91,1.9,1.91,1.87
15/10/24,859290.0,1.9,1.93,1.98,1.88
16/10/24,328720.0,1.88,1.91,1.91,1.85
17/10/24,64120.0,1.86,1.91,1.91,1.86
18/10/24,50420.0,1.86,1.91,1.91,1.86
21/10/24,262370.0,1.91,1.86,1.91,1.86
22/10/24,124640.0,1.86,1.88,1.88,1.86
