Date,Value,Open,Close,High,Low
04/08/09,129300.0,6.0,5.8,6.0,5.7
06/08/09,102600.0,5.7,5.7,5.7,5.7
07/08/09,133000.0,5.6,5.5,5.6,5.5
10/08/09,159200.0,5.5,5.7,5.7,5.5
11/08/09,127600.0,5.8,5.8,5.8,5.8
12/08/09,116000.0,5.8,5.8,5.8,5.8
13/08/09,169000.0,5.7,5.6,5.7,5.6
14/08/09,78400.0,5.6,5.6,5.6,5.6
17/08/09,209000.0,5.5,5.5,5.5,5.5
18/08/09,54000.0,5.4,5.4,5.4,5.4
19/08/09,81000.0,5.4,5.4,5.4,5.4
20/08/09,279700.0,5.6,5.8,5.8,5.5
24/08/09,247100.0,5.7,5.7,5.8,5.7
25/08/09,530500.0,5.8,6.0,6.0,5.7
26/08/09,542600.0,6.2,6.3,6.3,6.1
04/09/09,53100.0,5.9,5.9,5.9,5.9
17/09/09,22800.0,5.7,5.7,5.7,5.7
18/09/09,617500.0,5.9,6.1,6.2,5.9
22/09/09,114000.0,6.0,6.0,6.0,6.0
23/09/09,332800.0,6.0,6.1,6.3,6.0
30/09/09,5800.0,5.8,5.8,5.8,5.8
06/10/09,17400.0,5.8,5.8,5.8,5.8
07/10/09,126000.0,6.0,6.0,6.0,6.0
08/10/09,113000.0,6.0,6.0,6.0,5.9
12/10/09,5900.0,5.9,5.9,5.9,5.9
13/10/09,22800.0,5.7,5.7,5.7,5.7
14/10/09,28500.0,5.7,5.7,5.7,5.7
15/10/09,108300.0,5.7,5.7,5.7,5.7
19/10/09,285000.0,5.7,5.7,5.7,5.7
21/10/09,679000.0,5.6,5.6,5.7,5.6
23/10/09,28000.0,5.6,5.6,5.6,5.6
26/10/09,51400.0,6.0,5.7,6.0,5.6
27/10/09,16800.0,5.6,5.6,5.6,5.6
28/10/09,728500.0,6.0,5.7,6.0,5.7
03/11/09,58000.0,5.8,5.8,5.8,5.8
04/11/09,116000.0,5.8,5.8,5.8,5.8
05/11/09,231200.0,5.8,6.0,6.0,5.8
06/11/09,7900500.0,5.9,5.8,6.4,5.8
09/11/09,373000.0,5.9,5.7,5.9,5.7
10/11/09,331100.0,5.7,5.7,5.8,5.7
11/11/09,218300.0,5.7,5.8,5.9,5.7
21/12/09,75600.0,5.4,5.4,5.4,5.4
22/12/09,67600.0,5.2,5.2,5.2,5.2
23/12/09,10400.0,5.2,5.2,5.2,5.2
29/12/09,79000.0,5.2,5.3,5.3,5.2
04/01/10,26000.0,5.2,5.2,5.2,5.2
