Date,Value,Open,Close,High,Low
13/05/24,390118142.0,13.34,12.5,13.34,12.46
14/05/24,26448186.0,12.42,12.5,12.8,12.42
15/05/24,28446896.0,12.48,12.4,12.5,12.28
16/05/24,28250306.0,12.48,12.52,12.92,12.48
17/05/24,18544404.0,12.54,12.66,12.78,12.54
17/05/24,18544404.0,12.54,12.66,12.78,12.54
20/05/24,50471726.0,12.82,13.04,13.12,12.82
21/05/24,200159082.0,13.18,14.18,14.18,12.96
22/05/24,119301412.0,14.02,15.18,15.5,14.02
23/05/24,42688148.0,15.2,14.7,15.38,14.4
24/05/24,27743700.0,14.66,14.2,14.66,14.12
27/05/24,28239456.0,14.14,14.4,14.96,14.14
28/05/24,41852508.0,14.42,15.0,15.18,14.42
29/05/24,35843418.0,15.06,14.96,15.18,14.84
30/05/24,37274048.0,15.0,15.26,15.5,15.0
31/05/24,14355224.0,15.2,15.0,15.2,14.76
03/06/24,11751980.0,14.98,14.72,14.98,14.5
03/06/24,11751980.0,14.98,14.72,14.98,14.5
04/06/24,11746180.0,14.54,14.6,14.7,14.44
05/06/24,24197342.0,14.62,14.0,14.62,13.94
06/06/24,6847454.0,14.02,14.4,14.46,14.02
07/06/24,1783944.0,14.44,14.38,14.5,14.32
10/06/24,27774820.0,14.2,13.48,14.2,13.38
11/06/24,1416234.0,13.58,13.74,13.78,13.58
13/06/24,7850126.0,13.92,13.98,14.18,13.9
14/06/24,1945980.0,14.0,13.94,14.0,13.82
18/06/24,53452616.0,13.98,14.16,14.22,13.98
19/06/24,7637324.0,14.28,14.18,14.28,14.02
20/06/24,77394830.0,14.18,13.82,14.18,13.82
21/06/24,2116710.0,14.02,14.0,14.2,14.0
24/06/24,3294322.0,14.0,14.02,14.08,14.0
25/06/24,3100952.0,14.1,14.0,14.12,14.0
26/06/24,31111430.0,14.0,13.8,14.12,13.8
27/06/24,169262.0,13.8,13.86,13.9,13.8
28/06/24,646974.0,13.88,13.8,13.88,13.7
01/07/24,1619956.0,13.84,13.76,13.88,13.76
02/07/24,8605896.0,13.76,13.78,14.2,13.76
03/07/24,1173054.0,13.74,13.82,13.94,13.72
