Date,Value,Open,Close,High,Low
03/08/09,4883000.0,0.0095,0.0095,0.0095,0.0095
04/08/09,4501500.0,0.0095,0.0095,0.01,0.0095
06/08/09,437000.0,0.0095,0.0095,0.0095,0.0095
07/08/09,20479500.0,0.0095,0.01,0.011,0.0095
10/08/09,10980000.0,0.01,0.01,0.01,0.01
11/08/09,8210000.0,0.01,0.01,0.011,0.01
12/08/09,1039500.0,0.01,0.01,0.01,0.0095
13/08/09,950000.0,0.0095,0.0095,0.0095,0.0095
14/08/09,721000.0,0.01,0.01,0.011,0.01
17/08/09,2492500.0,0.01,0.0095,0.01,0.0095
18/08/09,4172500.0,0.0095,0.0095,0.0095,0.009
19/08/09,332500.0,0.0095,0.0095,0.0095,0.0095
20/08/09,731500.0,0.0095,0.0095,0.0095,0.0095
24/08/09,247000.0,0.0095,0.0095,0.0095,0.0095
25/08/09,532000.0,0.0095,0.0095,0.0095,0.0095
26/08/09,912000.0,0.0095,0.0095,0.0095,0.0095
03/09/09,580000.0,0.009,0.0095,0.0095,0.009
04/09/09,1111500.0,0.0095,0.0095,0.0095,0.0095
16/09/09,1155000.0,0.009,0.009,0.009,0.0085
17/09/09,6583500.0,0.0085,0.0085,0.0085,0.008
18/09/09,2099000.0,0.0085,0.0095,0.0095,0.0085
22/09/09,126500.0,0.009,0.009,0.0095,0.009
23/09/09,120000.0,0.009,0.0085,0.009,0.0085
30/09/09,119000.0,0.0085,0.0085,0.0085,0.0085
01/10/09,109000.0,0.0085,0.008,0.0085,0.008
02/10/09,42500.0,0.0085,0.0085,0.0085,0.0085
05/10/09,984000.0,0.008,0.008,0.0085,0.008
06/10/09,248500.0,0.0085,0.008,0.0085,0.008
07/10/09,671500.0,0.0085,0.0085,0.0085,0.0085
08/10/09,25500.0,0.0085,0.0085,0.0085,0.0085
09/10/09,422500.0,0.0085,0.008,0.0085,0.008
12/10/09,104000.0,0.008,0.008,0.008,0.008
13/10/09,24000.0,0.008,0.008,0.008,0.008
14/10/09,960000.0,0.008,0.008,0.008,0.008
15/10/09,85000.0,0.0085,0.0085,0.0085,0.0085
16/10/09,406500.0,0.008,0.0085,0.0085,0.008
19/10/09,3094500.0,0.0085,0.0085,0.009,0.0085
20/10/09,8000.0,0.008,0.008,0.008,0.008
21/10/09,40500.0,0.0085,0.008,0.0085,0.008
22/10/09,400000.0,0.008,0.008,0.008,0.008
23/10/09,48000.0,0.008,0.008,0.008,0.008
27/10/09,1336500.0,0.008,0.008,0.0085,0.008
28/10/09,664000.0,0.008,0.008,0.008,0.008
29/10/09,912000.0,0.008,0.008,0.008,0.008
30/10/09,1248000.0,0.008,0.008,0.008,0.008
03/11/09,144000.0,0.008,0.008,0.008,0.008
04/11/09,112000.0,0.008,0.008,0.008,0.008
05/11/09,128000.0,0.008,0.008,0.008,0.008
06/11/09,424000.0,0.008,0.008,0.008,0.008
09/11/09,6722500.0,0.0085,0.0085,0.009,0.0085
10/11/09,16965000.0,0.009,0.0095,0.0095,0.0085
11/11/09,1747500.0,0.0095,0.009,0.0095,0.009
15/12/09,56000.0,0.008,0.008,0.008,0.008
16/12/09,520000.0,0.008,0.008,0.008,0.008
17/12/09,656500.0,0.008,0.008,0.0085,0.008
18/12/09,824000.0,0.008,0.008,0.008,0.008
21/12/09,144000.0,0.008,0.008,0.008,0.008
22/12/09,544000.0,0.008,0.008,0.008,0.008
04/01/10,528000.0,0.008,0.008,0.008,0.008
05/01/10,1781000.0,0.008,0.008,0.0085,0.008
06/01/10,128000.0,0.008,0.008,0.008,0.008
07/01/10,2752000.0,0.008,0.008,0.008,0.008
08/01/10,136000.0,0.008,0.008,0.008,0.008
11/01/10,2951500.0,0.008,0.0085,0.0085,0.008
12/01/10,204000.0,0.0085,0.0085,0.0085,0.0085
13/01/10,85000.0,0.0085,0.0085,0.0085,0.0085
14/01/10,80000.0,0.008,0.008,0.008,0.008
15/01/10,16000.0,0.008,0.008,0.008,0.008
18/01/10,32000.0,0.008,0.008,0.008,0.008
19/01/10,512000.0,0.008,0.008,0.008,0.008
21/01/10,56000.0,0.008,0.008,0.008,0.008
26/01/10,176000.0,0.008,0.008,0.008,0.008
27/01/10,1522500.0,0.0075,0.0075,0.0075,0.0075
01/02/10,22500.0,0.0075,0.0075,0.0075,0.0075
02/02/10,1260000.0,0.0075,0.0075,0.0075,0.0075
04/02/10,180000.0,0.0075,0.0075,0.0075,0.0075
05/02/10,382500.0,0.0075,0.0075,0.0075,0.0075
08/02/10,37500.0,0.0075,0.0075,0.0075,0.0075
09/02/10,28500.0,0.007,0.0075,0.0075,0.007
10/02/10,1275000.0,0.0075,0.0075,0.0075,0.0075
11/02/10,487500.0,0.0075,0.0075,0.0075,0.0075
08/03/10,37500.0,0.0075,0.0075,0.0075,0.0075
31/03/10,412500.0,0.0075,0.0075,0.0075,0.0075
20/04/10,5873500.0,0.0085,0.0085,0.0085,0.0085
21/04/10,16197500.0,0.0085,0.009,0.009,0.0085
22/04/10,3015000.0,0.009,0.009,0.009,0.009
29/04/10,6610000.0,0.009,0.009,0.0095,0.009
30/04/10,4762500.0,0.0095,0.0095,0.0095,0.009
04/05/10,2889000.0,0.009,0.009,0.009,0.009
05/05/10,4463000.0,0.0085,0.0085,0.009,0.0085
13/05/10,1718000.0,0.0095,0.009,0.0095,0.009
14/05/10,13671000.0,0.009,0.011,0.011,0.009
17/05/10,11834450.0,0.01,0.01,0.011,0.0095
18/05/10,12807500.0,0.01,0.01,0.01,0.0095
19/05/10,7380000.0,0.01,0.01,0.01,0.01
20/05/10,501000.0,0.01,0.01,0.011,0.01
21/05/10,68642000.0,0.01,0.013,0.013,0.01
24/05/10,50055400.0,0.013,0.013,0.014,0.013
