Date,Value,Open,Close,High,Low
03/08/09,1538700.0,0.013,0.014,0.014,0.013
04/08/09,940800.0,0.014,0.014,0.014,0.014
06/08/09,1666000.0,0.014,0.014,0.014,0.014
07/08/09,428400.0,0.014,0.014,0.014,0.014
10/08/09,3573600.0,0.014,0.015,0.016,0.014
11/08/09,1617000.0,0.015,0.015,0.015,0.015
12/08/09,311400.0,0.015,0.014,0.015,0.014
13/08/09,140000.0,0.014,0.014,0.014,0.014
14/08/09,60000.0,0.015,0.015,0.015,0.015
17/08/09,1390900.0,0.015,0.014,0.015,0.014
18/08/09,183400.0,0.014,0.014,0.014,0.014
19/08/09,127400.0,0.014,0.014,0.014,0.014
20/08/09,282000.0,0.015,0.014,0.015,0.014
24/08/09,158200.0,0.014,0.014,0.014,0.014
25/08/09,57900.0,0.014,0.014,0.015,0.014
26/08/09,161200.0,0.015,0.014,0.015,0.014
03/09/09,13202900.0,0.016,0.018,0.018,0.016
04/09/09,9512300.0,0.018,0.018,0.019,0.017
16/09/09,16000.0,0.016,0.016,0.016,0.016
17/09/09,195600.0,0.017,0.016,0.017,0.016
18/09/09,60800.0,0.016,0.016,0.016,0.016
22/09/09,100800.0,0.016,0.016,0.016,0.016
23/09/09,3344800.0,0.017,0.017,0.017,0.016
30/09/09,1376000.0,0.016,0.016,0.016,0.016
01/10/09,3913600.0,0.016,0.016,0.016,0.015
02/10/09,196600.0,0.015,0.016,0.016,0.015
05/10/09,470000.0,0.015,0.016,0.016,0.015
06/10/09,876800.0,0.016,0.016,0.016,0.016
07/10/09,672000.0,0.016,0.016,0.016,0.016
08/10/09,256600.0,0.016,0.016,0.016,0.015
09/10/09,3237100.0,0.015,0.016,0.016,0.015
12/10/09,184500.0,0.015,0.015,0.015,0.015
13/10/09,313500.0,0.015,0.015,0.015,0.015
14/10/09,498100.0,0.015,0.015,0.016,0.015
15/10/09,2721600.0,0.015,0.015,0.016,0.015
16/10/09,7145600.0,0.016,0.016,0.017,0.016
19/10/09,249600.0,0.016,0.016,0.016,0.016
20/10/09,962200.0,0.016,0.016,0.016,0.015
21/10/09,182000.0,0.016,0.015,0.016,0.015
22/10/09,376800.0,0.016,0.015,0.016,0.015
23/10/09,223700.0,0.015,0.016,0.016,0.015
26/10/09,202500.0,0.015,0.015,0.015,0.015
27/10/09,934500.0,0.015,0.015,0.015,0.015
28/10/09,3202500.0,0.015,0.015,0.015,0.015
29/10/09,14500.0,0.015,0.014,0.015,0.014
30/10/09,931300.0,0.015,0.015,0.015,0.014
03/11/09,29000.0,0.015,0.014,0.015,0.014
04/11/09,372600.0,0.014,0.014,0.015,0.014
05/11/09,280000.0,0.014,0.014,0.014,0.014
06/11/09,176700.0,0.014,0.015,0.015,0.014
09/11/09,1484000.0,0.014,0.014,0.014,0.014
10/11/09,45300.0,0.014,0.015,0.015,0.014
11/11/09,3617000.0,0.015,0.015,0.015,0.014
15/12/09,225000.0,0.015,0.015,0.015,0.015
18/12/09,70700.0,0.016,0.015,0.016,0.014
21/12/09,67200.0,0.014,0.014,0.014,0.014
22/12/09,29000.0,0.014,0.015,0.015,0.014
23/12/09,49500.0,0.014,0.015,0.015,0.014
29/12/09,2800.0,0.014,0.014,0.014,0.014
04/01/10,176400.0,0.014,0.014,0.014,0.014
05/01/10,419600.0,0.014,0.015,0.015,0.014
06/01/10,271500.0,0.015,0.015,0.015,0.015
07/01/10,432100.0,0.016,0.015,0.016,0.015
08/01/10,621000.0,0.015,0.015,0.016,0.014
11/01/10,332800.0,0.014,0.015,0.015,0.014
12/01/10,609000.0,0.015,0.015,0.015,0.015
13/01/10,1531500.0,0.015,0.015,0.016,0.014
14/01/10,726500.0,0.015,0.015,0.016,0.015
15/01/10,223500.0,0.015,0.015,0.015,0.015
18/01/10,30000.0,0.015,0.015,0.015,0.015
19/01/10,60400.0,0.014,0.015,0.015,0.014
20/01/10,2800.0,0.014,0.014,0.014,0.014
21/01/10,87700.0,0.015,0.015,0.015,0.014
22/01/10,71600.0,0.014,0.015,0.015,0.014
25/01/10,143000.0,0.014,0.015,0.015,0.014
26/01/10,2590000.0,0.014,0.014,0.014,0.014
27/01/10,561400.0,0.014,0.014,0.014,0.014
28/01/10,1051000.0,0.014,0.014,0.015,0.014
29/01/10,143100.0,0.013,0.014,0.014,0.013
01/02/10,112000.0,0.014,0.014,0.014,0.014
02/02/10,48600.0,0.014,0.013,0.014,0.013
03/02/10,58500.0,0.013,0.013,0.013,0.013
04/02/10,78000.0,0.013,0.013,0.013,0.013
05/02/10,751400.0,0.013,0.013,0.013,0.013
08/02/10,513600.0,0.013,0.013,0.014,0.013
09/02/10,130000.0,0.013,0.013,0.013,0.013
10/02/10,156000.0,0.013,0.013,0.013,0.013
08/03/10,325000.0,0.013,0.013,0.013,0.013
12/03/10,72200.0,0.012,0.013,0.013,0.012
15/03/10,260000.0,0.013,0.013,0.013,0.013
16/03/10,127400.0,0.013,0.013,0.013,0.013
17/03/10,418600.0,0.013,0.013,0.013,0.013
21/04/10,33400.0,0.013,0.014,0.014,0.013
22/04/10,126300.0,0.013,0.014,0.014,0.013
23/04/10,58700.0,0.013,0.014,0.014,0.013
29/04/10,328900.0,0.013,0.014,0.014,0.013
30/04/10,142800.0,0.014,0.014,0.014,0.014
04/05/10,53400.0,0.013,0.014,0.014,0.013
05/05/10,744900.0,0.013,0.013,0.013,0.013
13/05/10,88400.0,0.013,0.013,0.013,0.013
14/05/10,211900.0,0.013,0.013,0.013,0.013
17/05/10,85800.0,0.013,0.013,0.013,0.013
18/05/10,174000.0,0.012,0.013,0.013,0.012
21/05/10,1394100.0,0.012,0.013,0.013,0.012
25/05/10,1567300.0,0.012,0.012,0.013,0.012
27/05/10,2500.0,0.012,0.013,0.013,0.012
28/05/10,26000.0,0.013,0.013,0.013,0.013
31/05/10,183600.0,0.012,0.013,0.013,0.012
01/06/10,27800.0,0.012,0.013,0.013,0.012
02/06/10,361300.0,0.012,0.013,0.013,0.012
04/06/10,42100.0,0.012,0.013,0.013,0.012
07/06/10,559200.0,0.012,0.012,0.012,0.012
08/06/10,1300.0,0.013,0.013,0.013,0.013
09/06/10,771700.0,0.012,0.013,0.013,0.012
10/06/10,24000.0,0.012,0.012,0.012,0.012
11/06/10,33600.0,0.012,0.012,0.012,0.012
15/06/10,243800.0,0.013,0.013,0.013,0.012
16/06/10,20800.0,0.013,0.013,0.013,0.013
21/06/10,25600.0,0.013,0.013,0.013,0.012
22/06/10,26400.0,0.012,0.012,0.012,0.012
23/06/10,1254500.0,0.013,0.013,0.013,0.013
24/06/10,38000.0,0.013,0.012,0.013,0.012
25/06/10,1541900.0,0.013,0.013,0.013,0.012
28/06/10,267900.0,0.013,0.013,0.014,0.013
29/06/10,72800.0,0.013,0.013,0.013,0.013
01/07/10,73500.0,0.012,0.013,0.013,0.012
02/07/10,109200.0,0.013,0.013,0.013,0.013
07/07/10,497100.0,0.013,0.013,0.013,0.012
08/07/10,16900.0,0.012,0.013,0.013,0.012
09/07/10,159900.0,0.013,0.013,0.013,0.012
13/07/10,22000.0,0.012,0.013,0.013,0.012
14/07/10,170300.0,0.013,0.013,0.013,0.013
16/07/10,2345300.0,0.012,0.013,0.013,0.012
20/07/10,216300.0,0.012,0.013,0.013,0.012
21/07/10,120000.0,0.012,0.012,0.012,0.012
22/07/10,2682600.0,0.013,0.014,0.014,0.012
23/07/10,303000.0,0.013,0.014,0.014,0.013
20/09/10,218600.0,0.014,0.014,0.015,0.014
21/09/10,1512000.0,0.014,0.014,0.014,0.014
22/09/10,2459800.0,0.014,0.014,0.014,0.014
23/09/10,799400.0,0.014,0.014,0.014,0.014
24/09/10,3376800.0,0.014,0.014,0.014,0.014
27/09/10,233800.0,0.014,0.014,0.014,0.014
28/09/10,3082100.0,0.014,0.014,0.014,0.013
29/09/10,604600.0,0.013,0.014,0.014,0.013
30/09/10,491400.0,0.014,0.014,0.014,0.014
01/10/10,14400.0,0.013,0.014,0.014,0.013
04/10/10,972600.0,0.014,0.014,0.014,0.013
05/10/10,420000.0,0.014,0.014,0.014,0.014
06/10/10,1799100.0,0.014,0.014,0.014,0.013
07/10/10,474600.0,0.014,0.014,0.014,0.014
08/10/10,98000.0,0.014,0.014,0.014,0.014
12/10/10,56100.0,0.013,0.014,0.014,0.013
14/10/10,116000.0,0.014,0.014,0.014,0.013
15/10/10,366700.0,0.013,0.014,0.014,0.013
19/10/10,182100.0,0.013,0.014,0.014,0.013
20/10/10,20500.0,0.013,0.014,0.014,0.013
21/10/10,24700.0,0.013,0.013,0.013,0.013
22/10/10,131400.0,0.013,0.014,0.014,0.013
26/10/10,130100.0,0.013,0.014,0.014,0.013
27/10/10,80600.0,0.013,0.013,0.013,0.013
28/10/10,1976000.0,0.013,0.013,0.013,0.013
29/10/10,293600.0,0.013,0.013,0.014,0.012
02/11/10,14300.0,0.013,0.013,0.013,0.013
03/11/10,655600.0,0.013,0.013,0.013,0.012
04/11/10,461500.0,0.013,0.013,0.013,0.013
08/11/10,787000.0,0.014,0.013,0.014,0.013
09/11/10,469300.0,0.013,0.013,0.013,0.013
10/11/10,130000.0,0.013,0.013,0.013,0.013
11/11/10,398500.0,0.013,0.013,0.013,0.012
15/11/10,65000.0,0.013,0.013,0.013,0.013
17/11/10,1359900.0,0.012,0.013,0.013,0.012
18/11/10,660100.0,0.012,0.013,0.013,0.012
19/11/10,277300.0,0.012,0.012,0.013,0.012
22/11/10,377000.0,0.013,0.013,0.013,0.013
23/11/10,574900.0,0.012,0.012,0.013,0.012
24/11/10,112800.0,0.012,0.012,0.012,0.012
25/11/10,190800.0,0.012,0.012,0.012,0.012
26/11/10,112800.0,0.012,0.012,0.012,0.012
30/11/10,307200.0,0.012,0.012,0.012,0.012
01/12/10,364800.0,0.012,0.012,0.012,0.012
02/12/10,34800.0,0.012,0.012,0.012,0.012
03/12/10,541200.0,0.012,0.012,0.012,0.012
06/12/10,85300.0,0.012,0.013,0.013,0.012
07/12/10,1300.0,0.013,0.013,0.013,0.013
08/12/10,5696800.0,0.012,0.013,0.013,0.012
16/12/10,15700.0,0.012,0.013,0.013,0.012
22/12/10,4800.0,0.012,0.012,0.012,0.012
23/12/10,23400.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
28/12/10,67600.0,0.013,0.013,0.013,0.013
29/12/10,180400.0,0.013,0.014,0.014,0.013
29/12/10,180400.0,0.013,0.014,0.014,0.013
03/01/11,1708600.0,0.013,0.014,0.014,0.013
03/01/11,1708600.0,0.013,0.014,0.014,0.013
03/01/11,1708600.0,0.013,0.014,0.014,0.013
04/01/11,2464000.0,0.014,0.014,0.014,0.014
05/01/11,1557600.0,0.014,0.014,0.014,0.013
06/01/11,109200.0,0.014,0.014,0.014,0.014
07/01/11,1142400.0,0.014,0.014,0.014,0.014
10/01/11,1111600.0,0.014,0.014,0.014,0.014
11/01/11,298400.0,0.013,0.014,0.014,0.013
11/01/11,298400.0,0.013,0.014,0.014,0.013
12/01/11,1829800.0,0.014,0.014,0.014,0.014
13/01/11,327600.0,0.014,0.014,0.014,0.014
14/01/11,428400.0,0.014,0.014,0.014,0.014
17/01/11,14000.0,0.014,0.014,0.014,0.014
18/01/11,329000.0,0.014,0.014,0.014,0.014
19/01/11,624800.0,0.014,0.014,0.014,0.013
19/01/11,624800.0,0.014,0.014,0.014,0.013
20/01/11,140000.0,0.014,0.014,0.014,0.014
20/01/11,140000.0,0.014,0.014,0.014,0.014
24/01/11,289400.0,0.013,0.014,0.014,0.013
26/01/11,1224800.0,0.013,0.013,0.014,0.013
27/01/11,435300.0,0.014,0.013,0.014,0.013
28/01/11,130000.0,0.013,0.013,0.013,0.013
28/01/11,130000.0,0.013,0.013,0.013,0.013
31/01/11,132700.0,0.013,0.013,0.014,0.013
31/01/11,132700.0,0.013,0.013,0.014,0.013
01/02/11,237900.0,0.013,0.013,0.013,0.013
01/02/11,237900.0,0.013,0.013,0.013,0.013
03/02/11,635700.0,0.013,0.013,0.013,0.013
14/02/11,132600.0,0.013,0.013,0.013,0.013
16/02/11,452400.0,0.013,0.013,0.013,0.013
16/02/11,452400.0,0.013,0.013,0.013,0.013
17/02/11,39000.0,0.013,0.013,0.013,0.013
18/02/11,1374800.0,0.013,0.014,0.014,0.013
22/02/11,2600.0,0.013,0.013,0.013,0.013
22/02/11,2600.0,0.013,0.013,0.013,0.013
23/02/11,65000.0,0.013,0.013,0.013,0.013
23/02/11,65000.0,0.013,0.013,0.013,0.013
24/02/11,3760400.0,0.014,0.014,0.014,0.014
24/02/11,3760400.0,0.014,0.014,0.014,0.014
25/02/11,188800.0,0.013,0.014,0.014,0.013
28/02/11,1221900.0,0.014,0.014,0.014,0.013
02/03/11,1470000.0,0.014,0.014,0.014,0.014
03/03/11,612100.0,0.013,0.014,0.014,0.013
04/03/11,234400.0,0.014,0.014,0.014,0.013
04/03/11,234400.0,0.014,0.014,0.014,0.013
07/03/11,49500.0,0.013,0.014,0.014,0.013
08/03/11,330300.0,0.013,0.014,0.014,0.013
08/03/11,330300.0,0.013,0.014,0.014,0.013
11/03/11,292500.0,0.013,0.013,0.013,0.013
11/03/11,292500.0,0.013,0.013,0.013,0.013
16/03/11,412100.0,0.013,0.013,0.013,0.013
17/03/11,793000.0,0.013,0.013,0.013,0.013
18/03/11,10400.0,0.013,0.013,0.013,0.013
21/03/11,15600.0,0.013,0.013,0.013,0.013
22/03/11,434400.0,0.013,0.013,0.014,0.013
23/03/11,235300.0,0.013,0.013,0.013,0.013
24/03/11,336400.0,0.014,0.014,0.014,0.013
25/03/11,608500.0,0.013,0.014,0.014,0.013
28/03/11,98900.0,0.013,0.014,0.014,0.013
29/03/11,172900.0,0.013,0.013,0.013,0.013
30/03/11,596800.0,0.013,0.013,0.014,0.013
31/03/11,650000.0,0.013,0.013,0.013,0.013
01/04/11,44600.0,0.014,0.013,0.014,0.013
04/04/11,770900.0,0.013,0.013,0.013,0.013
05/04/11,1300000.0,0.013,0.013,0.013,0.013
06/04/11,474500.0,0.013,0.013,0.013,0.013
07/04/11,3250000.0,0.013,0.013,0.013,0.013
08/04/11,425100.0,0.013,0.013,0.013,0.013
