Date,Value,Open,Close,High,Low
03/08/09,150000.0,3.0,3.0,3.0,3.0
04/08/09,204000.0,3.0,3.0,3.0,3.0
06/08/09,16750.0,2.75,2.8,2.8,2.75
13/08/09,69600.0,2.9,2.9,2.9,2.9
20/08/09,57000.0,2.85,2.85,2.85,2.85
24/08/09,17100.0,2.85,2.85,2.85,2.85
25/08/09,2850.0,2.85,2.85,2.85,2.85
26/08/09,353600.0,2.9,2.9,2.9,2.85
03/09/09,6000.0,3.0,3.0,3.0,3.0
04/09/09,156000.0,3.0,3.0,3.0,3.0
18/09/09,11550.0,2.9,2.85,2.9,2.85
22/09/09,203800.0,2.9,2.8,2.9,2.8
23/09/09,14000.0,2.8,2.8,2.8,2.8
01/10/09,41250.0,2.75,2.75,2.75,2.75
08/10/09,2750.0,2.75,2.75,2.75,2.75
15/10/09,2850.0,2.85,2.85,2.85,2.85
23/10/09,2850.0,2.85,2.85,2.85,2.85
30/10/09,142500.0,2.85,2.85,2.85,2.85
05/11/09,14250.0,2.85,2.85,2.85,2.85
11/11/09,59160.0,2.04,2.04,2.04,2.04
16/12/09,21700.0,2.75,2.7,2.75,2.7
17/12/09,5400.0,2.7,2.7,2.7,2.7
22/12/09,2800.0,2.8,2.8,2.8,2.8
29/12/09,2850.0,2.85,2.85,2.85,2.85
22/01/10,359500.0,2.9,2.9,2.9,2.85
03/02/10,18000.0,3.0,3.0,3.0,3.0
12/03/10,197000.0,3.4,3.0,3.4,3.0
16/03/10,39150.0,3.05,3.0,3.05,3.0
17/03/10,63000.0,3.0,3.0,3.0,3.0
20/04/10,21600.0,3.1,3.05,3.1,3.05
23/04/10,77000.0,2.75,2.75,2.75,2.75
29/04/10,28000.0,2.8,2.8,2.8,2.8
30/04/10,193200.0,2.8,2.8,2.8,2.8
04/05/10,96000.0,3.0,2.8,3.0,2.8
05/05/10,943600.0,2.8,2.8,2.8,2.8
13/05/10,21000.0,3.0,3.0,3.0,3.0
17/05/10,84000.0,2.8,2.8,2.8,2.8
19/05/10,17100.0,2.85,2.85,2.85,2.85
24/05/10,287400.0,2.95,3.0,3.0,2.95
23/06/10,103600.0,2.8,2.8,2.8,2.8
25/06/10,36000.0,3.0,3.0,3.0,3.0
09/07/10,27000.0,3.0,3.0,3.0,3.0
13/07/10,3301200.0,3.45,4.35,4.35,3.45
14/07/10,3800600.0,5.4,5.2,5.6,4.8
15/07/10,2211600.0,5.4,4.5,5.4,4.5
16/07/10,107350.0,4.6,4.85,4.9,4.6
19/07/10,534150.0,4.85,4.6,4.85,4.3
20/07/10,1232500.0,4.6,4.75,5.1,4.6
21/07/10,145850.0,4.55,4.8,4.8,4.55
22/07/10,78700.0,4.7,4.6,4.7,4.6
23/07/10,252550.0,4.35,4.35,4.4,4.35
20/09/10,2058290.0,3.8,4.8,4.8,3.8
21/09/10,3004550.0,4.9,4.2,4.9,4.2
22/09/10,1239450.0,4.2,4.4,4.4,4.15
23/09/10,2555150.0,4.5,4.6,4.8,4.4
24/09/10,3310700.0,4.7,4.65,5.2,4.65
27/09/10,3283250.0,4.99,4.7,4.99,4.65
28/09/10,169600.0,4.7,4.75,4.75,4.55
29/09/10,232500.0,4.75,4.6,4.75,4.6
30/09/10,562600.0,4.5,4.5,4.6,4.5
01/10/10,450000.0,4.5,4.5,4.5,4.5
04/10/10,1832900.0,4.5,4.6,4.65,4.5
05/10/10,585750.0,4.5,4.65,4.65,4.5
06/10/10,357750.0,4.45,4.64,4.65,4.42
07/10/10,1497070.0,4.65,4.65,4.75,4.65
08/10/10,4288650.0,4.7,5.29,5.65,4.65
12/10/10,1073460.0,5.2,5.02,5.25,5.02
13/10/10,1602265.0,5.04,5.19,5.2,5.04
14/10/10,963235.0,5.21,5.1,5.25,5.1
15/10/10,447080.0,5.1,5.2,5.22,5.1
18/10/10,1129187.0,5.2,5.4,5.49,5.2
19/10/10,1515040.0,5.3,5.3,5.32,5.3
20/10/10,1371083.0,5.3,5.23,5.4,5.1
21/10/10,1259430.0,5.0,5.0,5.2,5.0
22/10/10,266914.0,5.1,5.19,5.2,5.1
26/10/10,1631529.0,5.25,5.14,5.25,5.1
27/10/10,3976250.0,5.1,5.1,5.13,5.04
28/10/10,1128884.0,5.04,5.02,5.06,5.02
29/10/10,2727024.0,5.03,5.0,5.1,5.0
02/11/10,622700.0,5.0,4.9,5.1,4.9
03/11/10,49000.0,4.9,4.9,4.9,4.9
04/11/10,3157650.0,4.95,4.95,4.95,4.9
08/11/10,1324700.0,5.0,4.9,5.05,4.9
09/11/10,117000.0,3.9,3.9,3.9,3.9
11/11/10,171500.0,4.9,4.9,4.9,4.9
12/11/10,226000.0,4.55,4.5,4.55,4.5
15/11/10,18800.0,4.7,4.7,4.7,4.7
17/11/10,19000.0,4.7,4.8,4.8,4.7
19/11/10,175850.0,4.95,4.5,4.95,4.4
22/11/10,1057530.0,4.5,4.5,4.51,4.5
23/11/10,8440.0,4.22,4.22,4.22,4.22
24/11/10,752900.0,4.25,4.45,4.45,4.25
25/11/10,119120.0,4.4,4.24,4.4,4.24
26/11/10,106250.0,4.25,4.25,4.25,4.25
30/11/10,117960.0,4.22,4.2,4.22,4.2
02/12/10,483000.0,4.2,4.2,4.2,4.2
03/12/10,344250.0,4.1,4.2,4.2,4.0
07/12/10,564120.0,4.01,4.0,4.01,4.0
08/12/10,124000.0,4.0,4.0,4.0,4.0
16/12/10,16000.0,4.0,4.0,4.0,4.0
22/12/10,84200.0,5.0,4.85,5.0,4.85
23/12/10,76800.0,4.8,4.8,4.8,4.8
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
28/12/10,36000.0,4.5,4.5,4.5,4.5
03/01/11,82450.0,4.85,4.85,4.85,4.85
03/01/11,82450.0,4.85,4.85,4.85,4.85
03/01/11,82450.0,4.85,4.85,4.85,4.85
04/01/11,40700.0,4.55,4.5,4.55,4.5
06/01/11,31300.0,4.5,4.4,4.5,4.4
07/01/11,31500.0,4.5,4.5,4.5,4.5
10/01/11,139000.0,4.0,4.5,4.5,4.0
11/01/11,4400.0,4.4,4.4,4.4,4.4
11/01/11,4400.0,4.4,4.4,4.4,4.4
12/01/11,28850.0,4.12,4.13,4.13,4.12
13/01/11,6541850.0,4.45,5.45,6.0,4.45
14/01/11,29491667.0,5.9,7.28,7.91,5.9
17/01/11,33727105.0,7.35,7.81,7.94,7.35
18/01/11,10015824.0,7.9,7.39,7.93,7.35
19/01/11,3980450.0,7.5,6.95,7.5,6.95
19/01/11,3980450.0,7.5,6.95,7.5,6.95
20/01/11,2459027.0,6.94,6.18,7.0,6.1
20/01/11,2459027.0,6.94,6.18,7.0,6.1
24/01/11,553117.0,6.5,6.38,6.7,6.3
25/01/11,1005116.0,6.39,6.0,6.51,5.9
26/01/11,253885.0,6.02,6.1,6.25,6.0
27/01/11,1793201.0,6.1,5.94,6.1,5.89
28/01/11,664234.0,5.93,5.71,5.93,5.1
28/01/11,664234.0,5.93,5.71,5.93,5.1
31/01/11,1924544.0,5.94,5.5,5.94,5.5
31/01/11,1924544.0,5.94,5.5,5.94,5.5
01/02/11,101010.0,5.1,5.65,6.0,5.1
01/02/11,101010.0,5.1,5.65,6.0,5.1
02/02/11,484754.0,5.99,5.6,5.99,5.6
03/02/11,127072.0,5.75,5.5,5.75,5.28
14/02/11,99710.0,5.36,5.41,5.41,5.1
16/02/11,57544.0,5.48,5.49,5.49,5.48
16/02/11,57544.0,5.48,5.49,5.49,5.48
