Date,Value,Open,Close,High,Low
24/11/11,13140780.0,2.58,2.68,2.8,2.53
25/11/11,8508000.0,2.7,2.75,2.75,2.55
28/11/11,4520180.0,2.75,2.85,2.85,2.7
29/11/11,2461220.0,2.85,2.8,2.88,2.8
01/12/11,528060.0,2.82,2.75,2.82,2.71
02/12/11,1298220.0,2.75,2.64,2.78,2.64
05/12/11,2076860.0,2.64,2.64,2.74,2.6
06/12/11,271400.0,2.62,2.6,2.62,2.6
07/12/11,1622410.0,2.59,2.27,2.59,2.24
08/12/11,306040.0,2.3,2.39,2.39,2.29
09/12/11,456540.0,2.33,2.28,2.36,2.28
12/12/11,381000.0,2.28,2.25,2.28,2.25
13/12/11,122700.0,2.25,2.32,2.32,2.25
14/12/11,202300.0,2.35,2.35,2.36,2.35
15/12/11,908430.0,2.36,2.24,2.36,2.24
16/12/11,125990.0,2.24,2.25,2.25,2.24
19/12/11,379550.0,2.4,2.4,2.4,2.32
20/12/11,58000.0,2.32,2.32,2.32,2.32
21/12/11,27600.0,2.3,2.3,2.3,2.3
22/12/11,384100.0,2.3,2.3,2.3,2.3
23/12/11,58500.0,2.3,2.4,2.4,2.3
26/12/11,39920.0,2.28,2.39,2.4,2.28
27/12/11,23900.0,2.39,2.39,2.39,2.39
28/12/11,93940.0,2.3,2.29,2.3,2.29
29/12/11,896910.0,2.3,2.47,2.49,2.3
02/01/12,246750.0,2.35,2.35,2.35,2.35
03/01/12,70500.0,2.35,2.35,2.35,2.35
04/01/12,32860.0,2.35,2.34,2.35,2.34
05/01/12,79980.0,2.33,2.4,2.4,2.3
06/01/12,307410.0,2.33,2.32,2.33,2.32
09/01/12,20880.0,2.32,2.32,2.32,2.32
10/01/12,40500.0,2.39,2.33,2.39,2.32
11/01/12,62880.0,2.33,2.33,2.33,2.32
12/01/12,194080.0,2.33,2.32,2.39,2.3
13/01/12,194680.0,2.32,2.28,2.32,2.28
16/01/12,91600.0,2.29,2.29,2.29,2.29
17/01/12,425620.0,2.35,2.35,2.45,2.33
18/01/12,35160.0,2.34,2.35,2.35,2.34
19/01/12,93710.0,2.32,2.35,2.35,2.32
20/01/12,156230.0,2.33,2.45,2.45,2.32
25/01/12,33600.0,2.4,2.4,2.4,2.4
26/01/12,24000.0,2.4,2.4,2.4,2.4
27/01/12,56180.0,2.25,2.35,2.39,2.25
01/02/12,463610.0,2.26,2.25,2.27,2.25
02/02/12,130300.0,2.26,2.3,2.3,2.26
