Date,Value,Open,Close,High,Low
18/01/10,5250.0,10.5,10.5,10.5,10.5
20/01/10,5500.0,11.0,11.0,11.0,11.0
22/04/10,1100.0,11.0,11.0,11.0,11.0
27/09/10,11240.0,11.24,11.24,11.24,11.24
07/12/10,6000.0,15.0,15.0,15.0,15.0
23/12/10,3600.0,18.0,18.0,18.0,18.0
31/03/11,21860.0,13.0,12.8,13.0,12.8
17/06/11,19260.0,13.0,12.8,13.0,12.8
21/06/11,2600.0,13.0,13.0,13.0,13.0
01/07/11,5200.0,13.0,13.0,13.0,13.0
07/07/11,38760.0,12.6,12.5,12.6,12.5
18/07/11,151200.0,14.0,14.0,14.0,14.0
21/07/11,72500.0,14.5,14.5,14.5,14.5
25/07/11,29000.0,14.5,14.5,14.5,14.5
27/07/11,218200.0,14.0,15.0,15.0,14.0
29/07/11,62000.0,15.5,15.5,15.5,15.5
01/08/11,4650.0,15.5,15.5,15.5,15.5
03/08/11,476640.0,15.5,16.5,16.5,14.1
04/08/11,233470.0,16.5,17.0,18.9,16.5
09/08/11,87000.0,14.5,14.5,14.5,14.5
10/08/11,7301228.0,14.0,14.02,14.04,14.0
11/08/11,28002.0,14.02,14.0,14.02,14.0
22/08/11,1408.0,14.08,14.08,14.08,14.08
23/08/11,534484.0,14.12,14.1,14.12,14.1
02/09/11,87240.0,14.12,15.0,15.0,14.12
07/09/11,1683648.0,14.22,14.22,14.22,14.22
12/09/11,11360.0,14.2,14.2,14.2,14.2
15/09/11,1355226.0,14.2,14.24,14.24,14.2
16/09/11,28480.0,14.24,14.24,14.24,14.24
21/09/11,65210.0,14.48,14.5,14.5,14.48
22/09/11,58000.0,14.5,14.5,14.5,14.5
26/09/11,7250.0,14.5,14.5,14.5,14.5
03/10/11,1753812.0,14.16,14.12,14.16,14.12
06/10/11,7814326.0,14.18,14.18,14.18,14.16
13/10/11,9912.0,14.16,14.16,14.16,14.16
14/10/11,7080.0,14.16,14.16,14.16,14.16
17/10/11,5664.0,14.16,14.16,14.16,14.16
03/11/11,28240.0,14.12,14.12,14.12,14.12
08/11/11,3871706.0,14.14,14.12,14.14,14.12
14/11/11,320515.0,15.5,15.5,21.15,15.5
15/11/11,68566.0,17.0,14.16,17.0,14.16
16/11/11,180418.0,16.2,16.96,17.0,15.5
17/11/11,1791936.0,16.9,25.4,25.4,16.9
18/11/11,4812710.0,24.95,31.0,38.1,24.0
21/11/11,1977200.0,30.0,24.0,36.95,22.0
22/11/11,715149.0,20.0,19.0,23.0,14.52
23/11/11,371860.0,19.0,16.5,20.0,16.5
24/11/11,228550.0,18.0,17.98,18.0,16.5
25/11/11,468960.0,16.88,14.04,16.88,14.0
29/11/11,42028.0,14.04,14.0,14.04,14.0
02/12/11,128868.0,14.02,14.0,14.02,14.0
