Date,Value,Open,Close,High,Low
12/09/11,55656440.0,3.0,8.6,13.0,3.0
13/09/11,122068699.0,10.0,9.96,11.98,9.2
14/09/11,87459216.0,10.5,7.5,10.7,7.5
15/09/11,36298417.0,7.6,6.45,7.9,5.2
16/09/11,28388653.0,6.45,7.0,7.7,5.7
19/09/11,15918370.0,7.25,7.02,7.28,6.5
20/09/11,7861039.0,6.88,6.5,7.0,6.4
21/09/11,4285515.0,6.87,6.6,6.9,6.55
22/09/11,5537302.0,6.61,6.29,6.61,6.28
23/09/11,9653153.0,6.0,5.45,6.0,5.4
26/09/11,4684765.0,5.45,4.48,5.45,4.0
28/09/11,4656680.0,4.7,5.08,5.3,4.7
29/09/11,2022298.0,5.08,5.26,5.26,4.96
03/10/11,1975987.0,5.5,5.6,5.7,5.3
04/10/11,1424172.0,5.49,5.58,5.65,5.3
05/10/11,1227694.0,5.72,5.69,5.72,5.6
06/10/11,3549015.0,5.95,6.0,6.28,5.9
07/10/11,2971719.0,6.1,6.0,6.3,6.0
10/10/11,782214.0,6.1,6.1,6.2,6.1
11/10/11,3863354.0,6.3,6.2,6.32,6.1
12/10/11,1930970.0,6.2,6.1,6.2,6.1
13/10/11,1860753.0,6.15,6.15,6.2,6.1
14/10/11,1445758.0,6.1,6.15,6.25,6.02
17/10/11,4987893.0,6.2,6.45,6.58,6.1
18/10/11,3145511.0,6.5,6.5,6.54,6.45
19/10/11,1239431.0,6.58,6.31,6.6,6.3
20/10/11,686188.0,6.28,6.31,6.35,6.28
21/10/11,787345.0,6.21,6.3,6.3,6.21
24/10/11,551251.0,6.3,6.27,6.32,6.25
25/10/11,1353330.0,6.3,6.36,6.36,6.3
26/10/11,528594.0,6.3,6.36,6.36,6.3
27/10/11,664651.0,6.5,6.5,6.5,6.36
28/10/11,1231958.0,6.5,6.38,6.5,6.36
02/11/11,3464064.0,6.3,6.2,6.3,6.17
03/11/11,4419278.0,6.14,6.3,6.3,6.14
04/11/11,4399308.0,6.3,6.55,7.0,6.3
08/11/11,2408403.0,6.54,6.55,6.55,6.3
09/11/11,817182.0,6.5,6.51,6.6,6.5
10/11/11,745686.0,6.3,6.32,6.32,6.3
11/11/11,3089147.0,6.5,6.56,6.57,6.32
14/11/11,9312725.0,6.9,6.95,7.4,6.8
15/11/11,2824461.0,7.0,7.15,7.2,6.95
16/11/11,2314809.0,7.2,7.12,7.2,7.0
17/11/11,949507.0,7.01,7.01,7.14,7.0
18/11/11,8008621.0,7.01,7.1,7.38,7.01
21/11/11,2758984.0,7.1,6.9,7.24,6.9
22/11/11,3091370.0,6.9,6.8,6.9,6.5
23/11/11,716730.0,6.8,6.8,6.81,6.8
24/11/11,3297249.0,6.8,6.7,6.81,6.7
25/11/11,4841138.0,6.59,6.8,6.85,6.59
28/11/11,3154855.0,6.6,7.0,7.0,6.6
29/11/11,2414122.0,6.95,7.1,7.1,6.95
01/12/11,1889584.0,7.4,7.1,7.4,7.0
02/12/11,3447592.0,7.1,7.15,7.15,7.07
05/12/11,1071626.0,7.09,7.15,7.15,6.91
06/12/11,795980.0,7.15,7.01,7.15,7.01
07/12/11,2992697.0,7.0,6.99,7.14,6.89
08/12/11,10142068.0,7.0,7.4,7.49,6.99
09/12/11,2190261.0,7.42,7.49,7.59,7.3
12/12/11,2041883.0,7.4,7.31,7.5,7.31
13/12/11,670102.0,7.31,7.28,7.4,7.28
14/12/11,3670170.0,7.3,7.07,7.3,7.05
15/12/11,3142225.0,7.07,7.01,7.2,6.91
16/12/11,1688335.0,7.1,7.0,7.1,6.9
19/12/11,161196.0,7.04,7.04,7.04,7.0
20/12/11,681582.0,7.05,7.12,7.19,7.05
21/12/11,1054742.0,7.06,7.1,7.2,7.06
22/12/11,192757.0,7.12,7.08,7.12,7.01
23/12/11,386950.0,7.1,7.1,7.1,7.1
26/12/11,153162.0,7.1,7.1,7.1,7.08
27/12/11,222538.0,7.1,7.08,7.1,7.08
28/12/11,224740.0,7.08,7.13,7.13,7.02
29/12/11,1036286.0,7.03,7.02,7.05,7.02
02/01/12,3370738.0,7.03,7.1,7.19,7.03
03/01/12,3069016.0,7.2,7.45,7.69,7.2
04/01/12,1387477.0,7.32,7.54,7.65,7.32
05/01/12,12695656.0,7.54,8.33,8.41,7.54
06/01/12,6922109.0,8.2,8.69,8.8,8.02
09/01/12,11216430.0,8.7,9.06,9.42,8.5
10/01/12,6492545.0,9.08,8.83,9.25,8.82
11/01/12,2298504.0,8.85,9.0,9.18,8.83
12/01/12,1425993.0,9.0,8.9,9.0,8.86
13/01/12,7638016.0,8.9,9.2,9.5,8.9
16/01/12,8065949.0,9.2,9.45,9.62,9.2
17/01/12,35933293.0,9.45,9.97,10.0,9.45
18/01/12,8894726.0,9.97,9.5,9.97,9.47
19/01/12,2777963.0,9.5,9.61,9.7,9.47
20/01/12,12430061.0,9.7,9.81,10.02,9.7
24/01/12,1079630.0,9.85,9.65,9.85,9.5
25/01/12,2530513.0,9.55,9.75,9.8,9.55
26/01/12,29058252.0,9.7,10.0,10.4,9.7
27/01/12,4095836.0,10.28,10.0,10.44,9.98
30/01/12,2645798.0,10.1,9.9,10.28,9.9
31/01/12,1187350.0,9.9,10.0,10.1,9.9
01/02/12,4488250.0,10.0,9.6,10.0,9.5
02/02/12,2141105.0,9.8,9.55,9.8,9.55
03/02/12,27995246.0,9.55,10.66,10.66,9.55
06/02/12,11497172.0,10.68,9.92,10.72,9.92
07/02/12,2689952.0,9.94,9.94,10.14,9.8
08/02/12,3012636.0,10.2,10.2,10.3,10.0
09/02/12,1894398.0,10.12,10.0,10.12,9.98
10/02/12,4341520.0,9.98,10.1,10.4,9.96
13/02/12,283090.0,10.2,10.1,10.2,10.0
14/02/12,2015410.0,10.4,10.1,10.5,10.1
15/02/12,2233518.0,10.2,10.0,10.28,9.96
16/02/12,1737802.0,10.28,10.0,10.28,10.0
17/02/12,29039180.0,10.18,10.72,10.8,10.18
20/02/12,30206352.0,10.78,11.26,11.42,10.72
21/02/12,14487426.0,11.26,11.88,11.88,11.1
22/02/12,45243626.0,11.98,13.22,13.6,11.88
23/02/12,19412564.0,13.42,12.2,13.7,12.0
24/02/12,24197626.0,12.24,12.0,12.98,11.5
27/02/12,12807378.0,12.16,12.5,12.6,11.94
28/02/12,7659238.0,12.8,12.62,12.86,12.4
29/02/12,9423980.0,12.64,12.8,12.82,12.5
01/03/12,24076712.0,12.78,12.9,13.0,12.6
02/03/12,13275080.0,12.8,13.2,13.4,12.8
05/03/12,14814956.0,13.2,13.48,13.6,13.0
06/03/12,25672750.0,13.48,13.5,14.18,13.44
07/03/12,10712938.0,13.4,13.3,13.5,13.0
08/03/12,4409180.0,13.8,13.3,13.8,13.3
09/03/12,5459068.0,13.5,13.3,13.5,13.28
12/03/12,3933338.0,13.5,13.28,13.5,13.28
13/03/12,9701418.0,13.22,12.68,13.26,12.68
14/03/12,13152044.0,12.6,12.22,13.0,12.2
15/03/12,25180504.0,12.18,11.5,12.18,11.0
16/03/12,4096860.0,11.52,11.9,12.0,11.38
19/03/12,1854064.0,11.8,12.24,12.24,11.8
20/03/12,2377886.0,12.26,12.24,12.62,12.24
21/03/12,2542378.0,12.24,12.0,12.24,11.7
22/03/12,4129716.0,11.8,11.7,12.0,11.64
23/03/12,4955558.0,11.8,11.8,11.98,11.7
26/03/12,655642.0,11.8,11.8,11.92,11.7
27/03/12,1762326.0,11.8,11.9,11.9,11.6
28/03/12,1551910.0,12.0,11.9,12.0,11.8
29/03/12,751902.0,11.7,11.8,11.9,11.5
30/03/12,2224288.0,11.8,11.7,11.88,11.6
02/04/12,2363870.0,11.6,11.9,11.9,11.58
03/04/12,2029460.0,11.6,12.1,12.2,11.6
04/04/12,127960.0,11.62,11.8,12.08,11.62
