Date,Value,Open,Close,High,Low
03/08/09,246000.0,10.25,10.25,10.25,10.25
04/08/09,619100.0,10.25,10.25,10.25,10.25
06/08/09,51250.0,10.25,10.25,10.25,10.25
07/08/09,481750.0,10.25,10.25,10.25,10.25
10/08/09,418300.0,10.5,10.5,10.5,10.25
11/08/09,1654600.0,10.5,11.0,11.0,10.5
12/08/09,161950.0,10.75,10.5,10.75,10.5
13/08/09,375500.0,10.5,10.75,10.75,10.5
14/08/09,974600.0,11.0,11.0,11.0,11.0
17/08/09,66250.0,11.0,11.25,11.25,11.0
18/08/09,479450.0,11.0,10.5,11.0,10.5
19/08/09,84000.0,10.5,10.5,10.5,10.5
20/08/09,418950.0,10.5,10.5,10.5,10.5
24/08/09,273000.0,10.75,11.0,11.0,10.75
25/08/09,1100.0,11.0,11.0,11.0,11.0
26/08/09,682000.0,11.0,11.0,11.0,11.0
03/09/09,1361000.0,10.5,10.75,10.75,10.5
04/09/09,1095500.0,10.75,10.75,11.25,10.75
16/09/09,6812025.0,14.5,14.5,14.75,13.5
17/09/09,3182775.0,14.0,13.75,14.25,13.75
18/09/09,2357250.0,13.75,14.0,14.25,13.75
22/09/09,1296575.0,14.0,14.25,14.25,14.0
23/09/09,926650.0,14.0,15.0,15.0,14.0
30/09/09,2833225.0,16.5,16.75,16.75,16.5
01/10/09,22101900.0,16.5,17.75,18.0,16.5
02/10/09,8314425.0,17.5,17.0,17.5,16.75
05/10/09,3304100.0,17.0,17.5,17.5,17.0
06/10/09,11900975.0,17.5,17.25,17.5,16.75
07/10/09,3719425.0,17.25,17.0,17.25,16.75
08/10/09,2940500.0,17.0,17.0,17.0,16.75
09/10/09,2904975.0,16.75,16.5,16.75,16.5
12/10/09,2120350.0,16.5,16.5,16.5,16.25
13/10/09,368050.0,16.5,16.0,16.5,16.0
14/10/09,726400.0,16.0,16.0,16.0,16.0
15/10/09,6524025.0,16.0,16.75,17.0,16.0
16/10/09,1226425.0,16.75,16.75,17.0,16.75
19/10/09,880750.0,16.25,16.25,16.25,16.25
20/10/09,550125.0,16.0,16.0,16.25,16.0
21/10/09,825600.0,16.0,16.0,16.0,16.0
22/10/09,875550.0,16.0,15.75,16.0,15.75
23/10/09,112975.0,15.75,16.0,16.0,15.75
26/10/09,212650.0,16.0,15.75,16.0,15.75
27/10/09,1858500.0,15.75,15.75,15.75,15.75
28/10/09,316600.0,15.75,16.0,16.0,15.75
29/10/09,949700.0,15.5,15.75,15.75,15.5
30/10/09,29531050.0,15.75,16.5,16.5,15.75
03/11/09,1434975.0,16.5,16.25,16.5,16.0
04/11/09,2918375.0,16.25,16.25,16.25,16.0
05/11/09,7275650.0,16.5,16.5,17.0,16.5
06/11/09,346350.0,16.5,16.25,16.5,16.25
09/11/09,7101425.0,16.25,15.75,16.25,15.75
10/11/09,1675.0,16.75,16.75,16.75,16.75
11/11/09,574325.0,16.0,16.0,16.25,16.0
15/12/09,32000.0,16.0,16.0,16.0,16.0
16/12/09,815000.0,16.0,16.5,16.5,16.0
17/12/09,16000.0,16.0,16.0,16.0,16.0
18/12/09,2530975.0,16.0,16.25,16.25,16.0
21/12/09,693000.0,16.5,16.5,16.5,16.5
22/12/09,166650.0,16.5,16.5,16.5,16.5
23/12/09,16500.0,16.5,16.5,16.5,16.5
29/12/09,245375.0,16.25,16.25,16.25,16.25
04/01/10,189275.0,16.25,16.25,16.5,16.25
05/01/10,669000.0,16.25,16.25,16.25,16.0
07/01/10,329500.0,16.5,16.25,16.5,16.25
08/01/10,2222675.0,16.25,16.75,16.75,16.25
11/01/10,1051050.0,16.5,16.5,16.5,16.5
12/01/10,1344750.0,16.5,16.5,16.5,16.5
13/01/10,1585450.0,16.5,16.5,16.5,16.25
14/01/10,4564475.0,16.5,16.5,16.5,16.25
15/01/10,2372500.0,16.25,16.25,16.25,16.25
18/01/10,867200.0,16.0,16.0,16.0,16.0
19/01/10,650000.0,16.0,16.0,16.0,15.75
20/01/10,756800.0,16.0,16.0,16.0,16.0
22/01/10,2421100.0,16.0,15.5,16.0,15.5
25/01/10,96075.0,15.25,15.5,15.5,15.25
26/01/10,972875.0,15.5,15.25,15.5,15.25
27/01/10,1644775.0,15.25,15.0,15.25,15.0
28/01/10,2443250.0,15.0,15.25,15.25,14.75
29/01/10,2651925.0,15.25,15.25,15.25,14.75
01/02/10,1897600.0,15.0,14.5,15.0,14.5
02/02/10,1900400.0,15.0,14.75,15.0,14.5
03/02/10,1322000.0,14.5,14.75,14.75,14.5
04/02/10,1027825.0,14.75,14.75,14.75,14.5
05/02/10,327750.0,14.25,14.25,14.25,14.25
08/02/10,82850.0,15.0,14.75,15.0,14.25
09/02/10,99550.0,14.25,14.5,14.5,14.25
10/02/10,1881250.0,14.75,14.75,14.75,14.5
11/02/10,1942750.0,14.75,15.25,15.25,14.75
08/03/10,1288000.0,16.0,16.0,16.0,16.0
12/03/10,839625.0,15.75,16.0,16.0,15.75
15/03/10,1104750.0,16.0,15.75,16.0,15.75
16/03/10,1670875.0,16.25,16.25,16.5,16.25
17/03/10,852500.0,16.0,16.25,16.5,16.0
31/03/10,432000.0,16.0,16.0,16.0,16.0
20/04/10,1094375.0,15.75,15.75,15.75,15.5
21/04/10,787500.0,15.75,15.75,15.75,15.75
22/04/10,1176525.0,15.75,15.75,15.75,15.75
23/04/10,1808300.0,15.75,15.5,15.75,15.5
