Date,Value,Open,Close,High,Low
10/08/09,32500.0,6.5,6.5,6.5,6.5
20/08/09,254200.0,6.2,6.2,6.2,6.2
16/09/09,32500.0,6.5,6.5,6.5,6.5
02/10/09,32500.0,6.5,6.5,6.5,6.5
14/10/09,32500.0,6.5,6.5,6.5,6.5
15/10/09,13200.0,6.6,6.6,6.6,6.6
26/10/09,19500.0,6.5,6.5,6.5,6.5
27/10/09,32500.0,6.5,6.5,6.5,6.5
28/10/09,32500.0,6.5,6.5,6.5,6.5
29/10/09,52000.0,6.5,6.5,6.5,6.5
15/12/09,19500.0,6.5,6.5,6.5,6.5
16/12/09,32500.0,6.5,6.5,6.5,6.5
17/12/09,162500.0,6.5,6.5,6.5,6.5
18/12/09,32500.0,6.5,6.5,6.5,6.5
22/12/09,32500.0,6.5,6.5,6.5,6.5
23/12/09,32500.0,6.5,6.5,6.5,6.5
04/01/10,32500.0,6.5,6.5,6.5,6.5
08/01/10,32500.0,6.5,6.5,6.5,6.5
31/03/10,13000.0,6.5,6.5,6.5,6.5
27/05/10,140000.0,7.0,7.0,7.0,7.0
02/06/10,31500.0,6.3,6.3,6.3,6.3
04/06/10,18900.0,6.3,6.3,6.3,6.3
07/06/10,18900.0,6.3,6.3,6.3,6.3
21/06/10,81900.0,6.3,6.3,6.3,6.3
23/06/10,18900.0,6.3,6.3,6.3,6.3
02/07/10,32500.0,6.5,6.5,6.5,6.5
09/07/10,32500.0,6.5,6.5,6.5,6.5
22/09/10,464100.0,7.0,7.0,7.0,7.0
23/09/10,193900.0,7.0,7.0,7.0,7.0
24/09/10,13650.0,6.5,6.5,6.5,6.5
04/10/10,2600.0,6.5,6.5,6.5,6.5
14/10/10,33150.0,6.5,6.5,6.5,6.5
19/10/10,18850.0,6.5,6.5,6.5,6.5
26/10/10,16250.0,6.5,6.5,6.5,6.5
24/02/11,12000.0,6.0,6.0,6.0,6.0
24/02/11,12000.0,6.0,6.0,6.0,6.0
25/02/11,24000.0,6.0,6.0,6.0,6.0
28/02/11,12000.0,6.0,6.0,6.0,6.0
02/03/11,24000.0,6.0,6.0,6.0,6.0
03/03/11,36000.0,6.0,6.0,6.0,6.0
02/05/11,12000.0,6.0,6.0,6.0,6.0
09/05/11,90000.0,4.5,4.5,4.5,4.5
30/05/11,4500.0,4.5,4.5,4.5,4.5
01/08/11,11000.0,5.5,5.5,5.5,5.5
19/08/11,11000.0,5.5,5.5,5.5,5.5
25/08/11,11200.0,5.6,5.6,5.6,5.6
15/09/11,11800.0,5.9,5.9,5.9,5.9
16/09/11,155250.0,5.75,5.75,5.75,5.75
18/10/11,115050.0,6.5,6.5,6.5,6.5
19/10/11,650.0,6.5,6.5,6.5,6.5
20/10/11,1298.0,6.5,6.48,6.5,6.48
17/11/11,11050.0,6.5,6.5,6.5,6.5
27/01/12,18000.0,6.0,6.0,6.0,6.0
22/02/12,580.0,5.8,5.8,5.8,5.8
15/03/12,3360.0,5.6,5.6,5.6,5.6
16/03/12,96366.0,5.6,5.61,6.75,5.6
19/03/12,42000.0,6.0,6.0,6.0,6.0
21/03/12,28800.0,6.0,5.6,6.0,5.6
23/03/12,28530.0,6.75,5.4,6.75,5.4
26/03/12,1090.0,5.45,5.45,5.45,5.45
27/03/12,600.0,6.0,6.0,6.0,6.0
29/03/12,9630.0,5.9,6.5,6.5,5.9
20/04/12,16935.0,5.9,6.5,6.75,5.9
23/04/12,29140.0,6.5,6.75,6.75,6.3
24/04/12,6005.0,6.01,6.0,6.01,6.0
26/04/12,64260.00000000001,5.4,5.4,5.4,5.4
02/05/12,279720.0,5.75,6.4,6.75,5.75
07/05/12,3265.0,3.2,6.45,6.45,3.2
10/05/12,17355.0,6.7,6.65,6.7,6.65
11/05/12,86460.0,6.4,6.4,6.4,5.41
16/05/12,59860.0,3.51,6.6,6.6,3.51
30/05/12,645.0,6.45,6.45,6.45,6.45
01/06/12,53990.0,6.0,5.4,6.0,3.9
04/06/12,18720.0,5.2,5.2,5.2,5.2
05/06/12,18240.0,4.8,4.8,4.8,4.8
06/06/12,4500.0,4.5,4.5,4.5,4.5
