Date,Value,Open,Close,High,Low
03/08/09,8559550.0,2.75,2.7,2.8,2.7
04/08/09,10558850.0,2.75,2.75,2.85,2.75
06/08/09,8687700.0,2.75,2.7,2.9,2.7
07/08/09,8653500.0,2.75,2.7,2.8,2.65
10/08/09,185310650.0,2.75,3.65,3.65,2.7
11/08/09,107127650.0,3.7,3.25,3.75,3.25
12/08/09,52108850.0,3.2,3.15,3.4,3.15
13/08/09,173678400.0,3.3,3.55,3.85,3.3
14/08/09,67917700.0,3.7,3.55,3.75,3.5
17/08/09,44508000.0,3.5,3.3,3.6,3.3
18/08/09,37753750.0,3.25,3.4,3.45,3.2
19/08/09,24506150.0,3.5,3.35,3.55,3.3
20/08/09,28406500.0,3.4,3.25,3.4,3.25
24/08/09,13739350.0,3.4,3.4,3.45,3.35
25/08/09,35848150.0,3.45,3.5,3.65,3.45
26/08/09,18509350.0,3.6,3.55,3.65,3.55
03/09/09,17058650.0,3.5,3.45,3.55,3.45
04/09/09,21976400.0,3.45,3.5,3.6,3.45
16/09/09,13345950.0,3.25,3.2,3.3,3.1
17/09/09,10740600.0,3.25,3.2,3.3,3.15
18/09/09,15945050.0,3.25,3.3,3.3,3.1
22/09/09,6111350.0,3.25,3.15,3.3,3.15
23/09/09,4439700.0,3.2,3.2,3.25,3.15
30/09/09,3583550.0,2.95,2.9,2.95,2.9
01/10/09,9214050.0,2.9,2.85,2.95,2.85
02/10/09,8121900.0,2.8,2.75,2.8,2.65
05/10/09,4821200.0,2.75,2.75,2.85,2.75
06/10/09,5858550.0,2.8,2.9,2.95,2.8
07/10/09,6776750.0,2.95,2.95,3.0,2.8
08/10/09,13184100.0,2.9,3.1,3.15,2.9
09/10/09,4886850.0,3.15,3.0,3.15,2.95
12/10/09,2750600.0,3.05,2.9,3.05,2.9
13/10/09,19824150.0,2.95,2.95,3.1,2.9
14/10/09,4258000.0,2.95,2.95,2.95,2.85
15/10/09,3409000.0,3.0,2.95,3.05,2.9
16/10/09,3029150.0,2.95,2.95,2.95,2.85
19/10/09,3214500.0,2.85,2.9,2.9,2.85
20/10/09,2658050.0,2.95,2.85,2.95,2.85
21/10/09,5288750.0,2.85,2.75,2.85,2.75
22/10/09,3767750.0,2.75,2.75,2.75,2.7
23/10/09,1550450.0,2.75,2.8,2.85,2.75
26/10/09,2140300.0,2.8,2.7,2.8,2.7
27/10/09,2251950.0,2.75,2.75,2.75,2.7
28/10/09,1112800.0,2.75,2.8,2.8,2.7
29/10/09,7600800.0,2.75,2.75,2.75,2.65
30/10/09,15408200.0,2.75,2.9,2.95,2.7
03/11/09,3813450.0,2.85,2.7,2.85,2.7
04/11/09,4415500.0,2.7,2.8,2.8,2.7
