Date,Value,Open,Close,High,Low
03/08/09,237700.0,5.8,5.8,5.8,5.7
04/08/09,188800.0,5.9,5.9,5.9,5.9
06/08/09,392800.0,5.8,5.9,5.9,5.6
07/08/09,58000.0,5.8,5.8,5.8,5.8
10/08/09,147400.0,5.8,5.9,5.9,5.8
11/08/09,194700.0,5.9,5.9,5.9,5.9
13/08/09,209400.0,5.9,5.8,5.9,5.8
14/08/09,59000.0,5.9,5.9,5.9,5.9
17/08/09,333100.0,5.8,5.8,5.8,5.7
18/08/09,324900.0,5.7,5.7,5.7,5.7
20/08/09,1456200.0,5.8,5.9,5.9,5.8
24/08/09,1830200.0,6.0,6.2,6.2,6.0
25/08/09,608200.0,6.2,6.4,6.4,6.2
26/08/09,137790900.0,6.2,6.8,7.6,6.2
03/09/09,140000.0,7.0,7.0,7.0,7.0
04/09/09,913000.0,7.0,7.1,7.1,7.0
16/09/09,400700.0,6.8,6.8,6.9,6.7
17/09/09,326400.0,6.8,6.8,6.8,6.8
18/09/09,47600.0,6.8,6.8,6.8,6.8
23/09/09,39500.0,6.6,6.5,6.6,6.5
01/10/09,19500.0,6.5,6.5,6.5,6.5
02/10/09,32000.0,6.4,6.4,6.4,6.4
05/10/09,76800.0,6.4,6.4,6.4,6.4
06/10/09,19200.0,6.4,6.4,6.4,6.4
07/10/09,278000.0,6.5,6.4,6.6,6.4
09/10/09,1455900.0,6.4,6.5,6.5,6.4
12/10/09,173800.0,6.5,6.4,6.5,6.4
13/10/09,359500.0,6.5,6.5,6.6,6.5
14/10/09,1211500.0,6.7,6.6,6.7,6.5
15/10/09,231300.0,6.6,6.7,6.7,6.6
16/10/09,639300.0,6.8,6.8,6.9,6.8
20/10/09,241500.0,6.9,6.9,6.9,6.9
21/10/09,46200.0,6.6,6.6,6.6,6.6
22/10/09,264000.0,6.6,6.6,6.6,6.6
26/10/09,100000.0,6.7,6.6,6.7,6.6
27/10/09,1028100.0,6.6,6.4,6.6,6.4
28/10/09,6600.0,6.6,6.6,6.6,6.6
29/10/09,64000.0,6.4,6.4,6.4,6.4
30/10/09,278900.0,6.5,6.4,6.5,6.4
03/11/09,108800.0,6.4,6.4,6.4,6.4
04/11/09,64000.0,6.4,6.4,6.4,6.4
05/11/09,44800.0,6.4,6.4,6.4,6.4
06/11/09,96000.0,6.4,6.4,6.4,6.4
09/11/09,108800.0,6.4,6.4,6.4,6.4
10/11/09,65000.0,6.5,6.5,6.5,6.5
11/11/09,116700.0,6.4,6.4,6.5,6.4
