Date,Value,Open,Close,High,Low
03/08/09,2172500.0,5.5,5.5,5.5,5.5
04/08/09,7460100.0,5.5,5.6,5.6,5.5
06/08/09,5340500.0,5.6,5.6,5.6,5.5
07/08/09,5417500.0,5.5,5.5,5.6,5.4
10/08/09,2716500.0,5.5,5.6,5.6,5.5
11/08/09,6983200.0,5.7,5.8,5.8,5.6
12/08/09,255000.0,5.7,5.6,5.7,5.6
13/08/09,8161700.0,5.6,5.8,5.9,5.6
14/08/09,5144600.0,5.7,5.6,5.7,5.5
17/08/09,16763800.0,5.6,5.3,5.6,5.3
18/08/09,5898900.0,5.3,5.5,5.5,5.2
19/08/09,2016100.0,5.6,5.6,5.6,5.3
20/08/09,3103100.0,5.4,5.6,5.6,5.4
24/08/09,750200.0,5.5,5.5,5.6,5.5
25/08/09,385000.0,5.5,5.5,5.5,5.5
26/08/09,4356000.0,5.5,5.5,5.5,5.5
03/09/09,2386500.0,5.5,5.5,5.5,5.4
04/09/09,7916700.0,5.5,5.4,5.5,5.4
16/09/09,28388400.0,5.3,5.2,5.3,5.2
17/09/09,4575300.0,5.3,5.3,5.3,5.2
18/09/09,12991100.0,5.3,5.3,5.3,5.2
22/09/09,21777500.0,5.2,5.2,5.2,5.1
23/09/09,5631600.0,5.2,5.2,5.2,5.2
30/09/09,4282900.0,5.1,5.1,5.1,5.0
01/10/09,22794400.0,5.1,5.0,5.1,5.0
02/10/09,9361850.0,5.0,5.1,5.1,4.95
05/10/09,9217000.0,5.1,5.0,5.1,5.0
06/10/09,11037900.0,5.1,5.0,5.1,5.0
07/10/09,31135500.0,5.0,5.0,5.1,5.0
08/10/09,11905000.0,5.0,5.0,5.0,5.0
09/10/09,8790000.0,5.0,5.0,5.0,5.0
12/10/09,4414900.0,5.0,5.0,5.0,4.95
13/10/09,5250000.0,5.0,5.0,5.0,5.0
14/10/09,9646550.0,5.0,5.0,5.0,4.95
15/10/09,19430950.0,5.0,4.95,5.0,4.95
16/10/09,4184500.0,5.0,5.0,5.0,4.95
