Date,Value,Open,Close,High,Low
03/08/09,4179250.0,0.0525,0.055,0.055,0.0525
04/08/09,99251500.0,0.055,0.06,0.06,0.0525
06/08/09,16769500.0,0.0575,0.06,0.06,0.0575
07/08/09,7700500.0,0.06,0.06,0.06,0.0575
10/08/09,45112500.0,0.06,0.0625,0.0625,0.06
11/08/09,169421500.0,0.0625,0.07,0.07,0.0625
12/08/09,44013000.0,0.0675,0.0675,0.07,0.065
13/08/09,34369500.0,0.0675,0.07,0.07,0.0675
14/08/09,63665750.0,0.07,0.0725,0.0725,0.07
17/08/09,52791000.0,0.0725,0.075,0.075,0.07
18/08/09,36543500.0,0.0725,0.075,0.075,0.07
19/08/09,52237750.0,0.075,0.0775,0.0775,0.075
20/08/09,70853750.0,0.0775,0.08,0.08,0.0775
24/08/09,39965750.0,0.0825,0.0825,0.0825,0.08
25/08/09,16320500.0,0.08,0.0825,0.0825,0.08
26/08/09,22187750.0,0.0825,0.0825,0.0825,0.08
03/09/09,5841900.0,0.105,0.105,0.105,0.1
04/09/09,54501350.0,0.105,0.11,0.11,0.1
16/09/09,175186500.0,0.135,0.14,0.14,0.135
17/09/09,72479450.0,0.14,0.14,0.145,0.135
18/09/09,171511200.0,0.135,0.125,0.135,0.125
22/09/09,25184550.0,12.5,12.5,12.5,12.0
23/09/09,119068300.0,12.5,13.0,13.0,12.25
30/09/09,297609225.0,14.25,14.75,14.75,14.0
01/10/09,319510500.0,14.75,15.25,15.25,14.5
02/10/09,44441150.0,15.0,15.0,15.0,14.75
05/10/09,94728550.0,15.0,15.0,15.25,14.75
06/10/09,219680200.0,15.0,12.5,15.0,12.0
07/10/09,515630000.0,12.5,15.0,15.0,12.0
08/10/09,179813475.0,15.0,15.5,15.5,14.75
09/10/09,199091300.0,15.5,16.0,16.0,15.25
12/10/09,79556300.0,16.0,15.75,16.0,14.5
13/10/09,117085350.0,15.75,15.5,15.75,15.0
14/10/09,18884175.0,15.0,15.25,15.5,15.0
15/10/09,66725625.0,15.25,15.5,15.5,15.0
16/10/09,50694125.0,15.5,15.5,15.5,15.25
19/10/09,98638325.0,15.25,15.5,15.5,14.5
20/10/09,58979425.0,15.5,15.5,15.5,15.25
21/10/09,24183425.0,15.5,15.5,15.5,15.25
22/10/09,28246400.0,15.5,15.5,15.5,15.25
23/10/09,41687775.0,15.25,15.5,15.5,15.25
26/10/09,42889225.0,15.5,15.5,15.5,15.25
27/10/09,33059375.0,15.5,15.5,15.5,15.25
28/10/09,306872675.0,15.5,16.5,16.5,15.25
29/10/09,65170050.0,16.5,16.5,16.5,16.25
30/10/09,84932550.0,16.5,16.5,16.5,16.25
03/11/09,205361125.0,16.5,17.25,17.25,16.25
04/11/09,104457050.0,17.25,17.5,17.5,17.0
05/11/09,134538300.0,17.25,18.0,18.0,17.25
06/11/09,69465925.0,18.0,18.25,18.25,17.75
09/11/09,78324700.0,18.25,18.5,18.5,18.25
10/11/09,101195300.0,18.5,18.5,18.5,18.25
11/11/09,184474650.0,18.5,18.75,18.75,18.0
15/12/09,10696475.0,18.25,18.25,18.25,17.75
16/12/09,6613600.0,18.0,18.25,18.25,17.75
17/12/09,15033825.0,18.25,17.75,18.25,17.5
18/12/09,73028025.0,17.75,17.75,18.25,17.75
21/12/09,2912025.0,17.75,17.25,17.75,17.25
22/12/09,3983750.0,17.25,16.75,17.25,16.5
23/12/09,388065850.0,16.75,18.5,18.5,16.75
29/12/09,45718775.0,18.25,18.5,18.5,18.0
04/01/10,10186825.0,18.25,18.0,18.25,17.75
05/01/10,7461300.0,18.0,18.25,18.25,18.0
06/01/10,5621550.0,18.25,18.25,18.25,17.5
07/01/10,25033225.0,18.0,18.25,18.25,18.0
08/01/10,15263750.0,18.25,18.25,18.25,18.0
11/01/10,6437050.0,18.25,18.25,18.25,18.0
12/01/10,17998200.0,18.25,18.25,18.25,18.0
13/01/10,1660600.0,18.0,18.0,18.25,17.75
14/01/10,9380000.0,18.0,18.0,18.0,17.75
15/01/10,7072725.0,18.0,17.75,18.0,17.75
18/01/10,7839675.0,17.75,17.75,18.0,17.75
19/01/10,17526275.0,17.75,17.75,18.0,17.5
20/01/10,3939150.0,17.75,17.5,17.75,17.25
21/01/10,11287525.0,17.5,17.5,17.75,17.25
22/01/10,1470375.0,17.5,17.0,17.5,17.0
25/01/10,2415000.0,17.0,16.5,17.0,16.0
26/01/10,17583050.0,16.5,16.75,17.0,16.25
27/01/10,5384025.0,16.75,16.25,16.75,15.75
28/01/10,6086975.0,16.25,16.5,16.5,16.0
29/01/10,6028675.0,16.5,16.25,16.5,16.0
01/02/10,3131950.0,16.0,16.0,16.25,16.0
02/02/10,13092750.0,16.0,16.0,16.25,15.75
03/02/10,9416200.0,16.0,16.0,16.0,15.75
04/02/10,4959400.0,16.0,16.0,16.0,15.5
05/02/10,2993350.0,15.5,15.75,15.75,15.25
08/02/10,8205325.0,15.5,16.0,16.0,15.5
09/02/10,1865575.0,16.0,15.75,16.0,15.5
10/02/10,51387550.0,15.75,17.0,17.0,15.75
11/02/10,61467125.0,17.0,17.25,18.0,16.75
08/03/10,13150050.0,17.25,17.5,17.5,17.0
12/03/10,14511050.0,17.5,17.25,17.5,16.75
15/03/10,13887500.0,17.25,17.25,17.25,16.75
16/03/10,14982475.0,17.25,17.25,17.25,16.75
17/03/10,32023400.0,17.25,17.25,17.25,16.5
31/03/10,4324625.0,17.0,17.0,17.0,16.75
20/04/10,7902925.0,16.75,16.5,16.75,16.25
21/04/10,11833950.0,16.5,16.5,16.75,16.25
22/04/10,18841775.0,16.5,16.5,16.75,16.25
23/04/10,1511075.0,16.5,16.5,16.5,16.25
29/04/10,4341375.0,16.5,16.5,16.5,16.25
30/04/10,4527425.0,16.5,16.5,16.5,16.0
04/05/10,11964250.0,16.5,16.5,16.5,16.25
05/05/10,6421850.0,16.0,16.0,16.5,15.75
13/05/10,3145000.0,16.25,16.25,16.25,16.0
14/05/10,1815650.0,16.0,16.25,16.25,15.75
17/05/10,2885425.0,16.25,16.0,16.25,15.75
18/05/10,3942075.0,16.0,16.25,16.25,16.0
19/05/10,3057700.0,16.25,16.0,16.25,15.75
20/05/10,4014250.0,16.0,16.0,16.25,15.75
21/05/10,792350.0,16.0,16.0,16.0,15.75
24/05/10,5125000.0,16.0,16.0,16.25,15.75
25/05/10,1414950.0,16.0,16.0,16.0,15.5
26/05/10,3109200.0,16.0,15.75,16.0,15.5
27/05/10,1590375.0,16.0,16.0,16.0,15.75
28/05/10,2730275.0,16.0,15.75,16.0,15.5
31/05/10,5890050.0,15.75,15.5,15.75,15.0
01/06/10,984750.0,15.5,15.5,15.5,15.0
02/06/10,3118000.0,15.5,15.5,15.5,15.0
03/06/10,482950.0,15.25,15.5,15.5,15.0
04/06/10,221150.0,15.5,15.5,15.5,15.25
07/06/10,116000.0,15.5,15.5,15.5,15.0
08/06/10,5655625.0,15.25,15.5,15.5,15.0
09/06/10,2243025.0,15.5,15.5,15.5,15.25
10/06/10,2927750.0,15.5,15.5,15.5,15.0
11/06/10,1095600.0,15.5,15.5,15.5,15.25
15/06/10,2712625.0,15.5,15.5,15.5,15.25
16/06/10,2843525.0,15.25,15.5,15.5,15.0
21/06/10,6149000.0,15.25,15.25,15.5,15.0
22/06/10,1345225.0,15.25,15.25,15.25,15.0
23/06/10,1940500.0,15.25,15.25,15.25,15.0
24/06/10,169275.0,15.25,15.25,15.25,15.25
25/06/10,2813750.0,15.0,15.25,15.25,14.75
28/06/10,1211625.0,15.0,15.25,15.25,15.0
29/06/10,5856050.0,15.25,15.0,15.25,14.75
01/07/10,12400150.0,14.75,15.0,15.0,14.25
02/07/10,2266375.0,15.0,15.0,15.0,14.5
06/07/10,2025575.0,15.0,15.0,15.0,14.5
07/07/10,2444950.0,14.75,15.0,15.0,14.5
