Date,Value,Open,Close,High,Low
03/09/09,428500.0,5.0,4.5,5.0,4.5
04/09/09,179050.0,4.55,4.35,4.55,4.35
16/09/09,36000.0,4.0,4.0,4.0,4.0
09/10/09,249700.0,3.75,3.95,4.35,3.75
12/10/09,35550.0,3.95,3.95,3.95,3.95
13/10/09,55700.0,3.95,3.95,4.0,3.95
16/10/09,47400.0,3.95,3.95,3.95,3.95
28/10/09,3000.0,3.0,3.0,3.0,3.0
06/11/09,15000.0,3.75,3.75,3.75,3.75
22/12/09,26600.0,3.8,3.8,3.8,3.8
12/01/10,88450.0,3.05,3.05,3.05,3.05
08/02/10,44000.0,4.0,4.0,4.0,4.0
12/03/10,4050.0,4.05,4.05,4.05,4.05
15/03/10,20250.0,4.05,4.05,4.05,4.05
16/03/10,37150.0,4.15,4.1,4.15,4.1
30/04/10,42800.0,4.4,4.0,4.4,4.0
04/05/10,24000.0,4.0,4.0,4.0,4.0
14/05/10,16400.0,4.1,4.1,4.1,4.1
01/06/10,30000.0,4.25,4.3,4.3,4.25
25/06/10,41500.0,4.15,4.15,4.15,4.15
28/06/10,45650.0,4.15,4.15,4.15,4.15
02/07/10,41500.0,4.15,4.15,4.15,4.15
21/07/10,20750.0,4.15,4.15,4.15,4.15
22/07/10,28000.0,4.0,4.0,4.0,4.0
22/09/10,221000.0,4.42,4.42,4.42,4.42
27/09/10,22000.0,4.4,4.4,4.4,4.4
01/10/10,8800.0,4.4,4.4,4.4,4.4
05/10/10,27860.0,3.98,3.98,3.98,3.98
15/10/10,7960.0,3.98,3.98,3.98,3.98
19/11/10,4180.0,4.18,4.18,4.18,4.18
16/12/10,20810.0,4.09,4.18,4.18,4.09
24/01/11,41800.0,4.18,4.18,4.18,4.18
10/05/11,71060.0,4.18,4.18,4.18,4.18
22/06/11,4350.0,4.35,4.35,4.35,4.35
25/07/11,4300.0,4.3,4.3,4.3,4.3
09/08/11,21010.0,4.21,4.2,4.21,4.2
19/08/11,47660.0,4.21,4.38,4.38,4.2
24/08/11,60200.0,4.3,4.3,4.3,4.3
16/09/11,590080.0,4.5,4.3,6.2,4.3
19/09/11,8600.0,4.3,4.3,4.3,4.3
22/09/11,12900.0,4.3,4.3,4.3,4.3
06/10/11,8420.0,4.21,4.21,4.21,4.21
14/10/11,21010.0,4.21,4.2,4.21,4.2
18/10/11,76500.0,4.5,4.5,4.5,4.5
17/11/11,14280.0,4.76,4.76,4.76,4.76
21/11/11,4760.0,4.76,4.76,4.76,4.76
27/12/11,145200.0,4.4,4.4,4.4,4.4
04/01/12,58840.0,4.21,4.2,4.21,4.2
19/01/12,48000.0,4.3,4.4,4.4,4.3
27/01/12,143560.0,4.75,4.8,4.8,4.75
13/02/12,14400.0,4.8,4.8,4.8,4.8
14/02/12,33600.0,4.8,4.8,4.8,4.8
17/02/12,13520.0,4.51,4.5,4.51,4.5
01/03/12,50710.0,4.61,4.61,4.61,4.61
19/03/12,35420.0,4.46,4.42,4.46,4.42
27/03/12,30950.0,4.43,4.42,4.43,4.42
28/03/12,50000.0,5.0,5.0,5.0,5.0
17/04/12,45000.0,4.5,4.5,4.5,4.5
08/08/12,4500.0,4.5,4.5,4.5,4.5
17/09/12,20000.0,5.0,5.0,5.0,5.0
18/09/12,21030.0,5.01,5.0,5.01,5.0
19/09/12,1030500.0,4.5,4.5,4.5,4.5
15/10/12,4560.0,4.56,4.56,4.56,4.56
31/10/12,184300.0,4.97,5.0,5.0,4.97
06/11/12,101600.0,5.08,5.08,5.08,5.08
23/11/12,8421.0,4.22,4.21,4.22,4.21
14/12/12,180080.0,5.0,5.29,5.29,5.0
17/12/12,2571775.0,5.3,7.93,7.93,5.3
18/12/12,4329116.0,11.84,9.55,11.88,9.1
19/12/12,884733.0,9.2,9.0,10.8,8.0
20/12/12,1217364.0,8.88,9.66,11.88,8.0
21/12/12,665152.0,10.0,10.5,11.0,10.0
