Date,Value,Open,Close,High,Low
03/08/09,61176400.0,7.8,7.9,7.9,7.8
04/08/09,119946100.0,7.9,8.0,8.0,7.8
06/08/09,73654500.0,7.9,7.9,8.0,7.8
07/08/09,604370600.0,8.1,9.0,9.0,8.1
10/08/09,554352500.0,9.1,9.9,10.0,9.1
11/08/09,1461717300.0,10.0,10.75,11.0,9.9
12/08/09,227394650.0,10.5,10.75,10.75,10.25
13/08/09,303506500.0,11.0,10.75,11.25,10.5
14/08/09,380926950.0,10.75,10.25,10.75,10.25
17/08/09,377163620.0,10.5,10.0,10.5,9.8
18/08/09,290638600.0,9.8,9.8,9.9,9.5
19/08/09,236681250.0,10.0,10.25,10.25,10.0
20/08/09,178698150.0,10.25,10.0,10.25,9.8
24/08/09,130968750.0,10.0,10.25,10.25,10.0
25/08/09,20056475.0,10.0,10.25,10.25,10.0
26/08/09,158729750.0,10.25,10.25,10.5,10.25
03/09/09,30158950.0,10.25,10.25,10.25,10.0
04/09/09,130436425.0,10.25,10.5,10.5,10.25
16/09/09,34903300.0,9.9,10.0,10.0,9.9
17/09/09,84910700.0,10.0,9.9,10.0,9.8
18/09/09,50039400.0,9.8,9.9,9.9,9.8
22/09/09,62445900.0,9.9,9.7,9.9,9.6
23/09/09,47288800.0,9.7,9.7,9.7,9.6
30/09/09,109444300.0,8.8,8.7,8.9,8.7
01/10/09,109234600.0,8.7,8.6,8.8,8.6
02/10/09,38786500.0,8.5,8.6,8.6,8.4
05/10/09,13566300.0,8.6,8.6,8.6,8.5
06/10/09,53511500.0,8.6,8.7,8.7,8.6
07/10/09,474434300.0,8.8,9.1,9.1,8.8
08/10/09,158841400.0,9.1,9.3,9.3,9.1
09/10/09,81552000.0,9.3,9.1,9.3,9.0
12/10/09,90280400.0,9.0,9.1,9.1,9.0
13/10/09,81928400.0,9.1,9.0,9.1,8.9
14/10/09,81348100.0,9.0,9.0,9.0,8.9
15/10/09,105038700.0,9.0,9.0,9.1,8.9
16/10/09,41629600.0,9.0,9.0,9.0,8.9
19/10/09,32869200.0,9.0,9.0,9.0,8.7
20/10/09,191112200.0,9.0,9.0,9.0,8.9
21/10/09,61893500.0,9.0,9.1,9.1,9.0
22/10/09,428554700.0,9.0,9.5,9.5,9.0
23/10/09,47890900.0,9.5,9.6,9.7,9.5
26/10/09,380262100.0,9.6,10.0,10.25,9.6
27/10/09,68838000.0,9.9,9.9,10.0,9.8
28/10/09,464415950.0,9.8,10.5,10.5,9.8
29/10/09,459092400.0,10.5,10.75,10.75,10.0
30/10/09,1446733700.0,11.25,11.5,11.75,11.0
03/11/09,4637642875.0,11.5,13.0,13.0,11.5
04/11/09,464930675.0,13.0,12.75,13.25,12.5
