Date,Value,Open,Close,High,Low
18/08/09,29700.0,33.0,33.0,33.0,33.0
24/08/09,49500.0,33.0,33.0,33.0,33.0
22/09/09,64000.0,32.0,32.0,32.0,32.0
01/10/09,3500.0,35.0,35.0,35.0,35.0
09/10/09,4000.0,40.0,40.0,40.0,40.0
22/10/09,80000.0,40.0,40.0,40.0,40.0
23/10/09,12000.0,40.0,40.0,40.0,40.0
03/11/09,86400.0,42.0,44.0,44.0,42.0
06/11/09,132000.0,44.0,44.0,44.0,44.0
11/11/09,40500.0,45.0,45.0,45.0,45.0
01/07/10,25650.0,28.5,28.5,28.5,28.5
28/09/10,22050.0,24.5,24.5,24.5,24.5
28/10/10,26000.0,26.0,26.0,26.0,26.0
29/10/10,75825.0,25.25,25.25,26.0,25.25
03/11/10,11355.0,37.85,37.85,37.85,37.85
04/11/10,185400.0,50.0,54.0,54.0,50.0
08/11/10,12420.0,54.0,54.0,54.0,54.0
09/11/10,43200.0,54.0,54.0,54.0,54.0
11/11/10,10800.0,54.0,54.0,54.0,54.0
26/11/10,78000.0,60.0,60.0,60.0,60.0
30/11/10,102600.0,60.0,60.0,60.0,60.0
07/12/10,130820.0,62.0,62.0,62.0,62.0
16/12/10,1650.0,55.0,55.0,55.0,55.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
28/12/10,9180.0,54.0,54.0,54.0,54.0
03/01/11,33000.0,55.0,55.0,55.0,55.0
03/01/11,33000.0,55.0,55.0,55.0,55.0
03/01/11,33000.0,55.0,55.0,55.0,55.0
04/01/11,21800.0,54.5,54.5,54.5,54.5
05/01/11,54500.0,54.5,54.5,54.5,54.5
07/04/11,2025.0,40.5,40.5,40.5,40.5
11/05/11,4000.0,40.0,40.0,40.0,40.0
16/05/11,24300.0,40.5,40.5,40.5,40.5
30/05/11,39000.0,40.0,35.0,40.0,35.0
31/05/11,267000.0,45.0,52.0,52.0,45.0
01/06/11,120000.0,55.0,50.0,55.0,50.0
07/06/11,1358396.5,50.5,74.05,74.05,50.5
08/06/11,1393040.0,80.0,73.0,85.0,73.0
09/06/11,269975.0,63.0,71.0,71.0,63.0
10/06/11,338210.0,68.0,67.0,68.0,65.0
13/06/11,202490.0,66.0,65.5,66.0,65.5
14/06/11,80580.0,66.3,68.0,68.0,66.3
15/06/11,484412.0,66.5,69.0,69.0,66.3
16/06/11,7000.0,70.0,70.0,70.0,70.0
17/06/11,89700.0,70.2,70.0,70.2,70.0
22/06/11,306720.0,67.0,68.0,68.0,67.0
23/06/11,232420.0,71.5,67.5,71.5,67.5
24/06/11,671310.0,69.0,67.0,74.5,67.0
27/06/11,19800.0,66.0,66.0,66.0,66.0
28/06/11,13200.0,66.0,66.0,66.0,66.0
29/06/11,63175.5,71.5,70.0,71.5,70.0
01/07/11,238765.0,66.0,65.5,66.0,65.5
04/07/11,19050.0,63.5,63.5,63.5,63.5
06/07/11,133488.0,63.5,60.3,63.5,60.3
12/07/11,4500.0,45.0,45.0,45.0,45.0
15/07/11,4500.0,45.0,45.0,45.0,45.0
18/07/11,23500.0,47.0,47.0,47.0,47.0
20/07/11,63000.0,63.0,63.0,63.0,63.0
25/07/11,4620.0,66.0,66.0,66.0,66.0
27/07/11,983320.0,66.0,79.0,80.0,66.0
28/07/11,4840543.5,79.0,95.0,110.0,79.0
29/07/11,3236999.0,95.0,120.0,120.0,95.0
01/08/11,1139810.0,120.0,120.0,126.0,120.0
02/08/11,2581375.0,120.0,120.0,120.0,101.0
03/08/11,1207830.0,110.0,105.0,115.0,105.0
04/08/11,834400.0,112.0,110.0,112.0,105.0
05/08/11,353410.0,100.0,108.0,108.0,100.0
08/08/11,29000.0,100.0,100.0,100.0,100.0
10/08/11,10500.0,105.0,105.0,105.0,105.0
11/08/11,11390.0,104.0,104.0,104.0,103.0
12/08/11,47610.0,102.0,107.0,107.0,98.0
15/08/11,39000.0,100.0,100.0,100.0,100.0
16/08/11,16000.0,100.0,100.0,100.0,100.0
17/08/11,10000.0,100.0,100.0,100.0,100.0
19/08/11,11980.0,100.0,99.0,100.0,99.0
22/08/11,3920.0,98.0,98.0,98.0,98.0
24/08/11,4900.0,98.0,98.0,98.0,98.0
25/08/11,10660.0,97.0,97.0,97.0,96.0
31/08/11,49000.0,80.0,90.0,90.0,80.0
02/09/11,52640.0,94.0,94.0,94.0,94.0
05/09/11,595640.0,93.0,94.0,94.0,93.0
06/09/11,156040.0,94.0,94.0,94.0,94.0
07/09/11,2790.0,93.0,93.0,93.0,93.0
08/09/11,6580.0,94.0,94.0,94.0,94.0
09/09/11,1880.0,94.0,94.0,94.0,94.0
12/09/11,570959.0,75.0,93.95,94.0,75.0
13/09/11,577710.5,75.1,93.95,93.95,75.1
19/09/11,9450.0,94.5,94.5,94.5,94.5
20/09/11,86700.0,75.0,94.5,94.5,75.0
21/09/11,9450.0,94.5,94.5,94.5,94.5
22/09/11,9450.0,94.5,94.5,94.5,94.5
26/09/11,251200.0,75.2,88.0,88.0,75.0
28/09/11,4445.0,88.9,88.9,88.9,88.9
03/10/11,222300.0,75.2,88.0,88.0,75.0
05/10/11,4495.0,89.9,89.9,89.9,89.9
07/10/11,3518.0,87.95,87.95,87.95,87.95
10/10/11,8795.0,87.95,87.95,87.95,87.95
12/10/11,4397.5,87.95,87.95,87.95,87.95
14/10/11,849.5,84.95,84.95,84.95,84.95
18/10/11,8495.0,84.95,84.95,84.95,84.95
20/10/11,8495.0,84.95,84.95,84.95,84.95
24/10/11,8495.0,84.95,84.95,84.95,84.95
25/10/11,1699.0,84.95,84.95,84.95,84.95
02/11/11,85800.0,84.95,85.0,85.0,84.95
03/11/11,849.5,84.95,84.95,84.95,84.95
04/11/11,12742.5,84.95,84.95,84.95,84.95
09/11/11,8495.0,84.95,84.95,84.95,84.95
16/11/11,177340.0,84.4,84.45,84.45,84.4
17/11/11,844.5,84.45,84.45,84.45,84.45
22/11/11,8495.0,84.95,84.95,84.95,84.95
15/12/11,21019.5,56.0,84.95,84.95,56.0
20/12/11,13865.5,84.0,84.85,84.85,80.0
21/12/11,224954.0,76.0,84.8,84.8,76.0
23/12/11,90420.0,72.0,80.0,80.0,72.0
26/12/11,16950.0,84.75,84.75,84.75,84.75
27/12/11,16940.0,84.7,84.7,84.7,84.7
28/12/11,36388.0,84.6,84.7,84.7,84.6
29/12/11,22028.0,84.7,84.8,84.8,84.7
02/01/12,16990.0,84.95,84.95,84.95,84.95
04/01/12,75619.0,84.0,84.95,84.95,84.0
05/01/12,31416.5,84.9,84.95,84.95,84.9
06/01/12,26334.5,84.95,84.95,84.95,84.95
09/01/12,178400.0,84.95,84.95,85.0,84.95
10/01/12,95993.5,84.95,84.95,84.95,84.95
11/01/12,14441.5,84.95,84.95,84.95,84.95
12/01/12,177644.0,84.95,82.0,84.95,82.0
13/01/12,343199.0,85.0,82.0,85.0,82.0
16/01/12,342700.0,85.0,82.0,85.0,82.0
17/01/12,261540.0,85.0,82.0,85.0,82.0
18/01/12,16632.0,82.0,84.9,84.9,82.0
19/01/12,9339.0,84.9,84.9,84.9,84.9
20/01/12,66290.0,84.9,85.0,85.0,84.9
24/01/12,8600.0,86.0,86.0,86.0,86.0
25/01/12,78320.0,86.0,85.0,86.0,81.0
26/01/12,11180.0,86.0,86.0,86.0,86.0
27/01/12,26660.0,86.0,86.0,86.0,86.0
30/01/12,290400.0,86.0,86.0,86.0,81.0
31/01/12,17200.0,86.0,86.0,86.0,86.0
01/02/12,10260.0,85.5,85.5,85.5,85.5
02/02/12,860.0,86.0,86.0,86.0,86.0
03/02/12,1720.0,86.0,86.0,86.0,86.0
07/02/12,5145.0,86.0,85.5,86.0,85.0
08/02/12,855.0,85.5,85.5,85.5,85.5
09/02/12,155423.0,77.0,82.3,82.3,77.0
17/02/12,120120.0,77.0,77.0,77.0,77.0
20/02/12,1660.0,83.0,83.0,83.0,83.0
21/02/12,1660.0,83.0,83.0,83.0,83.0
22/02/12,1660.0,83.0,83.0,83.0,83.0
23/02/12,74700.0,83.0,83.0,83.0,83.0
24/02/12,16000.0,80.0,80.0,80.0,80.0
28/02/12,1660.0,83.0,83.0,83.0,83.0
02/03/12,1660.0,83.0,83.0,83.0,83.0
08/03/12,4200.0,84.0,84.0,84.0,84.0
12/03/12,3360.0,84.0,84.0,84.0,84.0
13/03/12,37600.0,82.0,83.75,83.75,82.0
