Date,Value,Open,Close,High,Low
19/02/13,694392370.0,34.75,36.35,37.0,34.5
20/02/13,156604010.0,36.45,35.3,36.65,35.0
21/02/13,145503040.0,35.2,36.15,36.2,34.5
22/02/13,181452820.0,36.1,37.55,38.0,36.0
25/02/13,82674905.0,37.55,37.6,38.0,37.3
26/02/13,85619110.0,37.4,37.35,37.65,36.9
27/02/13,101740635.0,37.5,37.6,37.85,37.35
28/02/13,211583395.0,37.8,38.65,38.75,37.8
01/03/13,29475610.0,38.7,38.35,38.7,38.05
04/03/13,122523425.0,38.5,38.05,38.75,37.5
05/03/13,88592720.0,38.0,38.5,38.85,37.85
06/03/13,72633660.0,38.5,38.4,38.6,38.25
07/03/13,34771210.0,38.35,38.15,38.4,38.1
08/03/13,80165175.0,38.15,37.5,38.15,37.4
11/03/13,62441805.0,37.5,37.0,37.75,36.8
12/03/13,58019385.0,36.9,36.3,36.9,36.25
13/03/13,35419995.0,36.3,36.6,37.0,35.75
14/03/13,13419595.0,36.95,36.35,37.0,36.3
15/03/13,18477000.0,36.35,35.8,36.35,35.8
18/03/13,61019470.0,35.75,34.6,36.35,34.5
19/03/13,57648525.0,34.6,33.8,34.6,33.5
20/03/13,34950515.0,33.5,34.0,34.3,33.3
21/03/13,20231185.0,34.35,33.95,34.35,33.5
22/03/13,38827040.0,34.05,34.1,34.5,33.95
25/03/13,10533280.0,34.7,34.6,34.7,34.3
26/03/13,14580570.0,34.5,34.2,34.6,34.15
27/03/13,19282535.0,34.2,34.3,34.6,34.2
01/04/13,32266470.0,34.4,33.8,34.45,33.8
02/04/13,12122725.0,33.85,33.85,33.95,33.6
03/04/13,11781380.0,33.75,34.1,34.3,33.7
04/04/13,8289830.0,34.05,34.25,34.35,33.95
05/04/13,43899220.0,34.25,34.9,35.1,34.0
08/04/13,34049095.0,35.0,35.6,35.75,34.9
10/04/13,42878255.0,35.6,35.9,35.95,35.6
11/04/13,48547695.0,35.9,36.1,36.2,35.9
12/04/13,41273315.0,36.2,36.9,37.0,36.2
15/04/13,20001705.0,37.0,36.5,37.0,36.2
16/04/13,16360295.0,36.0,36.5,36.55,35.6
17/04/13,25712525.0,36.6,36.85,37.2,36.6
18/04/13,17674605.0,36.5,36.55,36.9,36.0
19/04/13,13865450.0,36.5,36.0,36.55,35.9
22/04/13,28951120.0,36.0,35.8,36.1,35.8
23/04/13,16295020.0,36.0,35.75,36.0,35.7
24/04/13,12881725.0,35.75,34.9,35.95,34.9
25/04/13,10652285.0,35.0,34.7,35.0,34.65
26/04/13,19118530.0,34.65,34.85,35.0,34.65
29/04/13,33788810.0,34.9,34.0,34.9,33.85
30/04/13,33818260.0,34.05,34.0,34.6,33.85
02/05/13,24923110.0,34.0,34.05,34.5,34.0
03/05/13,10825480.0,34.1,34.15,34.5,34.1
06/05/13,23713810.0,34.2,34.8,34.8,34.2
07/05/13,10769000.0,34.8,34.6,34.8,34.5
08/05/13,12390975.0,34.6,34.1,34.6,34.1
09/05/13,65292045.0,34.0,34.0,34.1,33.9
10/05/13,63249145.0,34.0,34.0,34.5,33.9
14/05/13,3080535.0,34.05,34.15,34.25,34.05
15/05/13,11399605.0,34.15,34.35,34.5,34.15
16/05/13,16799345.0,34.35,34.05,34.4,33.95
17/05/13,21361570.0,34.0,34.05,34.05,33.8
20/05/13,12815340.0,34.2,34.0,34.2,34.0
21/05/13,21878300.0,34.1,34.7,34.7,34.0
22/05/13,7131345.0,34.7,34.5,34.7,34.25
23/05/13,88198790.0,34.2,32.7,34.2,32.7
24/05/13,8831640.0,32.75,33.05,33.45,32.7
27/05/13,12154590.0,33.05,32.65,33.05,32.5
28/05/13,9830640.0,32.6,32.25,32.6,31.9
29/05/13,3309830.0,32.25,32.45,32.55,32.25
30/05/13,5330080.0,32.45,31.75,32.45,31.65
31/05/13,21036700.0,31.75,31.8,32.0,31.0
03/06/13,18204880.0,31.0,30.9,31.5,30.8
04/06/13,6566480.0,31.0,30.2,31.1,30.2
05/06/13,2177225.0,30.2,30.15,31.5,30.15
