Date,Value,Open,Close,High,Low
03/08/09,444150.0,0.16,0.19,0.19,0.16
04/08/09,506650.0,0.18,0.19,0.19,0.16
06/08/09,830000.0,0.19,0.15,0.19,0.15
07/08/09,221400.0,0.165,0.165,0.165,0.15
10/08/09,149150.0,0.165,0.16,0.165,0.16
12/08/09,3200.0,0.16,0.16,0.16,0.16
14/08/09,4600.0,0.16,0.14,0.16,0.14
17/08/09,256900.0,0.14,0.14,0.16,0.14
18/08/09,11200.0,0.14,0.14,0.14,0.14
19/08/09,22400.0,0.14,0.14,0.14,0.14
24/08/09,182000.0,0.14,0.14,0.14,0.14
26/08/09,7500.0,0.15,0.15,0.15,0.15
03/09/09,42000.0,0.14,0.14,0.14,0.14
16/09/09,23200.0,0.115,0.135,0.135,0.115
17/09/09,117600.0,0.12,0.13,0.13,0.11
18/09/09,2400.0,0.11,0.13,0.13,0.11
22/09/09,23400.0,0.135,0.12,0.135,0.12
30/09/09,121000.0,0.1,0.11,0.11,0.1
01/10/09,127150.0,0.105,0.115,0.12,0.105
06/10/09,1150.0,0.115,0.115,0.115,0.115
08/10/09,23000.0,0.115,0.115,0.115,0.115
09/10/09,104550.0,0.11,0.115,0.115,0.11
14/10/09,78000.0,0.115,0.11,0.115,0.11
15/10/09,646450.0,0.115,0.12,0.125,0.105
16/10/09,391500.0,0.125,0.125,0.125,0.12
19/10/09,144000.0,0.12,0.12,0.12,0.12
20/10/09,95250.0,0.12,0.125,0.125,0.11
26/10/09,297600.0,0.12,0.12,0.12,0.12
27/10/09,372350.0,0.125,0.12,0.13,0.12
28/10/09,90800.0,0.13,0.13,0.14,0.12
29/10/09,144800.0,0.12,0.12,0.125,0.115
30/10/09,410000.0,0.11,0.12,0.13,0.11
03/11/09,148150.0,0.13,0.12,0.13,0.115
05/11/09,121900.0,0.115,0.12,0.12,0.115
06/11/09,16800.0,0.12,0.12,0.12,0.12
09/11/09,85150.0,0.115,0.12,0.12,0.115
10/11/09,36350.0,0.115,0.12,0.12,0.115
21/12/09,9450.0,0.105,0.105,0.105,0.105
22/12/09,22050.0,0.105,0.105,0.105,0.105
29/12/09,16800.0,0.105,0.105,0.105,0.105
04/01/10,6350.0,0.105,0.11,0.11,0.105
05/01/10,52750.0,0.105,0.11,0.11,0.105
06/01/10,51100.0,0.1,0.11,0.11,0.1
07/01/10,67750.0,0.11,0.12,0.12,0.105
11/01/10,3300.0,0.105,0.12,0.12,0.105
12/01/10,75350.0,0.115,0.12,0.125,0.115
13/01/10,55000.0,0.11,0.11,0.11,0.11
15/01/10,4400.0,0.11,0.11,0.11,0.11
18/01/10,2200.0,0.11,0.11,0.11,0.11
20/01/10,3150.0,0.105,0.105,0.105,0.105
25/01/10,82950.0,0.105,0.105,0.105,0.105
26/01/10,1000.0,0.1,0.1,0.1,0.1
27/01/10,60000.0,0.1,0.1,0.1,0.1
28/01/10,45000.0,0.11,0.12,0.12,0.11
02/02/10,10000.0,0.1,0.1,0.1,0.1
04/02/10,12500.0,0.125,0.125,0.125,0.125
05/02/10,11000.0,0.11,0.11,0.11,0.11
08/02/10,11000.0,0.11,0.11,0.11,0.11
09/02/10,10500.0,0.105,0.105,0.105,0.105
10/02/10,1050.0,0.105,0.105,0.105,0.105
12/03/10,129000.0,0.105,0.105,0.11,0.105
16/03/10,5500.0,0.11,0.11,0.11,0.11
20/04/10,95000.0,0.095,0.095,0.095,0.095
21/04/10,47500.0,0.095,0.095,0.095,0.095
22/04/10,9500.0,0.095,0.095,0.095,0.095
04/05/10,80000.0,0.1,0.095,0.11,0.095
17/05/10,10000.0,0.1,0.1,0.1,0.1
20/05/10,10000.0,0.1,0.1,0.1,0.1
21/05/10,21000.0,0.105,0.105,0.105,0.105
26/05/10,10000.0,0.1,0.1,0.1,0.1
02/06/10,11000.0,0.11,0.11,0.11,0.11
07/06/10,5950.0,0.085,0.085,0.085,0.085
11/06/10,27000.0,0.09,0.09,0.09,0.09
23/06/10,27000.0,0.09,0.09,0.09,0.09
01/07/10,107000.0,0.09,0.0975,0.0975,0.0875
06/07/10,11000.0,0.11,0.11,0.11,0.11
07/07/10,3000.0,0.1,0.1,0.1,0.1
13/07/10,9000.0,0.09,0.09,0.09,0.09
16/07/10,9000.0,0.09,0.09,0.09,0.09
19/07/10,8750.0,0.0875,0.0875,0.0875,0.0875
23/07/10,123000.0,0.09,0.0875,0.09,0.0875
21/09/10,31890.0,0.077,0.079,0.079,0.077
22/09/10,50400.0,0.08,0.08,0.08,0.08
27/09/10,34640.0,0.08,0.094,0.094,0.08
28/09/10,29640.0,0.1,0.097,0.1,0.097
29/09/10,24160.0,0.086,0.087,0.087,0.086
30/09/10,18270.0,0.087,0.087,0.087,0.087
04/10/10,7040.0,0.088,0.088,0.088,0.088
05/10/10,293350.0,0.089,0.09,0.09,0.089
06/10/10,20380.0,0.09,0.088,0.09,0.088
12/10/10,6920.0,0.091,0.085,0.091,0.085
14/10/10,51850.0,0.085,0.085,0.085,0.085
15/10/10,9120.0,0.082,0.092,0.092,0.082
18/10/10,4500.0,0.09,0.09,0.09,0.09
19/10/10,4500.0,0.09,0.09,0.09,0.09
20/10/10,4250.0,0.085,0.085,0.085,0.085
22/10/10,47700.0,0.09,0.09,0.09,0.09
26/10/10,22740.0,0.084,0.09,0.09,0.084
27/10/10,8100.0,0.081,0.081,0.081,0.081
02/11/10,35900.0,0.089,0.09,0.09,0.089
03/11/10,45000.0,0.09,0.09,0.09,0.09
08/11/10,1620.0,0.081,0.081,0.081,0.081
09/11/10,40500.0,0.081,0.081,0.081,0.081
11/11/10,152000.0,0.08,0.08,0.08,0.08
12/11/10,3040.0,0.076,0.076,0.076,0.076
15/11/10,8300.0,0.083,0.083,0.083,0.083
17/11/10,13160.0,0.08,0.083,0.083,0.08
18/11/10,900.0,0.09,0.09,0.09,0.09
23/11/10,34650.0,0.077,0.077,0.077,0.077
25/11/10,67500.0,0.088,0.09,0.09,0.08
26/11/10,16300.0,0.082,0.081,0.082,0.081
06/12/10,7280.0,0.08,0.081,0.081,0.08
07/12/10,31640.0,0.08,0.076,0.08,0.076
16/12/10,750.0,0.075,0.075,0.075,0.075
22/12/10,46440.0,0.086,0.086,0.086,0.086
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
28/12/10,17000.0,0.085,0.085,0.085,0.085
29/12/10,8500.0,0.085,0.085,0.085,0.085
29/12/10,8500.0,0.085,0.085,0.085,0.085
03/01/11,2840.0,0.09,0.097,0.097,0.09
03/01/11,2840.0,0.09,0.097,0.097,0.09
03/01/11,2840.0,0.09,0.097,0.097,0.09
04/01/11,3700.0,0.098,0.093,0.098,0.086
05/01/11,11820.0,0.087,0.084,0.087,0.084
06/01/11,20240.0,0.088,0.088,0.088,0.088
07/01/11,56030.0,0.091,0.093,0.093,0.091
11/01/11,453120.0,0.075,0.073,0.075,0.073
11/01/11,453120.0,0.075,0.073,0.075,0.073
12/01/11,850.0,0.085,0.085,0.085,0.085
13/01/11,51560.0,0.081,0.083,0.084,0.081
17/01/11,18620.0,0.083,0.086,0.086,0.083
18/01/11,65830.0,0.089,0.093,0.093,0.089
19/01/11,110400.0,0.09,0.094,0.094,0.09
19/01/11,110400.0,0.09,0.094,0.094,0.09
20/01/11,106390.0,0.095,0.097,0.099,0.094
20/01/11,106390.0,0.095,0.097,0.099,0.094
26/01/11,950.0,0.095,0.095,0.095,0.095
27/01/11,28500.0,0.095,0.095,0.095,0.095
02/02/11,960.0,0.096,0.096,0.096,0.096
16/02/11,760.0,0.076,0.076,0.076,0.076
16/02/11,760.0,0.076,0.076,0.076,0.076
17/02/11,38000.0,0.076,0.076,0.076,0.076
18/02/11,2310.0,0.077,0.077,0.077,0.077
23/02/11,770.0,0.077,0.077,0.077,0.077
23/02/11,770.0,0.077,0.077,0.077,0.077
24/02/11,29360.0,0.077,0.078,0.078,0.077
24/02/11,29360.0,0.077,0.078,0.078,0.077
25/02/11,10200.0,0.085,0.085,0.085,0.085
28/02/11,17000.0,0.085,0.085,0.085,0.085
03/03/11,950.0,0.095,0.095,0.095,0.095
08/03/11,900.0,0.09,0.09,0.09,0.09
08/03/11,900.0,0.09,0.09,0.09,0.09
16/03/11,2850.0,0.095,0.095,0.095,0.095
17/03/11,930.0,0.093,0.093,0.093,0.093
22/03/11,6650.0,0.095,0.095,0.095,0.095
23/03/11,4500.0,0.09,0.09,0.09,0.09
25/03/11,55270.0,0.076,0.077,0.077,0.075
11/04/11,60000.0,0.08,0.08,0.08,0.08
26/04/11,8600.0,0.086,0.086,0.086,0.086
27/04/11,6020.0,0.086,0.086,0.086,0.086
30/05/11,7600.0,0.076,0.076,0.076,0.076
31/05/11,350600.0,0.076,0.072,0.076,0.072
06/06/11,7650.0,0.09,0.096,0.099,0.09
21/06/11,38440.0,0.075,0.094,0.094,0.075
24/06/11,88300.0,0.088,0.089,0.089,0.088
06/07/11,40000.0,0.08,0.08,0.08,0.08
13/07/11,62780.0,0.086,0.086,0.086,0.086
14/07/11,65600.0,0.08,0.08,0.08,0.08
18/07/11,56000.0,0.09,0.092,0.092,0.09
19/07/11,98000.0,0.098,0.098,0.098,0.098
20/07/11,202750.0,0.099,0.11,0.11,0.099
21/07/11,649670.0,0.115,0.14,0.14,0.115
22/07/11,224300.0,0.14,0.11,0.14,0.1
25/07/11,10000.0,0.1,0.1,0.1,0.1
29/07/11,3100.0,0.1,0.11,0.11,0.1
01/08/11,273080.0,0.12,0.121,0.154,0.12
02/08/11,3918630.0,0.145,0.181,0.181,0.145
03/08/11,1735650.0,0.18,0.142,0.18,0.138
04/08/11,1805900.0,0.142,0.16,0.165,0.13
05/08/11,698800.0,0.15,0.14,0.15,0.115
08/08/11,564350.0,0.14,0.141,0.141,0.125
09/08/11,397850.0,0.125,0.12,0.125,0.1
10/08/11,288540.0,0.115,0.134,0.137,0.115
11/08/11,18760.0,0.134,0.134,0.134,0.134
12/08/11,6700.0,0.134,0.134,0.134,0.134
15/08/11,221710.0,0.118,0.138,0.14,0.118
16/08/11,411450.0,0.136,0.133,0.136,0.126
18/08/11,64720.0,0.122,0.134,0.134,0.121
19/08/11,271220.0,0.122,0.132,0.132,0.122
22/08/11,594400.0,0.132,0.159,0.165,0.132
23/08/11,692930.0,0.158,0.142,0.158,0.133
24/08/11,162460.0,0.142,0.145,0.149,0.14
25/08/11,1350.0,0.135,0.135,0.135,0.135
26/08/11,93530.0,0.133,0.138,0.138,0.131
31/08/11,85560.0,0.138,0.138,0.138,0.138
01/09/11,25020.0,0.131,0.144,0.144,0.131
02/09/11,5240.0,0.131,0.131,0.131,0.131
05/09/11,15200.0,0.14,0.138,0.14,0.138
06/09/11,248310.0,0.141,0.125,0.141,0.123
07/09/11,89960.0,0.138,0.122,0.138,0.122
08/09/11,41040.0,0.123,0.13,0.13,0.12
09/09/11,276250.0,0.12,0.12,0.125,0.12
12/09/11,46000.0,0.115,0.115,0.115,0.115
13/09/11,1150.0,0.115,0.115,0.115,0.115
14/09/11,11500.0,0.115,0.115,0.115,0.115
15/09/11,212780.0,0.115,0.115,0.115,0.11
16/09/11,1260.0,0.126,0.126,0.126,0.126
22/09/11,270700.0,0.11,0.11,0.11,0.106
23/09/11,296600.0,0.106,0.1,0.106,0.1
26/09/11,133580.0,0.091,0.09,0.091,0.09
28/09/11,13080.0,0.109,0.109,0.109,0.109
29/09/11,1120.0,0.112,0.112,0.112,0.112
06/10/11,60940.0,0.105,0.109,0.109,0.105
11/10/11,6430.0,0.089,0.109,0.109,0.089
12/10/11,16360.0,0.089,0.105,0.105,0.089
13/10/11,5500.0,0.089,0.105,0.105,0.089
14/10/11,1960.0,0.092,0.104,0.104,0.092
17/10/11,60850.0,0.099,0.107,0.107,0.091
18/10/11,1040.0,0.104,0.104,0.104,0.104
19/10/11,10290.0,0.102,0.105,0.105,0.102
20/10/11,20800.0,0.093,0.108,0.108,0.093
21/10/11,20070.0,0.095,0.107,0.107,0.095
28/10/11,21400.0,0.107,0.107,0.107,0.107
02/11/11,21400.0,0.107,0.107,0.107,0.107
09/11/11,7000.0,0.1,0.1,0.1,0.1
15/11/11,10000.0,0.1,0.1,0.1,0.1
18/11/11,99180.0,0.107,0.11,0.11,0.107
