Date,Value,Open,Close,High,Low
03/08/09,46646600.0,23.75,23.0,24.25,22.75
04/08/09,38443750.0,23.5,23.25,24.0,23.0
06/08/09,57160050.0,24.0,24.5,24.5,23.75
07/08/09,37324450.0,24.5,23.5,24.75,23.25
10/08/09,27273350.0,23.75,24.5,24.5,23.75
11/08/09,28769825.0,24.5,24.0,24.5,23.75
12/08/09,20777350.0,24.0,23.5,24.0,23.5
13/08/09,33922300.0,23.5,23.25,23.75,23.0
14/08/09,26873275.0,23.5,23.25,23.75,23.0
17/08/09,23990300.0,23.0,22.75,23.0,22.75
18/08/09,23910750.0,22.0,22.25,22.5,22.0
19/08/09,2889025.0,22.5,22.75,22.75,22.5
20/08/09,6873600.0,23.0,22.75,23.25,22.5
24/08/09,13021925.0,23.0,23.25,23.75,22.75
25/08/09,11580550.0,23.0,23.25,23.5,23.0
26/08/09,5976050.0,23.25,23.75,23.75,23.25
03/09/09,14544500.0,23.5,23.5,23.75,23.25
04/09/09,11888175.0,23.5,23.75,24.0,23.5
16/09/09,77222775.0,23.5,23.75,24.5,23.25
17/09/09,114216425.0,24.25,25.5,26.0,24.0
18/09/09,91247200.0,26.0,25.5,26.5,25.0
22/09/09,12164025.0,25.5,25.0,25.5,24.75
23/09/09,20778200.0,25.0,25.0,25.5,25.0
30/09/09,33073650.0,24.0,23.5,24.0,23.25
01/10/09,12396825.0,23.5,24.0,24.0,23.5
02/10/09,3933500.0,23.5,23.75,23.75,23.25
05/10/09,5451925.0,23.5,23.75,23.75,23.25
06/10/09,9029900.0,24.0,24.0,24.0,23.75
07/10/09,52561400.0,24.0,24.5,24.75,24.0
08/10/09,49970800.0,24.5,24.75,25.0,24.5
09/10/09,30049975.0,25.0,24.75,25.0,24.75
12/10/09,16734775.0,24.75,24.5,25.0,24.5
13/10/09,11544750.0,24.5,24.25,24.5,24.25
14/10/09,6988500.0,24.5,24.5,24.75,24.25
15/10/09,12216425.0,24.75,24.5,24.75,24.25
16/10/09,2583500.0,24.5,24.5,24.5,24.25
19/10/09,6486875.0,24.25,24.25,24.25,24.25
20/10/09,7150000.0,24.25,24.25,24.5,24.0
21/10/09,6468100.0,24.25,24.0,24.25,24.0
22/10/09,17449900.0,24.0,23.5,24.0,23.5
23/10/09,18988650.0,23.5,23.5,23.75,23.25
26/10/09,7246525.0,23.5,24.0,24.0,23.5
27/10/09,5097075.0,23.5,23.5,23.75,23.5
28/10/09,21249400.0,23.5,23.0,23.5,23.0
29/10/09,2821925.0,23.0,23.25,23.25,23.0
30/10/09,10532025.0,23.5,23.5,23.5,23.25
03/11/09,21726675.0,23.5,23.25,23.5,23.0
04/11/09,26596950.0,23.5,23.0,23.5,22.75
05/11/09,16647600.0,22.75,23.0,23.0,22.5
06/11/09,10644125.0,23.5,23.25,23.5,23.0
09/11/09,8810750.0,23.25,23.0,23.25,23.0
10/11/09,25539100.0,23.5,23.75,23.75,23.25
11/11/09,7600100.0,23.5,23.5,23.5,23.25
15/12/09,21185325.0,23.0,23.25,23.25,23.0
16/12/09,26423675.0,23.0,23.0,23.25,22.75
17/12/09,22843850.0,23.0,23.0,23.25,23.0
18/12/09,8530150.0,23.0,23.5,23.75,23.0
21/12/09,9100375.0,23.25,23.5,24.0,23.25
22/12/09,11521375.0,23.75,23.25,23.75,23.0
23/12/09,12762225.0,23.5,23.5,23.5,23.0
29/12/09,15386275.0,24.5,24.25,24.75,24.0
04/01/10,10207850.0,24.5,23.75,24.5,23.75
05/01/10,28866300.0,23.75,24.0,24.25,23.75
06/01/10,9257550.0,24.0,24.0,24.25,23.75
07/01/10,17298850.0,24.0,24.25,24.25,24.0
08/01/10,3739175.0,24.25,24.25,24.25,24.0
11/01/10,17205150.0,24.25,24.25,24.5,24.0
12/01/10,14347025.0,24.25,24.5,24.75,24.25
13/01/10,14140500.0,24.25,24.0,24.5,24.0
14/01/10,3619850.0,24.0,24.0,24.25,24.0
15/01/10,5868025.0,24.0,24.0,24.25,24.0
18/01/10,3127375.0,24.0,24.25,24.25,24.0
19/01/10,4864800.0,24.0,24.0,24.0,24.0
20/01/10,26920325.0,24.25,24.0,24.5,24.0
21/01/10,5409075.0,23.75,24.0,24.0,23.75
22/01/10,7627350.0,23.75,23.75,23.75,23.5
25/01/10,21967950.0,23.5,23.0,23.5,23.0
26/01/10,7587875.0,23.25,23.25,23.5,23.0
27/01/10,7397900.0,23.0,23.0,23.0,22.5
28/01/10,4732200.0,22.75,23.25,23.25,22.75
29/01/10,7308400.0,23.0,23.5,23.5,23.0
01/02/10,5114100.0,22.75,23.0,23.0,22.75
02/02/10,12574275.0,23.0,22.25,23.0,22.25
03/02/10,18464225.0,22.5,22.0,22.5,21.75
04/02/10,6644950.0,22.0,22.0,22.25,22.0
05/02/10,28534875.0,21.5,21.0,21.5,21.0
08/02/10,4321700.0,20.75,21.0,21.25,20.75
09/02/10,6717875.0,21.5,21.0,21.5,21.0
10/02/10,16883250.0,21.5,21.0,21.5,21.0
11/02/10,29678050.0,21.0,21.5,21.5,21.0
08/03/10,2214125.0,22.5,22.75,22.75,22.5
12/03/10,7043800.0,23.0,23.0,23.25,22.75
15/03/10,18437525.0,23.0,22.75,23.25,22.75
16/03/10,8328950.0,23.0,22.75,23.0,22.75
17/03/10,10495750.0,23.0,23.25,23.25,23.0
31/03/10,26435900.0,27.5,27.0,27.5,26.5
20/04/10,92862450.0,30.5,29.5,31.0,29.0
21/04/10,45006750.0,29.5,30.5,30.5,29.5
22/04/10,29563300.0,30.5,30.0,30.5,30.0
23/04/10,25556100.0,30.5,30.5,31.0,30.5
29/04/10,19278900.0,31.0,31.0,31.0,30.5
30/04/10,3999750.0,31.0,31.0,31.0,30.5
04/05/10,11419700.0,31.0,30.5,31.0,30.0
05/05/10,42474650.0,29.5,29.0,29.5,28.5
13/05/10,38001800.0,30.0,30.5,31.0,29.5
14/05/10,66758800.0,30.5,32.0,32.0,30.0
17/05/10,45670000.0,31.5,30.5,32.0,30.0
18/05/10,8318800.0,31.0,30.5,31.5,30.0
19/05/10,10150000.0,30.0,30.5,30.5,29.5
20/05/10,7571600.0,30.0,30.5,30.5,30.0
21/05/10,26849300.0,29.0,29.5,29.5,28.5
24/05/10,9322350.0,30.0,29.5,30.0,29.0
25/05/10,23675700.0,29.5,28.0,29.5,28.0
26/05/10,35969550.0,28.5,27.5,28.5,27.5
27/05/10,29904150.0,27.0,27.5,28.5,27.0
28/05/10,26080750.0,28.5,29.0,29.0,28.5
31/05/10,4391650.0,28.5,28.5,29.0,28.5
01/06/10,16492500.0,29.0,29.5,29.5,28.5
02/06/10,25377850.0,29.0,30.5,30.5,29.0
03/06/10,11299300.0,30.5,30.0,31.0,29.5
04/06/10,17937150.0,30.0,29.0,30.0,29.0
07/06/10,8946250.0,28.5,29.0,29.0,28.5
08/06/10,18422350.0,29.0,30.0,30.0,29.0
09/06/10,17965150.0,30.0,29.5,30.0,29.0
10/06/10,11013300.0,29.0,29.0,29.0,28.5
11/06/10,9710600.0,29.5,29.0,29.5,29.0
15/06/10,3340200.0,29.0,29.0,29.0,28.5
16/06/10,29039900.0,29.5,29.0,29.5,28.5
21/06/10,34991150.0,30.0,29.5,30.0,29.0
22/06/10,47123300.0,29.5,30.5,31.0,29.5
23/06/10,32414500.0,30.0,30.0,31.0,29.5
24/06/10,23345250.0,30.0,29.5,30.0,29.0
25/06/10,60044800.0,29.0,29.5,30.0,29.0
28/06/10,28968300.0,30.5,30.5,30.5,30.0
29/06/10,22968900.0,30.5,30.5,30.5,30.0
01/07/10,62443350.0,30.0,29.5,30.0,29.5
02/07/10,18160100.0,29.5,29.5,30.0,29.0
06/07/10,11501400.0,29.0,29.0,29.0,29.0
07/07/10,9834000.0,29.5,29.0,29.5,28.5
08/07/10,68106600.0,30.0,30.0,30.5,30.0
09/07/10,79525600.0,30.5,30.5,30.5,30.0
13/07/10,314634100.0,32.0,34.5,34.5,32.0
14/07/10,120550750.0,34.5,34.5,35.0,34.0
15/07/10,106662800.0,34.5,33.5,34.5,33.0
16/07/10,59767100.0,33.0,34.5,34.5,33.0
19/07/10,267553350.0,33.5,36.0,36.0,33.5
20/07/10,239344150.0,36.5,37.0,38.0,36.5
21/07/10,220647250.0,38.0,38.5,38.5,38.0
22/07/10,129803250.0,38.0,38.5,39.0,38.0
23/07/10,534810200.0,39.0,43.5,44.5,39.0
20/09/10,266944637.5,54.35,55.3,55.35,54.35
21/09/10,305909932.5,56.05,56.5,57.3,56.0
22/09/10,650582614.5,57.0,60.0,60.2,57.0
23/09/10,368630598.0,61.0,66.9,67.05,61.0
24/09/10,613816780.5,67.0,71.0,73.5,67.0
27/09/10,291958457.5,72.0,67.4,72.9,67.0
28/09/10,282740048.0,67.0,65.5,67.0,63.0
29/09/10,215977307.0,65.15,66.3,68.75,65.05
30/09/10,123944684.0,66.0,65.0,66.0,64.3
01/10/10,147997938.5,64.8,66.0,67.1,64.7
04/10/10,95668462.0,65.8,66.8,67.0,65.8
05/10/10,57484603.0,66.8,65.5,66.8,65.0
06/10/10,62442164.5,66.05,65.5,66.15,65.35
07/10/10,196527446.5,65.5,65.35,65.65,65.25
