Date,Value,Open,Close,High,Low
14/08/09,27600.0,2.3,2.3,2.3,2.3
19/08/09,4900.0,2.3,2.6,2.6,2.3
18/09/09,24300.0,2.3,2.2,2.3,2.2
19/10/09,2400.0,2.4,2.4,2.4,2.4
30/10/09,159000.0,2.6,2.7,2.7,2.6
18/12/09,204000.0,2.04,2.04,2.04,2.04
23/12/09,210000.0,2.1,2.1,2.1,2.1
29/12/09,1118020.0,2.1,2.7,2.7,2.1
04/01/10,2700.0,2.7,2.7,2.7,2.7
07/01/10,294400.0,2.12,2.1,2.12,2.1
08/01/10,74080.0,2.08,2.4,2.4,2.08
08/03/10,2060.0,2.06,2.06,2.06,2.06
21/04/10,168000.0,2.1,2.1,2.1,2.1
22/04/10,105000.0,2.1,2.1,2.1,2.1
29/04/10,2120.0,2.12,2.12,2.12,2.12
05/05/10,105020.0,2.12,2.1,2.12,2.1
24/05/10,55120.0,2.12,2.12,2.12,2.12
21/06/10,105000.0,2.1,2.1,2.1,2.1
25/06/10,105000.0,2.1,2.1,2.1,2.1
29/06/10,105000.0,2.1,2.1,2.1,2.1
23/07/10,136500.0,2.1,2.1,2.1,2.1
30/09/10,12000.0,2.0,2.0,2.0,2.0
04/10/10,28280.0,2.02,2.02,2.02,2.02
06/10/10,62100.0,2.3,2.3,2.3,2.3
07/10/10,226930.0,2.3,2.5,2.58,2.3
08/10/10,159900.0,2.5,2.5,2.5,2.49
12/10/10,150000.0,3.0,3.0,3.0,3.0
13/10/10,603000.0,3.2,3.5,3.5,3.0
14/10/10,437150.0,3.5,4.0,4.05,3.5
15/10/10,7282800.0,4.0,4.0,4.0,3.7
18/10/10,624000.0,4.0,4.0,4.0,4.0
19/10/10,128700.0,4.0,3.9,4.0,3.85
22/10/10,1543400.0,3.5,4.4,4.4,3.5
26/10/10,278350.0,4.5,4.75,4.75,4.5
27/10/10,48500.0,4.85,4.85,4.85,4.85
28/10/10,9700.0,4.85,4.85,4.85,4.85
29/10/10,23900.0,4.75,4.8,4.8,4.75
12/11/10,4600.0,4.6,4.6,4.6,4.6
17/11/10,18360.0,4.59,4.59,4.59,4.59
18/11/10,27000.0,4.5,4.5,4.5,4.5
22/11/10,4000.0,4.0,4.0,4.0,4.0
23/11/10,53750.0,4.5,4.45,4.5,4.45
24/11/10,44000.0,4.0,4.0,4.0,4.0
01/12/10,8000.0,4.0,4.0,4.0,4.0
06/12/10,44000.0,4.0,4.0,4.0,4.0
16/12/10,40000.0,4.0,4.0,4.0,4.0
11/01/11,154500.0,4.35,4.45,4.45,4.35
11/01/11,154500.0,4.35,4.45,4.45,4.35
12/01/11,89000.0,4.45,4.45,4.45,4.45
