Date,Value,Open,Close,High,Low
03/08/09,5475300.0,0.33,0.33,0.36,0.32
04/08/09,3729700.0,0.35,0.36,0.36,0.35
06/08/09,3179000.0,0.35,0.37,0.37,0.35
07/08/09,23872900.0,0.37,0.37,0.4,0.37
10/08/09,13275200.0,0.39,0.43,0.44,0.39
11/08/09,4319600.0,0.44,0.4,0.44,0.4
12/08/09,650200.0,0.41,0.4,0.41,0.4
13/08/09,1612200.0,0.41,0.4,0.41,0.4
14/08/09,2444100.0,0.39,0.38,0.39,0.38
17/08/09,37000.0,0.37,0.37,0.37,0.37
18/08/09,782400.0,0.35,0.37,0.37,0.34
19/08/09,7410500.0,0.38,0.43,0.43,0.38
20/08/09,10438200.0,0.43,0.42,0.43,0.41
24/08/09,1309900.0,0.43,0.42,0.44,0.42
25/08/09,711400.0,0.4,0.42,0.42,0.4
26/08/09,806800.0,0.42,0.43,0.43,0.41
03/09/09,194000.0,0.41,0.4,0.41,0.4
04/09/09,16000.0,0.4,0.4,0.4,0.4
16/09/09,4000.0,0.4,0.4,0.4,0.4
18/09/09,99000.0,0.39,0.4,0.4,0.39
22/09/09,20000.0,0.4,0.4,0.4,0.4
23/09/09,200000.0,0.4,0.4,0.4,0.4
30/09/09,64000.0,0.4,0.4,0.4,0.4
02/10/09,39000.0,0.39,0.39,0.39,0.39
05/10/09,975000.0,0.39,0.39,0.39,0.39
06/10/09,600000.0,0.4,0.4,0.4,0.4
07/10/09,8000.0,0.4,0.4,0.4,0.4
08/10/09,2230100.0,0.4,0.43,0.46,0.4
09/10/09,25800.0,0.43,0.43,0.43,0.43
12/10/09,29900.0,0.42,0.43,0.43,0.42
13/10/09,41000.0,0.41,0.41,0.41,0.41
14/10/09,160000.0,0.4,0.4,0.4,0.4
16/10/09,77800.0,0.4,0.41,0.41,0.4
19/10/09,110700.0,0.43,0.42,0.44,0.42
20/10/09,114100.0,0.43,0.42,0.43,0.42
21/10/09,13753300.0,0.43,0.44,0.47,0.42
22/10/09,26487500.0,0.46,0.52,0.52,0.44
23/10/09,12234700.0,0.52,0.5,0.53,0.48
