Date,Value,Open,Close,High,Low
04/08/09,1243300.0,41.0,41.5,41.5,41.0
06/08/09,4150.0,41.5,41.5,41.5,41.5
07/08/09,20750.0,41.5,41.5,41.5,41.5
10/08/09,105000.0,42.0,42.0,42.0,42.0
11/08/09,510450.0,41.5,41.5,41.5,41.5
12/08/09,373500.0,41.5,41.5,41.5,41.5
13/08/09,415000.0,41.5,41.5,41.5,41.5
14/08/09,207500.0,41.5,41.5,41.5,41.5
18/08/09,323700.0,41.5,41.5,41.5,41.5
19/08/09,527650.0,41.5,42.0,42.0,41.5
25/08/09,16800.0,42.0,42.0,42.0,42.0
04/09/09,63750.0,42.5,42.5,42.5,42.5
17/09/09,38250.0,42.5,42.5,42.5,42.5
18/09/09,43000.0,43.0,43.0,43.0,43.0
01/10/09,268750.0,42.5,43.5,43.5,42.5
02/10/09,43500.0,43.5,43.5,43.5,43.5
06/10/09,43500.0,43.5,43.5,43.5,43.5
07/10/09,43500.0,43.5,43.5,43.5,43.5
08/10/09,258500.0,43.0,43.5,43.5,43.0
12/10/09,21100.0,42.0,42.5,42.5,42.0
13/10/09,335750.0,42.5,42.5,42.5,42.5
14/10/09,30000.0,43.0,42.5,43.0,42.5
16/10/09,289800.0,42.0,42.0,42.0,42.0
19/10/09,43500.0,43.5,43.5,43.5,43.5
20/10/09,12800.0,43.0,42.5,43.0,42.5
21/10/09,43000.0,43.0,43.0,43.0,43.0
22/10/09,1853000.0,43.5,45.0,45.0,43.5
23/10/09,744050.0,45.5,46.5,46.5,45.0
26/10/09,345150.0,46.5,47.0,47.0,46.5
27/10/09,65300.0,47.0,46.5,47.0,46.5
28/10/09,47000.0,47.0,47.0,47.0,47.0
29/10/09,97600.0,47.0,46.0,47.0,46.0
30/10/09,668750.0,45.5,50.0,50.0,45.5
03/11/09,555000.0,50.0,50.5,51.0,50.0
04/11/09,25000.0,50.0,50.0,50.0,50.0
05/11/09,103600.0,49.0,50.0,50.0,49.0
06/11/09,50000.0,50.0,50.0,50.0,50.0
09/11/09,49500.0,49.5,49.5,49.5,49.5
10/11/09,25000.0,50.0,50.0,50.0,50.0
11/11/09,19600.0,48.0,50.0,50.0,48.0
15/12/09,42157500.0,54.0,54.0,54.0,53.5
16/12/09,21146400.0,53.5,55.0,55.0,53.0
17/12/09,48310300.0,53.5,56.0,56.0,53.5
18/12/09,742950.0,54.5,58.0,58.0,54.5
21/12/09,5700.0,57.0,57.0,57.0,57.0
23/12/09,62600.0,57.0,56.0,57.0,56.0
29/12/09,299000.0,57.5,57.5,57.5,57.5
05/01/10,11500.0,57.5,57.5,57.5,57.5
06/01/10,22200.0,54.0,56.5,57.5,54.0
07/01/10,5550.0,55.5,55.5,55.5,55.5
08/01/10,11400.0,57.0,57.0,57.0,57.0
11/01/10,5700.0,57.0,57.0,57.0,57.0
12/01/10,5750.0,57.5,57.5,57.5,57.5
13/01/10,22550.0,57.0,57.0,57.5,54.0
14/01/10,11400.0,57.0,57.0,57.0,57.0
15/01/10,11400.0,57.0,57.0,57.0,57.0
18/01/10,22600.0,57.0,56.0,57.0,56.0
19/01/10,11200.0,56.0,56.0,56.0,56.0
20/01/10,11200.0,56.0,56.0,56.0,56.0
21/01/10,39300.0,54.0,57.0,57.0,54.0
25/01/10,5600.0,56.0,56.0,56.0,56.0
28/01/10,11600.0,58.0,58.0,58.0,58.0
29/01/10,11500.0,57.5,57.5,57.5,57.5
01/02/10,11400.0,57.0,57.0,57.0,57.0
02/02/10,11200.0,56.0,56.0,56.0,56.0
03/02/10,11200.0,56.0,56.0,56.0,56.0
04/02/10,65000.0,54.0,56.0,56.0,54.0
05/02/10,16800.0,56.0,56.0,56.0,56.0
08/02/10,16600.0,55.0,56.0,56.0,55.0
09/02/10,11000.0,55.0,55.0,55.0,55.0
10/02/10,11200.0,56.0,56.0,56.0,56.0
11/02/10,11200.0,56.0,56.0,56.0,56.0
08/03/10,11100.0,55.5,55.5,55.5,55.5
12/03/10,17494300.0,56.0,55.5,56.0,55.5
15/03/10,110000.0,55.0,55.0,55.0,55.0
16/03/10,11000.0,55.0,55.0,55.0,55.0
17/03/10,121000.0,55.0,55.0,55.0,55.0
31/03/10,10700.0,53.5,53.5,53.5,53.5
20/04/10,113900.0,52.0,52.0,52.0,51.5
21/04/10,10500.0,52.5,52.5,52.5,52.5
22/04/10,5250.0,52.5,52.5,52.5,52.5
23/04/10,21000.0,53.0,52.0,53.0,52.0
29/04/10,123450.0,51.0,52.0,52.0,51.0
30/04/10,296400.0,52.0,52.0,52.0,52.0
04/05/10,296800.0,53.0,53.0,53.0,53.0
05/05/10,185500.0,53.0,53.0,53.0,53.0
13/05/10,46950.0,52.5,51.5,52.5,51.5
14/05/10,10300.0,51.5,51.5,51.5,51.5
17/05/10,56650.0,51.5,51.5,51.5,51.5
18/05/10,257500.0,51.5,51.5,51.5,51.5
19/05/10,56100.0,51.0,51.0,51.0,51.0
20/05/10,10200.0,51.0,51.0,51.0,51.0
21/05/10,15150.0,50.5,50.5,50.5,50.5
24/05/10,5100.0,51.0,51.0,51.0,51.0
25/05/10,35350.0,50.5,50.5,50.5,50.5
26/05/10,50500.0,50.5,50.5,50.5,50.5
27/05/10,50000.0,50.0,50.0,50.0,50.0
28/05/10,54450.0,49.5,49.5,49.5,49.5
31/05/10,74900.0,49.0,51.5,51.5,49.0
02/06/10,195700.0,51.5,51.5,51.5,51.5
03/06/10,314150.0,51.5,51.5,51.5,51.5
07/06/10,5150.0,51.5,51.5,51.5,51.5
08/06/10,98200.0,51.5,52.0,52.0,51.5
09/06/10,223600.0,52.0,52.0,52.0,52.0
10/06/10,5200.0,52.0,52.0,52.0,52.0
11/06/10,11000.0,55.0,55.0,55.0,55.0
15/06/10,11000.0,55.0,55.0,55.0,55.0
16/06/10,10800.0,54.0,54.0,54.0,54.0
21/06/10,5400.0,54.0,54.0,54.0,54.0
22/06/10,10900.0,54.5,54.5,54.5,54.5
23/06/10,10900.0,54.5,54.5,54.5,54.5
24/06/10,16250.0,54.0,54.5,54.5,54.0
25/06/10,54000.0,54.0,54.0,54.0,54.0
28/06/10,243000.0,54.0,54.0,54.0,54.0
29/06/10,5400.0,54.0,54.0,54.0,54.0
01/07/10,11000.0,55.0,55.0,55.0,55.0
02/07/10,11000.0,55.0,55.0,55.0,55.0
06/07/10,15750.0,52.0,53.5,53.5,52.0
07/07/10,10650.0,53.5,53.0,53.5,53.0
08/07/10,10600.0,53.0,53.0,53.0,53.0
09/07/10,10600.0,53.0,53.0,53.0,53.0
13/07/10,10600.0,53.0,53.0,53.0,53.0
14/07/10,51400.0,51.0,53.0,53.0,51.0
