Date,Value,Open,Close,High,Low
22/09/09,61000.0,61.0,61.0,61.0,61.0
15/10/09,28500.0,57.0,57.0,57.0,57.0
16/10/09,27000.0,54.0,54.0,54.0,54.0
19/10/09,26000.0,52.0,52.0,52.0,52.0
17/12/09,35000.0,70.0,70.0,70.0,70.0
23/12/09,146000.0,71.0,75.0,75.0,71.0
29/12/09,78000.0,78.0,78.0,78.0,78.0
31/03/10,65000.0,65.0,65.0,65.0,65.0
04/05/10,62000.0,62.0,62.0,62.0,62.0
28/05/10,62000.0,62.0,62.0,62.0,62.0
08/06/10,29000.0,58.0,58.0,58.0,58.0
11/06/10,87000.0,58.0,58.0,58.0,58.0
08/10/10,130000.0,65.0,65.0,65.0,65.0
28/10/10,58100.0,70.0,70.0,70.0,70.0
02/12/10,140000.0,70.0,70.0,70.0,70.0
25/02/11,37500.0,75.0,75.0,75.0,75.0
03/03/11,37500.0,75.0,75.0,75.0,75.0
11/03/11,75000.0,75.0,75.0,75.0,75.0
11/03/11,75000.0,75.0,75.0,75.0,75.0
01/04/11,37500.0,75.0,75.0,75.0,75.0
29/04/11,80000.0,80.0,80.0,80.0,80.0
20/05/11,80000.0,80.0,80.0,80.0,80.0
17/06/11,78000.0,78.0,78.0,78.0,78.0
29/07/11,15600000.0,52.0,52.0,52.0,52.0
11/08/11,22400000.0,56.0,56.0,56.0,56.0
19/08/11,34200000.0,57.0,57.0,57.0,57.0
26/08/11,30000000.0,60.0,60.0,60.0,60.0
12/09/11,60000000.0,60.0,60.0,60.0,60.0
16/09/11,60000000.0,60.0,60.0,60.0,60.0
23/09/11,18300000.0,61.0,61.0,61.0,61.0
29/09/11,5500000.0,55.0,55.0,55.0,55.0
23/12/11,58000.0,58.0,58.0,58.0,58.0
26/12/11,29000.0,58.0,58.0,58.0,58.0
29/12/11,29000.0,58.0,58.0,58.0,58.0
19/04/12,116000.0,58.0,58.0,58.0,58.0
14/06/12,61000.0,61.0,61.0,61.0,61.0
25/06/12,18300000.0,61.0,61.0,61.0,61.0
08/08/12,58000.0,58.0,58.0,58.0,58.0
17/12/12,124000.0,62.0,62.0,62.0,62.0
19/12/12,315000.0,63.0,63.0,63.0,63.0
21/12/12,320000.0,64.0,64.0,64.0,64.0
28/12/12,130000.0,65.0,65.0,65.0,65.0
09/01/13,136000.0,68.0,68.0,68.0,68.0
20/02/13,68000.0,68.0,68.0,68.0,68.0
26/02/13,18000000.0,72.0,72.0,72.0,72.0
02/12/13,11550000.0,77.0,77.0,77.0,77.0
10/12/13,12750000.0,75.0,75.0,75.0,75.0
20/12/13,164000.0,82.0,82.0,82.0,82.0
27/12/13,82000.0,82.0,82.0,82.0,82.0
22/05/14,123820.0,82.0,82.0,82.0,82.0
25/07/14,83823100.5,82.05,82.05,82.05,82.05
12/11/14,29550.0,90.0,95.0,95.0,90.0
18/12/14,95000.0,95.0,95.0,95.0,95.0
19/12/14,95000.0,95.0,95.0,95.0,95.0
14/01/15,8600.0,86.0,86.0,86.0,86.0
29/01/15,4125000.0,82.5,82.5,82.5,82.5
22/09/15,5000.0,100.0,100.0,100.0,100.0
23/09/15,15000.0,150.0,150.0,150.0,150.0
24/09/15,1500.0,150.0,150.0,150.0,150.0
28/09/15,1750.0,175.0,175.0,175.0,175.0
06/10/15,2420.0,120.0,122.0,122.0,120.0
07/10/15,2440.0,122.0,122.0,122.0,122.0
12/10/15,2480.0,124.0,124.0,124.0,124.0
13/10/15,1240.0,124.0,124.0,124.0,124.0
14/10/15,1220.0,122.0,122.0,122.0,122.0
17/12/15,8136180.0,122.0,122.0,122.0,122.0
21/12/15,244000.0,122.0,122.0,122.0,122.0
29/12/15,61000.0,122.0,122.0,122.0,122.0
11/01/16,2000.0,100.0,100.0,100.0,100.0
15/01/16,2400.0,120.0,120.0,120.0,120.0
07/04/16,18460.0,140.0,180.0,180.0,140.0
08/04/16,7900.0,250.0,270.0,270.0,250.0
11/04/16,43840.0,274.0,274.0,274.0,274.0
13/04/16,5480.0,274.0,274.0,274.0,274.0
