Date,Value,Open,Close,High,Low
03/08/09,83000.0,8.3,8.3,8.3,8.3
04/08/09,132800.0,8.3,8.3,8.3,8.3
06/08/09,126000.0,8.4,8.4,8.4,8.4
07/08/09,141100.0,8.3,8.3,8.3,8.3
11/08/09,168000.0,8.4,8.4,8.4,8.4
13/08/09,420000.0,8.4,8.4,8.4,8.4
14/08/09,169000.0,8.5,8.4,8.5,8.4
18/08/09,167000.0,8.3,8.4,8.4,8.3
19/08/09,67700.0,8.4,8.5,8.5,8.4
20/08/09,94000.0,8.5,8.6,8.6,8.5
25/08/09,225100.0,8.6,8.7,8.7,8.6
26/08/09,217500.0,8.7,8.7,8.7,8.7
03/09/09,301300.0,8.8,8.9,8.9,8.8
04/09/09,233300.0,9.2,10.0,10.5,9.2
17/09/09,72600.0,9.1,9.1,9.1,9.0
18/09/09,273000.0,9.1,9.1,9.1,9.1
22/09/09,186000.0,9.3,9.3,9.3,9.3
23/09/09,165600.0,9.2,9.2,9.2,9.2
06/10/09,80600.0,9.0,8.9,9.0,8.9
07/10/09,367500.0,9.1,9.2,9.2,9.1
08/10/09,73400.0,9.0,9.2,9.2,9.0
12/10/09,36800.0,9.2,9.2,9.2,9.2
13/10/09,329000.0,9.4,9.4,9.4,9.4
14/10/09,28100.0,9.3,9.4,9.4,9.3
19/10/09,294300.0,9.4,9.5,9.5,9.4
20/10/09,290000.0,9.6,9.7,9.7,9.6
21/10/09,48500.0,9.7,9.7,9.7,9.7
28/10/09,285000.0,9.5,9.5,9.5,9.5
04/11/09,36800.0,9.2,9.2,9.2,9.2
05/11/09,239200.0,9.2,9.2,9.2,9.2
06/11/09,181200.0,9.2,9.0,9.2,9.0
09/11/09,9100.0,9.1,9.1,9.1,9.1
15/12/09,182000.0,9.1,9.1,9.1,9.1
16/12/09,135000.0,9.0,9.0,9.0,9.0
22/12/09,1256400.0,9.1,9.1,9.2,9.0
23/12/09,1250000.0,9.2,9.5,9.5,9.2
29/12/09,1707800.0,9.8,9.9,10.0,9.8
04/01/10,60000.0,10.0,10.0,10.0,10.0
06/01/10,50000.0,10.0,10.0,10.0,10.0
07/01/10,49200.0,9.8,10.0,10.0,9.8
14/01/10,245000.0,9.8,9.8,9.8,9.8
15/01/10,59300.0,9.8,9.9,9.9,9.8
26/01/10,109400.0,9.9,9.9,10.0,9.9
27/01/10,87300.0,9.7,9.7,9.7,9.7
28/01/10,108100.0,9.9,9.5,9.9,9.5
01/02/10,115200.0,9.6,9.6,9.6,9.6
02/02/10,9900.0,9.9,9.9,9.9,9.9
03/02/10,18000.0,9.0,9.0,9.0,9.0
04/02/10,9500.0,9.5,9.5,9.5,9.5
05/02/10,95000.0,9.5,9.5,9.5,9.5
08/02/10,18900.0,9.4,9.5,9.5,9.4
09/02/10,95000.0,9.5,9.5,9.5,9.5
10/02/10,192000.0,9.6,9.6,9.6,9.6
11/02/10,95000.0,9.5,9.5,9.5,9.5
15/03/10,8000.0,10.0,10.0,10.0,10.0
31/03/10,534250.0,10.25,10.5,10.5,10.25
20/04/10,400000.0,10.0,10.0,10.0,10.0
21/04/10,100000.0,10.0,10.0,10.0,10.0
22/04/10,100000.0,10.0,10.0,10.0,10.0
23/04/10,9700.0,9.7,9.7,9.7,9.7
05/05/10,120000.0,10.0,10.0,10.0,10.0
14/05/10,1160000.0,10.0,10.0,10.0,10.0
17/05/10,670000.0,10.0,10.0,10.0,10.0
18/05/10,490000.0,10.0,10.0,10.0,10.0
19/05/10,29700.0,9.9,9.9,9.9,9.9
25/05/10,294000.0,9.8,9.8,9.8,9.8
04/06/10,147000.0,9.8,9.8,9.8,9.8
09/06/10,29100.0,9.7,9.7,9.7,9.7
15/06/10,291000.0,9.7,9.7,9.7,9.7
16/06/10,271600.0,9.7,9.7,9.7,9.7
21/06/10,50000.0,10.0,10.0,10.0,10.0
22/06/10,50000.0,10.0,10.0,10.0,10.0
24/06/10,9700.0,9.7,9.7,9.7,9.7
25/06/10,403200.0,9.6,9.6,9.6,9.6
28/06/10,288000.0,9.6,9.6,9.6,9.6
29/06/10,20000.0,10.0,10.0,10.0,10.0
02/07/10,190000.0,9.5,9.5,9.5,9.5
07/07/10,342000.0,9.5,9.5,9.5,9.5
08/07/10,294500.0,9.5,9.5,9.5,9.5
13/07/10,95000.0,9.5,9.5,9.5,9.5
14/07/10,85500.0,9.5,9.5,9.5,9.5
15/07/10,95000.0,9.5,9.5,9.5,9.5
16/07/10,207200.0,9.4,9.5,9.5,9.4
20/07/10,188000.0,9.4,9.4,9.4,9.4
21/07/10,47000.0,9.4,9.4,9.4,9.4
23/07/10,84600.0,9.4,9.4,9.4,9.4
20/09/10,29250.0,9.75,9.75,9.75,9.75
21/09/10,565500.0,9.75,9.75,9.75,9.75
22/09/10,97000.0,9.7,9.7,9.7,9.7
23/09/10,387500.0,9.75,10.0,10.0,9.75
24/09/10,425000.0,10.0,10.0,10.0,10.0
27/09/10,2000.0,10.0,10.0,10.0,10.0
28/09/10,97080.0,10.0,10.02,10.02,10.0
29/09/10,337118.0,11.0,12.0,13.0,10.06
30/09/10,258750.0,12.5,13.0,15.0,12.5
01/10/10,236250.0,13.5,13.5,13.5,13.5
04/10/10,12350.0,13.9,13.5,13.9,13.5
05/10/10,16348.0,10.04,13.0,13.4,10.04
06/10/10,19428.0,13.0,12.28,13.0,12.28
07/10/10,194934.0,12.3,12.24,12.3,12.24
08/10/10,1224.0,12.24,12.24,12.24,12.24
12/10/10,44000.0,11.0,11.0,11.0,11.0
13/10/10,62000.0,12.0,11.0,12.0,11.0
14/10/10,17100.0,11.1,12.0,12.0,11.1
15/10/10,33000.0,11.0,11.0,11.0,11.0
18/10/10,33900.0,11.5,11.2,11.5,11.2
