Date,Value,Open,Close,High,Low
03/08/09,767700.0,5.8,5.8,5.9,5.8
04/08/09,625300.0,5.9,5.9,5.9,5.7
06/08/09,359600.0,5.8,5.8,5.8,5.7
07/08/09,296200.0,5.7,5.7,5.7,5.6
10/08/09,205800.0,5.7,5.7,5.8,5.7
11/08/09,79800.0,5.7,5.7,5.7,5.7
12/08/09,184900.0,5.6,5.7,5.7,5.6
13/08/09,393200.0,5.6,5.4,5.7,5.2
14/08/09,181600.0,5.6,5.6,5.6,5.4
17/08/09,599100.0,5.6,5.6,5.6,5.5
18/08/09,742000.0,5.2,5.5,5.5,5.2
19/08/09,613600.0,5.5,5.6,5.6,5.5
20/08/09,705600.0,5.6,5.6,5.6,5.6
24/08/09,444100.0,5.6,5.5,5.6,5.5
25/08/09,412500.0,5.5,5.5,5.5,5.5
26/08/09,1581400.0,5.4,5.3,5.4,5.3
03/09/09,348000.0,5.1,5.1,5.2,5.1
04/09/09,453900.0,5.1,5.1,5.1,5.1
16/09/09,388200.0,5.2,5.2,5.2,5.1
17/09/09,1866800.0,5.2,5.2,5.2,5.2
18/09/09,2839200.0,5.2,5.2,5.2,5.2
22/09/09,426700.0,5.2,5.3,5.3,5.2
23/09/09,3542100.0,5.3,5.4,5.4,5.3
30/09/09,1782000.0,5.4,5.4,5.4,5.4
01/10/09,1685900.0,5.2,5.4,5.4,5.2
02/10/09,1361400.0,5.2,5.4,5.4,5.2
05/10/09,2754000.0,5.4,5.4,5.4,5.4
06/10/09,1836000.0,5.4,5.4,5.4,5.4
07/10/09,2283600.0,5.2,5.3,5.4,5.2
08/10/09,2853000.0,5.3,5.2,5.3,5.2
09/10/09,2056200.0,5.3,5.3,5.3,5.2
12/10/09,1738400.0,5.3,5.3,5.3,5.3
13/10/09,1726900.0,5.3,5.4,5.4,5.3
14/10/09,1764900.0,5.3,5.3,5.3,5.3
15/10/09,1700400.0,5.2,5.2,5.2,5.2
16/10/09,1632800.0,5.2,5.2,5.2,5.2
19/10/09,4060200.0,5.1,5.2,5.2,5.0
20/10/09,2396100.0,5.2,5.2,5.2,5.1
21/10/09,2446400.0,5.1,5.1,5.2,5.1
22/10/09,2769000.0,5.1,5.2,5.2,5.0
23/10/09,2669000.0,5.2,5.3,5.4,5.2
26/10/09,2634000.0,5.2,5.4,5.5,5.2
27/10/09,2885900.0,5.5,5.5,5.6,5.4
28/10/09,2989600.0,5.4,5.5,5.5,5.4
29/10/09,2534000.0,5.4,5.4,5.4,5.3
30/10/09,2049000.0,5.4,5.5,5.5,5.4
03/11/09,3624400.0,5.5,5.5,5.5,5.3
04/11/09,3656700.0,5.6,5.7,5.7,5.5
05/11/09,2101000.0,5.5,5.5,5.5,5.5
06/11/09,3332200.0,5.5,5.3,5.5,5.2
09/11/09,1385900.0,5.3,5.5,5.6,5.3
10/11/09,7743700.0,5.5,5.7,5.9,5.4
