Date,Value,Open,Close,High,Low
03/08/09,5703300.0,0.73,0.7,0.73,0.67
04/08/09,3698000.0,0.7,0.67,0.7,0.66
06/08/09,8699800.0,0.69,0.65,0.69,0.64
07/08/09,7528800.0,0.65,0.62,0.65,0.62
10/08/09,17805500.0,0.62,0.61,0.62,0.58
11/08/09,4238000.0,0.6,0.6,0.63,0.6
12/08/09,637900.0,0.6,0.61,0.61,0.6
13/08/09,2143100.0,0.61,0.62,0.62,0.61
14/08/09,3690400.0,0.62,0.63,0.64,0.62
17/08/09,286400.0,0.63,0.62,0.63,0.6
18/08/09,1816300.0,0.61,0.62,0.62,0.6
19/08/09,2101100.0,0.62,0.61,0.62,0.6
20/08/09,774700.0,0.61,0.61,0.61,0.61
24/08/09,2230400.0,0.63,0.61,0.63,0.6
25/08/09,3245100.0,0.61,0.61,0.62,0.6
26/08/09,8445700.0,0.62,0.62,0.65,0.61
03/09/09,4535100.0,0.62,0.62,0.62,0.61
04/09/09,1534500.0,0.62,0.62,0.63,0.62
16/09/09,6142100.0,0.6,0.57,0.6,0.56
17/09/09,5335800.0,0.58,0.54,0.58,0.54
18/09/09,5001200.0,0.55,0.53,0.55,0.53
22/09/09,1970600.0,0.52,0.53,0.53,0.52
23/09/09,2071700.0,0.52,0.54,0.56,0.52
30/09/09,464700.0,0.55,0.54,0.55,0.54
01/10/09,528700.0,0.53,0.53,0.55,0.53
02/10/09,701900.0,0.54,0.53,0.54,0.53
05/10/09,901800.0,0.54,0.54,0.54,0.54
06/10/09,2935100.0,0.55,0.57,0.57,0.55
07/10/09,3325000.0,0.58,0.57,0.59,0.56
08/10/09,1409700.0,0.56,0.55,0.56,0.55
09/10/09,936100.0,0.55,0.55,0.56,0.55
12/10/09,2251200.0,0.55,0.57,0.57,0.54
13/10/09,759900.0,0.55,0.55,0.56,0.54
14/10/09,459600.0,0.54,0.54,0.56,0.54
15/10/09,54000.0,0.54,0.54,0.54,0.54
16/10/09,1154400.0,0.55,0.55,0.56,0.54
19/10/09,253100.0,0.55,0.55,0.56,0.55
20/10/09,512400.0,0.55,0.54,0.55,0.54
