Date,Value,Open,Close,High,Low
15/12/22,67146400.0,1.47,1.6,1.6,1.37
16/12/22,13446750.0,1.5,1.7,1.7,1.5
19/12/22,10692110.0,1.7,1.67,1.7,1.64
20/12/22,2761210.0,1.65,1.63,1.69,1.58
21/12/22,3125550.0,1.58,1.59,1.63,1.54
22/12/22,1580860.0,1.58,1.58,1.59,1.52
23/12/22,1086780.0,1.58,1.55,1.58,1.53
27/12/22,1316310.0,1.55,1.53,1.59,1.53
28/12/22,719870.0,1.53,1.6,1.6,1.53
29/12/22,1340080.0,1.6,1.6,1.6,1.55
29/12/22,1340080.0,1.6,1.6,1.6,1.55
03/01/23,603980.0,1.6,1.6,1.6,1.57
03/01/23,603980.0,1.6,1.6,1.6,1.57
04/01/23,1248660.0,1.6,1.6,1.62,1.57
05/01/23,557350.0,1.6,1.58,1.6,1.56
06/01/23,83530.0,1.57,1.59,1.6,1.55
09/01/23,262570.0,1.58,1.59,1.59,1.57
10/01/23,268830.0,1.59,1.59,1.59,1.56
11/01/23,327450.0,1.59,1.59,1.59,1.55
12/01/23,234140.0,1.59,1.6,1.6,1.56
13/01/23,549450.0,1.6,1.59,1.6,1.58
13/01/23,549450.0,1.6,1.59,1.6,1.58
16/01/23,602310.0,1.6,1.59,1.6,1.58
16/01/23,602310.0,1.6,1.59,1.6,1.58
17/01/23,521720.0,1.6,1.59,1.6,1.57
18/01/23,204620.0,1.59,1.59,1.59,1.57
19/01/23,2425050.0,1.57,1.54,1.58,1.48
19/01/23,2425050.0,1.57,1.54,1.58,1.48
19/01/23,2425050.0,1.57,1.54,1.58,1.48
20/01/23,1078360.0,1.57,1.5,1.57,1.5
20/01/23,1078360.0,1.57,1.5,1.57,1.5
23/01/23,630650.0,1.5,1.54,1.54,1.48
24/01/23,79860.0,1.54,1.53,1.54,1.52
25/01/23,354300.0,1.52,1.53,1.53,1.51
26/01/23,45880.0,1.53,1.53,1.53,1.52
27/01/23,169380.0,1.54,1.54,1.54,1.53
30/01/23,517530.0,1.54,1.52,1.54,1.52
31/01/23,343500.0,1.52,1.5,1.52,1.5
01/02/23,50140.0,1.52,1.52,1.52,1.51
02/02/23,303680.0,1.52,1.52,1.53,1.51
03/02/23,462450.0,1.54,1.52,1.54,1.52
06/02/23,144950.0,1.51,1.54,1.54,1.51
07/02/23,80790.0,1.53,1.53,1.53,1.51
08/02/23,157620.0,1.53,1.53,1.54,1.53
09/02/23,146940.0,1.54,1.53,1.54,1.53
10/02/23,267840.0,1.54,1.53,1.54,1.53
13/02/23,734880.0,1.53,1.53,1.54,1.51
14/02/23,410010.0,1.53,1.53,1.54,1.52
14/02/23,410010.0,1.53,1.53,1.54,1.52
15/02/23,182170.0,1.52,1.53,1.55,1.52
16/02/23,631290.0,1.53,1.54,1.54,1.52
17/02/23,160590.0,1.53,1.53,1.53,1.52
20/02/23,145030.0,1.53,1.53,1.53,1.52
21/02/23,347280.0,1.52,1.53,1.53,1.51
21/02/23,347280.0,1.52,1.53,1.53,1.51
22/02/23,90130.0,1.54,1.53,1.54,1.51
23/02/23,211120.0,1.53,1.53,1.53,1.5
27/02/23,42590.0,1.51,1.52,1.53,1.51
28/02/23,28830.0,1.52,1.52,1.52,1.51
01/03/23,65220.0,1.52,1.52,1.52,1.51
01/03/23,65220.0,1.52,1.52,1.52,1.51
02/03/23,51270.0,1.5,1.52,1.52,1.5
03/03/23,104420.0,1.51,1.52,1.52,1.5
03/03/23,104420.0,1.51,1.52,1.52,1.5
06/03/23,95760.0,1.52,1.52,1.52,1.52
06/03/23,95760.0,1.52,1.52,1.52,1.52
07/03/23,104230.0,1.52,1.52,1.52,1.51
08/03/23,84250.0,1.52,1.52,1.52,1.5
09/03/23,27070.0,1.51,1.51,1.51,1.5
09/03/23,27070.0,1.51,1.51,1.51,1.5
10/03/23,33220.0,1.51,1.51,1.51,1.51
13/03/23,204160.0,1.5,1.5,1.51,1.49
14/03/23,150670.0,1.48,1.48,1.48,1.47
15/03/23,23880.0,1.49,1.5,1.5,1.49
16/03/23,166190.0,1.48,1.5,1.5,1.47
16/03/23,166190.0,1.48,1.5,1.5,1.47
17/03/23,292100.0,1.5,1.5,1.5,1.49
20/03/23,69020.0,1.5,1.51,1.52,1.48
21/03/23,111000.0,1.5,1.5,1.5,1.5
21/03/23,111000.0,1.5,1.5,1.5,1.5
22/03/23,28260.0,1.48,1.5,1.5,1.48
23/03/23,37320.0,1.5,1.5,1.5,1.49
24/03/23,68340.0,1.48,1.5,1.5,1.48
24/03/23,68340.0,1.48,1.5,1.5,1.48
27/03/23,55170.0,1.49,1.5,1.5,1.48
28/03/23,25490.0,1.5,1.5,1.5,1.49
29/03/23,104490.0,1.5,1.5,1.5,1.49
30/03/23,28500.0,1.5,1.5,1.5,1.5
31/03/23,53720.0,1.48,1.5,1.5,1.48
03/04/23,120910.0,1.5,1.5,1.5,1.49
04/04/23,86440.0,1.5,1.5,1.5,1.49
05/04/23,50830.0,1.49,1.5,1.5,1.49
11/04/23,47750.0,1.49,1.5,1.5,1.49
12/04/23,167120.0,1.49,1.5,1.5,1.49
13/04/23,181890.0,1.49,1.5,1.5,1.49
13/04/23,181890.0,1.49,1.5,1.5,1.49
14/04/23,191380.0,1.49,1.5,1.5,1.48
14/04/23,191380.0,1.49,1.5,1.5,1.48
17/04/23,99940.0,1.49,1.5,1.5,1.49
18/04/23,44550.0,1.48,1.5,1.5,1.48
19/04/23,100409460.0,1.5,1.48,1.5,1.48
20/04/23,123070.0,1.45,1.5,1.5,1.45
24/04/23,194880.0,1.5,1.5,1.5,1.49
25/04/23,149390.0,1.48,1.47,1.5,1.47
26/04/23,140200.0,1.49,1.5,1.5,1.48
27/04/23,154800.0,1.5,1.5,1.5,1.48
28/04/23,2733110.0,1.49,1.53,1.53,1.49
02/05/23,2910660.0,1.54,1.58,1.6,1.54
03/05/23,2152300.0,1.6,1.62,1.62,1.58
04/05/23,1250460.0,1.63,1.62,1.67,1.62
05/05/23,1333550.0,1.62,1.62,1.63,1.62
05/05/23,1333550.0,1.62,1.62,1.63,1.62
05/05/23,1333550.0,1.62,1.62,1.63,1.62
08/05/23,1421690.0,1.61,1.64,1.66,1.61
09/05/23,555380.0,1.59,1.58,1.59,1.5
10/05/23,455110.0,1.58,1.58,1.58,1.5
11/05/23,535900.0,1.52,1.5,1.55,1.5
12/05/23,449970.0,1.52,1.49,1.53,1.49
15/05/23,361770.0,1.5,1.54,1.54,1.49
16/05/23,45730.0,1.54,1.53,1.54,1.5
17/05/23,34820.0,1.53,1.52,1.53,1.5
18/05/23,195840.0,1.52,1.54,1.54,1.5
19/05/23,107000.0,1.53,1.53,1.53,1.5
22/05/23,348830.0,1.5,1.52,1.53,1.49
23/05/23,492000.0,1.5,1.5,1.5,1.5
24/05/23,370520.0,1.5,1.5,1.52,1.5
25/05/23,210770.0,1.55,1.51,1.55,1.51
26/05/23,12320.0,1.54,1.54,1.54,1.54
29/05/23,540170.0,1.51,1.52,1.54,1.51
30/05/23,373530.0,1.53,1.54,1.54,1.52
31/05/23,472400.0,1.54,1.54,1.54,1.5
01/06/23,506540.0,1.54,1.54,1.54,1.51
02/06/23,534490.0,1.54,1.51,1.54,1.51
02/06/23,534490.0,1.54,1.51,1.54,1.51
05/06/23,43120.0,1.54,1.54,1.54,1.54
06/06/23,53490.0,1.54,1.51,1.54,1.51
07/06/23,408600.0,1.51,1.52,1.52,1.51
08/06/23,494290.0,1.51,1.51,1.54,1.5
09/06/23,457660.0,1.51,1.5,1.51,1.5
13/06/23,231100.0,1.5,1.54,1.54,1.5
14/06/23,102580.0,1.51,1.54,1.54,1.51
15/06/23,627870.0,1.52,1.54,1.54,1.52
16/06/23,459620.0,1.54,1.5,1.54,1.5
19/06/23,31900.0,1.5,1.54,1.54,1.5
20/06/23,546330.0,1.53,1.54,1.54,1.5
21/06/23,115480.0,1.51,1.52,1.53,1.51
21/06/23,115480.0,1.51,1.52,1.53,1.51
22/06/23,412040.0,1.53,1.51,1.53,1.5
23/06/23,91720.0,1.52,1.54,1.54,1.52
26/06/23,89730.0,1.58,1.55,1.58,1.55
26/06/23,89730.0,1.58,1.55,1.58,1.55
27/06/23,73830.0,1.55,1.55,1.55,1.5
27/06/23,73830.0,1.55,1.55,1.55,1.5
29/06/23,258300.0,1.56,1.55,1.56,1.52
30/06/23,116450.0,1.56,1.55,1.56,1.55
03/07/23,300140.0,1.56,1.56,1.57,1.56
