Date,Value,Open,Close,High,Low
11/08/09,36000.0,4.5,4.5,4.5,4.5
25/08/09,1750000.0,4.45,4.6,4.7,4.45
26/08/09,235000.0,4.65,4.75,4.75,4.65
04/09/09,24000.0,4.8,4.8,4.8,4.8
01/10/09,12300.0,4.1,4.1,4.1,4.1
16/10/09,1430800.0,3.9,3.5,3.9,3.25
19/10/09,2089800.0,3.5,3.15,3.55,3.0
20/10/09,252000.0,3.15,3.15,3.15,3.15
21/10/09,940700.0,3.15,3.1,3.15,2.95
26/10/09,329400.0,3.05,3.05,3.05,3.05
27/10/09,3100.0,3.1,3.1,3.1,3.1
28/10/09,326550.0,3.1,3.1,3.15,3.1
29/10/09,115250.0,3.1,3.1,3.1,2.95
30/10/09,3036250.0,3.15,3.3,3.45,3.15
03/11/09,48850.0,3.35,3.25,3.35,3.25
04/11/09,1486300.0,3.25,3.1,3.3,3.0
05/11/09,366900.0,3.15,3.05,3.2,2.95
06/11/09,1658700.0,3.1,3.2,3.3,2.95
09/11/09,3050.0,3.05,3.05,3.05,3.05
10/11/09,813200.0,3.1,3.1,3.2,3.1
11/11/09,6200.0,3.1,3.1,3.1,3.1
17/12/09,3250.0,3.25,3.25,3.25,3.25
07/01/10,45550.0,2.12,3.15,3.15,2.12
13/01/10,8110.0,2.16,3.0,3.0,2.16
14/01/10,25550.0,3.15,2.8,3.15,2.8
15/01/10,2950.0,2.95,2.95,2.95,2.95
19/01/10,10800.0,2.5,2.9,2.9,2.5
20/01/10,10400.0,2.55,2.8,2.8,2.5
21/01/10,26400.0,2.4,2.4,2.4,2.4
22/01/10,2750.0,2.75,2.75,2.75,2.75
04/02/10,47500.0,2.7,3.0,3.1,2.7
05/02/10,385700.0,2.95,3.05,3.1,2.55
08/02/10,132550.0,2.9,2.8,2.9,2.8
09/02/10,3000.0,3.0,3.0,3.0,3.0
30/04/10,2950.0,2.95,2.95,2.95,2.95
22/06/10,28150.0,3.15,3.1,3.15,3.1
23/09/10,81700.0,3.2,3.33,3.33,3.2
14/04/11,3320.0,3.32,3.32,3.32,3.32
13/05/11,153790.0,3.31,2.48,3.34,2.48
16/05/11,4300.0,2.15,2.15,2.15,2.15
03/06/11,20000.0,2.15,2.8,2.8,2.15
06/06/11,8600.0,2.15,2.15,2.15,2.15
07/06/11,10500.0,2.1,2.1,2.1,2.1
09/06/11,298650.0,2.65,2.85,2.85,2.65
17/06/11,13190.0,2.08,2.79,2.79,2.08
18/07/11,16660.0,2.09,2.08,2.09,2.08
26/07/11,24000.0,2.4,2.4,2.4,2.4
02/08/11,75600.0,2.8,2.8,2.8,2.8
03/08/11,114800.0,2.8,2.8,2.8,2.8
09/08/11,2890.0,2.89,2.89,2.89,2.89
15/08/11,34680.0,2.89,2.89,2.89,2.89
16/08/11,140830.0,2.9,3.04,3.19,2.9
09/09/11,2800.0,2.8,2.8,2.8,2.8
