Date,Value,Open,Close,High,Low
16/03/15,18885600.0,1.0,2.6,4.0,1.0
17/03/15,3609350.0,2.88,2.41,2.88,2.24
18/03/15,3086610.0,2.41,1.73,2.41,1.71
19/03/15,6374610.0,1.74,1.4,1.74,1.29
20/03/15,11522780.0,1.56,1.9,1.98,1.46
23/03/15,27442780.0,2.06,2.85,2.85,2.06
24/03/15,95594130.0,3.3,3.95,4.22,3.24
25/03/15,48361700.0,4.23,3.6,4.5,3.38
26/03/15,14756590.0,3.55,3.28,3.55,3.11
27/03/15,10697280.0,3.09,2.94,3.2,2.86
30/03/15,48233300.0,2.89,3.81,3.98,2.65
31/03/15,34899610.0,3.97,3.67,4.14,3.25
01/04/15,9617020.0,3.7,3.75,3.75,3.35
06/04/15,11597490.0,3.6,3.6,3.87,3.5
07/04/15,14952250.0,3.59,3.25,3.59,3.05
08/04/15,6065620.0,3.3,3.1,3.36,3.0
10/04/15,3307290.0,3.12,3.15,3.28,3.09
13/04/15,3392480.0,3.24,3.04,3.24,2.95
14/04/15,3400000.0,2.98,3.0,3.14,2.85
15/04/15,2674880.0,3.0,2.87,3.1,2.85
16/04/15,3801820.0,2.94,2.7,2.94,2.65
17/04/15,5582880.0,2.7,2.6,2.7,2.36
20/04/15,39086280.0,2.72,3.01,3.14,2.5
21/04/15,7191360.0,3.15,2.7,3.15,2.55
22/04/15,2077760.0,2.77,2.57,2.77,2.51
23/04/15,845070.0,2.57,2.58,2.66,2.53
24/04/15,2249300.0,2.56,2.6,2.75,2.5
27/04/15,24598790.0,2.6,2.61,2.88,2.58
28/04/15,4650090.0,2.63,2.5,2.69,2.48
29/04/15,2064630.0,2.62,2.45,2.62,2.45
30/04/15,740380.0,2.45,2.42,2.58,2.42
04/05/15,23256850.0,2.55,2.4,2.55,2.4
05/05/15,1500730.0,2.52,2.4,2.52,2.37
06/05/15,1234970.0,2.36,2.34,2.38,2.26
07/05/15,692300.0,2.34,2.4,2.4,2.3
08/05/15,1484150.0,2.31,2.35,2.4,2.29
11/05/15,817290.0,2.4,2.31,2.4,2.31
