Date,Value,Open,Close,High,Low
05/10/11,645743554.0,12.0,11.0,12.0,10.88
06/10/11,305341878.0,11.2,10.68,11.2,10.68
07/10/11,70414718.0,10.74,10.96,10.98,10.74
10/10/11,202542814.0,11.02,11.6,11.6,11.02
11/10/11,141090158.0,11.8,11.36,11.82,11.34
12/10/11,15633910.0,11.36,11.6,11.68,11.3
13/10/11,58812486.0,11.52,12.36,12.36,11.52
14/10/11,88789480.0,12.3,12.1,12.4,12.0
17/10/11,86611362.0,12.2,12.38,12.46,12.1
18/10/11,88507490.0,12.38,12.26,12.38,12.12
19/10/11,101184396.0,12.24,12.2,12.26,12.2
20/10/11,48936560.0,12.22,12.2,12.3,12.2
21/10/11,52250538.0,12.24,12.3,12.34,12.2
24/10/11,175902084.0,12.34,12.2,12.34,12.2
25/10/11,45811710.0,12.16,12.32,12.32,12.16
26/10/11,17098732.0,12.18,12.16,12.24,12.16
27/10/11,5085446.0,12.14,12.22,12.24,12.14
28/10/11,140144846.0,12.26,12.38,12.5,12.26
02/11/11,81729448.0,12.26,12.58,12.58,12.26
03/11/11,165878004.0,12.6,12.74,12.76,12.5
04/11/11,238365822.0,12.76,14.48,14.48,12.76
08/11/11,163709856.0,14.46,15.5,15.94,14.1
09/11/11,83710682.0,15.7,14.8,15.7,14.3
10/11/11,97990724.0,14.3,14.94,15.0,14.1
11/11/11,22707760.0,14.94,14.56,15.0,14.34
14/11/11,10732538.0,14.5,14.68,15.2,14.5
15/11/11,128056944.0,14.68,14.8,15.16,14.4
16/11/11,263932242.0,14.92,15.52,16.2,14.8
17/11/11,109348832.0,15.52,16.32,17.06,15.52
18/11/11,157682440.0,16.32,16.6,17.1,16.3
21/11/11,97740460.0,17.1,16.82,17.1,16.6
22/11/11,78681390.0,16.5,16.16,16.82,16.02
23/11/11,162253352.0,16.16,14.98,16.5,14.98
24/11/11,103981374.0,14.94,14.72,15.0,14.68
25/11/11,47386662.0,14.72,15.36,15.52,14.72
28/11/11,24000918.0,15.4,15.4,15.68,15.36
29/11/11,5428976.0,15.62,15.3,15.62,15.02
01/12/11,9039398.0,15.5,15.3,15.62,15.3
02/12/11,68196600.0,15.3,15.18,15.3,15.18
05/12/11,43709664.0,15.1,15.12,15.18,15.04
06/12/11,37820316.0,15.12,15.0,15.2,14.98
07/12/11,233834016.0,15.0,15.24,15.42,15.0
08/12/11,84015892.0,15.3,15.7,15.88,15.3
09/12/11,88941120.0,15.76,16.72,16.72,15.76
12/12/11,135696280.0,16.9,17.1,17.68,16.86
13/12/11,40602000.0,17.1,17.06,17.36,16.9
14/12/11,170601976.0,17.06,17.1,17.3,17.0
15/12/11,48306326.0,17.2,17.02,17.2,17.0
16/12/11,249909710.0,17.04,17.66,17.84,17.04
19/12/11,102397940.0,17.74,18.2,18.9,17.66
20/12/11,186472046.0,18.3,18.02,18.3,18.0
21/12/11,78012524.0,18.4,18.2,18.6,18.02
22/12/11,53632960.0,18.2,18.06,18.2,18.04
23/12/11,100036688.0,18.06,18.1,18.1,18.0
26/12/11,31178778.0,18.06,18.4,18.52,18.0
27/12/11,27311654.0,18.48,18.34,18.74,18.12
28/12/11,18457636.0,18.3,18.34,18.64,18.3
29/12/11,46044890.0,18.34,17.88,18.34,17.76
02/01/12,23642346.0,18.08,18.02,18.2,17.78
03/01/12,26280936.0,18.16,18.22,18.3,18.1
04/01/12,27205306.0,18.28,18.2,18.44,18.12
05/01/12,58048756.0,18.2,18.08,18.2,18.0
06/01/12,35979886.0,18.2,18.0,18.2,18.0
09/01/12,7577006.0,18.02,17.9,18.04,17.9
10/01/12,108216048.0,18.0,18.0,18.02,17.9
11/01/12,144140968.0,18.0,18.8,19.0,18.0
12/01/12,71176698.0,19.0,19.1,19.48,18.6
13/01/12,122619478.0,19.2,18.36,19.2,18.04
16/01/12,56590552.0,18.34,18.0,18.34,17.98
17/01/12,94419236.0,18.04,18.0,18.18,17.96
18/01/12,14088624.0,18.0,18.0,18.34,17.98
19/01/12,26278194.0,18.02,18.4,18.48,18.0
20/01/12,111482470.0,18.32,18.68,19.36,18.32
24/01/12,76540064.0,18.8,19.7,19.92,18.68
25/01/12,66485840.0,19.84,19.5,19.9,19.0
26/01/12,200774218.0,19.6,19.7,20.1,19.2
27/01/12,33892912.0,19.94,19.76,19.94,19.74
