Date,Value,Open,Close,High,Low
03/08/09,194900.0,0.5,0.48,0.5,0.48
04/08/09,584000.0,0.49,0.47,0.49,0.47
06/08/09,28200.0,0.47,0.47,0.47,0.47
07/08/09,155100.0,0.47,0.47,0.47,0.47
10/08/09,2430900.0,0.5,0.5,0.52,0.49
11/08/09,1413300.0,0.51,0.5,0.51,0.5
12/08/09,593900.0,0.49,0.5,0.5,0.49
13/08/09,402000.0,0.49,0.49,0.5,0.49
14/08/09,348600.0,0.49,0.49,0.5,0.49
17/08/09,23600.0,0.48,0.47,0.48,0.47
18/08/09,630100.0,0.47,0.47,0.47,0.45
19/08/09,145700.0,0.47,0.47,0.47,0.47
24/08/09,38400.0,0.48,0.48,0.48,0.48
25/08/09,744900.0,0.48,0.47,0.48,0.46
26/08/09,623300.0,0.47,0.48,0.48,0.47
03/09/09,377300.0,0.49,0.49,0.49,0.49
04/09/09,772400.0,0.48,0.48,0.48,0.47
16/09/09,266200.0,0.52,0.51,0.52,0.5
17/09/09,53000.0,0.53,0.53,0.53,0.53
18/09/09,208600.0,0.51,0.51,0.51,0.5
22/09/09,5000.0,0.5,0.5,0.5,0.5
23/09/09,465500.0,0.49,0.5,0.51,0.49
30/09/09,5000.0,0.5,0.5,0.5,0.5
02/10/09,273600.0,0.48,0.48,0.48,0.48
05/10/09,195300.0,0.47,0.47,0.48,0.47
06/10/09,190100.0,0.48,0.49,0.49,0.48
07/10/09,68900.0,0.49,0.5,0.5,0.49
08/10/09,50000.0,0.5,0.5,0.5,0.5
09/10/09,331900.0,0.49,0.51,0.51,0.49
12/10/09,378600.0,0.5,0.49,0.5,0.49
13/10/09,58800.0,0.49,0.49,0.49,0.49
14/10/09,151900.0,0.49,0.49,0.49,0.49
15/10/09,364700.0,0.49,0.5,0.5,0.49
16/10/09,624600.0,0.51,0.5,0.53,0.5
19/10/09,110400.0,0.52,0.5,0.52,0.5
20/10/09,40000.0,0.5,0.5,0.5,0.5
21/10/09,19600.0,0.49,0.49,0.49,0.49
22/10/09,70000.0,0.5,0.5,0.5,0.5
23/10/09,755000.0,0.5,0.5,0.5,0.5
26/10/09,9094200.0,0.52,0.57,0.63,0.52
27/10/09,6349800.0,0.57,0.61,0.65,0.55
28/10/09,1971000.0,0.61,0.55,0.62,0.55
29/10/09,3617700.0,0.55,0.51,0.56,0.5
30/10/09,803900.0,0.54,0.53,0.54,0.53
03/11/09,519400.0,0.53,0.53,0.53,0.53
04/11/09,591600.0,0.51,0.51,0.51,0.51
06/11/09,1141400.0,0.52,0.54,0.56,0.52
09/11/09,1452400.0,0.56,0.58,0.6,0.56
10/11/09,3766500.0,0.6,0.59,0.61,0.58
11/11/09,727100.0,0.59,0.58,0.59,0.58
15/12/09,41300.0,0.59,0.59,0.59,0.59
18/12/09,532300.0,0.57,0.58,0.58,0.57
21/12/09,114000.0,0.57,0.57,0.57,0.57
22/12/09,159600.0,0.57,0.57,0.57,0.57
23/12/09,11200.0,0.56,0.56,0.56,0.56
04/01/10,93500.0,0.55,0.55,0.55,0.55
06/01/10,556400.0,0.56,0.57,0.58,0.56
07/01/10,616800.0,0.59,0.57,0.59,0.57
08/01/10,253800.0,0.58,0.57,0.58,0.56
11/01/10,161700.0,0.56,0.58,0.58,0.56
12/01/10,121800.0,0.58,0.58,0.58,0.58
13/01/10,127600.0,0.58,0.58,0.58,0.58
15/01/10,104400.0,0.58,0.58,0.58,0.58
19/01/10,174700.0,0.56,0.56,0.57,0.56
22/01/10,918400.0,0.57,0.5,0.57,0.5
25/01/10,15000.0,0.5,0.5,0.5,0.5
26/01/10,756600.0,0.52,0.52,0.53,0.52
27/01/10,383000.0,0.54,0.52,0.54,0.51
28/01/10,10400.0,0.52,0.52,0.52,0.52
29/01/10,85500.0,0.57,0.57,0.57,0.57
01/02/10,115200.0,0.55,0.52,0.55,0.52
02/02/10,396900.0,0.53,0.54,0.54,0.53
03/02/10,140400.0,0.54,0.54,0.54,0.54
04/02/10,11000.0,0.55,0.55,0.55,0.55
05/02/10,36600.0,0.54,0.52,0.54,0.52
08/02/10,5200.0,0.52,0.52,0.52,0.52
11/02/10,138000.0,0.53,0.54,0.54,0.53
08/03/10,102600.0,0.54,0.54,0.54,0.54
12/03/10,398400.0,0.54,0.54,0.54,0.53
15/03/10,599000.0,0.55,0.58,0.59,0.55
16/03/10,1248800.0,0.55,0.59,0.6,0.55
17/03/10,7477900.0,0.58,0.6,0.64,0.58
31/03/10,457700.0,0.61,0.62,0.62,0.61
20/04/10,1140000.0,0.67,0.69,0.7,0.67
21/04/10,496800.0,0.69,0.69,0.69,0.69
22/04/10,1166400.0,0.7,0.7,0.7,0.69
23/04/10,491600.0,0.71,0.7,0.71,0.7
29/04/10,11299100.0,0.83,0.84,0.85,0.82
30/04/10,4540600.0,0.85,0.86,0.86,0.84
04/05/10,4610800.0,0.86,0.83,0.86,0.83
05/05/10,3055100.0,0.82,0.79,0.82,0.78
13/05/10,17372600.0,0.84,0.92,0.93,0.84
14/05/10,23334900.0,0.93,0.99,1.04,0.93
17/05/10,11988200.0,0.98,1.04,1.08,0.98
18/05/10,10522500.0,1.1,1.04,1.12,1.04
19/05/10,3209440.0,1.04,1.02,1.04,0.99
20/05/10,5766240.0,1.02,1.04,1.06,1.0
21/05/10,6215590.0,0.99,1.0,1.02,0.98
24/05/10,2314300.0,1.0,0.96,1.0,0.96
25/05/10,2386600.0,0.96,0.89,0.96,0.88
26/05/10,1570000.0,0.93,0.91,0.93,0.89
27/05/10,1544100.0,0.91,0.92,0.94,0.91
28/05/10,4555900.0,0.96,0.95,0.96,0.94
31/05/10,893700.0,0.94,0.92,0.94,0.92
01/06/10,506700.0,0.93,0.92,0.93,0.91
02/06/10,945100.0,0.9,0.94,0.94,0.9
03/06/10,15062400.0,0.95,1.06,1.06,0.95
04/06/10,13813580.0,1.06,1.06,1.12,1.02
07/06/10,7539320.0,1.04,1.0,1.04,0.99
08/06/10,4721600.0,1.0,1.02,1.04,0.98
09/06/10,8280620.0,1.04,1.02,1.06,1.02
10/06/10,1264560.0,1.04,1.04,1.04,1.02
11/06/10,41305820.0,1.06,1.18,1.18,1.06
15/06/10,18363400.0,1.2,1.16,1.22,1.16
16/06/10,11627360.0,1.18,1.18,1.18,1.14
21/06/10,8095780.0,1.28,1.26,1.28,1.22
22/06/10,13028600.0,1.24,1.16,1.24,1.14
23/06/10,24397160.0,1.14,1.12,1.18,1.1
24/06/10,11322960.0,1.14,1.12,1.16,1.12
25/06/10,9190620.0,1.12,1.1,1.14,1.06
28/06/10,4672800.0,1.12,1.08,1.12,1.08
29/06/10,15238920.0,1.12,1.16,1.2,1.1
01/07/10,6082860.0,1.16,1.16,1.16,1.12
02/07/10,2563020.0,1.16,1.12,1.16,1.1
06/07/10,5579360.0,1.14,1.16,1.16,1.14
07/07/10,7451940.0,1.16,1.16,1.18,1.14
08/07/10,7718880.0,1.18,1.16,1.18,1.14
09/07/10,49042280.0,1.2,1.24,1.28,1.2
13/07/10,15268080.0,1.24,1.24,1.26,1.2
14/07/10,4356620.0,1.24,1.22,1.26,1.22
