Date,Value,Open,Close,High,Low
14/09/21,499695645.0,6.55,6.46,6.55,6.44
15/09/21,212136200.0,6.45,6.44,6.46,6.44
16/09/21,153358970.0,6.45,6.46,6.49,6.45
17/09/21,79970339.0,6.46,6.45,6.46,6.45
20/09/21,105451404.0,6.46,6.46,6.48,6.45
21/09/21,94421913.0,6.46,6.45,6.46,6.44
22/09/21,28257534.0,6.45,6.45,6.46,6.45
23/09/21,22209756.0,6.45,6.47,6.47,6.45
24/09/21,66467006.0,6.48,6.49,6.55,6.47
27/09/21,50929149.0,6.5,6.58,6.64,6.5
27/09/21,50929149.0,6.5,6.58,6.64,6.5
28/09/21,73985720.0,6.6,6.6,6.77,6.6
29/09/21,29882765.0,6.62,6.73,6.76,6.58
30/09/21,84476455.0,6.75,6.88,6.89,6.75
01/10/21,108292206.0,6.88,7.0,7.09,6.85
04/10/21,69702089.0,7.05,6.98,7.14,6.97
05/10/21,48169566.0,7.0,7.03,7.05,6.99
06/10/21,55467283.0,7.05,7.05,7.07,7.01
07/10/21,88051468.0,7.04,6.8,7.04,6.8
08/10/21,30770206.0,6.9,6.95,7.0,6.85
11/10/21,38173827.0,6.96,6.85,7.02,6.85
12/10/21,78414638.0,6.9,6.75,6.96,6.75
13/10/21,13473643.0,6.77,6.85,6.9,6.76
14/10/21,122190183.0,6.89,6.64,6.89,6.62
15/10/21,79902146.0,6.65,6.75,6.87,6.65
18/10/21,86339610.0,6.75,6.7,6.8,6.69
19/10/21,64277387.0,6.7,6.68,6.72,6.66
20/10/21,37326086.0,6.7,6.7,6.71,6.68
21/10/21,63265244.0,6.73,6.79,6.79,6.69
22/10/21,20679311.0,6.79,6.85,6.91,6.78
25/10/21,21443164.0,6.85,6.83,6.86,6.81
26/10/21,33967681.0,6.84,6.81,6.89,6.8
27/10/21,88636188.0,6.83,6.83,6.87,6.82
28/10/21,130682416.0,6.82,6.95,7.01,6.82
29/10/21,37790158.0,7.03,6.99,7.03,6.96
02/11/21,89942313.0,6.99,7.22,7.22,6.97
03/11/21,43695853.0,7.21,7.22,7.24,7.08
04/11/21,30081573.0,7.22,7.21,7.22,7.11
05/11/21,42411265.0,7.23,7.21,7.23,7.12
08/11/21,116180556.0,7.22,7.08,7.22,7.05
09/11/21,27239550.0,7.08,7.15,7.2,7.08
10/11/21,21929897.0,7.2,7.15,7.2,7.09
11/11/21,13825564.0,7.18,7.19,7.2,7.17
12/11/21,35156114.0,7.2,7.17,7.2,7.16
15/11/21,21359234.0,7.17,7.19,7.2,7.17
16/11/21,46422081.0,7.2,7.32,7.37,7.19
17/11/21,31037631.0,7.32,7.33,7.34,7.19
18/11/21,19211922.0,7.33,7.32,7.34,7.27
19/11/21,42125576.0,7.32,7.31,7.34,7.21
22/11/21,17434780.0,7.28,7.31,7.33,7.26
23/11/21,18043826.0,7.29,7.31,7.32,7.29
24/11/21,61021121.0,7.31,7.31,7.33,7.28
25/11/21,48861812.0,7.31,7.39,7.4,7.31
