Date,Value,Open,Close,High,Low
24/07/23,22883552.0,5.01,5.04,5.2,5.01
25/07/23,10201119.0,5.05,5.05,5.05,5.0
26/07/23,4167574.0,5.05,5.0,5.05,5.0
27/07/23,2408029.0,5.01,5.0,5.03,5.0
28/07/23,946504.0,5.0,5.02,5.03,5.0
31/07/23,359752.0,5.0,5.01,5.02,5.0
01/08/23,1051735.0,5.0,5.01,5.02,5.0
02/08/23,1392425.0,5.01,5.02,5.03,5.0
03/08/23,504840.0,5.0,5.02,5.04,5.0
04/08/23,2275567.0,5.02,5.11,5.16,5.02
07/08/23,4909942.0,5.16,5.2,5.49,5.16
08/08/23,228606.0,5.2,5.25,5.25,5.1
09/08/23,59257.0,5.24,5.19,5.24,5.1
10/08/23,829484.0,5.05,5.07,5.15,5.05
11/08/23,365391.0,5.06,5.1,5.1,5.04
11/08/23,365391.0,5.06,5.1,5.1,5.04
14/08/23,1787800.0,5.05,5.05,5.06,5.05
15/08/23,578894.0,5.1,5.18,5.26,5.08
16/08/23,243340.0,5.17,5.18,5.18,5.16
17/08/23,70026.0,5.21,5.15,5.21,5.1
18/08/23,186189.0,5.2,5.19,5.2,5.1
22/08/23,151861.0,5.08,5.11,5.11,5.04
23/08/23,55370.0,5.03,5.05,5.05,5.03
24/08/23,126743.0,5.08,5.18,5.18,5.05
25/08/23,53415.0,5.06,5.17,5.17,5.06
29/08/23,252431.0,5.17,5.08,5.17,5.08
30/08/23,926123.0,5.07,5.08,5.08,5.01
31/08/23,212665.0,5.05,5.05,5.08,5.05
01/09/23,71628.0,5.08,5.08,5.08,5.08
04/09/23,205511.0,5.07,5.15,5.15,5.07
05/09/23,24186.0,5.14,5.15,5.15,5.14
06/09/23,335474.0,5.15,5.2,5.2,5.15
06/09/23,335474.0,5.15,5.2,5.2,5.15
07/09/23,29190.0,5.21,5.21,5.24,5.21
07/09/23,29190.0,5.21,5.21,5.24,5.21
11/09/23,81610.0,5.1,5.2,5.2,5.1
12/09/23,8288.0,5.18,5.18,5.18,5.18
13/09/23,536598.0,5.1,5.16,5.16,5.05
14/09/23,296542.0,5.06,5.02,5.06,5.02
15/09/23,93705.0,5.01,5.13,5.14,5.01
19/09/23,505.0,5.05,5.05,5.05,5.05
20/09/23,136706.0,5.01,5.09,5.09,5.01
21/09/23,222262.0,5.09,5.03,5.1,5.03
22/09/23,367212.0,5.03,5.14,5.14,5.03
25/09/23,133529.0,5.14,5.13,5.15,5.13
26/09/23,230568.0,5.13,5.15,5.15,5.1
27/09/23,91349.0,5.15,5.16,5.18,5.15
28/09/23,991750.0,5.16,5.2,5.2,5.16
29/09/23,208539.0,5.2,5.28,5.28,5.2
02/10/23,56362.0,5.28,5.18,5.28,5.16
02/10/23,56362.0,5.28,5.18,5.28,5.16
03/10/23,159221.0,5.18,5.2,5.21,5.18
04/10/23,100580.0,5.2,5.24,5.24,5.2
05/10/23,322216.0,5.24,5.27,5.28,5.2
06/10/23,1662770.0,5.28,5.5,5.5,5.28
09/10/23,416553.0,5.5,5.43,5.5,5.31
10/10/23,370045.0,5.47,5.49,5.5,5.47
