Date,Value,Open,Close,High,Low
17/08/09,18000.0,1.5,1.5,1.5,1.5
18/08/09,3000.0,1.5,1.5,1.5,1.5
25/08/09,37500.0,1.5,1.5,1.5,1.5
03/09/09,1500.0,1.5,1.5,1.5,1.5
22/09/09,7200.0,1.8,1.8,1.8,1.8
30/09/09,31500.0,1.5,1.5,1.5,1.5
02/10/09,30000.0,1.5,1.5,1.5,1.5
05/10/09,30000.0,1.5,1.5,1.5,1.5
22/10/09,5400.0,1.8,1.8,1.8,1.8
23/10/09,1800.0,1.8,1.8,1.8,1.8
26/10/09,54000.0,1.8,1.8,1.8,1.8
27/10/09,3600.0,1.8,1.8,1.8,1.8
29/10/09,85000.0,1.7,1.7,1.7,1.7
30/10/09,22100.0,1.7,1.7,1.7,1.7
03/11/09,20160.0,1.68,1.68,1.68,1.68
05/11/09,2600.0,1.3,1.3,1.3,1.3
06/11/09,40940.0,1.78,1.78,1.78,1.78
16/12/09,48060.0,1.42,1.36,1.42,1.36
22/12/09,28000.0,1.4,1.4,1.4,1.4
23/12/09,17600.0,1.6,1.6,1.6,1.6
29/12/09,81600.0,1.6,1.6,1.6,1.6
06/01/10,6400.0,1.6,1.6,1.6,1.6
07/01/10,1600.0,1.6,1.6,1.6,1.6
12/01/10,5166400.0,1.6,1.6,1.6,1.6
14/01/10,200000.0,1.6,1.6,1.6,1.6
15/01/10,505600.0,1.6,1.6,1.6,1.6
22/01/10,1620.0,1.62,1.62,1.62,1.62
25/01/10,9600.0,1.6,1.6,1.6,1.6
27/01/10,80000.0,1.6,1.6,1.6,1.6
04/02/10,26000.0,1.3,1.3,1.3,1.3
11/02/10,3040.0,1.52,1.52,1.52,1.52
12/03/10,9600.0,1.6,1.6,1.6,1.6
15/03/10,40000.0,1.6,1.6,1.6,1.6
21/05/10,23400.0,1.56,1.56,1.56,1.56
26/05/10,3208000.0,1.6,1.6,1.6,1.6
08/06/10,16500.0,1.5,1.5,1.5,1.5
11/06/10,3000.0,1.5,1.5,1.5,1.5
21/06/10,51680.0,1.52,1.52,1.52,1.52
23/07/10,32000.0,1.6,1.6,1.6,1.6
20/09/10,3400.0,1.7,1.7,1.7,1.7
21/09/10,20000.0,2.0,2.0,2.0,2.0
28/09/10,585400.0,1.8,2.0,2.0,1.8
30/09/10,212000.0,2.0,2.0,2.0,2.0
01/10/10,188100.0,1.9,1.9,1.9,1.9
05/10/10,42400.0,1.92,2.0,2.0,1.92
06/10/10,23000.0,1.92,1.9,1.92,1.9
08/10/10,91200.0,1.9,1.9,1.9,1.9
15/10/10,42000.0,2.0,2.0,2.0,2.0
18/10/10,24000.0,2.0,2.0,2.0,2.0
19/10/10,180000.0,1.8,1.8,1.8,1.8
20/10/10,108000.0,1.8,1.8,1.8,1.8
27/10/10,1800.0,1.8,1.8,1.8,1.8
04/11/10,32400.0,1.8,1.8,1.8,1.8
09/11/10,36000.0,2.0,2.0,2.0,2.0
11/11/10,1980.0,1.98,1.98,1.98,1.98
15/11/10,30000.0,2.0,2.0,2.0,2.0
17/11/10,74080.0,2.0,1.9,2.0,1.9
18/11/10,90380.0,1.9,1.88,1.9,1.88
19/11/10,124620.0,1.86,1.86,1.86,1.86
22/11/10,39040.0,1.86,1.84,1.86,1.84
02/12/10,36800.0,1.84,1.84,1.84,1.84
08/12/10,187800.0,1.86,1.88,1.88,1.86
29/12/10,912600.0,1.8,1.8,1.8,1.8
29/12/10,912600.0,1.8,1.8,1.8,1.8
04/01/11,17000.0,1.7,1.7,1.7,1.7
05/01/11,126000.0,1.8,1.8,1.8,1.8
06/01/11,180000.0,1.8,1.8,1.8,1.8
07/01/11,356400.0,1.8,1.8,1.8,1.8
10/01/11,9000.0,1.8,1.8,1.8,1.8
19/01/11,59400.0,1.8,1.8,1.8,1.8
19/01/11,59400.0,1.8,1.8,1.8,1.8
24/01/11,90000.0,1.8,1.8,1.8,1.8
25/01/11,180000.0,1.8,1.8,1.8,1.8
14/02/11,16200.0,1.8,1.8,1.8,1.8
23/02/11,54000.0,1.8,1.8,1.8,1.8
23/02/11,54000.0,1.8,1.8,1.8,1.8
04/03/11,1800.0,1.8,1.8,1.8,1.8
04/03/11,1800.0,1.8,1.8,1.8,1.8
17/03/11,90000.0,1.8,1.8,1.8,1.8
31/03/11,1800.0,1.8,1.8,1.8,1.8
27/04/11,104500.0,1.9,1.9,1.9,1.9
18/05/11,66500.0,1.9,1.9,1.9,1.9
24/05/11,20900.0,1.9,1.9,1.9,1.9
28/06/11,14400.0,1.8,1.8,1.8,1.8
30/06/11,16200.0,1.8,1.8,1.8,1.8
06/07/11,77400.0,1.8,1.8,1.8,1.8
07/07/11,34200.0,1.8,1.8,1.8,1.8
13/07/11,7200.0,1.8,1.8,1.8,1.8
15/07/11,54000.0,1.8,1.8,1.8,1.8
26/07/11,27000.0,1.8,1.8,1.8,1.8
27/07/11,18000.0,1.8,1.8,1.8,1.8
28/07/11,201600.0,1.8,1.8,1.8,1.8
16/08/11,109380.0,1.95,2.0,2.0,1.95
17/08/11,30000.0,2.0,2.0,2.0,2.0
22/08/11,1810.0,1.81,1.81,1.81,1.81
23/08/11,525000.0,2.1,2.1,2.1,2.1
25/08/11,4260.0,2.3,1.96,2.3,1.96
05/09/11,1830.0,1.83,1.83,1.83,1.83
07/09/11,109530.0,2.0,2.74,2.74,2.0
08/09/11,331350.0,4.1,2.75,4.1,2.75
09/09/11,2010.0,2.01,2.01,2.01,2.01
12/09/11,59520.0,2.02,2.3,2.3,2.02
13/09/11,2730.0,2.73,2.73,2.73,2.73
14/09/11,2310.0,2.31,2.31,2.31,2.31
15/09/11,2730.0,2.73,2.73,2.73,2.73
16/09/11,2740.0,2.74,2.74,2.74,2.74
20/09/11,24640.0,2.5,2.46,2.5,2.4
28/09/11,178240.0,2.5,3.0,3.0,2.5
29/09/11,57770.0,3.15,3.1,3.2,2.9
03/10/11,12000.0,3.0,3.0,3.0,3.0
05/10/11,65410.0,2.8,2.51,2.8,2.5
07/10/11,2990.0,2.99,2.99,2.99,2.99
17/10/11,74680.0,2.99,2.96,3.0,2.96
18/10/11,115020.0,2.51,2.49,2.51,2.49
19/10/11,29880.0,2.49,2.49,2.49,2.49
20/10/11,7650.0,2.55,2.55,2.55,2.55
21/10/11,15300.0,2.55,2.55,2.55,2.55
24/10/11,25400.0,2.54,2.54,2.54,2.54
26/10/11,32000.0,2.5,2.2,2.5,2.2
27/10/11,52820.0,2.21,2.2,2.21,2.2
28/10/11,1800.0,1.8,1.8,1.8,1.8
04/11/11,25330.0,1.83,1.8,1.83,1.8
08/11/11,7240.0,1.81,1.81,1.81,1.81
09/11/11,27150.0,1.81,1.81,1.81,1.81
17/11/11,97390.0,1.83,1.8,1.83,1.8
18/11/11,154800.0,1.8,1.8,1.8,1.8
22/11/11,9050.0,1.81,1.81,1.81,1.81
05/12/11,10860.0,1.81,1.81,1.81,1.81
06/12/11,7240.0,1.81,1.81,1.81,1.81
