Date,Value,Open,Close,High,Low
03/08/09,44980300.0,9.1,9.2,9.3,9.0
04/08/09,45734600.0,9.2,9.2,9.3,9.2
06/08/09,49948800.0,9.1,9.1,9.1,9.0
07/08/09,32918300.0,9.0,9.0,9.1,9.0
10/08/09,14441500.0,9.2,9.1,9.3,9.1
11/08/09,4758600.0,9.1,9.1,9.1,9.0
12/08/09,3518200.0,9.1,9.1,9.1,9.0
13/08/09,5536000.0,9.1,9.1,9.2,9.1
14/08/09,7431900.0,9.1,9.2,9.2,9.0
17/08/09,19332200.0,9.1,8.6,9.1,8.5
18/08/09,19606200.0,8.5,8.5,8.7,8.2
19/08/09,16011400.0,8.6,8.8,8.9,8.6
20/08/09,7505300.0,8.9,8.8,8.9,8.8
24/08/09,42145000.0,9.0,9.7,9.7,9.0
25/08/09,82904950.0,9.9,10.0,10.5,9.9
26/08/09,37051750.0,10.0,10.5,10.5,10.0
03/09/09,91371100.0,10.0,9.9,10.0,9.9
04/09/09,25455500.0,10.0,10.0,10.0,9.9
16/09/09,134969725.0,10.0,9.9,10.25,9.9
17/09/09,112622500.0,10.0,10.0,10.25,10.0
18/09/09,33690000.0,10.0,10.0,10.0,10.0
22/09/09,91198300.0,10.0,9.8,10.0,9.7
23/09/09,178303250.0,10.0,10.25,10.25,10.0
30/09/09,120438750.0,10.25,10.5,10.75,10.25
01/10/09,89284150.0,10.5,11.25,11.25,10.5
02/10/09,60733375.0,10.75,11.0,11.0,10.5
05/10/09,72879700.0,11.0,11.75,11.75,11.0
06/10/09,107374400.0,12.5,12.25,13.0,12.0
07/10/09,108377525.0,12.5,13.0,13.0,12.0
08/10/09,54101900.0,12.75,12.75,13.0,12.25
09/10/09,68739850.0,12.75,12.25,12.75,11.75
12/10/09,19903425.0,12.0,12.0,12.25,11.5
13/10/09,89221600.0,12.0,12.0,12.5,12.0
14/10/09,54779050.0,12.25,12.5,12.5,12.0
15/10/09,73545700.0,12.5,12.25,12.5,12.0
16/10/09,10728225.0,12.0,11.75,12.25,11.75
19/10/09,14267800.0,11.75,12.0,12.0,11.75
20/10/09,124393775.0,11.75,11.75,12.0,11.5
21/10/09,74521650.0,11.75,11.75,11.75,11.5
22/10/09,55969350.0,11.5,11.75,11.75,11.5
23/10/09,85719875.0,12.25,12.75,12.75,12.0
26/10/09,34269000.0,12.75,12.75,13.0,12.5
27/10/09,48506400.0,12.5,12.25,12.5,12.0
28/10/09,261084400.0,12.5,12.0,12.5,11.75
29/10/09,145182450.0,11.75,11.75,12.0,11.5
30/10/09,328270250.0,12.0,12.25,12.25,11.75
03/11/09,83249125.0,12.0,12.0,12.25,11.75
04/11/09,94815025.0,11.75,12.0,12.0,11.75
05/11/09,66058875.0,11.75,12.0,12.0,11.75
06/11/09,68205325.0,12.0,11.75,12.0,11.75
09/11/09,126333000.0,12.0,12.0,12.0,11.75
10/11/09,67579850.0,12.0,12.25,12.75,11.75
11/11/09,16437400.0,12.25,12.5,12.75,12.25
15/12/09,48838825.0,13.25,13.0,13.25,13.0
16/12/09,19540625.0,13.25,13.25,13.25,12.75
17/12/09,40586050.0,13.25,13.0,13.25,13.0
18/12/09,87605725.0,13.0,12.75,13.0,12.75
21/12/09,9995650.0,12.75,13.0,13.0,12.75
22/12/09,16761925.0,13.25,13.0,13.25,12.75
23/12/09,140400.0,13.0,13.0,13.0,13.0
29/12/09,7425525.0,13.0,13.0,13.0,12.75
04/01/10,26195200.0,13.0,12.75,13.25,12.75
05/01/10,9426850.0,12.75,13.0,13.25,12.75
06/01/10,69028700.0,13.0,13.0,13.0,13.0
07/01/10,14329900.0,13.0,13.0,13.0,13.0
08/01/10,17479825.0,13.0,13.0,13.25,13.0
11/01/10,12983100.0,13.0,13.0,13.0,13.0
12/01/10,37805625.0,13.0,13.25,13.25,13.0
13/01/10,34050575.0,13.25,13.25,13.25,13.0
14/01/10,303499625.0,13.25,13.25,13.75,13.25
15/01/10,4205425.0,13.5,13.5,13.5,13.25
18/01/10,1485625.0,13.5,13.25,13.5,13.25
19/01/10,65843475.0,13.25,13.25,13.25,13.0
20/01/10,68665200.0,13.25,13.25,13.25,13.0
21/01/10,12068250.0,13.25,13.25,13.25,13.0
22/01/10,50203875.0,12.75,12.75,13.0,12.75
25/01/10,110801500.0,12.5,12.0,12.75,12.0
26/01/10,28805700.0,12.0,12.0,12.5,12.0
27/01/10,196033475.0,12.0,11.5,12.25,11.25
28/01/10,13666625.0,11.5,12.0,12.5,11.5
29/01/10,34339525.0,11.75,12.0,12.0,11.75
01/02/10,55858425.0,12.0,11.75,12.0,11.25
02/02/10,52492775.0,12.0,11.5,12.0,11.25
03/02/10,26784750.0,11.5,11.75,11.75,11.25
04/02/10,6905700.0,11.75,11.75,11.75,11.5
05/02/10,17347900.0,11.25,11.25,11.25,11.0
08/02/10,19303800.0,11.5,11.25,11.5,11.0
09/02/10,29326550.0,11.25,10.75,11.25,10.25
