Date,Value,Open,Close,High,Low
11/11/13,1813082446.5,56.0,56.5,57.3,53.6
12/11/13,1216367546.0,57.05,59.0,59.0,57.05
13/11/13,1040228658.5,59.0,59.9,60.5,59.0
14/11/13,214962762.5,60.0,59.6,60.2,59.0
15/11/13,254458496.0,59.6,58.7,60.0,58.7
18/11/13,199802337.5,59.0,58.95,59.95,58.2
19/11/13,450310085.5,58.95,59.5,59.7,58.6
20/11/13,463026381.5,59.0,58.1,59.0,58.0
21/11/13,521843453.0,58.2,57.95,58.5,57.8
22/11/13,306356041.5,57.8,57.85,57.95,57.8
25/11/13,140917458.0,57.85,57.65,57.9,57.65
26/11/13,436235448.5,57.7,58.0,58.05,57.65
27/11/13,306162903.5,58.0,57.2,58.05,57.2
28/11/13,58770102.5,57.2,57.1,57.2,57.0
29/11/13,155187037.5,57.1,56.15,57.1,55.5
02/12/13,88641713.0,56.1,56.0,56.15,55.75
03/12/13,137394945.5,56.0,56.5,56.5,55.95
04/12/13,81960584.0,56.2,55.8,56.55,55.8
05/12/13,203604788.0,55.8,55.2,55.8,54.0
06/12/13,77713091.0,55.0,55.0,55.15,54.85
09/12/13,35034051.0,54.9,54.95,55.0,54.9
10/12/13,216947429.5,55.0,54.95,55.0,54.9
11/12/13,101969724.0,55.0,54.0,55.0,54.0
12/12/13,91372288.0,53.9,50.0,53.9,50.0
13/12/13,414169708.5,50.0,50.1,50.9,48.0
16/12/13,290955741.5,50.0,51.0,52.8,49.8
17/12/13,290465269.0,51.3,52.5,52.8,51.3
18/12/13,41856600.0,52.55,53.7,54.95,52.4
19/12/13,59321951.0,55.0,57.3,58.0,54.25
20/12/13,101868794.0,57.0,56.95,57.0,55.0
23/12/13,2853195.0,56.95,56.95,56.95,56.95
26/12/13,11486122.5,56.95,56.9,56.95,55.05
27/12/13,10586147.0,56.9,55.2,57.0,55.1
02/01/14,48382227.5,57.2,58.0,58.45,57.2
03/01/14,57592844.0,58.0,58.1,58.5,58.0
06/01/14,226268661.0,58.1,58.1,59.0,58.0
07/01/14,41171112.0,58.1,58.0,58.35,57.95
08/01/14,26461780.0,58.0,58.1,58.2,58.0
09/01/14,57083984.0,58.1,58.0,58.1,57.95
10/01/14,21180547.5,58.0,58.0,58.0,57.7
13/01/14,21874675.0,57.75,58.0,58.0,57.5
14/01/14,17562319.0,58.25,58.0,58.25,57.0
15/01/14,75513235.5,58.0,58.2,60.2,58.0
16/01/14,2829370.0,57.5,58.0,58.0,57.5
17/01/14,1628825.0,58.0,58.25,58.25,58.0
20/01/14,22521976.0,58.0,57.1,58.0,57.1
21/01/14,67471714.5,56.6,57.05,57.1,56.45
22/01/14,140395124.0,57.1,58.0,58.5,57.1
23/01/14,70178193.5,58.15,58.3,59.0,58.15
24/01/14,13694823.0,57.7,58.3,58.7,57.65
27/01/14,71774489.0,58.2,58.85,59.0,58.0
28/01/14,16265153.0,58.8,58.3,58.8,58.1
29/01/14,189564004.5,58.6,59.85,60.5,58.6
30/01/14,158770306.0,59.8,59.5,59.8,59.1
03/02/14,143499764.0,59.5,58.95,59.5,58.95
04/02/14,89323715.5,58.9,57.95,58.9,57.0
05/02/14,143492315.5,58.5,57.6,58.5,57.05
06/02/14,227639111.5,57.6,57.6,57.7,57.4
07/02/14,178902087.5,57.7,59.0,59.0,57.7
10/02/14,105595352.5,59.0,64.0,64.5,59.0
11/02/14,288482811.5,64.15,64.0,67.0,63.95
12/02/14,114686306.5,65.2,62.1,67.0,62.1
13/02/14,38708421.5,62.0,61.7,62.5,61.6
14/02/14,243263058.0,62.9,62.0,64.0,61.75
17/02/14,42725269.5,63.3,62.1,63.8,62.05
18/02/14,25177343.0,62.2,62.5,63.5,62.0
19/02/14,55856032.0,63.0,62.6,63.25,62.5
20/02/14,75315361.0,63.2,63.5,64.5,63.2
21/02/14,19924654.0,63.45,63.3,63.9,63.0
24/02/14,55415581.0,63.6,63.2,63.75,63.1
25/02/14,156047300.5,62.2,63.2,63.4,62.0
26/02/14,274314717.0,62.1,63.2,63.2,62.1
27/02/14,70088786.5,63.5,63.7,64.1,63.0
28/02/14,155991752.5,64.75,66.85,67.5,64.75
03/03/14,107655141.0,66.8,66.15,66.9,65.35
04/03/14,335717343.0,66.1,67.0,67.0,65.05
05/03/14,249878834.0,67.0,68.8,69.95,67.0
06/03/14,86419041.5,68.8,68.3,69.45,68.05
07/03/14,98311094.0,68.5,68.4,68.5,68.0
10/03/14,53902176.5,68.25,67.7,68.25,67.0
11/03/14,114186040.5,67.5,67.8,68.0,67.05
12/03/14,74490455.5,67.8,66.8,67.8,64.65
13/03/14,34672461.5,67.0,67.7,68.0,67.0
14/03/14,65799928.0,67.65,68.1,68.1,67.6
17/03/14,25355884.0,67.0,67.0,67.65,66.15
18/03/14,95352446.5,67.1,67.6,67.95,67.1
19/03/14,16053253.0,67.7,66.5,67.7,66.5
20/03/14,42650525.5,66.2,65.0,66.2,64.6
21/03/14,73051235.0,65.6,65.6,66.0,65.35
24/03/14,25533882.5,65.1,64.0,65.6,64.0
25/03/14,16098468.5,64.5,65.1,65.45,64.5
26/03/14,1875618.0,64.6,65.0,65.05,64.6
27/03/14,98583390.0,64.5,65.2,66.0,64.0
28/03/14,177854719.0,65.2,65.0,65.5,62.0
31/03/14,144669977.5,65.0,68.0,68.0,65.0
01/04/14,73755865.5,68.0,67.9,68.05,67.05
02/04/14,34222787.5,67.95,67.0,68.0,66.7
03/04/14,9170522.0,67.5,67.9,68.0,67.0
04/04/14,129172319.0,67.5,69.6,70.15,67.5
07/04/14,20716773.5,69.0,68.4,69.0,68.2
08/04/14,22858708.5,68.7,68.3,68.7,68.0
10/04/14,18350054.5,68.65,68.9,69.0,68.6
11/04/14,49913974.5,68.9,68.0,68.9,67.9
14/04/14,274858065.0,68.0,68.0,68.25,67.7
15/04/14,11047875.5,68.25,68.6,68.8,68.05
16/04/14,166354874.5,69.0,69.0,69.5,68.9
21/04/14,5590035.0,69.0,68.9,69.0,68.25
22/04/14,77218817.0,68.9,69.0,69.95,68.9
23/04/14,9331730.0,69.0,69.15,69.2,69.0
24/04/14,45695951.5,69.15,70.2,70.5,69.15
25/04/14,32130954.999999996,70.1,69.5,70.1,69.5
28/04/14,52102953.5,69.0,67.15,69.0,66.9
29/04/14,46118145.5,67.4,67.0,67.4,66.95
30/04/14,343633225.0,67.8,67.0,67.8,66.7
02/05/14,114121432.5,67.0,67.05,67.25,67.0
05/05/14,47331083.5,67.1,68.1,68.1,67.1
06/05/14,39072000.0,68.1,69.5,69.5,68.1
07/05/14,10246213.0,69.5,69.8,69.8,69.5
08/05/14,263390215.0,69.85,71.5,72.0,69.8
09/05/14,111953133.0,71.45,71.5,71.9,70.0
12/05/14,112101097.5,71.5,71.5,71.55,71.45
13/05/14,58280904.0,71.5,71.6,71.7,71.5
14/05/14,95429255.5,71.0,71.1,71.1,70.0
15/05/14,173450503.0,71.0,70.85,71.3,70.7
16/05/14,42097076.0,70.25,69.4,71.2,68.0
19/05/14,18325690.5,69.4,68.7,69.8,68.2
20/05/14,30704945.5,69.4,69.75,71.0,68.7
21/05/14,98888571.5,69.4,66.3,69.9,66.1
22/05/14,104766543.5,66.3,66.0,67.95,66.0
23/05/14,183912264.0,66.0,65.4,66.0,65.15
26/05/14,49817709.5,65.4,64.95,65.45,64.75
27/05/14,140539530.5,64.6,64.0,64.6,64.0
28/05/14,242545075.0,63.45,63.35,63.5,62.7
29/05/14,174333250.0,64.1,63.0,64.9,62.1
30/05/14,123548098.0,63.05,63.5,64.2,63.05
02/06/14,205940842.5,64.0,66.9,67.0,63.8
03/06/14,167735441.5,68.0,67.75,68.0,67.1
04/06/14,125477822.5,66.7,68.3,68.5,66.7
05/06/14,103483778.5,68.0,68.6,69.0,67.9
06/06/14,170429305.0,69.0,70.3,70.5,69.0
09/06/14,29801337.5,70.5,70.3,70.8,70.3
10/06/14,126762374.0,70.35,70.3,70.45,70.0
11/06/14,5218687.0,70.2,67.6,70.3,67.6
13/06/14,37049305.5,69.7,69.5,69.95,67.8
16/06/14,138988011.0,69.5,68.0,69.5,67.7
17/06/14,136272321.0,68.1,66.5,68.1,66.5
18/06/14,153851016.0,66.75,66.5,67.0,66.45
19/06/14,89440332.5,67.5,67.05,67.8,66.8
20/06/14,353444772.0,67.05,67.0,68.45,66.2
23/06/14,113614741.0,66.55,69.0,69.2,66.5
24/06/14,107634315.0,69.0,69.8,70.0,69.0
25/06/14,146006584.0,69.8,70.5,70.5,69.0
26/06/14,174991464.5,70.6,71.1,71.3,70.5
27/06/14,65854135.0,71.0,72.9,74.0,70.1
30/06/14,164393167.5,73.0,72.95,73.0,72.0
01/07/14,93018296.0,72.95,72.85,73.0,72.8
02/07/14,12391578.5,72.85,71.9,72.85,71.9
03/07/14,49649759.0,72.0,72.0,72.8,71.85
04/07/14,39146363.5,72.05,72.0,72.7,71.9
07/07/14,47902616.5,71.0,72.0,72.0,71.0
08/07/14,36892383.0,72.4,72.0,72.4,71.7
09/07/14,23328601.0,70.6,69.5,71.95,69.5
10/07/14,43893180.5,69.6,68.75,70.0,68.75
11/07/14,36963605.0,68.75,68.65,68.8,68.5
14/07/14,46040073.5,69.0,67.5,69.0,67.5
15/07/14,93725210.5,67.15,66.2,67.4,65.15
17/07/14,68721174.0,66.2,66.7,66.9,66.2
18/07/14,12343247.0,66.5,66.2,66.5,66.0
21/07/14,132725096.5,66.2,66.8,67.0,65.3
22/07/14,52118566.0,66.8,67.45,67.55,66.8
23/07/14,103767583.0,67.1,66.8,67.15,66.0
24/07/14,28165607.5,66.8,66.05,66.8,66.0
25/07/14,6476139.0,66.05,66.2,66.7,66.05
28/07/14,24679719.0,66.2,66.4,66.85,66.2
30/07/14,112165778.5,66.4,66.4,66.6,66.35
31/07/14,89298875.0,66.35,65.6,66.4,65.55
01/08/14,440036051.5,65.35,64.8,65.35,64.8
04/08/14,66040141.5,65.8,65.2,65.8,64.8
05/08/14,40751869.0,65.4,64.85,65.4,64.8
06/08/14,12068339.5,65.0,65.85,66.0,64.8
07/08/14,21859076.0,65.85,65.0,65.95,64.85
08/08/14,201005604.00000003,64.85,65.0,65.65,64.85
11/08/14,2122831.0,65.0,65.15,66.0,65.0
12/08/14,180236365.5,65.15,64.8,65.55,64.8
13/08/14,168556724.5,64.8,64.85,65.0,64.8
14/08/14,69026732.5,65.5,65.5,65.5,65.2
15/08/14,59211324.0,66.0,65.6,66.4,65.1
18/08/14,56940532.0,65.6,65.55,65.8,64.5
19/08/14,71620775.0,66.0,65.4,66.0,65.35
20/08/14,59505303.0,65.4,65.8,66.0,65.4
22/08/14,81392662.5,65.5,64.35,65.65,64.15
26/08/14,72532350.5,64.8,62.55,64.8,62.05
27/08/14,43391347.0,62.5,62.5,63.95,62.1
28/08/14,73628313.0,62.5,62.7,64.0,62.5
29/08/14,47124679.0,63.0,62.1,63.0,62.0
01/09/14,4243021.5,62.4,63.0,63.0,62.3
02/09/14,61709771.5,63.45,62.0,63.45,61.5
03/09/14,127402019.5,62.15,62.6,63.0,62.15
04/09/14,259096394.0,62.8,64.0,64.15,62.8
05/09/14,121630350.5,64.25,66.8,66.8,64.25
08/09/14,236218220.5,66.7,69.0,69.45,66.7
09/09/14,160676840.5,68.95,67.0,68.95,66.05
10/09/14,348722316.0,67.0,68.0,68.5,66.05
11/09/14,58343257.0,67.7,66.6,67.7,66.1
12/09/14,60498184.0,66.15,65.05,66.15,65.05
15/09/14,57197332.5,65.05,64.25,65.05,63.75
16/09/14,78514795.5,64.25,64.7,65.15,64.25
17/09/14,140989638.5,64.8,64.95,65.0,64.7
18/09/14,64189940.0,64.95,64.3,64.95,64.25
