Date,Value,Open,Close,High,Low
11/05/12,44400440.0,7.7,4.9,7.71,4.02
14/05/12,11151330.0,5.09,3.75,5.15,3.65
15/05/12,4453120.0,3.73,3.05,3.73,2.51
16/05/12,7338960.0,3.16,2.6,3.3,2.6
17/05/12,9508840.0,2.7,3.48,3.6,2.7
18/05/12,8366350.0,3.39,3.6,4.0,3.13
21/05/12,3482390.0,3.6,3.7,3.9,3.6
22/05/12,3109140.0,3.7,3.55,3.89,3.5
23/05/12,855230.0,3.55,3.48,3.55,3.39
24/05/12,1449670.0,3.55,3.3,3.6,3.28
25/05/12,2270670.0,3.46,3.23,3.5,3.23
28/05/12,1674550.0,3.25,3.14,3.25,3.12
29/05/12,1991500.0,3.15,3.15,3.37,3.14
30/05/12,2461060.0,3.16,3.1,3.17,3.0
31/05/12,2268570.0,3.2,3.02,3.2,3.0
01/06/12,2151730.0,3.0,3.15,3.35,3.0
04/06/12,392690.0,3.15,3.14,3.15,3.04
05/06/12,265450.0,3.14,3.06,3.14,3.05
06/06/12,1907400.0,3.06,3.2,3.25,3.06
07/06/12,1192120.0,3.25,3.18,3.25,3.18
08/06/12,292220.0,3.16,3.15,3.16,3.1
11/06/12,414250.0,3.24,3.16,3.24,3.12
13/06/12,565370.0,3.2,3.12,3.2,3.12
14/06/12,197930.0,3.14,3.12,3.19,3.12
15/06/12,264540.0,3.16,3.08,3.18,3.08
18/06/12,207860.0,3.16,3.1,3.16,3.1
19/06/12,421380.0,3.05,3.09,3.1,3.05
20/06/12,1241790.0,3.1,3.09,3.12,3.07
21/06/12,1390730.0,3.08,3.08,3.11,3.08
22/06/12,502640.0,3.08,3.08,3.09,3.07
25/06/12,981560.0,3.08,3.08,3.1,3.07
26/06/12,187900.0,3.08,3.08,3.09,3.08
27/06/12,338070.0,3.07,3.07,3.09,3.06
28/06/12,1191210.0,3.09,3.13,3.25,3.05
29/06/12,747170.0,3.13,3.1,3.13,3.08
02/07/12,394160.0,3.09,3.1,3.17,3.09
03/07/12,718070.0,3.1,3.13,3.17,3.1
04/07/12,233340.0,3.15,3.14,3.17,3.13
05/07/12,785220.0,3.15,3.14,3.17,3.14
06/07/12,4415120.0,3.14,3.55,3.55,3.14
09/07/12,1544740.0,3.5,3.45,3.53,3.35
10/07/12,1455770.0,3.35,3.3,3.36,3.2
11/07/12,1902900.0,3.3,3.22,3.5,3.18
12/07/12,322220.0,3.22,3.32,3.39,3.16
13/07/12,340510.0,3.2,3.44,3.5,3.2
16/07/12,461810.0,3.4,3.26,3.4,3.21
17/07/12,708830.0,3.26,3.25,3.3,3.2
18/07/12,4011760.0,3.4,3.09,3.4,3.02
19/07/12,441200.0,3.15,3.12,3.17,3.11
20/07/12,104980.0,3.12,3.17,3.2,3.12
23/07/12,222620.0,3.17,3.09,3.17,3.05
24/07/12,415450.0,3.06,3.09,3.15,3.05
25/07/12,344700.0,3.09,3.16,3.25,3.09
26/07/12,140860.0,3.16,3.13,3.16,3.1
27/07/12,228190.0,3.13,3.12,3.13,3.11
30/07/12,278510.0,3.13,3.13,3.16,3.12
31/07/12,1140520.0,3.13,3.1,3.13,3.09
01/08/12,313430.0,3.18,3.14,3.18,3.08
02/08/12,784220.0,3.08,3.09,3.09,3.05
03/08/12,24891630.0,3.08,4.0,4.1,3.08
06/08/12,17464070.0,4.33,4.31,4.63,4.2
08/08/12,5439420.0,4.31,4.05,4.31,4.05
09/08/12,4063280.0,4.1,3.98,4.14,3.98
10/08/12,6575350.0,4.1,4.06,4.42,4.05
13/08/12,1065230.0,4.07,4.06,4.2,4.05
14/08/12,2683670.0,4.03,4.09,4.25,4.03
15/08/12,472490.0,4.1,4.09,4.2,4.09
16/08/12,1070640.0,4.09,3.98,4.09,3.98
17/08/12,1828160.0,3.92,3.85,3.94,3.85
22/08/12,405330.0,3.86,3.85,4.0,3.85
23/08/12,168110.0,3.96,3.85,3.96,3.85
24/08/12,1970120.0,3.8,3.58,3.8,3.57
28/08/12,651600.0,3.58,3.63,3.74,3.58
29/08/12,713960.0,3.62,3.58,3.62,3.58
30/08/12,585660.0,3.56,3.6,3.6,3.56
31/08/12,457070.0,3.6,3.57,3.6,3.55
03/09/12,414760.0,3.59,3.65,3.68,3.59
04/09/12,493440.0,3.65,3.56,3.7,3.56
05/09/12,1537500.0,3.57,3.45,3.57,3.45
06/09/12,372430.0,3.46,3.41,3.46,3.41
07/09/12,1006110.0,3.45,3.4,3.5,3.4
10/09/12,435920.0,3.54,3.39,3.54,3.39
11/09/12,1625660.0,3.38,3.33,3.38,3.32
12/09/12,815430.0,3.33,3.33,3.35,3.3
13/09/12,1333140.0,3.33,3.29,3.33,3.28
14/09/12,793350.0,3.3,3.29,3.32,3.28
17/09/12,1026310.0,3.29,3.3,3.33,3.29
18/09/12,1048820.0,3.3,3.28,3.3,3.27
19/09/12,3077200.0,3.28,3.35,3.48,3.27
20/09/12,527000.0,3.36,3.38,3.42,3.34
21/09/12,725020.0,3.4,3.34,3.4,3.33
24/09/12,924860.0,3.34,3.3,3.34,3.29
25/09/12,860120.0,3.29,3.29,3.3,3.29
26/09/12,500450.0,3.29,3.28,3.3,3.28
27/09/12,1622340.0,3.29,3.28,3.3,3.28
28/09/12,1416360.0,3.29,3.29,3.48,3.29
01/10/12,1692260.0,3.3,3.38,3.4,3.3
02/10/12,870100.0,3.45,3.41,3.45,3.37
03/10/12,1155790.0,3.4,3.36,3.41,3.36
04/10/12,855830.0,3.36,3.36,3.4,3.33
05/10/12,1465160.0,3.36,3.38,3.5,3.36
08/10/12,1436860.0,3.36,3.38,3.45,3.36
09/10/12,332040.0,3.32,3.36,3.37,3.32
10/10/12,1072850.0,3.37,3.34,3.37,3.31
11/10/12,169850.0,3.3,3.36,3.36,3.3
12/10/12,275450.0,3.31,3.32,3.33,3.3
15/10/12,1014920.0,3.36,3.34,3.4,3.34
16/10/12,1102170.0,3.33,3.32,3.35,3.32
17/10/12,711200.0,3.32,3.32,3.41,3.32
18/10/12,1838290.0,3.32,3.3,3.33,3.29
