Date,Value,Open,Close,High,Low
03/08/09,2900.0,2.9,2.9,2.9,2.9
12/08/09,18000.0,3.0,3.0,3.0,3.0
13/08/09,6000.0,3.0,3.0,3.0,3.0
20/08/09,30000.0,3.0,3.0,3.0,3.0
24/08/09,20300.0,2.9,2.9,2.9,2.9
16/09/09,13400.0,3.3,3.5,3.5,3.3
17/09/09,7000.0,3.5,3.5,3.5,3.5
23/09/09,19000.0,3.1,3.5,3.5,3.1
30/09/09,34500.0,3.1,3.5,3.5,3.1
01/10/09,6900.0,3.4,3.5,3.5,3.4
05/10/09,894500.0,3.3,3.3,3.5,3.3
06/10/09,46400.0,3.3,3.5,3.5,3.3
07/10/09,24500.0,3.5,3.5,3.5,3.5
09/10/09,10200.0,3.4,3.4,3.4,3.4
12/10/09,20400.0,3.5,3.4,3.5,3.3
14/10/09,9900.0,3.2,3.5,3.5,3.2
15/10/09,44200.0,3.4,3.4,3.4,3.4
16/10/09,55700.0,3.2,3.3,3.4,3.2
19/10/09,160350.0,3.2,3.35,3.35,3.2
20/10/09,291400.0,3.4,3.5,3.5,3.4
23/10/09,93150.0,3.15,3.45,3.45,3.15
26/10/09,69000.0,3.45,3.45,3.45,3.45
28/10/09,27200.0,3.4,3.4,3.4,3.4
30/10/09,103100.0,3.3,3.35,3.35,3.3
05/11/09,141700.0,2.55,3.1,3.1,2.55
06/11/09,261500.0,3.1,3.1,3.2,2.85
09/11/09,38000.0,3.0,2.9,3.0,2.9
10/11/09,14000.0,2.8,2.8,2.8,2.8
16/12/09,42750.0,2.85,2.85,2.85,2.85
17/12/09,22550.0,2.85,2.8,2.85,2.8
18/12/09,58000.0,2.9,2.9,2.9,2.9
08/01/10,56150.0,3.1,3.15,3.15,3.1
12/01/10,9750.0,3.25,3.25,3.25,3.25
13/01/10,26000.0,3.25,3.25,3.25,3.25
14/01/10,38400.0,3.3,3.1,3.3,3.1
20/01/10,3100.0,3.1,3.1,3.1,3.1
21/01/10,3100.0,3.1,3.1,3.1,3.1
25/01/10,3150.0,3.15,3.15,3.15,3.15
26/01/10,6300.0,3.15,3.15,3.15,3.15
27/01/10,142700.0,3.15,3.1,3.15,3.1
08/03/10,5600.0,2.8,2.8,2.8,2.8
04/05/10,62400.0,2.6,2.6,2.6,2.6
26/05/10,2550.0,2.55,2.55,2.55,2.55
27/05/10,5100.0,2.55,2.55,2.55,2.55
28/05/10,7800.0,2.6,2.6,2.6,2.6
01/06/10,10400.0,2.6,2.6,2.6,2.6
02/06/10,10300.0,2.6,2.55,2.6,2.55
15/06/10,12750.0,2.55,2.55,2.55,2.55
21/06/10,10500.0,2.6,2.65,2.65,2.6
22/06/10,2550.0,2.55,2.55,2.55,2.55
24/06/10,5100.0,2.55,2.55,2.55,2.55
29/06/10,84150.0,2.55,2.55,2.55,2.55
21/07/10,15600.0,2.6,2.6,2.6,2.6
21/09/10,8850.0,2.95,2.95,2.95,2.95
22/09/10,11810.0,2.93,2.96,2.96,2.93
24/09/10,88510.0,2.96,2.95,2.96,2.95
29/09/10,70800.0,2.95,2.95,2.95,2.95
04/10/10,2950.0,2.95,2.95,2.95,2.95
07/10/10,127810.0,2.91,2.9,2.91,2.9
13/10/10,177090.0,3.01,3.0,3.01,3.0
15/10/10,7570.0,3.07,4.5,4.5,3.07
18/10/10,25500.0,3.5,4.0,4.0,3.5
19/10/10,530960.0,3.94,3.9,3.94,3.5
20/10/10,183600.0,3.6,3.6,3.6,3.6
22/10/10,21640.0,3.5,3.65,3.69,3.5
26/10/10,3600.0,3.6,3.6,3.6,3.6
27/10/10,7240.0,3.6,3.64,3.64,3.6
28/10/10,1764000.0,3.6,3.6,3.6,3.6
03/11/10,73500.0,3.5,3.5,3.5,3.5
04/11/10,68400.0,3.6,3.6,3.6,3.6
12/11/10,191400.0,3.3,3.3,3.3,3.3
15/11/10,19960.0,3.34,3.3,3.34,3.3
17/11/10,415900.0,3.05,2.7,3.05,2.7
18/11/10,5700.0,2.85,2.85,2.85,2.85
19/11/10,17100.0,2.85,2.85,2.85,2.85
23/11/10,3190.0,3.19,3.19,3.19,3.19
25/11/10,3200.0,3.2,3.2,3.2,3.2
26/11/10,326400.0,3.2,3.2,3.2,3.2
30/11/10,6400.0,3.2,3.2,3.2,3.2
01/12/10,640000.0,3.2,3.2,3.2,3.2
03/12/10,704000.0,3.2,3.2,3.2,3.2
07/12/10,6000.0,3.0,3.0,3.0,3.0
08/12/10,63000.0,3.0,3.0,3.0,3.0
05/01/11,3190.0,3.19,3.19,3.19,3.19
11/01/11,31990.0,3.2,3.19,3.2,3.19
11/01/11,31990.0,3.2,3.19,3.2,3.19
13/01/11,9550.0,3.15,3.2,3.2,3.15
14/01/11,55200.0,3.2,2.9,3.2,2.9
17/01/11,123750.0,2.75,2.75,2.75,2.75
18/01/11,2750.0,2.75,2.75,2.75,2.75
19/01/11,8210.0,2.75,2.71,2.75,2.71
19/01/11,8210.0,2.75,2.71,2.75,2.71
25/01/11,2710.0,2.71,2.71,2.71,2.71
01/02/11,32500.0,2.75,2.7,2.75,2.7
01/02/11,32500.0,2.75,2.7,2.75,2.7
02/02/11,5500.0,2.75,2.75,2.75,2.75
24/02/11,33450.0,2.6,2.55,2.6,2.55
24/02/11,33450.0,2.6,2.55,2.6,2.55
02/03/11,290000.0,2.5,2.5,2.5,2.5
03/03/11,15000.0,2.5,2.5,2.5,2.5
07/03/11,8250.0,2.75,2.75,2.75,2.75
08/03/11,2750.0,2.75,2.75,2.75,2.75
08/03/11,2750.0,2.75,2.75,2.75,2.75
17/03/11,28800.0,2.4,2.4,2.4,2.4
24/03/11,5900.0,2.95,2.95,2.95,2.95
25/03/11,5800.0,2.9,2.9,2.9,2.9
30/03/11,2410.0,2.41,2.41,2.41,2.41
01/04/11,36750.0,2.45,2.45,2.45,2.45
04/04/11,7500.0,2.5,2.5,2.5,2.5
13/04/11,2780.0,2.78,2.78,2.78,2.78
15/04/11,5740.0,3.0,2.74,3.0,2.74
26/04/11,25000.0,2.5,2.5,2.5,2.5
27/04/11,12500.0,2.5,2.5,2.5,2.5
28/04/11,7800.0,2.6,2.6,2.6,2.6
10/05/11,101400.0,2.6,2.6,2.6,2.6
12/05/11,13000.0,2.6,2.6,2.6,2.6
16/05/11,32300.0,2.6,2.7,2.7,2.6
20/05/11,28800.0,2.88,2.88,2.88,2.88
23/05/11,2880.0,2.88,2.88,2.88,2.88
24/05/11,57840.0,2.88,2.9,2.9,2.88
27/05/11,174200.0,2.6,2.6,2.6,2.6
30/05/11,5200.0,2.6,2.6,2.6,2.6
01/06/11,12950.0,2.6,2.55,2.6,2.55
08/06/11,80160.0,2.52,2.5,2.52,2.5
09/06/11,358240.0,2.48,2.5,2.5,2.48
16/06/11,73720.0,2.47,2.44,2.47,2.44
21/06/11,96900.0,2.44,2.4,2.44,2.4
22/06/11,280500.0,2.4,2.46,2.46,2.4
23/06/11,115620.0,2.46,2.46,2.46,2.46
01/07/11,84580.0,2.41,3.3,3.38,2.41
05/07/11,62860.0,2.41,2.41,2.42,2.41
06/07/11,24750.0,2.45,2.76,2.76,2.44
07/07/11,17200.0,2.5,2.4,2.5,2.4
12/07/11,2740.0,2.74,2.74,2.74,2.74
18/07/11,22550.0,2.5,2.5,2.55,2.5
19/07/11,30560.0,2.6,2.52,2.6,2.52
20/07/11,5500.0,2.75,2.75,2.75,2.75
21/07/11,7570.0,2.41,2.75,2.75,2.41
22/07/11,4820.0,2.41,2.41,2.41,2.41
25/07/11,2730.0,2.73,2.73,2.73,2.73
26/07/11,2700.0,2.7,2.7,2.7,2.7
27/07/11,27420.0,2.7,2.94,2.94,2.7
04/08/11,3490.0,3.49,3.49,3.49,3.49
05/08/11,19290.0,3.2,3.29,3.29,3.2
