Date,Value,Open,Close,High,Low
01/12/14,237432170.0,3.4,3.15,3.4,3.15
02/12/14,68533050.0,3.17,3.07,3.27,3.02
03/12/14,62156160.0,3.07,2.8,3.09,2.77
04/12/14,43334240.0,2.85,2.91,3.06,2.82
05/12/14,7625540.0,2.93,2.84,2.99,2.81
09/12/14,24728110.0,2.84,2.72,2.84,2.69
10/12/14,18563610.0,2.74,2.6,2.74,2.59
11/12/14,27229400.0,2.56,2.35,2.56,2.22
12/12/14,20187600.0,2.37,2.63,2.66,2.37
15/12/14,7001090.0,2.6,2.66,2.7,2.51
16/12/14,7700140.0,2.62,2.54,2.68,2.54
17/12/14,9499290.0,2.55,2.42,2.59,2.38
18/12/14,2933310.0,2.48,2.46,2.56,2.43
19/12/14,37415110.0,2.5,2.89,2.94,2.42
22/12/14,79788250.0,3.0,2.97,3.1,2.95
23/12/14,15171990.0,2.99,2.9,3.0,2.81
29/12/14,5997040.0,2.92,2.8,2.98,2.8
05/01/15,8348890.0,2.82,2.8,2.95,2.8
06/01/15,13064920.0,2.7,2.73,2.84,2.7
07/01/15,9616370.0,2.68,2.65,2.69,2.63
08/01/15,12952220.0,2.67,2.74,2.85,2.67
09/01/15,9015010.0,2.75,2.67,2.76,2.64
12/01/15,8082350.0,2.7,2.6,2.73,2.6
13/01/15,9901990.0,2.61,2.69,2.78,2.61
14/01/15,11958380.0,2.69,2.6,2.69,2.6
19/01/15,4989650.0,2.6,2.55,2.61,2.52
20/01/15,4257220.0,2.55,2.53,2.6,2.52
21/01/15,5558410.0,2.52,2.49,2.55,2.48
22/01/15,6941600.0,2.49,2.53,2.6,2.46
23/01/15,4763980.0,2.53,2.61,2.62,2.53
26/01/15,4906260.0,2.65,2.63,2.69,2.61
27/01/15,11519290.0,2.63,2.46,2.63,2.46
28/01/15,3791600.0,2.5,2.52,2.55,2.5
29/01/15,4957390.0,2.55,2.45,2.55,2.45
30/01/15,14805960.0,2.44,2.46,2.52,2.43
02/02/15,13693930.0,2.5,2.56,2.56,2.44
03/02/15,28820160.0,2.66,2.61,2.77,2.61
04/02/15,8131720.0,2.65,2.66,2.73,2.63
05/02/15,4213170.0,2.67,2.65,2.67,2.58
06/02/15,15300450.0,2.65,2.7,2.8,2.65
09/02/15,4856200.0,2.73,2.63,2.73,2.62
10/02/15,4788590.0,2.69,2.7,2.74,2.63
11/02/15,2610030.0,2.68,2.67,2.72,2.64
12/02/15,4867640.0,2.67,2.7,2.78,2.66
13/02/15,6249210.0,2.7,2.7,2.75,2.67
16/02/15,17257790.0,2.72,2.69,2.85,2.69
17/02/15,8750120.0,2.69,2.66,2.76,2.63
18/02/15,3564560.0,2.67,2.69,2.7,2.66
20/02/15,2244260.0,2.69,2.66,2.73,2.65
23/02/15,4645790.0,2.66,2.64,2.67,2.62
24/02/15,7448320.0,2.67,2.6,2.67,2.55
25/02/15,4225880.0,2.58,2.63,2.65,2.58
26/02/15,17287330.0,2.63,2.75,2.81,2.61
27/02/15,5982760.0,2.75,2.68,2.78,2.66
02/03/15,7242260.0,2.68,2.66,2.68,2.6
03/03/15,1473240.0,2.66,2.67,2.74,2.65
04/03/15,87662430.0,2.97,2.9,3.0,2.87
05/03/15,11452550.0,2.89,2.9,2.91,2.84
06/03/15,6973580.0,2.9,2.91,2.93,2.87
09/03/15,4853720.0,2.91,2.88,2.92,2.86
10/03/15,2680660.0,2.9,2.89,2.91,2.89
11/03/15,2759330.0,2.89,2.9,2.92,2.87
12/03/15,9299760.0,2.9,2.9,2.95,2.89
