Date,Value,Open,Close,High,Low
03/08/09,54030200.0,9.7,9.7,9.8,9.6
04/08/09,63850200.0,9.9,9.6,10.0,9.6
06/08/09,104232600.0,9.8,9.8,9.8,9.7
07/08/09,32171400.0,9.8,9.6,9.8,9.6
10/08/09,26454000.0,9.7,9.8,9.8,9.6
11/08/09,11971600.0,9.8,9.8,9.8,9.7
12/08/09,44866400.0,9.7,9.7,9.7,9.6
13/08/09,68950300.0,9.7,9.6,9.7,9.6
14/08/09,113234100.0,9.6,9.8,9.8,9.6
17/08/09,22880500.0,9.7,9.8,9.8,9.7
18/08/09,126675100.0,9.7,9.6,9.7,9.6
19/08/09,197849400.0,9.7,9.7,9.8,9.7
20/08/09,48280200.0,9.7,9.5,9.7,9.5
24/08/09,137941500.0,9.7,10.25,10.25,9.7
25/08/09,133930250.0,10.25,10.25,10.5,10.0
26/08/09,218482475.0,10.5,10.25,10.5,10.25
03/09/09,44261800.0,9.9,9.9,9.9,9.8
04/09/09,55897100.0,9.9,9.9,10.0,9.9
16/09/09,11330000.0,10.0,10.0,10.0,10.0
17/09/09,55398500.0,10.0,10.25,10.25,10.0
18/09/09,38457575.0,10.25,10.25,10.25,10.0
22/09/09,40843550.0,10.25,10.25,10.25,10.0
23/09/09,79655550.0,10.5,10.75,10.75,10.5
30/09/09,57914925.0,10.5,10.5,10.5,10.25
01/10/09,96193000.0,10.25,10.5,10.5,10.25
02/10/09,10411700.0,10.25,10.25,10.25,10.0
05/10/09,48506650.0,10.25,10.25,10.5,10.25
06/10/09,57317525.0,10.25,10.5,10.5,10.25
07/10/09,62417925.0,10.5,10.75,10.75,10.25
08/10/09,10011575.0,10.75,10.75,10.75,10.5
09/10/09,64690125.0,10.75,10.5,10.75,10.5
12/10/09,39851975.0,10.5,10.5,10.75,10.5
13/10/09,13699700.0,10.5,10.75,10.75,10.5
14/10/09,58599750.0,10.75,10.5,10.75,10.5
15/10/09,33911175.0,10.5,10.5,10.75,10.5
16/10/09,62606875.0,10.75,10.75,10.75,10.5
19/10/09,43528050.0,10.75,10.5,10.75,10.5
20/10/09,143732450.0,10.5,10.5,10.75,10.5
21/10/09,103805725.0,10.5,10.0,10.5,10.0
22/10/09,111175600.0,10.0,10.0,10.25,9.9
23/10/09,211370750.0,10.0,10.0,10.25,10.0
26/10/09,3871250.0,10.0,10.0,10.25,10.0
27/10/09,223750000.0,10.0,10.0,10.0,10.0
28/10/09,18494250.0,10.0,10.25,10.25,10.0
29/10/09,32002900.0,10.0,10.0,10.0,9.9
30/10/09,61587250.0,10.0,10.0,10.25,10.0
03/11/09,100155800.0,9.9,9.6,9.9,9.6
04/11/09,27110200.0,9.8,9.9,9.9,9.6
05/11/09,49263200.0,9.8,9.9,9.9,9.8
06/11/09,52456800.0,9.9,9.8,10.0,9.8
09/11/09,11078100.0,10.0,9.7,10.0,9.7
10/11/09,40429650.0,9.9,10.25,10.25,9.9
11/11/09,74189550.0,10.25,10.25,10.25,10.0
15/12/09,108490100.0,9.7,9.6,9.7,9.6
16/12/09,34233600.0,9.6,9.6,9.6,9.6
17/12/09,70964100.0,9.6,9.6,9.7,9.6
18/12/09,52204400.0,9.6,9.7,9.8,9.6
21/12/09,140324800.0,9.8,9.7,9.8,9.6
22/12/09,115716700.0,9.7,9.8,9.8,9.7
23/12/09,18967800.0,9.7,9.7,9.8,9.7
29/12/09,34039800.0,9.9,9.8,9.9,9.8
04/01/10,15417000.0,9.8,9.7,9.8,9.6
05/01/10,40981200.0,9.8,9.9,9.9,9.8
06/01/10,12393100.0,9.8,9.9,9.9,9.8
07/01/10,8439100.0,9.9,9.8,9.9,9.8
08/01/10,17751300.0,9.9,9.8,9.9,9.8
11/01/10,9181900.0,9.9,9.9,9.9,9.8
12/01/10,243926300.0,9.8,9.8,9.9,9.8
13/01/10,27696100.0,9.8,9.9,9.9,9.8
14/01/10,5493100.0,9.8,9.8,9.9,9.8
15/01/10,11780400.0,9.9,9.8,9.9,9.8
18/01/10,4603800.0,9.8,9.8,9.8,9.7
19/01/10,3628600.0,9.8,9.7,9.8,9.7
20/01/10,33558300.0,9.8,9.6,9.8,9.6
21/01/10,11031700.0,9.6,9.7,9.7,9.6
22/01/10,61172100.0,9.5,9.4,9.5,9.3
25/01/10,13016900.0,9.4,9.3,9.4,9.2
26/01/10,43620200.0,9.3,9.3,9.5,9.3
27/01/10,35528200.0,9.3,9.2,9.3,9.1
28/01/10,48974400.0,9.2,9.5,9.6,9.2
29/01/10,58235800.0,9.5,9.4,9.5,9.3
01/02/10,54079100.0,9.4,9.2,9.4,9.2
02/02/10,39135900.0,9.2,9.2,9.3,9.1
03/02/10,19652500.0,9.4,9.3,9.4,9.2
04/02/10,36002200.0,9.3,9.5,9.6,9.2
05/02/10,73608300.0,9.3,9.2,9.3,9.2
08/02/10,61343800.0,9.2,8.9,9.2,8.7
09/02/10,195299600.0,9.0,9.1,9.1,8.7
10/02/10,49812200.0,9.2,9.4,9.4,9.2
11/02/10,109913100.0,9.2,9.6,9.6,9.2
08/03/10,18276500.0,9.5,9.5,9.5,9.4
12/03/10,6697600.0,9.5,9.5,9.6,9.5
15/03/10,7280800.0,9.6,9.6,9.6,9.5
16/03/10,104623600.0,9.5,9.5,9.6,9.5
17/03/10,142303900.0,9.5,9.6,9.6,9.5
31/03/10,79420000.0,9.9,9.8,10.0,9.8
20/04/10,112993200.0,9.7,9.7,9.8,9.6
21/04/10,78167000.0,9.7,9.7,9.8,9.7
22/04/10,81786700.0,9.8,9.9,9.9,9.7
23/04/10,71808050.0,9.8,10.0,10.25,9.8
29/04/10,166635200.0,10.25,10.25,10.25,10.0
30/04/10,201366375.0,10.25,10.25,10.5,10.0
04/05/10,88246775.0,10.5,10.25,10.5,10.0
05/05/10,163951380.0,10.0,9.9,10.0,9.9
13/05/10,134117950.0,10.75,11.0,11.25,10.75
14/05/10,164343800.0,10.75,11.25,11.75,10.75
17/05/10,56813750.0,11.25,11.25,11.5,11.0
18/05/10,80809200.0,11.25,10.75,11.25,10.5
19/05/10,59754250.0,10.5,10.25,10.5,10.25
20/05/10,38041775.0,10.5,10.25,10.75,10.25
21/05/10,52321660.0,10.25,10.0,10.25,9.9
24/05/10,149600750.0,10.0,10.25,10.25,10.0
25/05/10,193077525.0,10.0,10.25,10.25,9.9
26/05/10,390804700.0,10.25,11.0,11.0,10.25
27/05/10,89298125.0,10.5,10.5,10.75,10.5
28/05/10,369283375.0,10.75,10.5,11.0,10.25
31/05/10,140241775.0,10.5,10.5,10.5,10.25
01/06/10,57157900.0,10.5,10.5,10.75,10.5
02/06/10,58862225.0,10.25,10.25,10.75,10.25
03/06/10,147224650.0,10.75,11.0,11.0,10.5
04/06/10,2832924875.0,11.0,11.0,11.0,10.75
07/06/10,99342300.0,10.75,10.5,10.75,10.5
08/06/10,114667275.0,10.5,10.75,10.75,10.5
09/06/10,39817425.0,10.75,10.5,10.75,10.5
10/06/10,97277025.0,10.5,10.25,10.5,10.25
11/06/10,62110100.0,10.5,10.25,10.75,10.25
15/06/10,46264475.0,10.5,10.25,10.5,10.25
16/06/10,148902100.0,10.5,10.5,10.75,10.25
21/06/10,75518225.0,10.5,10.5,10.75,10.5
22/06/10,197099225.0,10.75,10.5,11.0,10.5
23/06/10,111535775.0,10.5,10.75,10.75,10.5
24/06/10,357665000.0,10.75,10.75,11.0,10.5
25/06/10,14242850.0,10.75,10.75,11.0,10.5
28/06/10,17311400.0,11.0,10.75,11.0,10.75
29/06/10,49975775.0,10.75,11.0,11.0,10.75
01/07/10,89946050.0,10.5,10.5,10.75,10.5
02/07/10,158984150.0,10.75,10.25,10.75,10.25
06/07/10,27324375.0,10.25,10.5,10.5,10.25
07/07/10,90906200.0,10.75,10.75,10.75,10.5
08/07/10,72118725.0,10.5,10.25,10.75,10.25
09/07/10,314313925.0,10.25,10.25,10.5,10.25
13/07/10,208183300.0,10.5,10.5,10.75,10.25
14/07/10,173581525.0,10.5,10.75,11.0,10.5
15/07/10,484723200.0,10.75,11.0,11.5,10.75
16/07/10,80100600.0,11.0,10.75,11.25,10.75
19/07/10,174400950.0,10.75,10.5,11.0,10.5
20/07/10,30936900.0,10.75,10.75,10.75,10.5
21/07/10,76296975.0,10.75,10.75,10.75,10.5
22/07/10,51444900.0,10.5,10.5,10.75,10.5
23/07/10,357001325.0,10.75,10.5,10.75,10.5
20/09/10,58623008.0,12.34,12.24,12.36,12.24
21/09/10,163578344.0,12.28,12.4,12.6,12.28
22/09/10,150192386.0,12.5,12.42,12.5,12.38
23/09/10,34998916.0,12.5,12.5,12.54,12.48
24/09/10,43398588.0,12.52,12.44,12.52,12.44
27/09/10,121401912.0,12.48,12.76,12.86,12.48
28/09/10,83749104.0,12.6,12.62,12.76,12.54
29/09/10,68424772.0,12.7,12.62,12.7,12.5
30/09/10,156488182.0,12.6,12.62,12.66,12.52
01/10/10,84273472.0,12.5,12.8,12.86,12.48
04/10/10,82422652.0,13.0,13.08,13.16,12.9
05/10/10,163158458.0,13.06,12.9,13.08,12.9
06/10/10,79289736.0,13.08,13.04,13.12,13.04
07/10/10,81537036.0,13.02,13.0,13.04,12.92
08/10/10,52188300.0,13.0,12.78,13.0,12.78
12/10/10,117478910.0,12.5,11.98,12.5,11.7
13/10/10,318992486.0,11.96,11.98,12.12,11.68
14/10/10,162723894.0,12.3,11.98,12.3,11.94
15/10/10,142426168.0,11.98,11.7,12.2,11.68
18/10/10,133178280.0,11.7,11.72,11.8,11.68
19/10/10,103594302.0,11.96,11.9,11.96,11.64
20/10/10,94844112.0,11.7,11.74,11.94,11.54
21/10/10,102584910.0,11.8,12.1,12.12,11.8
22/10/10,149616076.0,12.12,12.06,12.12,11.98
26/10/10,111506244.0,12.06,12.4,12.4,12.0
27/10/10,121976274.0,12.3,12.1,12.3,12.08
28/10/10,135699194.0,12.16,12.0,12.16,11.98
29/10/10,143654188.0,12.06,11.96,12.06,11.8
02/11/10,97621554.0,11.96,11.8,11.96,11.62
03/11/10,110773138.0,11.82,11.96,12.0,11.76
04/11/10,53603482.0,12.0,11.94,12.04,11.92
08/11/10,172112792.0,11.74,11.74,11.9,11.72
09/11/10,135633450.0,11.94,11.74,11.94,11.7
10/11/10,183293156.0,11.74,11.76,11.8,11.7
11/11/10,150081384.0,11.76,11.88,11.9,11.76
12/11/10,68853902.0,11.88,11.88,11.94,11.8
15/11/10,42463504.0,11.88,11.88,11.9,11.7
17/11/10,101077950.0,11.88,11.3,11.88,11.3
18/11/10,94788670.0,11.6,11.3,11.6,11.28
19/11/10,79756378.0,11.36,11.66,11.66,11.36
22/11/10,74438158.0,11.68,11.66,11.78,11.6
23/11/10,82182668.0,11.66,11.58,11.66,11.54
24/11/10,62731168.0,11.56,11.28,11.56,11.2
25/11/10,13433786.0,11.28,11.4,11.56,11.28
26/11/10,55092682.0,11.5,11.3,11.5,11.16
30/11/10,208185450.0,11.3,10.0,11.38,10.0
01/12/10,167548226.0,10.74,11.08,11.18,10.74
02/12/10,68546280.0,11.12,11.4,11.44,11.12
03/12/10,59903230.0,11.44,11.3,11.48,11.3
06/12/10,50044462.0,11.5,11.62,11.62,11.42
07/12/10,68607158.0,11.86,11.78,11.86,11.68
08/12/10,52038290.0,11.8,11.58,11.8,11.54
16/12/10,105513026.0,10.84,10.7,10.92,10.36
22/12/10,33016322.0,10.8,11.06,11.1,10.8
23/12/10,54128272.0,11.08,11.3,11.3,11.08
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
28/12/10,9951824.0,11.2,11.3,11.44,11.2
29/12/10,25680710.0,11.3,11.5,11.5,11.2
29/12/10,25680710.0,11.3,11.5,11.5,11.2
03/01/11,27194078.0,11.38,11.3,11.38,11.28
03/01/11,27194078.0,11.38,11.3,11.38,11.28
03/01/11,27194078.0,11.38,11.3,11.38,11.28
04/01/11,11656864.0,11.34,11.38,11.5,11.34
05/01/11,28210544.0,11.44,11.38,11.46,11.38
06/01/11,83083150.0,11.36,11.32,11.36,11.3
07/01/11,68318184.0,11.32,11.3,11.32,11.3
10/01/11,56715364.0,11.3,11.16,11.3,11.1
11/01/11,51433848.0,11.14,11.0,11.14,10.92
11/01/11,51433848.0,11.14,11.0,11.14,10.92
12/01/11,66057686.0,11.0,11.0,11.12,11.0
13/01/11,106904008.0,11.0,10.9,11.0,10.84
14/01/11,65935126.0,10.9,11.0,11.08,10.9
17/01/11,53312882.0,11.02,10.96,11.02,10.9
18/01/11,38805150.0,10.98,10.76,11.0,10.76
19/01/11,32809118.0,10.9,10.86,10.9,10.8
19/01/11,32809118.0,10.9,10.86,10.9,10.8
20/01/11,63984560.0,10.86,10.4,10.86,10.4
20/01/11,63984560.0,10.86,10.4,10.86,10.4
24/01/11,62904780.0,10.44,10.64,10.7,10.4
25/01/11,53944018.0,11.0,10.98,11.1,10.9
26/01/11,65582454.0,11.0,10.66,11.0,10.58
27/01/11,16114514.0,10.7,10.98,11.0,10.7
28/01/11,68090450.0,10.98,10.54,11.0,10.4
28/01/11,68090450.0,10.98,10.54,11.0,10.4
31/01/11,150448406.0,10.4,10.36,10.44,10.2
31/01/11,150448406.0,10.4,10.36,10.44,10.2
01/02/11,77186642.0,10.46,10.4,10.48,10.28
01/02/11,77186642.0,10.46,10.4,10.48,10.28
02/02/11,29946900.0,10.58,10.7,10.74,10.4
03/02/11,20018110.0,11.0,10.94,11.0,10.74
14/02/11,36547054.0,10.48,10.7,10.7,10.4
16/02/11,33802898.0,10.6,10.9,11.0,10.6
16/02/11,33802898.0,10.6,10.9,11.0,10.6
17/02/11,129674398.0,10.98,10.8,11.0,10.8
18/02/11,65542188.0,10.8,10.78,10.9,10.78
21/02/11,60520364.0,10.8,10.8,10.84,10.8
21/02/11,60520364.0,10.8,10.8,10.84,10.8
22/02/11,84365332.0,10.86,10.7,10.96,10.5
22/02/11,84365332.0,10.86,10.7,10.96,10.5
23/02/11,38702034.0,10.62,10.6,10.7,10.46
23/02/11,38702034.0,10.62,10.6,10.7,10.46
24/02/11,63846660.0,10.62,10.5,10.68,10.48
24/02/11,63846660.0,10.62,10.5,10.68,10.48
25/02/11,43057012.0,10.5,10.2,10.5,10.2
28/02/11,92904936.0,10.2,10.1,10.2,9.96
02/03/11,41450030.0,10.3,10.5,10.5,10.16
03/03/11,81450152.0,10.6,10.56,10.94,10.5
04/03/11,141452072.0,10.8,11.24,11.34,10.8
04/03/11,141452072.0,10.8,11.24,11.34,10.8
07/03/11,143530282.0,11.18,11.24,11.3,11.18
08/03/11,139228528.0,11.24,11.4,11.56,11.24
08/03/11,139228528.0,11.24,11.4,11.56,11.24
11/03/11,55618624.0,11.34,11.4,11.4,11.16
11/03/11,55618624.0,11.34,11.4,11.4,11.16
16/03/11,119114324.0,11.48,11.26,11.48,11.18
17/03/11,61482640.0,11.2,10.8,11.2,10.76
18/03/11,73289438.0,10.8,10.76,10.98,10.74
21/03/11,35679224.0,10.76,10.96,11.1,10.7
22/03/11,17513644.0,11.16,10.96,11.16,10.96
23/03/11,22209692.0,11.16,11.0,11.16,10.98
24/03/11,36148100.0,11.14,10.96,11.16,10.96
25/03/11,41735290.0,11.12,11.48,11.5,11.12
28/03/11,68243928.0,11.5,11.74,11.76,11.5
29/03/11,86084474.0,11.66,11.62,11.72,11.6
