Date,Value,Open,Close,High,Low
03/08/09,1269720.0,1.8,1.96,1.96,1.8
04/08/09,913000.0,1.98,1.88,2.0,1.88
06/08/09,350520.0,1.78,1.82,1.88,1.78
07/08/09,363600.0,1.82,1.8,1.82,1.8
10/08/09,1667760.0,1.82,1.88,1.9,1.82
11/08/09,396200.0,1.9,1.88,1.9,1.88
12/08/09,178600.0,1.88,1.88,1.88,1.88
13/08/09,131600.0,1.88,1.88,1.88,1.88
14/08/09,26320.0,1.88,1.88,1.88,1.88
17/08/09,364800.0,1.86,1.82,1.86,1.82
18/08/09,349720.0,1.84,1.86,1.86,1.84
19/08/09,414680.0,1.84,1.84,1.84,1.82
20/08/09,470400.0,1.8,1.84,1.84,1.8
24/08/09,463740.0,1.86,1.88,1.88,1.86
25/08/09,1052200.0,1.88,1.9,1.9,1.88
26/08/09,180080.0,1.9,1.92,1.92,1.9
03/09/09,3239400.0,1.96,2.04,2.12,1.96
04/09/09,2065960.0,2.14,2.08,2.14,2.08
16/09/09,416820.0,2.0,1.98,2.0,1.98
17/09/09,1340400.0,1.98,1.96,1.98,1.96
18/09/09,798000.0,2.0,1.98,2.0,1.98
22/09/09,842800.0,1.96,1.96,1.96,1.96
23/09/09,719760.0,1.96,1.94,1.96,1.94
30/09/09,19400.0,1.94,1.94,1.94,1.94
01/10/09,380400.0,1.92,1.9,1.92,1.9
02/10/09,206960.0,1.9,1.92,1.92,1.9
06/10/09,811460.0,1.94,1.98,2.0,1.94
07/10/09,15680.0,1.96,1.96,1.96,1.96
08/10/09,48000.0,1.92,1.92,1.92,1.92
09/10/09,542340.0,1.98,1.92,1.98,1.92
12/10/09,95000.0,1.9,1.9,1.9,1.9
15/10/09,184000.0,1.84,1.84,1.84,1.84
16/10/09,664320.0,1.9,1.96,1.96,1.9
21/10/09,7520.0,1.88,1.88,1.88,1.88
26/10/09,461600.0,1.86,1.82,1.86,1.82
27/10/09,57040.0,1.84,1.88,1.88,1.82
30/10/09,854520.0,1.74,1.84,1.84,1.74
03/11/09,170000.0,1.7,1.7,1.7,1.7
04/11/09,33600.0,1.68,1.68,1.68,1.68
05/11/09,100320.0,1.74,1.78,1.78,1.74
06/11/09,36200.0,1.8,1.82,1.82,1.8
09/11/09,719920.0,1.8,1.84,1.84,1.8
10/11/09,510800.0,1.84,1.78,1.84,1.78
15/12/09,290040.0,1.68,1.72,1.74,1.68
16/12/09,50860.0,1.66,1.64,1.66,1.64
21/12/09,398180.0,1.7,1.74,1.98,1.7
