Date,Value,Open,Close,High,Low
03/08/09,10776400.0,64.0,65.0,65.0,63.0
04/08/09,6548900.0,66.0,65.5,66.0,65.0
06/08/09,7841000.0,65.0,66.0,66.0,65.0
07/08/09,5288250.0,66.5,65.0,66.5,65.0
10/08/09,7557100.0,65.0,65.0,65.5,64.5
11/08/09,10800150.0,64.0,65.0,65.5,64.0
12/08/09,6230850.0,65.0,65.0,65.5,64.5
13/08/09,5882500.0,65.0,65.0,65.0,65.0
14/08/09,4045100.0,64.5,65.5,65.5,64.5
17/08/09,7697000.0,64.5,65.0,65.0,64.0
18/08/09,6567400.0,63.5,64.0,64.0,63.0
19/08/09,9988500.0,64.0,64.0,64.5,63.5
20/08/09,8037300.0,64.0,64.0,64.5,63.5
24/08/09,7501500.0,65.0,65.0,65.5,65.0
25/08/09,4022150.0,65.0,65.5,65.5,65.0
26/08/09,4095000.0,65.0,65.0,65.0,65.0
03/09/09,14975850.0,64.5,65.0,65.5,64.0
04/09/09,14958700.0,65.5,66.0,66.5,65.5
16/09/09,18379400.0,66.5,66.5,67.0,66.5
17/09/09,31318200.0,67.0,67.0,67.5,67.0
18/09/09,41625300.0,67.5,68.5,69.0,67.5
22/09/09,19082600.0,68.5,68.0,69.5,67.5
23/09/09,9257800.0,67.5,67.5,67.5,67.0
30/09/09,7750450.0,66.0,66.0,66.5,66.0
01/10/09,4672850.0,66.0,66.0,66.0,65.0
02/10/09,3943100.0,65.5,65.5,65.5,65.5
05/10/09,7647600.0,66.0,66.0,67.5,66.0
06/10/09,2679600.0,66.0,66.0,66.0,66.0
07/10/09,4565100.0,66.0,65.5,66.0,65.5
08/10/09,923550.0,65.5,65.5,65.5,65.5
09/10/09,2580700.0,65.5,65.5,65.5,65.5
12/10/09,6569250.0,65.5,65.5,65.5,65.0
13/10/09,6111200.0,65.0,65.5,66.0,65.0
14/10/09,5968650.0,65.5,66.0,66.5,65.5
15/10/09,1260600.0,66.0,66.0,66.0,66.0
16/10/09,6771600.0,66.0,66.5,66.5,65.5
