Date,Value,Open,Close,High,Low
13/08/09,10000.0,1.0,1.0,1.0,1.0
08/10/09,7300.0,0.73,0.73,0.73,0.73
14/10/09,71100.0,0.88,0.89,0.89,0.88
22/10/09,156400.0,0.92,0.92,0.92,0.92
26/10/09,154700.0,0.91,0.91,0.91,0.91
27/10/09,40000.0,1.0,1.0,1.0,1.0
28/10/09,9200.0,0.92,0.92,0.92,0.92
11/11/09,10000.0,1.0,1.0,1.0,1.0
16/12/09,10000.0,1.0,1.0,1.0,1.0
21/12/09,10000.0,1.0,1.0,1.0,1.0
21/01/10,30000.0,1.0,1.0,1.0,1.0
22/01/10,11000.0,1.1,1.1,1.1,1.1
25/01/10,820.0,0.82,0.82,0.82,0.82
05/02/10,9100.0,0.91,0.91,0.91,0.91
09/02/10,18200.0,0.91,0.91,0.91,0.91
29/04/10,39600.0,1.0,1.0,1.0,0.98
30/04/10,10000.0,1.0,1.0,1.0,1.0
04/05/10,109800.0,0.98,1.0,1.0,0.98
13/05/10,9800.0,0.98,0.98,0.98,0.98
19/05/10,19600.0,0.98,0.98,0.98,0.98
24/05/10,9900.0,0.99,0.99,0.99,0.99
11/06/10,9900.0,0.99,0.99,0.99,0.99
15/06/10,58800.0,0.98,0.98,0.98,0.98
21/06/10,50880.0,1.06,1.06,1.06,1.06
22/06/10,10600.0,1.06,1.06,1.06,1.06
23/06/10,33720.0,1.02,0.99,1.02,0.99
08/07/10,29400.0,0.98,0.98,0.98,0.98
19/07/10,9000.0,0.9,0.9,0.9,0.9
22/07/10,18000.0,0.9,0.9,0.9,0.9
21/09/10,6370.0,0.91,0.91,0.91,0.91
22/09/10,6440.0,0.92,0.92,0.92,0.92
27/09/10,15340.0,0.91,0.91,0.91,0.9
29/09/10,9600.0,0.95,1.0,1.0,0.95
06/10/10,2940.0,0.98,0.98,0.98,0.98
15/10/10,1980.0,0.99,0.99,0.99,0.99
18/10/10,30690.0,0.99,0.99,0.99,0.99
19/10/10,129150.0,0.99,0.98,0.99,0.98
26/10/10,2000.0,1.0,1.0,1.0,1.0
29/10/10,980.0,0.98,0.98,0.98,0.98
03/11/10,10800.0,1.08,1.08,1.08,1.08
04/11/10,3000.0,1.0,1.0,1.0,1.0
09/11/10,41000.0,1.0,1.0,1.0,1.0
26/11/10,26880.0,1.12,1.12,1.12,1.12
22/12/10,23920.0,0.92,0.92,0.92,0.92
23/12/10,39770.0,0.97,0.97,0.97,0.97
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
28/12/10,10000.0,1.0,1.0,1.0,1.0
29/12/10,11000.0,1.0,1.0,1.0,1.0
29/12/10,11000.0,1.0,1.0,1.0,1.0
03/01/11,8400.0,1.05,1.05,1.05,1.05
03/01/11,8400.0,1.05,1.05,1.05,1.05
03/01/11,8400.0,1.05,1.05,1.05,1.05
06/01/11,10500.0,1.05,1.05,1.05,1.05
07/01/11,24150.0,1.05,1.05,1.05,1.05
13/01/11,49500.0,0.99,0.99,0.99,0.99
19/01/11,87300.0,0.97,0.97,0.97,0.97
19/01/11,87300.0,0.97,0.97,0.97,0.97
24/01/11,970.0,0.97,0.97,0.97,0.97
26/01/11,11600.0,0.97,0.95,0.97,0.95
27/01/11,228920.0,0.96,1.0,1.0,0.96
02/02/11,7400.0,0.91,0.96,0.96,0.9
23/02/11,41040.0,1.0,1.03,1.03,1.0
23/02/11,41040.0,1.0,1.03,1.03,1.0
24/02/11,26000.0,1.0,1.0,1.0,1.0
24/02/11,26000.0,1.0,1.0,1.0,1.0
04/03/11,42000.0,1.0,1.0,1.0,1.0
04/03/11,42000.0,1.0,1.0,1.0,1.0
07/03/11,990.0,0.99,0.99,0.99,0.99
08/03/11,9900.0,0.99,0.99,0.99,0.99
08/03/11,9900.0,0.99,0.99,0.99,0.99
11/03/11,5940.0,0.99,0.99,0.99,0.99
11/03/11,5940.0,0.99,0.99,0.99,0.99
31/03/11,7920.0,0.99,0.99,0.99,0.99
06/04/11,1860.0,0.93,0.93,0.93,0.93
13/04/11,126980.0,0.94,0.9,0.94,0.9
26/04/11,43460.0,0.92,0.98,1.0,0.91
27/04/11,9800.0,0.98,0.98,0.98,0.98
28/04/11,1820.0,0.91,0.91,0.91,0.91
06/05/11,15400.0,1.0,1.04,1.04,1.0
11/05/11,20000.0,1.0,1.0,1.0,1.0
30/05/11,23720.0,1.04,1.02,1.04,1.02
