Date,Value,Open,Close,High,Low
03/08/09,8149700.0,42.5,43.5,43.5,42.5
04/08/09,12635700.0,44.0,44.0,45.0,44.0
06/08/09,12031900.0,45.0,44.5,45.5,44.0
07/08/09,10843400.0,44.5,44.0,44.5,44.0
10/08/09,4680000.0,44.0,44.0,44.5,44.0
11/08/09,1729200.0,44.0,44.0,44.0,44.0
12/08/09,893200.0,44.0,44.0,44.0,44.0
13/08/09,1038800.0,44.0,44.0,44.5,44.0
14/08/09,3326400.0,44.0,44.0,44.0,44.0
17/08/09,1775950.0,44.0,44.0,44.0,43.5
18/08/09,4978950.0,43.0,44.0,44.0,43.0
19/08/09,6846400.0,44.0,44.0,44.0,44.0
20/08/09,13226700.0,44.0,43.5,44.0,43.5
24/08/09,1920200.0,44.0,44.5,45.0,44.0
25/08/09,11666750.0,44.5,44.5,44.5,44.0
26/08/09,102509550.0,44.5,46.0,46.0,44.0
03/09/09,6730700.0,48.5,48.0,49.0,47.0
04/09/09,47570450.0,48.0,49.5,50.0,48.0
16/09/09,75546350.0,55.5,54.5,56.5,54.5
17/09/09,28697100.0,55.0,54.5,55.5,54.0
18/09/09,62562850.0,54.0,54.0,54.0,53.5
22/09/09,18974450.0,54.0,54.0,55.0,53.0
23/09/09,74132300.0,54.0,55.0,55.0,53.0
30/09/09,9226550.0,53.0,54.5,54.5,53.0
01/10/09,11427400.0,54.0,54.0,54.5,53.0
02/10/09,68999350.0,53.5,53.5,54.0,53.5
05/10/09,23137850.0,53.5,53.5,53.5,52.5
06/10/09,72969700.0,54.0,54.0,54.0,53.0
07/10/09,70902950.0,54.0,55.0,55.0,54.0
08/10/09,24105650.0,55.0,54.5,55.0,54.0
09/10/09,10976900.0,54.0,54.0,54.0,53.5
12/10/09,8929000.0,54.0,54.0,54.0,53.5
13/10/09,16681150.0,54.0,54.0,54.0,53.5
14/10/09,29750450.0,54.0,54.0,54.0,53.5
15/10/09,61965050.0,54.0,54.0,54.5,54.0
16/10/09,30829800.0,54.0,54.0,54.0,53.5
19/10/09,26438900.0,54.0,54.0,54.5,54.0
20/10/09,52436150.0,54.5,55.0,55.0,54.5
21/10/09,14552950.0,55.0,54.5,55.0,54.0
22/10/09,40363500.0,54.5,55.0,55.0,54.0
23/10/09,178594750.0,56.0,60.5,61.0,56.0
26/10/09,60501000.0,61.0,60.0,62.0,59.5
27/10/09,44690800.0,59.5,62.0,62.5,59.0
