Date,Value,Open,Close,High,Low
03/08/09,354400.0,39.0,40.0,40.0,39.0
04/08/09,4558250.0,41.0,40.5,42.0,40.5
06/08/09,1002650.0,41.0,41.0,41.0,39.5
07/08/09,8520000.0,40.0,40.0,40.0,40.0
10/08/09,278400.0,40.0,40.0,40.0,39.5
11/08/09,405150.0,40.0,40.5,40.5,40.0
12/08/09,44122750.0,40.0,40.0,40.0,39.5
13/08/09,4558750.0,40.0,39.5,40.0,39.5
14/08/09,1847350.0,39.5,39.0,39.5,39.0
17/08/09,1699000.0,38.5,39.0,39.0,38.0
18/08/09,1754200.0,38.5,39.0,39.0,38.5
19/08/09,4121050.0,43.0,40.5,43.0,40.0
20/08/09,234700.0,40.5,40.5,40.5,40.0
24/08/09,109350.0,40.5,40.5,40.5,40.5
25/08/09,1344400.0,40.5,40.5,40.5,40.0
03/09/09,5369300.0,39.5,39.0,39.5,38.5
04/09/09,17227400.0,39.5,38.5,39.5,38.0
16/09/09,604450.0,38.5,38.5,38.5,38.5
17/09/09,1355200.0,38.5,38.5,38.5,38.5
18/09/09,570050.0,38.5,39.0,39.0,38.5
22/09/09,7788550.0,38.5,38.5,38.5,38.5
23/09/09,22260700.0,38.5,38.5,38.5,38.5
30/09/09,1140600.0,38.5,39.0,39.0,38.5
01/10/09,392700.0,38.5,38.5,38.5,38.5
02/10/09,30191000.0,38.0,38.0,38.0,38.0
05/10/09,190000.0,38.0,38.0,38.0,38.0
06/10/09,125150.0,38.0,38.0,38.0,37.5
07/10/09,839800.0,38.0,38.0,38.0,38.0
08/10/09,840000.0,37.5,37.5,37.5,37.5
09/10/09,4696800.0,38.0,38.0,38.0,38.0
13/10/09,1848000.0,38.5,38.5,38.5,38.5
14/10/09,2367500.0,38.5,39.0,39.0,38.5
15/10/09,1738000.0,39.5,39.5,39.5,39.5
16/10/09,6057850.0,39.5,41.0,42.0,39.5
19/10/09,7343100.0,41.0,41.0,41.0,41.0
20/10/09,5789350.0,41.0,40.5,41.0,40.5
21/10/09,200000.0,40.0,40.0,40.0,40.0
22/10/09,2300450.0,40.0,40.5,41.0,40.0
23/10/09,4485900.0,41.0,41.0,41.5,41.0
26/10/09,716850.0,40.5,40.5,40.5,40.5
27/10/09,2836400.0,40.5,40.0,40.5,40.0
28/10/09,829500.0,39.5,39.5,39.5,39.5
29/10/09,1354850.0,39.5,39.5,39.5,39.5
30/10/09,2572500.0,39.5,40.0,40.0,39.5
03/11/09,117000.0,39.0,39.0,39.0,39.0
04/11/09,81900.0,39.0,39.0,39.0,39.0
05/11/09,423500.0,38.5,38.5,38.5,38.5
06/11/09,456500.0,39.5,39.0,39.5,39.0
09/11/09,156000.0,39.0,39.0,39.0,39.0
10/11/09,31200.0,39.0,39.0,39.0,39.0
11/11/09,526500.0,39.0,39.0,39.0,39.0
15/12/09,423750.0,49.5,50.0,50.0,49.5
16/12/09,9355850.0,50.0,50.0,50.0,49.5
17/12/09,6979500.0,49.5,49.5,49.5,49.5
18/12/09,4826400.0,49.0,50.0,50.0,49.0
21/12/09,1881500.0,50.0,49.5,50.0,49.5
22/12/09,15147000.0,50.0,50.0,50.0,49.5
23/12/09,1191000.0,49.5,51.0,51.0,49.5
29/12/09,8835450.0,52.0,55.0,55.0,51.5
04/01/10,1924500.0,54.5,55.0,55.0,54.5
05/01/10,59835750.0,56.0,54.0,56.5,54.0
06/01/10,4064500.0,54.0,53.0,54.0,52.5
07/01/10,4937950.0,53.0,52.5,53.5,52.5
08/01/10,30263000.0,53.0,53.0,53.0,53.0
11/01/10,1662900.0,53.0,52.0,53.0,52.0
12/01/10,582750.0,52.5,52.5,52.5,52.5
13/01/10,273000.0,52.5,52.5,52.5,52.5
14/01/10,1425800.0,52.5,52.0,52.5,52.0
15/01/10,603200.0,52.0,52.0,52.0,52.0
18/01/10,1099100.0,52.0,52.0,52.0,51.5
19/01/10,3385200.0,52.0,52.0,52.0,52.0
20/01/10,337750.0,51.5,52.0,52.0,51.5
21/01/10,732700.0,51.5,52.0,52.0,51.5
22/01/10,2126450.0,51.5,52.0,52.0,51.5
25/01/10,4069150.0,51.5,50.0,51.5,50.0
26/01/10,1270000.0,50.0,50.0,50.0,50.0
27/01/10,7230000.0,50.0,50.0,50.0,50.0
28/01/10,3400000.0,50.0,50.0,50.0,50.0
29/01/10,2071750.0,50.0,49.0,50.0,48.5
01/02/10,4120000.0,48.5,47.5,48.5,47.5
02/02/10,2615250.0,48.0,47.5,48.0,47.5
03/02/10,12472600.0,47.5,47.0,47.5,47.0
04/02/10,5029000.0,47.0,47.0,47.0,47.0
05/02/10,1871750.0,46.5,48.0,48.0,46.0
09/02/10,52250.0,47.5,47.5,47.5,47.5
10/02/10,118750.0,47.5,47.5,47.5,47.5
11/02/10,1567500.0,47.5,47.5,47.5,47.5
08/03/10,3423250.0,60.0,59.0,60.0,58.5
12/03/10,3603000.0,59.5,59.5,59.5,59.0
15/03/10,3068500.0,59.5,60.0,60.0,59.5
16/03/10,351700.0,60.0,59.5,60.0,59.0
17/03/10,3482250.0,59.0,58.5,59.0,58.5
31/03/10,13842900.0,59.5,60.0,60.0,59.0
20/04/10,2815950.0,70.5,70.0,70.5,69.5
21/04/10,4322100.0,70.5,72.5,72.5,70.5
22/04/10,10793500.0,72.5,73.0,73.5,72.0
23/04/10,5544000.0,72.5,72.5,72.5,72.0
29/04/10,26997800.0,73.5,78.0,78.5,73.5
30/04/10,89709350.0,78.0,77.5,79.5,77.0
04/05/10,15708800.0,79.5,78.0,79.5,77.0
05/05/10,24707750.0,77.0,75.5,77.0,75.0
13/05/10,10850350.0,81.0,80.0,81.0,80.0
14/05/10,10353900.0,80.0,79.5,80.0,79.0
17/05/10,10646750.0,78.0,79.5,79.5,78.0
18/05/10,6974000.0,80.5,79.0,80.5,78.5
19/05/10,3576850.0,78.5,79.0,80.0,78.5
20/05/10,34890150.0,79.0,78.5,79.0,78.0
21/05/10,62496550.0,77.5,77.5,77.5,77.0
24/05/10,4977350.0,76.0,72.0,76.0,71.0
25/05/10,9695150.0,72.5,71.0,72.5,68.5
