Date,Value,Open,Close,High,Low
15/12/16,601798366.0,12.0,12.1,12.36,11.66
16/12/16,257122106.0,12.16,12.24,12.26,11.78
19/12/16,89706998.0,12.24,11.98,12.24,11.88
20/12/16,158797938.0,11.98,11.58,11.98,11.5
21/12/16,72076374.0,11.62,11.7,11.82,11.62
22/12/16,95139982.0,11.7,11.24,11.7,11.24
23/12/16,46189582.0,11.24,11.2,11.26,10.9
27/12/16,13709476.0,11.22,11.3,11.34,11.22
28/12/16,27524800.0,11.32,11.3,11.4,11.28
29/12/16,124937164.0,11.3,11.5,11.68,11.2
03/01/17,8327698.0,11.58,11.48,11.58,11.38
04/01/17,38000558.0,11.48,11.68,11.9,11.48
05/01/17,32872910.0,11.76,11.68,11.76,11.6
06/01/17,47196744.0,11.76,11.66,11.76,11.56
09/01/17,21465768.0,11.6,11.66,11.68,11.54
10/01/17,119090816.0,11.66,11.5,11.92,11.5
11/01/17,89145256.0,11.6,11.68,11.92,11.54
12/01/17,49767258.0,11.7,11.6,11.84,11.6
13/01/17,27193126.0,11.68,11.76,11.76,11.62
16/01/17,236580278.0,11.76,12.28,12.48,11.76
17/01/17,74623944.0,12.28,12.4,12.6,12.14
18/01/17,56601840.0,12.36,12.0,12.36,11.96
19/01/17,46825382.0,12.2,12.24,12.36,12.1
20/01/17,92852082.0,12.24,12.56,12.66,12.24
23/01/17,35267700.0,12.6,12.38,12.6,12.32
24/01/17,78961068.0,12.4,12.36,12.56,12.3
25/01/17,101826252.0,12.38,12.6,12.8,12.34
26/01/17,67615756.0,12.76,12.7,12.88,12.56
27/01/17,75363632.0,12.8,12.9,12.98,12.66
30/01/17,13177250.0,12.96,12.82,13.0,12.8
31/01/17,51483916.0,12.7,12.82,12.82,12.58
01/02/17,20452494.0,12.82,12.9,12.94,12.68
02/02/17,58484092.0,12.9,12.86,13.12,12.84
03/02/17,44417642.0,12.84,12.7,12.86,12.64
06/02/17,50859830.0,12.7,12.76,12.86,12.6
07/02/17,28776418.0,12.76,12.66,12.76,12.66
08/02/17,78153490.0,12.66,12.28,12.66,12.24
09/02/17,12582086.0,12.28,12.36,12.46,12.26
10/02/17,6413060.0,12.48,12.36,12.48,12.2
10/02/17,6413060.0,12.48,12.36,12.48,12.2
13/02/17,6846550.0,12.36,12.3,12.5,12.3
13/02/17,6846550.0,12.36,12.3,12.5,12.3
14/02/17,45611712.0,12.32,12.7,12.78,12.32
15/02/17,26033404.0,12.7,12.68,12.84,12.66
16/02/17,4795926.0,12.68,12.6,12.68,12.56
17/02/17,28363684.0,12.6,12.68,12.7,12.5
20/02/17,3180926.0,12.68,12.7,12.72,12.54
21/02/17,4319914.0,12.72,12.64,12.72,12.58
22/02/17,60637118.0,12.64,12.1,12.68,12.1
23/02/17,45857500.0,12.08,12.2,12.3,12.0
24/02/17,21609652.0,12.2,12.1,12.28,12.06
27/02/17,65996454.0,12.2,12.28,12.4,12.18
28/02/17,54609658.0,12.28,12.3,12.34,12.1
01/03/17,15341818.0,12.3,12.42,12.42,12.28
02/03/17,12068550.0,12.38,12.34,12.42,12.26
03/03/17,72928462.0,12.48,12.66,12.7,12.2
06/03/17,39175838.0,12.66,12.9,12.98,12.56
07/03/17,11795164.0,12.9,12.74,12.9,12.68
08/03/17,136949578.0,12.78,13.08,13.42,12.74
09/03/17,92066382.0,13.08,13.76,13.76,13.08
10/03/17,52283958.0,13.74,13.98,13.98,13.5
13/03/17,107606598.0,14.0,14.4,14.52,14.0
14/03/17,46347540.0,14.4,14.56,14.6,14.12
15/03/17,78292908.0,14.5,14.46,14.8,14.46
16/03/17,53380502.0,14.4,13.9,14.4,13.9
17/03/17,29510914.0,13.84,14.26,14.4,13.8
20/03/17,16882124.0,14.28,14.26,14.48,14.1
21/03/17,113380518.0,14.26,13.6,14.5,13.6
22/03/17,68403204.0,13.7,13.3,13.9,13.2
23/03/17,73204298.0,13.3,14.1,14.1,13.3
24/03/17,52039290.0,14.0,13.74,14.2,13.7
27/03/17,30516838.0,13.88,13.32,13.88,13.3
28/03/17,8497256.0,13.46,13.7,13.9,13.46
29/03/17,21877268.0,13.8,13.7,13.9,13.54
30/03/17,9411816.0,13.66,13.66,13.76,13.58
31/03/17,6537876.0,13.5,13.6,13.7,13.4
03/04/17,2534280.0,13.6,13.44,13.6,13.32
04/04/17,17445732.0,13.44,13.52,13.8,13.32
05/04/17,19787816.0,13.58,13.52,13.84,13.34
06/04/17,20385392.0,13.8,13.2,13.8,13.2
07/04/17,13613598.0,13.3,13.2,13.4,13.2
