Date,Value,Open,Close,High,Low
03/08/09,162840.0,1.38,1.38,1.38,1.38
04/08/09,714800.0,1.38,1.4,1.4,1.38
07/08/09,198800.0,1.42,1.42,1.42,1.42
10/08/09,189060.0,1.38,1.38,1.38,1.38
11/08/09,383460.0,1.38,1.4,1.4,1.38
12/08/09,247780.0,1.4,1.4,1.4,1.38
13/08/09,227700.0,1.38,1.38,1.38,1.38
14/08/09,54600.0,1.4,1.4,1.4,1.4
17/08/09,187800.0,1.36,1.36,1.4,1.36
18/08/09,195840.0,1.36,1.36,1.36,1.36
19/08/09,166080.0,1.38,1.38,1.38,1.36
20/08/09,223000.0,1.38,1.42,1.48,1.38
24/08/09,1079220.0,1.44,1.68,1.68,1.44
25/08/09,110260.0,1.68,1.66,1.68,1.66
26/08/09,240400.0,1.68,1.7,1.7,1.68
03/09/09,22400.0,1.6,1.6,1.6,1.6
16/09/09,186760.0,1.64,1.72,1.72,1.64
18/09/09,1680.0,1.68,1.68,1.68,1.68
22/09/09,46480.0,1.66,1.66,1.66,1.66
23/09/09,155940.0,1.68,1.68,1.68,1.66
30/09/09,3480.0,1.74,1.74,1.74,1.74
01/10/09,11760.0,1.68,1.68,1.68,1.68
05/10/09,436900.0,1.68,1.7,1.7,1.68
06/10/09,318920.0,1.7,1.72,1.72,1.7
07/10/09,83320.0,1.72,1.74,1.74,1.72
08/10/09,17181900.0,1.7,1.7,1.7,1.7
09/10/09,6800.0,1.7,1.7,1.7,1.7
12/10/09,503300.0,1.72,1.72,1.72,1.7
13/10/09,34400.0,1.72,1.72,1.72,1.72
14/10/09,40800.0,1.7,1.7,1.7,1.7
15/10/09,1720.0,1.72,1.72,1.72,1.72
16/10/09,41400.0,1.8,1.8,1.8,1.8
20/10/09,12220.0,1.78,1.74,1.78,1.74
21/10/09,87000.0,1.74,1.74,1.74,1.74
22/10/09,41960.0,1.74,1.76,1.76,1.74
23/10/09,1760.0,1.76,1.76,1.76,1.76
26/10/09,94340.0,1.78,1.78,1.78,1.78
27/10/09,87000.0,1.74,1.74,1.74,1.74
29/10/09,1740.0,1.74,1.74,1.74,1.74
30/10/09,321900.0,1.74,1.74,1.74,1.74
05/11/09,29240.0,1.72,1.72,1.72,1.72
06/11/09,97560.0,1.76,1.74,1.76,1.74
09/11/09,224460.0,1.74,1.74,1.74,1.74
10/11/09,22360.0,1.72,1.72,1.72,1.72
15/12/09,683820.0,1.74,1.74,1.74,1.74
16/12/09,15660.0,1.74,1.74,1.74,1.74
17/12/09,211000.0,1.74,1.76,1.76,1.74
18/12/09,176000.0,1.76,1.76,1.76,1.76
22/12/09,73080.0,1.74,1.74,1.74,1.74
23/12/09,352000.0,1.76,1.76,1.76,1.76
29/12/09,277600.0,1.74,1.76,1.76,1.74
04/01/10,254240.0,1.76,1.72,1.76,1.72
05/01/10,161680.0,1.72,1.72,1.72,1.72
06/01/10,147920.0,1.72,1.72,1.72,1.72
08/01/10,89760.0,1.76,1.76,1.76,1.76
12/01/10,287560.0,1.76,1.8,1.8,1.76
14/01/10,30260.0,1.78,1.78,1.78,1.78
15/01/10,228800.0,1.76,1.76,1.76,1.76
19/01/10,1780.0,1.78,1.78,1.78,1.78
20/01/10,36960.0,1.76,1.76,1.76,1.76
21/01/10,208360.0,1.74,1.8,1.8,1.74
25/01/10,206400.0,1.72,1.72,1.72,1.72
26/01/10,425000.0,1.72,1.68,1.72,1.68
27/01/10,144480.0,1.72,1.72,1.72,1.72
29/01/10,43000.0,1.72,1.72,1.72,1.72
01/02/10,678220.0,1.72,1.7,1.72,1.68
02/02/10,1102100.0,1.7,1.68,1.7,1.68
04/02/10,702700.0,1.68,1.72,1.72,1.66
09/02/10,10200.0,1.7,1.7,1.7,1.7
10/02/10,3360.0,1.68,1.68,1.68,1.68
08/03/10,84200.0,1.78,1.8,1.8,1.78
15/03/10,233200.0,1.84,1.86,1.9,1.84
16/03/10,50560.0,1.96,1.8,1.96,1.8
17/03/10,30740.0,1.88,1.86,1.88,1.8
20/04/10,177660.0,1.86,1.8,1.86,1.8
21/04/10,12600.0,1.8,1.8,1.8,1.8
23/04/10,5460.0,1.82,1.82,1.82,1.82
29/04/10,77400.0,1.8,1.8,1.8,1.8
30/04/10,82800.0,1.84,1.84,1.84,1.84
05/05/10,1840.0,1.84,1.84,1.84,1.84
14/05/10,1820.0,1.82,1.82,1.82,1.82
17/05/10,131700.0,1.82,1.82,1.82,1.8
18/05/10,289200.0,1.8,1.82,1.82,1.8
19/05/10,23600.0,1.82,1.8,1.82,1.8
20/05/10,129000.0,1.8,1.78,1.8,1.78
24/05/10,46280.0,1.78,1.78,1.78,1.78
25/05/10,277380.0,1.78,1.78,1.78,1.76
26/05/10,26400.0,1.76,1.76,1.76,1.76
27/05/10,49280.0,1.76,1.76,1.76,1.76
28/05/10,63560.0,1.78,1.76,1.78,1.76
01/06/10,3480.0,1.74,1.74,1.74,1.74
02/06/10,3520.0,1.76,1.76,1.76,1.76
03/06/10,88200.0,1.76,1.78,1.78,1.76
10/06/10,3520.0,1.76,1.76,1.76,1.76
11/06/10,15760.0,1.74,1.76,1.76,1.74
15/06/10,15860.0,1.76,1.78,1.78,1.76
21/06/10,558920.0,1.78,1.78,1.78,1.78
22/06/10,7140.0,1.78,1.8,1.8,1.78
24/06/10,448200.0,1.8,1.8,1.8,1.8
25/06/10,28800.0,1.8,1.8,1.8,1.8
28/06/10,178000.0,1.78,1.78,1.78,1.78
29/06/10,28520.0,1.8,1.8,1.8,1.78
01/07/10,14240.0,1.78,1.78,1.78,1.78
02/07/10,190960.0,1.8,1.78,1.8,1.78
06/07/10,106800.0,1.78,1.78,1.78,1.78
08/07/10,28480.0,1.78,1.78,1.78,1.78
09/07/10,5340.0,1.78,1.78,1.78,1.78
13/07/10,58940.0,1.8,1.78,1.8,1.78
15/07/10,122400.0,1.8,1.8,1.8,1.8
19/07/10,196000.0,1.8,1.78,1.8,1.78
20/07/10,41400.0,1.8,1.8,1.8,1.8
21/07/10,36400.0,1.82,1.82,1.82,1.82
23/07/10,30640.0,1.8,1.82,1.82,1.8
20/09/10,190800.0,1.8,1.8,1.8,1.8
21/09/10,306330.0,1.83,1.86,1.86,1.83
22/09/10,347000.0,1.8,1.83,1.83,1.8
23/09/10,106140.0,1.83,1.83,1.83,1.83
24/09/10,80520.0,1.83,1.83,1.83,1.83
27/09/10,908670.0,1.83,1.84,1.84,1.82
28/09/10,163800.0,1.82,1.82,1.82,1.82
29/09/10,193670.0,1.81,1.81,1.81,1.81
30/09/10,124890.0,1.81,1.81,1.81,1.81
01/10/10,25200.0,1.8,1.8,1.8,1.8
04/10/10,87360.0,1.82,1.82,1.82,1.82
05/10/10,300300.0,1.82,1.82,1.82,1.82
06/10/10,467680.0,1.82,1.81,1.82,1.81
07/10/10,2169800.0,1.81,1.81,1.81,1.8
08/10/10,500400.0,1.8,1.8,1.8,1.8
12/10/10,682600.0,1.78,1.77,1.78,1.77
13/10/10,176000.0,1.76,1.76,1.76,1.76
14/10/10,394100.0,1.76,1.76,1.76,1.75
15/10/10,539080.0,1.76,1.75,1.76,1.75
18/10/10,332900.0,1.75,1.74,1.75,1.74
19/10/10,278400.0,1.74,1.74,1.74,1.74
20/10/10,60550.0,1.73,1.73,1.73,1.73
21/10/10,25950.0,1.73,1.73,1.73,1.73
22/10/10,67950.0,1.74,1.75,1.75,1.74
26/10/10,49720.0,1.79,1.75,1.79,1.75
27/10/10,48750.0,1.74,1.74,1.75,1.74
29/10/10,21240.0,1.77,1.77,1.77,1.77
02/11/10,35400.0,1.77,1.77,1.77,1.77
03/11/10,504900.0,1.76,1.75,1.76,1.73
04/11/10,63700.0,1.75,1.75,1.82,1.75
08/11/10,371790.0,1.79,1.8,1.8,1.79
09/11/10,149400.0,1.8,1.8,1.8,1.8
10/11/10,105520.0,1.79,1.78,1.79,1.78
11/11/10,172660.0,1.78,1.78,1.78,1.78
12/11/10,8900.0,1.78,1.78,1.78,1.78
15/11/10,122400.0,1.8,1.8,1.8,1.8
17/11/10,35400.0,1.77,1.77,1.77,1.77
18/11/10,7080.0,1.77,1.77,1.77,1.77
19/11/10,398970.0,1.78,1.82,1.82,1.77
22/11/10,255210.0,1.81,1.81,1.81,1.81
24/11/10,637200.0,1.77,1.77,1.77,1.77
25/11/10,1800.0,1.8,1.8,1.8,1.8
26/11/10,153200.0,1.8,1.78,1.8,1.78
30/11/10,475470.0,1.84,1.84,1.84,1.79
01/12/10,361270.0,1.83,1.84,1.84,1.81
02/12/10,184000.0,1.84,1.84,1.84,1.84
03/12/10,2759430.0,1.83,1.97,1.97,1.83
06/12/10,2577860.0,1.99,1.88,2.0,1.86
07/12/10,1299490.0,1.88,1.91,1.91,1.84
08/12/10,448050.0,1.9,1.92,1.92,1.88
16/12/10,944300.0,2.0,2.04,2.05,2.0
22/12/10,294910.0,1.98,2.07,2.07,1.98
23/12/10,103000.0,2.03,2.09,2.09,2.03
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
28/12/10,180390.0,2.09,2.1,2.1,2.09
29/12/10,125600.0,2.1,2.1,2.1,2.05
29/12/10,125600.0,2.1,2.1,2.1,2.05
03/01/11,114120.0,2.0,2.12,2.12,2.0
03/01/11,114120.0,2.0,2.12,2.12,2.0
03/01/11,114120.0,2.0,2.12,2.12,2.0
04/01/11,95580.0,2.1,2.06,2.13,2.05
05/01/11,148400.0,2.12,2.12,2.12,2.12
10/01/11,6120.0,2.0,2.12,2.12,2.0
11/01/11,4120.0,2.0,2.12,2.12,2.0
11/01/11,4120.0,2.0,2.12,2.12,2.0
13/01/11,554440.0,2.0,2.0,2.11,1.1
14/01/11,40200.0,2.01,2.01,2.01,2.01
17/01/11,60000.0,2.0,2.0,2.0,2.0
18/01/11,24520.0,1.9,2.0,2.0,1.86
19/01/11,934550.0,1.9,1.65,1.9,1.4
19/01/11,934550.0,1.9,1.65,1.9,1.4
20/01/11,351200.0,1.65,1.88,1.88,1.65
20/01/11,351200.0,1.65,1.88,1.88,1.65
24/01/11,263500.0,1.8,1.72,1.8,1.72
25/01/11,181820.0,1.8,1.74,1.8,1.73
26/01/11,209060.0,1.75,1.8,1.8,1.74
27/01/11,10800.0,1.8,1.8,1.8,1.8
28/01/11,43040.0,1.72,1.8,1.8,1.72
28/01/11,43040.0,1.72,1.8,1.8,1.72
31/01/11,1720000.0,1.72,1.72,1.72,1.72
31/01/11,1720000.0,1.72,1.72,1.72,1.72
02/02/11,3440.0,1.72,1.72,1.72,1.72
03/02/11,195040.0,1.74,1.9,1.9,1.74
14/02/11,9250.0,1.85,1.85,1.85,1.85
17/02/11,20350.0,1.85,1.85,1.85,1.85
18/02/11,9160.0,1.83,1.84,1.84,1.83
21/02/11,73600.0,1.84,1.84,1.84,1.84
21/02/11,73600.0,1.84,1.84,1.84,1.84
22/02/11,11040.0,1.84,1.84,1.84,1.84
22/02/11,11040.0,1.84,1.84,1.84,1.84
23/02/11,9430.0,1.83,1.9,1.9,1.83
23/02/11,9430.0,1.83,1.9,1.9,1.83
24/02/11,79130.0,1.84,1.85,1.85,1.84
24/02/11,79130.0,1.84,1.85,1.85,1.84
28/02/11,25900.0,1.85,1.85,1.85,1.85
02/03/11,58940.0,1.85,1.84,1.85,1.84
03/03/11,19000.0,1.9,1.9,1.9,1.9
07/03/11,9180.0,1.83,1.84,1.84,1.83
08/03/11,18300.0,1.83,1.83,1.83,1.83
08/03/11,18300.0,1.83,1.83,1.83,1.83
11/03/11,75600.0,1.8,1.8,1.8,1.8
11/03/11,75600.0,1.8,1.8,1.8,1.8
16/03/11,19250.0,1.75,1.75,1.75,1.75
17/03/11,1082210.0,1.75,1.75,1.75,1.74
18/03/11,367530.0,1.76,1.75,1.76,1.75
21/03/11,126010.0,1.76,1.73,1.76,1.73
23/03/11,278600.0,1.74,1.74,1.76,1.74
24/03/11,121440.0,1.76,1.76,1.76,1.76
25/03/11,535000.0,1.76,1.8,1.8,1.76
28/03/11,88000.0,1.76,1.76,1.76,1.76
29/03/11,320030.0,1.77,1.85,1.85,1.76
30/03/11,180600.0,1.8,1.95,1.95,1.8
31/03/11,1087900.0,1.95,1.98,2.0,1.95
07/04/11,474000.0,1.9,1.88,1.9,1.88
08/04/11,37000.0,1.85,1.85,1.85,1.85
11/04/11,51130.0,1.76,1.85,1.85,1.76
13/04/11,218180.0,1.8,1.74,1.8,1.74
14/04/11,178340.0,1.74,1.73,1.74,1.7
15/04/11,42240.0,1.76,1.76,1.76,1.76
26/04/11,94780.0,1.82,1.84,1.84,1.82
27/04/11,79800.0,1.9,1.9,1.9,1.9
29/04/11,464780.0,1.82,1.82,1.82,1.8
02/05/11,7280.0,1.82,1.82,1.82,1.82
06/05/11,35600.0,1.78,1.78,1.78,1.78
09/05/11,55980.0,1.8,1.74,1.8,1.74
10/05/11,279240.0,1.76,1.78,1.8,1.76
11/05/11,1820.0,1.82,1.82,1.82,1.82
12/05/11,8700.0,1.74,1.74,1.74,1.74
13/05/11,10660.0,1.74,1.8,1.8,1.74
16/05/11,18100.0,1.8,1.82,1.82,1.8
17/05/11,312100.0,1.8,1.82,1.82,1.8
18/05/11,1321750.0,1.83,1.8,1.83,1.8
19/05/11,959550.0,1.82,1.82,1.84,1.82
20/05/11,131040.0,1.82,1.82,1.82,1.82
23/05/11,7200.0,1.8,1.8,1.8,1.8
25/05/11,398680.0,1.8,1.76,1.8,1.76
26/05/11,336100.0,1.8,1.78,1.8,1.78
27/05/11,1465200.0,1.8,1.8,1.8,1.8
30/05/11,182000.0,1.82,1.82,1.82,1.82
31/05/11,10730.0,1.78,1.82,1.82,1.78
01/06/11,535000.0,1.8,1.82,1.82,1.8
03/06/11,340000.0,1.78,1.8,1.8,1.78
09/06/11,19760.0,1.8,1.8,1.8,1.79
10/06/11,105560.0,1.82,1.82,1.82,1.82
16/06/11,1850.0,1.85,1.85,1.85,1.85
17/06/11,3640.0,1.82,1.82,1.82,1.82
23/06/11,386850.0,1.89,1.86,1.89,1.86
24/06/11,138230.0,1.87,1.84,1.87,1.84
27/06/11,471100.0,1.94,1.86,1.94,1.85
28/06/11,123870.0,1.84,1.89,1.95,1.82
29/06/11,227500.0,1.9,1.89,1.9,1.89
30/06/11,1398450.0,1.9,1.98,2.0,1.88
01/07/11,333860.0,1.81,1.9,1.9,1.81
04/07/11,486500.0,1.9,1.9,1.92,1.9
05/07/11,240380.0,1.82,1.84,1.84,1.82
08/07/11,473050.0,1.9,1.9,1.9,1.89
11/07/11,9580.0,1.9,1.92,1.92,1.9
12/07/11,3880.0,1.98,1.9,1.98,1.9
13/07/11,98580.0,1.86,1.86,1.86,1.86
14/07/11,7320.0,1.8,1.86,1.86,1.8
15/07/11,55100.0,1.9,1.9,1.9,1.9
18/07/11,51660.0,1.9,1.91,1.92,1.9
19/07/11,241790.0,1.91,1.9,1.91,1.9
20/07/11,15200.0,1.9,1.9,1.9,1.9
21/07/11,17320.0,1.92,1.94,1.94,1.92
22/07/11,407730.0,1.9,1.91,1.91,1.9
25/07/11,67820.0,1.88,1.88,1.9,1.88
26/07/11,7520.0,1.88,1.88,1.88,1.88
27/07/11,2036420.0,1.86,1.87,1.87,1.86
28/07/11,3740.0,1.87,1.87,1.87,1.87
29/07/11,45680.0,1.9,1.92,1.92,1.9
01/08/11,172800.0,1.92,1.92,1.92,1.92
02/08/11,89960.0,1.88,1.92,1.92,1.88
03/08/11,199500.0,1.9,1.9,1.9,1.9
08/08/11,223900.0,1.9,1.86,1.9,1.86
09/08/11,43630.0,1.82,1.82,1.82,1.81
10/08/11,12950.0,1.85,1.85,1.85,1.85
11/08/11,42570.0,1.85,1.86,1.86,1.85
12/08/11,1870.0,1.87,1.87,1.87,1.87
16/08/11,26900.0,1.92,1.92,1.93,1.92
23/08/11,7600.0,1.9,1.9,1.9,1.9
24/08/11,246880.0,1.9,1.96,1.96,1.9
25/08/11,7760.0,2.0,1.92,2.0,1.92
26/08/11,57480.0,1.92,1.88,1.92,1.88
31/08/11,3820.0,1.9,1.92,1.92,1.9
