Date,Value,Open,Close,High,Low
03/11/16,2089445342.5,67.0,67.2,67.2,66.6
04/11/16,486383756.0,67.4,69.5,69.5,67.25
07/11/16,333802453.0,70.0,70.6,70.8,69.7
08/11/16,279589151.0,70.95,72.0,72.15,70.6
09/11/16,250979626.5,72.1,69.8,73.0,68.4
10/11/16,152293715.5,70.3,70.75,71.2,70.3
11/11/16,174416714.0,70.75,69.5,70.75,69.3
14/11/16,49924521.5,69.55,69.0,69.55,68.0
15/11/16,98831416.0,69.0,68.8,69.4,68.2
16/11/16,93494888.5,69.2,68.95,69.2,68.7
17/11/16,59080463.0,68.95,68.5,69.0,68.25
18/11/16,13113127.5,68.5,68.5,68.7,68.1
21/11/16,25250241.5,68.5,68.4,68.5,68.2
22/11/16,142799655.5,68.3,67.0,69.1,67.0
23/11/16,139937855.0,67.5,67.4,68.2,67.2
24/11/16,67319138.5,67.4,67.6,68.0,67.1
24/11/16,67319138.5,67.4,67.6,68.0,67.1
24/11/16,67319138.5,67.4,67.6,68.0,67.1
25/11/16,41608325.0,67.6,67.6,67.75,67.35
28/11/16,62786074.0,67.6,67.4,67.6,67.25
29/11/16,63519134.5,67.5,67.0,67.5,67.0
01/12/16,109194942.0,68.0,68.35,68.35,67.8
02/12/16,84563882.0,68.4,68.1,68.5,67.5
05/12/16,62124826.0,68.1,67.15,68.1,67.0
06/12/16,18724961.5,67.15,67.65,67.7,67.1
07/12/16,47948339.5,67.65,67.5,67.65,67.35
08/12/16,38697093.5,67.5,67.75,67.8,67.4
09/12/16,39907980.5,67.75,67.7,67.75,67.4
12/12/16,193793562.5,67.7,68.05,68.4,67.6
13/12/16,37163176.5,68.0,68.0,68.0,67.3
14/12/16,59111573.5,68.0,68.2,68.3,67.9
15/12/16,62190496.5,68.1,68.25,68.25,67.9
16/12/16,154301653.0,68.25,70.0,70.0,68.1
19/12/16,55497019.5,69.9,69.6,69.9,69.0
20/12/16,34258892.0,69.7,69.6,69.7,69.05
21/12/16,50280919.0,69.6,69.5,70.0,69.25
22/12/16,20953824.5,69.5,69.15,69.5,69.05
23/12/16,77981941.5,69.15,69.8,69.8,69.05
27/12/16,91587462.0,69.75,69.65,69.85,69.05
28/12/16,50977821.0,69.7,69.7,69.8,69.6
29/12/16,102663776.5,69.2,69.8,70.0,69.2
03/01/17,117051564.5,69.8,70.65,70.65,69.5
04/01/17,52148884.5,70.55,70.85,71.2,70.15
05/01/17,127472879.5,71.1,71.95,72.05,71.0
06/01/17,57528536.0,71.95,71.45,71.95,71.05
09/01/17,75680566.5,71.45,71.4,71.55,71.15
10/01/17,83738164.0,71.4,72.5,72.7,71.4
11/01/17,251197744.5,72.45,75.3,75.35,72.45
12/01/17,93972627.5,75.25,74.3,75.25,74.0
13/01/17,83112516.0,74.95,75.2,75.2,74.3
16/01/17,50147182.5,75.1,75.3,75.35,74.5
17/01/17,81333037.5,75.3,74.5,75.5,74.3
18/01/17,73643050.0,74.5,75.5,75.7,74.3
19/01/17,83265886.0,75.8,75.9,76.2,75.4
20/01/17,17903491.5,75.9,75.0,76.0,75.0
23/01/17,80059212.0,75.0,77.3,77.4,75.0
24/01/17,22493107.0,77.2,77.25,77.25,76.8
25/01/17,55740246.5,77.0,77.3,77.5,77.0
26/01/17,86323538.0,77.3,77.95,78.0,76.95
27/01/17,38020258.5,78.0,78.05,78.1,77.5
30/01/17,24555490.0,78.1,78.05,78.1,77.7
31/01/17,38206547.0,78.05,78.7,78.95,77.85
01/02/17,36827674.0,78.5,79.75,79.75,78.0
02/02/17,41154796.0,79.75,78.5,80.0,78.05
03/02/17,14156160.5,79.0,78.6,79.0,78.1
06/02/17,36201625.0,78.5,78.6,79.0,77.9
07/02/17,19768353.5,78.5,78.55,78.65,78.2
08/02/17,87164149.5,78.2,77.9,78.55,77.5
09/02/17,72136712.5,77.65,78.2,78.4,77.45
10/02/17,34192745.0,78.2,78.35,78.4,78.15
10/02/17,34192745.0,78.2,78.35,78.4,78.15
13/02/17,46660395.5,78.35,78.5,78.5,78.25
13/02/17,46660395.5,78.35,78.5,78.5,78.25
14/02/17,37323809.0,78.5,79.5,79.5,78.5
15/02/17,28427588.5,79.5,79.4,79.9,79.1
16/02/17,37426149.0,78.6,79.15,79.8,78.6
17/02/17,6862416.5,79.15,78.6,79.5,78.6
20/02/17,141156077.5,78.6,80.0,80.0,78.6
21/02/17,14032753.5,80.0,79.35,80.0,78.7
22/02/17,35015491.0,79.35,79.0,79.35,79.0
23/02/17,25270981.0,78.5,78.65,79.0,78.5
24/02/17,75328199.5,78.65,78.6,78.95,78.4
27/02/17,15196187.0,78.4,77.85,78.5,77.6
28/02/17,31242701.5,78.0,78.0,78.0,77.75
01/03/17,61413057.0,79.0,78.25,79.0,78.0
02/03/17,12140603.0,78.5,77.95,78.5,77.45
03/03/17,93419169.5,78.0,77.9,78.3,77.85
06/03/17,48716662.5,77.9,77.5,77.9,76.7
07/03/17,131318006.5,77.8,78.0,78.0,76.8
08/03/17,47625021.5,77.9,77.55,78.0,77.2
09/03/17,56319872.5,77.95,75.5,77.95,75.2
10/03/17,70941800.0,76.0,74.5,76.0,73.2
13/03/17,17718864.5,75.4,73.8,75.4,73.05
14/03/17,34593106.0,73.5,73.55,73.8,73.2
15/03/17,38761565.0,73.8,72.7,73.8,72.05
16/03/17,29335551.0,72.7,73.0,73.9,72.2
17/03/17,39073457.5,72.7,73.0,73.45,72.5
20/03/17,70725967.0,73.5,75.75,75.95,72.4
21/03/17,10513290.0,75.5,74.8,75.65,74.25
22/03/17,11558138.5,74.95,73.95,74.95,73.5
23/03/17,45112354.0,73.5,73.5,73.75,73.0
24/03/17,12301588.5,73.5,73.55,73.7,73.25
27/03/17,150022801.5,73.95,74.1,74.1,73.55
28/03/17,48669080.5,74.1,74.4,74.5,73.9
29/03/17,46869779.0,74.4,74.15,74.4,73.5
30/03/17,31335286.0,74.2,74.0,74.2,73.9
31/03/17,96205693.0,73.9,72.0,73.9,71.8
03/04/17,46416668.0,72.0,72.45,73.35,72.0
04/04/17,199423619.5,72.45,72.05,72.6,72.0
05/04/17,5967975.0,72.45,72.1,72.6,72.1
06/04/17,30575702.5,72.15,72.35,72.55,72.15
07/04/17,21823786.0,72.35,73.95,74.3,72.05
10/04/17,2156490.5,74.2,72.9,74.2,72.5
11/04/17,167885355.5,72.95,72.0,72.95,72.0
12/04/17,184705821.0,72.45,72.05,72.45,71.95
17/04/17,16270537.0,72.1,72.0,72.45,71.95
18/04/17,81266197.0,72.1,71.45,72.1,70.9
19/04/17,12301493.5,71.45,70.95,71.45,70.75
20/04/17,6534731.0,70.8,70.95,71.45,70.75
21/04/17,43465552.5,71.2,72.9,73.0,71.2
24/04/17,13499479.5,72.9,71.65,72.9,70.75
25/04/17,12066180.0,72.3,72.1,72.3,71.1
26/04/17,34928525.5,72.2,72.9,73.0,72.2
27/04/17,72683378.5,73.0,73.5,73.5,72.8
02/05/17,93199996.5,73.45,73.1,73.45,72.0
03/05/17,13671446.0,73.1,72.2,73.1,72.0
04/05/17,113996797.0,71.85,72.1,72.2,71.8
05/05/17,41528321.5,72.1,72.05,72.15,71.85
08/05/17,39746802.0,72.1,72.1,72.15,72.0
09/05/17,44374500.0,72.15,72.35,72.45,72.15
10/05/17,253814014.0,72.35,73.0,73.0,71.85
11/05/17,15184745.5,73.0,72.6,73.0,72.0
12/05/17,152940115.0,72.2,72.0,72.2,71.95
15/05/17,41611614.0,72.0,71.6,72.05,71.55
16/05/17,91026227.5,71.6,71.0,72.45,71.0
17/05/17,80518262.0,71.0,70.45,71.2,70.3
18/05/17,122048300.0,70.2,67.95,70.2,67.25
19/05/17,29576184.5,68.0,67.8,68.1,67.65
22/05/17,99145447.5,68.0,67.8,69.5,67.6
23/05/17,54690809.0,68.0,67.8,68.2,67.7
24/05/17,74518451.0,67.8,67.05,67.8,67.05
25/05/17,62958593.5,67.8,66.95,67.8,66.6
26/05/17,439416953.5,67.5,64.2,67.8,64.2
29/05/17,227127942.5,64.25,66.0,66.85,64.25
30/05/17,171546548.5,66.0,65.85,66.4,65.7
31/05/17,40141682.0,65.9,66.05,66.4,65.9
01/06/17,83189442.5,66.1,67.45,67.7,66.1
02/06/17,85636215.5,67.45,69.5,69.9,67.45
02/06/17,85636215.5,67.45,69.5,69.9,67.45
05/06/17,56941053.5,69.8,69.55,69.8,69.0
06/06/17,83416616.5,69.55,69.55,69.6,69.4
07/06/17,121229734.5,69.6,69.6,69.8,69.4
08/06/17,148647346.0,69.6,69.4,69.6,69.1
09/06/17,224412570.5,69.4,69.55,69.65,69.4
13/06/17,147142963.5,69.6,69.95,69.95,69.5
14/06/17,212904676.5,70.0,71.2,71.4,70.0
15/06/17,64129097.0,71.2,70.6,71.4,70.0
16/06/17,1208957407.5,71.0,70.7,71.0,70.0
19/06/17,186164610.0,70.7,70.0,70.7,69.65
20/06/17,8016521.0,70.05,68.95,70.25,68.0
21/06/17,58695866.5,68.95,69.0,69.7,68.25
22/06/17,32264385.5,69.5,69.5,69.5,68.9
23/06/17,4532027.5,69.5,69.55,69.7,69.5
27/06/17,10980976.0,69.5,69.4,69.5,69.3
28/06/17,21193871.5,68.25,69.0,69.0,68.0
29/06/17,616311434.5,69.0,67.5,69.05,67.5
30/06/17,2862933.0,67.5,67.6,68.0,67.5
03/07/17,6501111.0,67.6,67.6,69.0,67.5
04/07/17,3311027.0,68.0,67.55,68.5,67.55
05/07/17,143304113.5,67.6,69.2,69.2,67.6
06/07/17,307340984.0,69.0,69.35,69.35,68.9
07/07/17,411412472.0,69.35,69.2,69.35,69.1
10/07/17,11702857.0,69.2,69.0,69.2,67.5
11/07/17,9205134.0,69.0,68.5,69.0,68.0
12/07/17,20773061.5,68.5,68.0,68.5,67.95
13/07/17,85173665.0,68.0,68.0,68.1,67.9
14/07/17,14854740.5,67.9,67.0,67.9,67.0
17/07/17,19533362.0,67.4,67.5,67.5,67.1
18/07/17,181164549.5,68.0,68.35,68.85,67.3
19/07/17,71275737.5,68.4,68.4,68.7,68.15
20/07/17,33150797.0,68.4,67.95,68.4,67.9
21/07/17,47014515.5,67.9,66.9,67.9,66.6
24/07/17,30031566.0,66.9,66.5,66.9,66.35
25/07/17,43112616.5,66.5,66.6,66.85,66.4
26/07/17,80422928.0,66.6,66.2,66.6,66.0
27/07/17,67714882.5,66.2,66.05,66.3,66.0
28/07/17,45516137.0,66.05,66.35,66.4,66.05
31/07/17,43776466.0,66.05,66.2,66.35,66.0
01/08/17,13027058.0,66.2,66.4,66.4,66.2
02/08/17,12433371.5,66.4,66.4,66.4,66.3
03/08/17,5988469.5,66.2,66.15,66.2,66.0
04/08/17,32909351.0,66.05,66.0,66.4,66.0
07/08/17,2209750.5,66.0,66.1,66.4,66.0
08/08/17,21688553.0,66.2,65.2,66.3,65.15
09/08/17,46368771.0,65.15,65.7,65.75,65.05
10/08/17,13079290.5,65.7,64.85,65.9,64.35
11/08/17,2392646.5,64.9,65.0,65.0,64.7
14/08/17,7549052.5,65.8,65.0,65.8,65.0
15/08/17,8062809.5,65.3,65.25,65.35,65.05
16/08/17,6352173.0,65.25,65.25,65.25,65.0
17/08/17,10454765.5,65.3,65.3,65.35,64.85
18/08/17,5669836.0,65.4,65.4,65.4,65.0
22/08/17,10389989.5,65.4,65.55,65.6,65.4
23/08/17,5746792.5,65.6,65.85,65.9,65.55
24/08/17,4603082.5,65.85,65.95,66.0,65.75
25/08/17,4296763.0,66.2,65.95,66.25,65.8
29/08/17,7657857.5,66.15,65.55,66.15,65.45
30/08/17,8088139.5,65.5,66.0,66.0,65.5
31/08/17,8238176.0,66.0,65.95,66.0,65.55
04/09/17,14762085.0,66.0,66.35,66.35,66.0
05/09/17,9400282.0,66.35,66.9,66.9,66.2
06/09/17,5236333.0,66.8,66.8,66.9,66.5
07/09/17,4052230.0,66.95,66.95,67.0,66.7
08/09/17,3233684.5,66.7,66.7,66.9,66.35
11/09/17,8414219.0,66.9,66.95,66.95,66.5
13/09/17,277733838.5,66.95,67.0,67.0,66.9
14/09/17,5823364.5,67.0,67.15,67.15,67.0
15/09/17,26521970.5,67.15,68.35,68.35,67.0
18/09/17,40905550.5,68.35,68.5,68.6,68.1
19/09/17,76446242.0,68.6,68.6,68.7,68.55
20/09/17,22446997.5,68.55,68.55,68.7,68.45
21/09/17,13538232.0,68.5,68.5,68.55,68.1
22/09/17,22556877.5,68.55,68.5,68.55,68.0
25/09/17,10029164.0,68.5,68.5,68.55,68.0
26/09/17,22585703.5,68.5,68.0,68.7,68.0
27/09/17,14896245.0,68.0,68.25,68.4,68.0
28/09/17,5007041.0,67.1,67.5,68.0,67.1
29/09/17,14072691.5,67.5,68.0,68.0,67.3
02/10/17,50512858.0,68.0,66.5,68.0,66.5
03/10/17,7047883.0,66.5,66.45,66.7,66.3
04/10/17,6660085.0,66.7,66.4,66.7,66.4
05/10/17,126767736.5,66.3,66.45,66.6,66.3
06/10/17,126204983.5,66.45,68.0,69.0,65.9
09/10/17,8089235.0,68.3,67.0,68.3,66.3
10/10/17,3910557.0,67.0,68.0,68.0,67.0
11/10/17,6007395.0,66.5,66.9,68.0,66.5
12/10/17,57579258.0,67.95,67.0,67.95,66.8
13/10/17,97083038.5,66.65,66.0,66.65,66.0
17/10/17,6545679.0,66.0,66.4,66.8,66.0
18/10/17,8946954.0,66.8,66.0,67.0,65.9
19/10/17,25518305.0,66.0,64.85,66.0,64.8
20/10/17,150486060.0,64.85,62.6,66.0,62.6
23/10/17,37165944.5,62.6,62.0,63.35,61.95
24/10/17,28712085.5,63.0,62.8,63.0,62.0
25/10/17,53965986.0,62.75,62.3,62.75,62.0
26/10/17,7548437.5,62.55,62.65,62.7,62.0
27/10/17,10979598.5,62.7,62.6,62.7,62.15
30/10/17,25792830.0,62.7,62.25,62.75,62.25
02/11/17,16298012.0,62.5,62.55,62.6,62.3
03/11/17,9142370.5,62.55,62.5,62.6,62.45
06/11/17,31005378.0,62.55,62.6,62.65,62.55
07/11/17,46353217.0,62.65,61.2,62.65,61.2
08/11/17,9542773.5,61.75,62.5,62.5,61.2
09/11/17,18446669.5,62.05,61.5,62.6,61.5
10/11/17,11478385.5,61.5,62.2,62.3,61.5
13/11/17,17867509.5,62.2,61.15,62.2,60.9
