Date,Value,Open,Close,High,Low
12/08/09,8000.0,0.8,0.8,0.8,0.8
13/08/09,15600.0,0.78,0.78,0.78,0.78
14/08/09,62400.0,0.78,0.78,0.78,0.78
18/08/09,76000.0,0.76,0.76,0.76,0.76
20/08/09,75000.0,0.75,0.75,0.75,0.75
24/08/09,108700.0,0.75,0.8,0.8,0.75
25/08/09,56000.0,0.8,0.8,0.8,0.8
26/08/09,26200.0,0.87,0.88,0.88,0.87
04/09/09,8000.0,0.8,0.8,0.8,0.8
16/09/09,256000.0,0.8,0.8,0.8,0.8
18/09/09,141800.0,0.88,0.89,0.89,0.88
22/09/09,179000.0,0.9,0.85,0.9,0.85
23/09/09,84000.0,0.84,0.84,0.84,0.84
30/09/09,89200.0,0.81,0.82,0.82,0.81
01/10/09,65000.0,0.83,0.81,0.83,0.81
02/10/09,56000.0,0.8,0.8,0.8,0.8
07/10/09,84000.0,0.84,0.84,0.84,0.84
08/10/09,24000.0,0.8,0.8,0.8,0.8
15/10/09,8000.0,0.8,0.8,0.8,0.8
16/10/09,15700.0,0.79,0.78,0.79,0.78
21/10/09,78000.0,0.78,0.78,0.78,0.78
26/10/09,7900.0,0.79,0.79,0.79,0.79
28/10/09,8200.0,0.82,0.82,0.82,0.82
29/10/09,39500.0,0.79,0.79,0.79,0.79
03/11/09,15800.0,0.79,0.79,0.79,0.79
06/11/09,7900.0,0.79,0.79,0.79,0.79
10/11/09,95700.0,0.73,0.74,0.74,0.73
11/11/09,74000.0,0.74,0.74,0.74,0.74
15/12/09,171300.0,0.75,0.74,0.75,0.74
22/12/09,51800.0,0.74,0.74,0.74,0.74
23/12/09,48600.0,0.8,0.82,0.82,0.8
29/12/09,164000.0,0.82,0.82,0.82,0.82
05/01/10,184800.0,0.84,0.84,0.84,0.84
06/01/10,80000.0,0.8,0.8,0.8,0.8
07/01/10,158000.0,0.79,0.79,0.79,0.79
08/01/10,156000.0,0.78,0.78,0.78,0.78
11/01/10,76000.0,0.76,0.76,0.76,0.76
12/01/10,76000.0,0.76,0.76,0.76,0.76
15/01/10,7900.0,0.79,0.79,0.79,0.79
18/01/10,7900.0,0.79,0.79,0.79,0.79
19/01/10,16000.0,0.8,0.8,0.8,0.8
20/01/10,7900.0,0.79,0.79,0.79,0.79
27/01/10,118500.0,0.79,0.79,0.79,0.79
29/01/10,7700.0,0.77,0.77,0.77,0.77
