Date,Value,Open,Close,High,Low
30/04/24,18700200.0,1.3,1.21,2.0,1.08
02/05/24,8810390.0,1.27,0.89,1.27,0.89
02/05/24,8810390.0,1.27,0.89,1.27,0.89
03/05/24,1582090.0,0.76,0.87,0.9,0.7
06/05/24,586940.0,0.85,0.87,0.91,0.84
07/05/24,1152190.0,0.91,0.8,0.91,0.71
08/05/24,548830.0,0.82,0.82,0.85,0.78
08/05/24,548830.0,0.82,0.82,0.85,0.78
09/05/24,484360.0,0.77,0.8,0.85,0.77
10/05/24,468490.0,0.81,0.81,0.81,0.78
13/05/24,227570.0,0.79,0.85,0.88,0.79
14/05/24,1745240.0,0.85,1.03,1.11,0.85
15/05/24,1618970.0,1.03,0.98,1.15,0.95
16/05/24,1410380.0,0.93,0.92,1.02,0.86
17/05/24,321940.0,0.92,0.9,0.96,0.9
17/05/24,321940.0,0.92,0.9,0.96,0.9
20/05/24,167440.0,0.91,0.93,0.96,0.9
21/05/24,235910.0,0.96,0.92,1.0,0.92
22/05/24,209400.0,0.93,0.94,0.96,0.91
23/05/24,396710.0,0.92,0.92,1.0,0.9
24/05/24,96130.0,0.91,0.92,0.94,0.91
27/05/24,116350.0,0.97,0.92,0.97,0.91
28/05/24,661230.0,0.92,1.04,1.04,0.92
29/05/24,4938570.0,1.04,1.18,1.26,1.04
30/05/24,2353850.0,1.23,1.08,1.25,1.0
31/05/24,59810.0,1.09,1.08,1.09,1.02
03/06/24,204130.0,1.14,1.12,1.14,1.06
03/06/24,204130.0,1.14,1.12,1.14,1.06
04/06/24,380050.0,1.13,1.1,1.13,1.06
05/06/24,98460.0,1.1,1.12,1.12,1.08
06/06/24,4273840.0,1.12,1.24,1.34,1.12
07/06/24,718530.0,1.3,1.24,1.35,1.24
10/06/24,1270420.0,1.27,1.36,1.38,1.26
11/06/24,16143570.0,1.37,1.87,1.98,1.3
13/06/24,6567520.0,1.88,1.79,1.91,1.59
14/06/24,7265940.0,1.82,1.78,1.99,1.68
18/06/24,844900.0,1.84,1.79,1.89,1.79
19/06/24,5832690.0,1.81,1.53,1.87,1.45
20/06/24,1390930.0,1.53,1.6,1.66,1.53
21/06/24,962480.0,1.6,1.62,1.65,1.56
24/06/24,593510.0,1.7,1.67,1.7,1.59
25/06/24,1245740.0,1.67,1.74,1.81,1.63
26/06/24,998890.0,1.78,1.79,1.82,1.73
27/06/24,1627120.0,1.78,1.74,1.82,1.73
28/06/24,942850.0,1.73,1.73,1.73,1.73
01/07/24,537360.0,1.73,1.72,1.73,1.7
02/07/24,2466360.0,1.72,1.88,1.92,1.71
03/07/24,1283340.0,1.89,1.92,1.95,1.83
04/07/24,1609500.0,1.9,1.88,1.92,1.75
05/07/24,4400300.0,1.88,1.88,1.99,1.87
08/07/24,1113080.0,1.93,1.91,1.96,1.88
09/07/24,977860.0,1.91,1.9,1.95,1.88
10/07/24,1090630.0,1.9,1.9,1.9,1.86
11/07/24,710340.0,1.9,1.91,1.93,1.85
12/07/24,2016040.0,1.93,1.78,1.93,1.75
15/07/24,502740.0,1.76,1.77,1.77,1.75
16/07/24,2163430.0,1.75,1.67,1.77,1.64
17/07/24,1032130.0,1.65,1.66,1.75,1.64
18/07/24,1154190.0,1.64,1.63,1.64,1.6
19/07/24,23870.0,1.71,1.62,1.73,1.62
22/07/24,1330640.0,1.62,1.61,1.69,1.6
23/07/24,2444610.0,1.61,1.56,1.62,1.56
25/07/24,9300.0,1.55,1.55,1.56,1.55
26/07/24,209130.0,1.55,1.54,1.55,1.54
29/07/24,24640.0,1.54,1.54,1.54,1.54
29/07/24,24640.0,1.54,1.54,1.54,1.54
30/07/24,1015590.0,1.5,1.5,1.54,1.5
31/07/24,400830.0,1.4,1.48,1.67,1.4
01/08/24,335330.0,1.42,1.43,1.43,1.42
02/08/24,376270.0,1.42,1.51,1.51,1.42
05/08/24,87000.0,1.45,1.45,1.45,1.45
06/08/24,115020.0,1.42,1.42,1.42,1.42
07/08/24,249200.0,1.4,1.4,1.4,1.4
08/08/24,26680.0,1.4,1.41,1.41,1.4
09/08/24,39660.0,1.47,1.5,1.5,1.45
12/08/24,173950.0,1.5,1.41,1.5,1.41
13/08/24,295430.0,1.41,1.4,1.41,1.4
14/08/24,602120.0,1.45,1.48,1.53,1.45
15/08/24,801950.0,1.46,1.64,1.64,1.46
16/08/24,613900.0,1.67,1.7,1.7,1.67
19/08/24,920910.0,1.7,1.7,1.73,1.67
20/08/24,295210.0,1.7,1.68,1.73,1.68
21/08/24,778660.0,1.7,1.74,1.74,1.7
22/08/24,1402830.0,1.75,1.9,1.9,1.75
27/08/24,541840.0,1.91,1.85,1.91,1.85
28/08/24,6553750.0,1.93,2.04,2.1,1.9
29/08/24,782190.0,2.06,2.04,2.06,1.99
30/08/24,828260.0,2.0,2.04,2.04,1.95
02/09/24,74350.0,2.1,2.05,2.1,1.99
03/09/24,135150.0,1.98,2.0,2.0,1.98
04/09/24,266850.0,1.99,1.95,1.99,1.9
05/09/24,5910.0,1.97,1.97,1.97,1.97
06/09/24,457390.0,1.92,1.96,1.96,1.9
09/09/24,184440.0,1.91,1.97,1.97,1.9
10/09/24,376260.0,1.9,1.96,1.96,1.9
11/09/24,227460.0,1.9,1.96,1.96,1.89
16/09/24,148350.0,1.85,1.85,1.9,1.85
17/09/24,76510.0,1.89,1.91,1.91,1.85
18/09/24,3690.0,1.85,1.84,1.85,1.84
19/09/24,100150.0,1.85,1.93,1.94,1.85
20/09/24,192370.0,1.9,1.84,1.91,1.84
24/09/24,462680.0,1.84,1.84,1.84,1.8
25/09/24,581720.0,1.83,1.78,1.83,1.78
26/09/24,203300.0,1.75,1.77,1.89,1.75
27/09/24,51520.0,1.71,1.72,1.73,1.71
30/09/24,303100.0,1.73,1.89,1.89,1.73
01/10/24,51030.0,1.89,1.89,1.89,1.89
02/10/24,45170.0,1.79,1.81,1.81,1.79
03/10/24,30230.0,1.81,1.84,1.84,1.74
04/10/24,411810.0,1.75,1.84,1.87,1.7
07/10/24,26460.0,1.89,1.89,1.89,1.89
08/10/24,25560.0,1.76,1.89,1.9,1.76
15/10/24,85760.0,1.89,1.85,1.89,1.8
17/10/24,1850.0,1.85,1.85,1.85,1.85
18/10/24,70100.0,1.76,1.83,1.83,1.75
21/10/24,144040.0,1.84,1.79,1.85,1.73
22/10/24,78500.0,1.72,1.79,1.79,1.7
24/10/24,74240.0,1.7,1.8,1.8,1.65
30/10/24,31870.0,1.65,1.74,1.74,1.62
04/11/24,499640.0,1.73,1.6,1.74,1.6
