Date,Value,Open,Close,High,Low
20/09/10,112500.0,3.75,3.75,3.75,3.75
21/09/10,11240.0,5.62,5.62,5.62,5.62
23/09/10,8430.0,8.43,8.43,8.43,8.43
24/09/10,12640.0,12.64,12.64,12.64,12.64
27/09/10,56880.0,18.96,18.96,18.96,18.96
28/09/10,113600.0,28.4,28.4,28.4,28.4
29/09/10,340800.0,42.6,42.6,42.6,42.6
01/10/10,265550.0,63.8,60.0,63.8,60.0
04/10/10,189315.0,59.5,55.5,59.5,54.0
05/10/10,36600.0,50.0,42.0,50.0,42.0
07/10/10,27150.0,42.5,48.0,48.0,42.5
08/10/10,4100.0,41.0,41.0,41.0,41.0
12/10/10,3690.0,41.0,41.0,41.0,41.0
13/10/10,124540.0,55.0,61.45,61.45,55.0
14/10/10,29780.0,61.5,65.0,65.0,60.0
15/10/10,6325.0,63.5,63.0,63.5,63.0
18/10/10,209163.0,60.0,83.9,94.0,57.0
19/10/10,25980.0,83.0,70.0,83.0,70.0
20/10/10,106860.0,69.0,80.0,80.0,60.0
21/10/10,144990.0,90.0,65.0,95.0,65.0
22/10/10,130325.0,64.5,69.0,69.0,55.0
26/10/10,69950.0,57.0,60.0,65.0,57.0
27/10/10,1880.0,61.0,65.0,65.0,61.0
29/10/10,71040.0,57.0,65.0,65.0,57.0
03/11/10,4240.0,53.0,53.0,53.0,53.0
18/11/10,127725.0,97.5,97.5,97.5,97.5
19/11/10,106164.0,112.1,145.0,145.0,110.0
22/11/10,397480.0,195.0,217.4,217.4,195.0
31/05/11,133660.0,326.0,326.0,326.0,326.0
01/06/11,498780.0,489.0,489.0,489.0,489.0
03/06/11,2298490.0,1100.0,1049.0,1100.0,1000.0
06/06/11,274600.0,760.0,700.0,760.0,700.0
07/06/11,184200.0,700.0,600.0,700.0,600.0
08/06/11,550250.0,580.5,700.0,700.0,540.0
09/06/11,95900.0,750.0,740.0,750.0,720.0
10/06/11,20100.0,670.0,670.0,670.0,670.0
13/06/11,120850.0,670.0,570.5,670.0,570.5
14/06/11,271250.0,580.5,610.0,610.0,550.0
16/06/11,112975.0,591.5,600.0,600.0,580.0
22/06/11,42000.0,600.0,600.0,600.0,600.0
23/06/11,58500.0,600.0,570.0,600.0,570.0
27/06/11,139500.0,578.0,560.0,578.0,540.0
30/06/11,5795.0,579.5,579.5,579.5,579.5
04/07/11,107020.0,560.0,530.0,560.0,530.0
06/07/11,218520.0,520.5,520.0,520.5,500.0
08/07/11,111195.0,501.5,609.5,609.5,500.0
11/07/11,10182.0,498.2,520.0,520.0,498.2
13/07/11,35000.0,500.0,500.0,500.0,500.0
14/07/11,15000.0,500.0,500.0,500.0,500.0
15/07/11,25000.0,500.0,500.0,500.0,500.0
18/07/11,35530.0,589.0,595.0,595.0,589.0
21/07/11,50540.0,505.5,505.0,506.0,505.0
22/07/11,6000.0,600.0,600.0,600.0,600.0
25/07/11,11160.0,558.0,558.0,558.0,558.0
28/07/11,15900.0,530.0,530.0,530.0,530.0
29/07/11,16625.0,554.5,553.5,554.5,553.5
03/08/11,10600.0,530.0,530.0,530.0,530.0
08/08/11,29960.0,501.0,491.0,501.0,491.0
09/08/11,106370.0,495.0,480.2,495.0,480.0
10/08/11,4830.0,483.0,483.0,483.0,483.0
12/08/11,9704.0,485.2,485.2,485.2,485.2
15/08/11,5995.0,599.5,599.5,599.5,599.5
16/08/11,346990.0,599.5,799.5,850.0,599.5
17/08/11,38950.0,779.0,779.0,779.0,779.0
18/08/11,600530.0,550.0,500.0,550.0,500.0
19/08/11,33600.0,550.0,580.0,580.0,550.0
22/08/11,12500.0,650.0,600.0,650.0,600.0
23/08/11,184245.0,599.5,501.0,600.0,500.0
24/08/11,29890.0,597.5,598.0,598.0,597.5
31/08/11,36380.0,605.0,607.0,607.0,605.0
01/09/11,358905.0,550.0,516.0,550.0,515.0
02/09/11,4238350.0,525.0,520.0,530.0,516.0
06/09/11,1575480.0,516.0,520.0,520.0,516.0
12/09/11,41270.0,516.5,515.5,516.5,515.5
15/09/11,5995.0,599.5,599.5,599.5,599.5
20/09/11,103225.0,519.0,514.0,519.0,514.0
23/09/11,30900.0,515.0,515.0,515.0,515.0
