Date,Value,Open,Close,High,Low
03/08/09,128700.0,3.3,3.3,3.3,3.3
04/08/09,857150.0,3.3,3.35,3.35,3.3
06/08/09,442550.0,3.35,3.3,3.35,3.3
07/08/09,49500.0,3.3,3.3,3.3,3.3
10/08/09,1406550.0,3.4,3.5,3.6,3.4
11/08/09,1888650.0,3.6,3.9,4.0,3.6
12/08/09,518900.0,3.8,3.7,3.8,3.7
13/08/09,317500.0,3.7,3.65,3.7,3.6
14/08/09,359800.0,3.65,3.7,3.7,3.65
17/08/09,466300.0,3.6,3.4,3.6,3.4
18/08/09,251900.0,3.4,3.4,3.4,3.2
20/08/09,7100.0,3.55,3.55,3.55,3.55
24/08/09,213500.0,3.5,3.5,3.5,3.5
25/08/09,364700.0,3.35,3.5,3.5,3.35
26/08/09,865450.0,3.5,3.65,3.65,3.5
03/09/09,819700.0,3.5,3.5,3.55,3.5
04/09/09,246200.0,3.7,3.6,3.7,3.6
16/09/09,225550.0,3.85,3.8,3.9,3.8
17/09/09,53500.0,3.85,3.8,3.85,3.8
18/09/09,256000.0,3.9,3.8,3.9,3.8
22/09/09,346300.0,3.75,3.8,3.8,3.7
23/09/09,495850.0,3.75,3.9,3.9,3.75
30/09/09,74000.0,3.7,3.7,3.7,3.7
01/10/09,17750.0,3.55,3.55,3.55,3.55
02/10/09,118500.0,3.5,3.6,3.6,3.5
05/10/09,120800.0,3.6,3.55,3.6,3.55
06/10/09,61200.0,3.6,3.6,3.6,3.6
07/10/09,64800.0,3.6,3.6,3.6,3.6
08/10/09,10197200.0,3.6,3.6,3.7,3.6
09/10/09,295450.0,3.65,3.85,3.9,3.65
12/10/09,199850.0,3.85,3.75,3.85,3.75
14/10/09,353900.0,3.9,3.8,3.9,3.7
15/10/09,72200.0,3.8,3.8,3.8,3.8
16/10/09,834300.0,3.8,3.9,4.0,3.8
19/10/09,49300.0,3.75,3.8,3.8,3.75
20/10/09,30400.0,3.8,3.8,3.8,3.8
23/10/09,30000.0,3.75,3.75,3.75,3.75
26/10/09,3800.0,3.8,3.8,3.8,3.8
27/10/09,508650.0,3.75,3.75,3.75,3.7
28/10/09,163000.0,3.75,3.7,3.75,3.7
29/10/09,21600.0,3.6,3.6,3.6,3.6
30/10/09,265550.0,3.9,3.6,3.9,3.6
03/11/09,442800.0,3.6,3.6,3.6,3.6
04/11/09,216000.0,3.6,3.6,3.6,3.6
05/11/09,129600.0,3.6,3.6,3.6,3.6
06/11/09,23100.0,3.85,3.85,3.85,3.85
10/11/09,120200.0,3.45,3.7,3.8,3.45
11/11/09,555150.0,3.65,3.7,3.9,3.5
15/12/09,54600.0,3.9,3.9,3.9,3.9
16/12/09,3900.0,3.9,3.9,3.9,3.9
17/12/09,40000.0,4.0,4.0,4.0,4.0
18/12/09,234000.0,3.9,3.9,3.9,3.9
21/12/09,163400.0,3.9,3.85,3.9,3.85
22/12/09,265650.0,3.85,3.85,3.85,3.85
23/12/09,209000.0,3.8,3.8,3.8,3.8
29/12/09,761150.0,3.7,3.7,3.75,3.7
04/01/10,296250.0,3.7,3.7,3.75,3.7
05/01/10,37000.0,3.7,3.7,3.7,3.7
06/01/10,298950.0,3.7,3.7,3.7,3.65
07/01/10,60000.0,3.7,3.75,3.8,3.7
08/01/10,311250.0,3.75,3.75,3.75,3.75
11/01/10,236250.0,3.75,3.75,3.75,3.75
12/01/10,174300.0,3.75,3.8,3.8,3.75
13/01/10,168750.0,3.75,3.75,3.75,3.75
14/01/10,272000.0,3.75,3.8,3.8,3.75
15/01/10,587250.0,3.75,3.8,3.8,3.75
18/01/10,60800.0,3.8,3.8,3.8,3.8
19/01/10,86300.0,3.75,3.75,3.8,3.75
20/01/10,703000.0,3.7,3.7,3.7,3.7
21/01/10,160600.0,3.65,3.65,3.65,3.65
22/01/10,580400.0,3.65,3.6,3.7,3.6
25/01/10,612400.0,3.65,3.6,3.65,3.6
26/01/10,39600.0,3.6,3.6,3.6,3.6
27/01/10,236350.0,3.6,3.45,3.6,3.45
28/01/10,45850.0,3.8,3.45,3.8,3.45
29/01/10,3700.0,3.7,3.7,3.7,3.7
02/02/10,3750.0,3.75,3.75,3.75,3.75
03/02/10,10800.0,3.6,3.6,3.6,3.6
05/02/10,11100.0,3.75,3.6,3.75,3.6
08/02/10,699900.0,3.3,3.3,3.6,3.3
09/02/10,65150.0,3.25,3.25,3.3,3.25
10/02/10,278600.0,3.15,3.05,3.35,3.05
11/02/10,110750.0,3.05,3.2,3.2,3.05
08/03/10,10900.0,3.6,3.65,3.65,3.6
12/03/10,155400.0,3.7,3.7,3.7,3.7
16/03/10,43850.0,3.75,3.65,3.75,3.6
17/03/10,135150.0,3.7,3.65,3.7,3.65
31/03/10,10950.0,3.65,3.65,3.65,3.65
20/04/10,292000.0,3.65,3.65,3.65,3.65
22/04/10,76700.0,3.7,3.65,3.7,3.65
23/04/10,51800.0,3.7,3.7,3.7,3.7
05/05/10,85600.0,3.6,3.5,3.6,3.5
13/05/10,18000.0,3.6,3.6,3.6,3.6
14/05/10,255500.0,3.75,3.6,3.75,3.6
17/05/10,78400.0,3.5,3.6,3.8,3.5
18/05/10,59000.0,3.6,3.7,3.7,3.6
19/05/10,181300.0,3.7,3.7,3.7,3.7
20/05/10,3650.0,3.65,3.65,3.65,3.65
21/05/10,720300.0,3.65,3.65,3.65,3.5
24/05/10,193800.0,3.6,3.45,3.6,3.45
25/05/10,425200.0,3.4,3.5,3.5,3.4
26/05/10,73000.0,3.65,3.65,3.65,3.65
27/05/10,334400.0,3.6,3.5,3.6,3.5
28/05/10,317450.0,3.55,3.45,3.55,3.45
31/05/10,76650.0,3.65,3.65,3.65,3.65
02/06/10,93450.0,3.45,3.6,3.6,3.45
03/06/10,290550.0,3.5,3.45,3.5,3.45
04/06/10,7200.0,3.6,3.6,3.6,3.6
07/06/10,150500.0,3.5,3.5,3.5,3.5
08/06/10,77000.0,3.5,3.5,3.5,3.5
09/06/10,147800.0,3.5,3.6,3.6,3.5
15/06/10,10450.0,3.45,3.55,3.55,3.45
16/06/10,28400.0,3.55,3.55,3.55,3.55
21/06/10,225800.0,3.7,3.85,3.85,3.7
22/06/10,7550.0,3.85,3.7,3.85,3.7
23/06/10,22200.0,3.7,3.7,3.7,3.7
24/06/10,107300.0,3.7,3.7,3.7,3.7
25/06/10,114950.0,3.7,3.7,3.75,3.7
28/06/10,10900.0,3.6,3.7,3.7,3.6
01/07/10,17800.0,3.5,3.6,3.7,3.5
02/07/10,175000.0,3.6,3.5,3.6,3.4
06/07/10,42300.0,3.5,3.65,3.65,3.5
07/07/10,372200.0,3.55,3.5,3.55,3.5
08/07/10,10650.0,3.5,3.65,3.65,3.5
09/07/10,251700.0,3.5,3.6,3.6,3.5
13/07/10,68400.0,3.6,3.6,3.6,3.6
14/07/10,234000.0,3.6,3.6,3.6,3.6
15/07/10,4637650.0,3.55,3.6,3.6,3.55
16/07/10,14200.0,3.55,3.55,3.55,3.55
19/07/10,3600.0,3.6,3.6,3.6,3.6
23/07/10,3600.0,3.6,3.6,3.6,3.6
20/09/10,333250.0,3.7,3.61,3.75,3.61
21/09/10,338450.0,3.7,3.6,3.75,3.6
22/09/10,117110.0,3.55,3.7,3.8,3.45
23/09/10,151700.0,3.7,3.7,3.7,3.7
24/09/10,46270.0,3.58,3.75,3.75,3.5
27/09/10,53380.0,3.55,3.56,3.56,3.55
28/09/10,66970.0,3.73,3.72,3.73,3.72
29/09/10,270900.0,3.5,3.64,3.64,3.5
30/09/10,407120.0,3.5,3.52,3.52,3.5
01/10/10,298000.0,3.52,3.52,3.52,3.5
04/10/10,459600.0,3.5,3.58,3.58,3.5
05/10/10,371700.0,3.54,3.54,3.54,3.54
06/10/10,294220.0,3.59,3.55,3.59,3.48
07/10/10,91050.0,3.5,3.55,3.55,3.5
08/10/10,67260.0,3.54,3.54,3.54,3.54
12/10/10,52900.0,3.5,3.54,3.54,3.5
13/10/10,2270550.0,3.46,3.99,4.0,3.46
14/10/10,8305160.0,3.99,3.88,4.5,3.88
15/10/10,358400.0,4.0,3.8,4.0,3.65
18/10/10,563980.0,3.7,3.58,3.7,3.58
19/10/10,296600.0,3.58,3.69,3.79,3.56
20/10/10,849300.0,3.6,3.52,3.69,3.51
22/10/10,3395800.0,3.57,3.7,4.0,3.4
26/10/10,3274360.0,3.7,3.72,3.88,3.69
27/10/10,5569970.0,3.85,3.85,3.97,3.85
28/10/10,4952280.0,3.99,3.8,3.99,3.72
29/10/10,2340430.0,3.89,3.52,3.89,3.5
02/11/10,617730.0,3.7,3.73,3.75,3.6
03/11/10,19072010.0,3.84,3.55,3.84,3.5
04/11/10,4018710.0,3.56,3.56,3.56,3.5
08/11/10,5734750.0,3.6,3.54,3.6,3.5
09/11/10,186200.0,3.52,3.54,3.54,3.5
10/11/10,1502880.0,3.52,3.48,3.52,3.48
11/11/10,3252910.0,3.54,3.44,3.54,3.3
12/11/10,4472890.0,3.48,3.13,3.48,3.0
15/11/10,667040.0,3.1,3.26,3.26,3.1
17/11/10,231040.0,3.26,3.2,3.26,3.2
18/11/10,3042850.0,3.26,3.08,3.26,3.0
19/11/10,321850.0,3.08,3.15,3.15,3.08
22/11/10,315050.0,3.16,3.15,3.16,3.1
23/11/10,2667430.0,3.05,3.09,3.24,3.0
24/11/10,1099860.0,3.07,3.06,3.07,3.0
25/11/10,261470.0,3.07,3.05,3.07,2.98
26/11/10,439760.0,3.0,2.98,3.0,2.98
30/11/10,256930.0,2.98,3.05,3.05,2.96
01/12/10,182960.0,3.0,2.97,3.02,2.97
02/12/10,193260.0,2.98,2.97,3.0,2.97
03/12/10,450730.0,2.99,3.04,3.07,2.95
06/12/10,72210.0,3.06,3.03,3.06,3.0
07/12/10,151500.0,3.03,3.03,3.03,3.03
08/12/10,45020.0,3.05,3.02,3.05,2.98
16/12/10,165030.0,2.8,2.78,2.99,2.78
22/12/10,343800.0,3.04,2.85,3.04,2.75
23/12/10,60510.0,3.01,2.85,3.01,2.85
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
28/12/10,1659960.0,2.83,2.88,2.9,2.75
