Date,Value,Open,Close,High,Low
03/08/09,849275.0,287.5,285.0,287.5,285.0
04/08/09,9353825.0,287.5,290.0,290.0,282.5
06/08/09,3237700.0,290.0,295.0,295.0,290.0
07/08/09,1047575.0,295.0,290.0,295.0,287.5
10/08/09,1971475.0,287.5,290.0,290.0,285.0
11/08/09,13968825.0,290.0,295.0,295.0,290.0
12/08/09,564050.0,292.5,295.0,295.0,290.0
13/08/09,18819300.0,295.0,300.0,300.0,295.0
14/08/09,128638050.0,300.0,300.0,300.0,295.0
17/08/09,64050750.0,300.0,290.0,300.0,290.0
18/08/09,3856225.0,282.5,287.5,287.5,282.5
19/08/09,3623250.0,292.5,297.5,297.5,292.5
20/08/09,34599700.0,297.5,335.0,340.0,297.5
24/08/09,8243975.0,330.0,345.0,350.0,330.0
25/08/09,5602875.0,345.0,335.0,345.0,335.0
26/08/09,3204575.0,340.0,337.5,340.0,335.0
03/09/09,10080750.0,332.5,330.0,335.0,330.0
04/09/09,9989025.0,330.0,325.0,335.0,325.0
16/09/09,5228675.0,335.0,330.0,337.5,325.0
17/09/09,1158875.0,332.5,330.0,332.5,327.5
18/09/09,5289025.0,327.5,332.5,332.5,327.5
22/09/09,3079225.0,330.0,332.5,332.5,330.0
23/09/09,5395975.0,330.0,340.0,340.0,330.0
30/09/09,15673825.0,332.5,327.5,335.0,327.5
01/10/09,2636300.0,332.5,337.5,337.5,327.5
02/10/09,624125.0,327.5,330.0,330.0,327.5
05/10/09,2515250.0,327.5,330.0,330.0,327.5
06/10/09,1273200.0,330.0,330.0,330.0,327.5
07/10/09,32026775.0,330.0,330.0,335.0,330.0
08/10/09,16321825.0,330.0,330.0,330.0,327.5
09/10/09,2660600.0,330.0,322.5,330.0,322.5
12/10/09,690675.0,325.0,327.5,330.0,325.0
13/10/09,399650.0,327.5,327.5,330.0,327.5
14/10/09,130000.0,325.0,325.0,325.0,325.0
15/10/09,5933350.0,322.5,322.5,322.5,320.0
16/10/09,571500.0,320.0,325.0,325.0,320.0
19/10/09,1405075.0,327.5,325.0,327.5,322.5
20/10/09,1984575.0,325.0,317.5,325.0,317.5
21/10/09,64925.0,317.5,325.0,325.0,317.5
22/10/09,4158025.0,320.0,327.5,327.5,320.0
23/10/09,24393150.0,330.0,345.0,357.5,330.0
26/10/09,3560325.0,340.0,335.0,340.0,330.0
27/10/09,15107125.0,335.0,330.0,335.0,327.5
28/10/09,91700.0,327.5,327.5,327.5,327.5
29/10/09,3013050.0,325.0,322.5,325.0,322.5
30/10/09,436625.0,322.5,327.5,327.5,322.5
03/11/09,3895975.0,312.5,320.0,330.0,312.5
04/11/09,4846000.0,320.0,315.0,320.0,315.0
05/11/09,1577900.0,310.0,310.0,310.0,310.0
06/11/09,1642175.0,320.0,315.0,325.0,315.0
09/11/09,18094000.0,320.0,315.0,320.0,310.0
10/11/09,498750.0,317.5,315.0,320.0,315.0
11/11/09,4841275.0,315.0,315.0,315.0,312.5
15/12/09,3265650.0,307.5,307.5,307.5,307.5
16/12/09,630375.0,307.5,307.5,307.5,307.5
17/12/09,1814775.0,305.0,305.0,307.5,305.0
18/12/09,553500.0,307.5,307.5,307.5,307.5
21/12/09,6071375.0,302.5,302.5,307.5,300.0
22/12/09,2141250.0,302.5,307.5,307.5,302.5
23/12/09,115925.0,307.5,305.0,307.5,305.0
29/12/09,5329500.0,315.0,312.5,315.0,300.0
04/01/10,1211850.0,312.5,307.5,312.5,307.5
05/01/10,722625.0,307.5,307.5,307.5,307.5
06/01/10,11177625.0,307.5,307.5,307.5,307.5
07/01/10,1982500.0,310.0,310.0,310.0,307.5
08/01/10,334800.0,310.0,310.0,310.0,310.0
11/01/10,7014075.0,307.5,307.5,307.5,307.5
12/01/10,8821525.0,307.5,305.0,307.5,305.0
13/01/10,2137200.0,310.0,307.5,310.0,307.5
15/01/10,790050.0,305.0,305.0,307.5,305.0
18/01/10,4878550.0,302.5,300.0,302.5,300.0
19/01/10,499550.0,300.0,300.0,300.0,297.5
20/01/10,1779000.0,300.0,300.0,300.0,300.0
21/01/10,816000.0,300.0,300.0,300.0,300.0
25/01/10,2014425.0,297.5,295.0,300.0,295.0
26/01/10,1008925.0,297.5,295.0,297.5,295.0
27/01/10,5316050.0,295.0,287.5,295.0,287.5
28/01/10,707250.0,287.5,287.5,287.5,287.5
29/01/10,11856450.0,285.0,275.0,285.0,275.0
01/02/10,17216275.0,275.0,260.0,275.0,260.0
02/02/10,6774525.0,260.0,250.0,260.0,250.0
03/02/10,7579150.0,255.0,260.0,270.0,255.0
04/02/10,1822800.0,260.0,260.0,270.0,260.0
05/02/10,100100.0,260.0,255.0,260.0,255.0
08/02/10,301875.0,260.0,252.5,275.0,252.5
09/02/10,580750.0,252.5,252.5,252.5,252.5
10/02/10,3918280.0,255.0,245.0,255.0,245.0
11/02/10,2788110.0,250.0,250.0,250.0,242.0
08/03/10,144500.0,285.0,295.0,295.0,285.0
12/03/10,1066575.0,315.0,310.0,315.0,310.0
15/03/10,725525.0,310.0,312.5,312.5,305.0
16/03/10,68675.0,312.5,310.0,312.5,310.0
17/03/10,4407450.0,310.0,315.0,315.0,310.0
31/03/10,3450300.0,312.5,315.0,315.0,310.0
20/04/10,1712525.0,305.0,300.0,305.0,300.0
21/04/10,1917000.0,300.0,300.0,300.0,300.0
22/04/10,75000.0,300.0,300.0,300.0,300.0
23/04/10,5682275.0,300.0,300.0,300.0,292.5
29/04/10,527575.0,295.0,292.5,295.0,292.5
30/04/10,3271600.0,292.5,295.0,295.0,287.5
04/05/10,48678400.0,290.0,287.5,290.0,285.0
05/05/10,6421750.0,285.0,280.0,287.5,277.5
13/05/10,4993050.0,277.5,285.0,285.0,277.5
14/05/10,129950.0,285.0,280.0,285.0,280.0
17/05/10,4238075.0,280.0,282.5,282.5,275.0
18/05/10,734700.0,280.0,277.5,280.0,277.5
19/05/10,705600.0,280.0,280.0,280.0,280.0
20/05/10,660800.0,280.0,280.0,280.0,280.0
21/05/10,457450.0,275.0,275.0,275.0,272.5
24/05/10,85250.0,275.0,275.0,275.0,275.0
25/05/10,452600.0,272.5,270.0,272.5,270.0
26/05/10,5745600.0,270.0,270.0,270.0,270.0
27/05/10,97200.0,270.0,270.0,270.0,270.0
28/05/10,1420525.0,270.0,272.5,272.5,270.0
31/05/10,7914000.0,270.0,270.0,270.0,267.5
01/06/10,31063500.0,270.0,270.0,270.0,270.0
02/06/10,351000.0,270.0,270.0,270.0,270.0
03/06/10,5524675.0,270.0,272.5,275.0,270.0
04/06/10,20520650.0,272.5,267.5,272.5,267.5
07/06/10,5645700.0,270.0,270.0,270.0,270.0
08/06/10,135150.0,265.0,265.0,265.0,265.0
09/06/10,35901425.0,270.0,265.0,270.0,265.0
10/06/10,4581125.0,265.0,262.5,265.0,262.5
11/06/10,92250.0,270.0,262.5,270.0,262.5
16/06/10,5321200.0,265.0,265.0,265.0,265.0
21/06/10,853400.0,265.0,270.0,270.0,265.0
22/06/10,531300.0,265.0,267.5,267.5,265.0
23/06/10,1604800.0,265.0,270.0,270.0,265.0
24/06/10,3713500.0,267.5,265.0,267.5,262.5
25/06/10,478000.0,265.0,270.0,270.0,265.0
28/06/10,40469600.0,270.0,267.5,270.0,265.0
29/06/10,8884250.0,265.0,262.5,265.0,260.0
01/07/10,7552850.0,260.0,257.5,262.5,255.0
02/07/10,530575.0,257.5,257.5,260.0,257.5
06/07/10,2779750.0,257.5,252.5,257.5,252.5
07/07/10,2267000.0,255.0,255.0,255.0,252.5
08/07/10,782850.0,255.0,255.0,255.0,255.0
09/07/10,27389900.0,255.0,260.0,260.0,255.0
13/07/10,968475.0,257.5,260.0,260.0,257.5
15/07/10,1871750.0,257.5,260.0,260.0,257.5
16/07/10,64327700.0,260.0,260.0,270.0,260.0
19/07/10,314600.0,260.0,260.0,260.0,260.0
20/07/10,935950.0,257.5,260.0,260.0,257.5
21/07/10,5598175.0,260.0,260.0,260.0,255.0
