Date,Value,Open,Close,High,Low
13/01/14,85558574.5,81.0,98.95,104.9,81.0
14/01/14,57945977.0,97.0,82.1,97.0,81.2
15/01/14,47413562.0,82.0,70.0,82.0,66.0
16/01/14,63672970.5,70.1,73.0,77.9,68.0
17/01/14,24806594.0,72.6,74.9,76.2,71.15
20/01/14,28354236.0,74.9,77.5,80.0,72.55
21/01/14,11045051.0,77.5,77.45,78.0,76.3
22/01/14,10312208.0,77.45,77.3,78.0,75.55
23/01/14,12656704.0,75.55,75.0,77.0,75.0
24/01/14,6837957.5,74.25,75.0,75.0,72.1
27/01/14,6044272.0,72.55,74.0,74.95,72.5
28/01/14,7040756.5,73.15,73.95,74.0,72.5
29/01/14,9818303.5,72.35,74.5,74.5,72.0
30/01/14,19471421.5,72.0,72.0,72.3,71.95
03/02/14,7989232.5,71.9,71.0,71.9,70.5
04/02/14,6651932.0,70.2,69.0,70.2,68.7
05/02/14,5860413.0,68.6,68.0,68.7,68.0
06/02/14,7539451.5,67.1,70.0,70.0,67.1
07/02/14,4343528.0,68.0,67.7,69.9,67.55
10/02/14,8822963.0,67.55,67.0,67.55,66.5
11/02/14,12717674.5,66.0,65.0,67.1,65.0
12/02/14,10912377.5,66.0,63.8,66.5,63.8
13/02/14,4980794.5,63.55,64.0,65.0,63.5
14/02/14,5173830.0,63.5,65.0,66.0,63.0
17/02/14,3148716.5,64.0,65.0,65.0,63.2
18/02/14,2008642.0,65.0,64.0,65.0,63.5
19/02/14,5214870.5,63.65,64.5,64.5,63.55
20/02/14,2833106.0,64.0,64.5,64.5,63.55
21/02/14,2881181.0,64.5,64.5,64.5,63.55
24/02/14,4049437.0,64.5,65.0,65.0,63.55
25/02/14,2925808.0,63.7,64.8,64.9,63.6
26/02/14,4864733.0,64.9,63.6,64.9,63.6
27/02/14,9104690.5,63.7,62.0,64.0,62.0
28/02/14,11466247.5,62.0,60.0,62.6,60.0
03/03/14,5711333.5,60.0,60.0,60.0,58.8
04/03/14,3726306.0,59.5,59.5,59.8,58.55
05/03/14,6431100.0,59.3,58.2,59.3,58.15
06/03/14,6976313.5,58.2,58.1,58.3,58.05
07/03/14,5655224.5,58.1,58.5,59.0,58.05
10/03/14,9111316.0,58.1,58.6,59.2,58.1
11/03/14,81931789.5,58.6,62.0,62.25,58.5
12/03/14,37189669.0,62.95,65.0,65.0,60.1
13/03/14,34716262.5,65.2,72.0,72.5,65.2
14/03/14,15226831.0,72.65,72.0,72.65,69.5
17/03/14,7870141.0,72.15,72.0,74.0,71.0
18/03/14,44593063.0,71.0,81.0,82.0,71.0
19/03/14,28452254.0,81.0,82.9,85.5,77.15
20/03/14,15566903.5,83.0,83.0,83.0,79.5
21/03/14,19114236.5,81.1,82.95,83.5,81.0
24/03/14,18344876.0,82.95,85.0,85.05,82.4
25/03/14,5277588.5,85.0,85.0,85.0,83.5
26/03/14,10522501.5,85.0,86.0,86.0,84.1
27/03/14,9466710.0,86.0,86.5,86.5,84.05
28/03/14,25069473.5,86.0,88.0,88.0,85.6
31/03/14,15494947.5,88.0,88.95,89.0,86.6
01/04/14,7150327.5,89.0,89.0,90.0,88.2
02/04/14,20080744.0,89.9,90.0,91.0,89.5
03/04/14,11184010.5,91.0,90.0,91.0,87.55
04/04/14,14035272.0,89.95,92.0,92.0,88.05
07/04/14,10097709.0,91.85,94.0,94.0,89.15
08/04/14,4765350.5,92.25,94.0,94.0,91.95
10/04/14,10671641.0,94.0,94.1,94.2,93.0
11/04/14,13377225.5,93.1,96.0,96.1,93.1
14/04/14,6023404.0,95.95,95.5,96.2,93.15
15/04/14,3723445.0,95.1,95.0,96.0,95.0
16/04/14,4341376.5,94.5,95.1,95.6,94.5
21/04/14,4289589.0,95.2,95.45,95.7,95.1
22/04/14,7631215.5,95.5,94.55,95.6,94.55
23/04/14,5043591.0,94.55,93.5,95.0,93.5
24/04/14,18592515.0,93.25,95.5,95.5,89.5
25/04/14,3747149.0,95.0,94.25,95.0,94.0
28/04/14,3246688.0,94.0,95.0,95.5,93.9
29/04/14,1891871.5,95.0,93.1,95.0,93.05
30/04/14,11657378.5,93.0,93.5,93.5,91.0
02/05/14,2488537.5,93.9,93.8,93.95,93.0
05/05/14,2476938.0,93.9,94.0,94.0,92.5
06/05/14,630530.0,94.0,93.0,94.0,92.5
07/05/14,1575552.0,92.5,92.5,93.5,92.0
