Date,Value,Open,Close,High,Low
08/04/25,98525700.0,0.3,0.3,0.32,0.28
10/04/25,53659950.0,0.315,0.335,0.345,0.315
11/04/25,18092500.0,0.335,0.335,0.34,0.325
14/04/25,22169700.0,0.335,0.345,0.36,0.335
15/04/25,7045800.0,0.35,0.35,0.355,0.345
16/04/25,12876950.0,0.35,0.35,0.36,0.345
21/04/25,13341700.0,0.345,0.325,0.35,0.32
22/04/25,4630600.0,0.33,0.32,0.33,0.31
23/04/25,3181150.0,0.315,0.32,0.32,0.31
24/04/25,6830000.0,0.32,0.315,0.32,0.31
25/04/25,6506050.0,0.315,0.325,0.33,0.315
28/04/25,6065200.0,0.325,0.325,0.33,0.32
29/04/25,1515550.0,0.32,0.32,0.32,0.315
30/04/25,4350000.0,0.315,0.33,0.33,0.315
02/05/25,2954100.0,0.33,0.335,0.335,0.325
05/05/25,10988100.0,0.335,0.355,0.355,0.325
06/05/25,13950600.0,0.355,0.37,0.375,0.35
07/05/25,8679600.0,0.37,0.375,0.385,0.365
08/05/25,5182850.0,0.38,0.375,0.385,0.37
09/05/25,4344750.0,0.375,0.365,0.38,0.36
13/05/25,6926600.0,0.36,0.355,0.365,0.345
14/05/25,5885050.0,0.36,0.355,0.375,0.355
15/05/25,5400350.0,0.355,0.355,0.365,0.355
16/05/25,5602200.0,0.36,0.36,0.36,0.35
19/05/25,1442850.0,0.36,0.355,0.36,0.35
20/05/25,2658150.0,0.35,0.345,0.35,0.345
21/05/25,1470000.0,0.345,0.345,0.345,0.34
22/05/25,984250.0,0.34,0.34,0.34,0.33
23/05/25,783850.0,0.34,0.345,0.345,0.34
26/05/25,814550.0,0.34,0.345,0.345,0.34
27/05/25,2213050.0,0.34,0.34,0.355,0.33
28/05/25,3474050.0,0.34,0.335,0.34,0.33
29/05/25,1916550.0,0.34,0.335,0.34,0.335
30/05/25,1576000.0,0.33,0.325,0.335,0.325
