Date,Value,Open,Close,High,Low
03/08/09,582850.0,3.3,3.25,3.3,3.25
04/08/09,713900.0,3.3,3.25,3.3,3.25
06/08/09,78200.0,3.25,3.3,3.3,3.25
07/08/09,357500.0,3.25,3.25,3.25,3.25
10/08/09,721250.0,3.25,3.2,3.25,3.2
11/08/09,225750.0,3.2,3.25,3.25,3.2
12/08/09,388900.0,3.25,3.3,3.3,3.25
13/08/09,212300.0,3.35,3.3,3.35,3.3
14/08/09,230000.0,3.2,3.3,3.3,3.2
17/08/09,656000.0,3.2,3.2,3.2,3.2
18/08/09,472150.0,3.1,3.2,3.2,3.1
19/08/09,627900.0,3.15,3.2,3.2,3.15
20/08/09,728400.0,3.2,3.25,3.35,3.2
24/08/09,1592850.0,3.3,3.3,3.35,3.3
25/08/09,2442000.0,3.3,3.3,3.3,3.3
26/08/09,1174750.0,3.3,3.3,3.3,3.25
03/09/09,353500.0,3.25,3.2,3.25,3.2
04/09/09,1179750.0,3.2,3.2,3.25,3.15
16/09/09,10004200.0,3.65,3.65,3.8,3.65
17/09/09,2652350.0,3.75,3.7,3.75,3.6
18/09/09,7185250.0,3.75,3.7,3.75,3.65
22/09/09,2807800.0,3.8,3.75,3.8,3.7
23/09/09,3041900.0,3.7,3.7,3.75,3.7
30/09/09,1936550.0,3.5,3.5,3.6,3.5
01/10/09,1057750.0,3.5,3.4,3.5,3.35
02/10/09,1020250.0,3.35,3.35,3.35,3.25
05/10/09,612000.0,3.3,3.3,3.35,3.3
06/10/09,985400.0,3.3,3.3,3.3,3.25
07/10/09,818700.0,3.25,3.35,3.35,3.25
08/10/09,928900.0,3.3,3.35,3.4,3.3
09/10/09,473300.0,3.35,3.35,3.35,3.3
12/10/09,712150.0,3.4,3.4,3.4,3.35
13/10/09,924650.0,3.4,3.4,3.45,3.35
14/10/09,119000.0,3.4,3.4,3.4,3.4
15/10/09,370050.0,3.35,3.4,3.4,3.35
16/10/09,2211900.0,3.35,3.6,3.6,3.35
19/10/09,1285600.0,3.65,3.6,3.65,3.4
20/10/09,441500.0,3.5,3.55,3.55,3.5
21/10/09,277500.0,3.5,3.5,3.5,3.45
22/10/09,135500.0,3.35,3.5,3.5,3.35
23/10/09,889700.0,3.4,3.5,3.5,3.4
26/10/09,99950.0,3.4,3.55,3.55,3.4
27/10/09,1066600.0,3.5,3.6,3.6,3.5
28/10/09,2000550.0,3.65,3.65,3.85,3.5
29/10/09,1724000.0,3.4,3.45,3.5,3.4
03/11/09,593500.0,3.35,3.4,3.45,3.35
04/11/09,1035750.0,3.35,3.35,3.4,3.3
05/11/09,684250.0,3.35,3.35,3.35,3.3
06/11/09,300000.0,3.4,3.3,3.4,3.3
09/11/09,1683200.0,3.25,3.3,3.3,3.2
10/11/09,167100.0,3.3,3.4,3.4,3.3
11/11/09,227500.0,3.2,3.3,3.3,3.2
16/12/09,672000.0,3.0,3.0,3.0,3.0
17/12/09,189100.0,3.05,3.05,3.05,3.05
18/12/09,45250.0,3.05,3.0,3.05,3.0
22/12/09,334000.0,3.05,3.0,3.15,3.0
23/12/09,747050.0,3.2,2.9,3.4,2.9
29/12/09,92800.0,3.2,3.2,3.2,3.2
04/01/10,2983200.0,3.2,3.4,3.45,3.2
05/01/10,176800.0,3.4,3.4,3.4,3.4
06/01/10,2729600.0,3.4,3.5,3.5,3.4
07/01/10,3761550.0,3.7,3.5,3.75,3.5
08/01/10,2050700.0,3.5,3.6,3.6,3.5
11/01/10,13646550.0,3.75,3.8,3.9,3.7
12/01/10,17379100.0,3.8,4.0,4.1,3.8
13/01/10,46699450.0,4.2,4.15,4.35,4.1
14/01/10,17957000.0,4.15,3.8,4.25,3.8
15/01/10,7136650.0,3.8,3.7,3.8,3.6
18/01/10,1535000.0,3.7,3.6,3.7,3.55
19/01/10,1461750.0,3.6,3.6,3.65,3.55
20/01/10,2508450.0,3.6,3.5,3.6,3.45
21/01/10,588450.0,3.35,3.5,3.5,3.35
22/01/10,719550.0,3.35,3.5,3.5,3.35
25/01/10,445750.0,3.35,3.45,3.45,3.35
26/01/10,486800.0,3.4,3.3,3.4,3.3
27/01/10,590700.0,3.3,3.3,3.3,3.3
28/01/10,461250.0,3.3,3.3,3.3,3.25
29/01/10,313500.0,3.3,3.3,3.3,3.3
01/02/10,1311750.0,3.3,3.3,3.35,3.3
02/02/10,767200.0,3.3,3.25,3.3,3.25
03/02/10,1441350.0,3.25,3.2,3.3,3.2
04/02/10,792100.0,3.25,3.25,3.3,3.25
05/02/10,1542100.0,3.25,3.2,3.25,3.15
08/02/10,201850.0,3.25,3.2,3.25,3.2
09/02/10,743450.0,3.15,3.1,3.2,3.1
10/02/10,211200.0,3.2,3.2,3.2,3.2
11/02/10,260100.0,3.2,3.3,3.3,3.15
08/03/10,4073300.0,3.45,3.55,3.55,3.45
12/03/10,177500.0,3.55,3.55,3.55,3.55
15/03/10,688000.0,3.5,3.4,3.5,3.4
16/03/10,69250.0,3.45,3.45,3.5,3.45
17/03/10,231000.0,3.5,3.5,3.5,3.5
31/03/10,105000.0,3.5,3.5,3.5,3.5
20/04/10,393550.0,3.3,3.25,3.3,3.25
21/04/10,16500.0,3.3,3.3,3.3,3.3
22/04/10,259950.0,3.25,3.25,3.25,3.2
23/04/10,519500.0,3.2,3.25,3.3,3.2
29/04/10,831900.0,3.2,3.25,3.25,3.2
30/04/10,862000.0,3.2,3.3,3.3,3.2
04/05/10,487500.0,3.25,3.25,3.25,3.25
05/05/10,224000.0,3.2,3.2,3.2,3.2
13/05/10,612750.0,3.25,3.25,3.3,3.25
14/05/10,914750.0,3.2,3.3,3.3,3.2
17/05/10,85800.0,3.3,3.3,3.3,3.3
18/05/10,460300.0,3.3,3.25,3.35,3.25
19/05/10,81250.0,3.25,3.25,3.25,3.25
20/05/10,288000.0,3.2,3.2,3.2,3.2
21/05/10,425450.0,3.15,3.2,3.2,3.15
24/05/10,160000.0,3.2,3.2,3.2,3.2
25/05/10,112000.0,3.2,3.2,3.2,3.2
26/05/10,608000.0,3.2,3.2,3.2,3.2
27/05/10,64250.0,3.25,3.2,3.25,3.2
28/05/10,32500.0,3.25,3.25,3.25,3.25
31/05/10,65000.0,3.25,3.25,3.25,3.25
01/06/10,32500.0,3.25,3.25,3.25,3.25
02/06/10,72950.0,3.25,3.9,3.9,3.25
03/06/10,1057500.0,3.5,3.3,3.5,3.3
04/06/10,715850.0,3.4,3.5,3.5,3.4
07/06/10,1914750.0,3.5,3.6,3.6,3.5
08/06/10,3962550.0,3.7,3.8,3.8,3.65
09/06/10,2952250.0,3.8,3.8,3.9,3.8
10/06/10,1928050.0,3.9,3.65,3.9,3.65
11/06/10,1803250.0,3.75,3.7,3.75,3.7
15/06/10,858050.0,3.65,3.75,3.8,3.65
16/06/10,431800.0,3.75,3.7,3.8,3.7
21/06/10,627500.0,3.65,3.7,3.7,3.65
22/06/10,2190000.0,3.65,3.65,3.65,3.65
23/06/10,1258000.0,3.7,3.7,3.7,3.7
24/06/10,5209800.0,3.75,3.9,4.0,3.75
25/06/10,2674700.0,4.0,4.0,4.15,4.0
28/06/10,2061450.0,4.05,4.05,4.05,4.05
29/06/10,3314000.0,4.0,4.05,4.05,4.0
01/07/10,2780000.0,4.05,3.95,4.05,3.95
02/07/10,3249700.0,3.9,3.95,4.0,3.9
06/07/10,1025150.0,3.85,3.85,3.9,3.85
07/07/10,931000.0,3.8,3.8,3.8,3.8
08/07/10,736200.0,3.85,3.85,3.85,3.8
09/07/10,817000.0,3.8,3.8,3.8,3.8
13/07/10,605750.0,3.8,3.8,3.8,3.75
14/07/10,380000.0,3.8,3.8,3.8,3.8
15/07/10,2165000.0,3.9,3.8,3.9,3.8
16/07/10,60800.0,3.8,3.8,3.8,3.8
19/07/10,60050.0,3.75,3.8,3.8,3.75
20/07/10,2031950.0,3.75,3.55,3.75,3.5
21/07/10,513900.0,3.5,3.7,3.7,3.45
22/07/10,405500.0,3.55,3.7,3.7,3.55
23/07/10,187500.0,3.75,3.75,3.75,3.75
21/09/10,292550.0,3.95,3.85,3.95,3.85
22/09/10,444280.0,3.89,3.9,3.9,3.75
23/09/10,477000.0,3.9,3.8,3.9,3.8
24/09/10,1044200.0,3.8,3.94,3.94,3.8
27/09/10,270250.0,3.9,3.9,3.9,3.8
28/09/10,323500.0,3.8,3.8,3.9,3.8
29/09/10,552750.0,3.9,3.85,3.9,3.8
30/09/10,1007600.0,3.89,3.8,3.89,3.75
01/10/10,817570.0,3.8,3.87,3.87,3.8
04/10/10,369330.0,3.89,3.89,3.89,3.88
05/10/10,969360.0,3.8,3.89,3.89,3.8
06/10/10,292350.0,3.89,3.9,3.9,3.89
07/10/10,387810.0,3.84,3.85,3.85,3.8
08/10/10,742110.0,3.8,3.83,3.89,3.8
12/10/10,418500.0,3.8,3.85,3.85,3.8
13/10/10,123100.0,3.85,3.85,3.89,3.8
14/10/10,734300.0,3.8,3.85,3.85,3.78
15/10/10,129360.0,3.8,3.88,3.88,3.8
18/10/10,135500.0,3.9,3.8,3.9,3.8
19/10/10,114820.0,3.8,3.85,3.85,3.78
20/10/10,121960.0,3.81,3.83,3.83,3.81
21/10/10,95000.0,3.8,3.8,3.8,3.8
22/10/10,230580.0,3.78,3.78,3.78,3.78
26/10/10,1062440.0,3.7,3.8,3.83,3.7
27/10/10,2341450.0,3.66,3.8,3.8,3.66
28/10/10,151800.0,3.79,3.79,3.8,3.79
29/10/10,4002900.0,3.6,3.84,3.84,3.6
02/11/10,2315630.0,3.83,3.83,3.83,3.8
03/11/10,2412390.0,3.83,3.82,3.83,3.76
04/11/10,1231460.0,3.84,3.83,3.84,3.82
08/11/10,13203740.0,3.85,3.85,3.85,3.8
09/11/10,12876850.0,3.85,3.85,3.87,3.83
10/11/10,12979540.0,3.87,3.85,3.88,3.83
11/11/10,30141800.0,3.85,3.85,3.85,3.72
12/11/10,22923500.0,3.85,3.85,3.85,3.8
15/11/10,22451650.0,3.84,3.87,3.87,3.84
17/11/10,19377910.0,3.85,3.87,3.87,3.83
18/11/10,19764270.0,3.86,3.93,3.93,3.86
19/11/10,21475400.0,3.94,4.02,4.04,3.94
22/11/10,22081830.0,4.02,4.14,4.16,4.02
23/11/10,21518200.0,4.2,4.33,4.35,4.2
24/11/10,26850520.0,4.3,4.67,4.82,4.3
25/11/10,30144520.0,4.9,4.6,5.1,4.5
26/11/10,17514070.0,4.75,4.56,4.8,4.53
30/11/10,19245860.0,4.66,4.79,5.0,4.61
01/12/10,5241220.0,4.87,4.6,4.94,4.6
02/12/10,4565750.0,4.79,4.52,4.79,4.52
03/12/10,9597400.0,4.6,4.38,4.6,4.38
06/12/10,4053150.0,4.41,4.49,4.5,4.41
07/12/10,2820650.0,4.55,4.64,4.66,4.55
08/12/10,3535390.0,4.68,4.63,4.75,4.63
16/12/10,3309980.0,4.46,4.48,4.59,4.44
22/12/10,5043560.0,4.9,4.48,4.98,4.4
23/12/10,1149450.0,4.48,4.64,4.68,4.48
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
28/12/10,672250.0,4.75,4.65,4.75,4.55
29/12/10,1771790.0,4.65,4.57,4.65,4.46
29/12/10,1771790.0,4.65,4.57,4.65,4.46
03/01/11,2215080.0,4.4,4.38,4.5,4.28
03/01/11,2215080.0,4.4,4.38,4.5,4.28
03/01/11,2215080.0,4.4,4.38,4.5,4.28
04/01/11,1064490.0,4.3,4.32,4.49,4.3
05/01/11,1313090.0,4.2,4.2,4.24,4.18
06/01/11,1881790.0,4.15,4.12,4.2,4.12
07/01/11,2462740.0,4.17,3.92,4.17,3.89
10/01/11,199000.0,4.0,3.9,4.0,3.9
11/01/11,1131620.0,3.88,3.95,3.95,3.8
11/01/11,1131620.0,3.88,3.95,3.95,3.8
12/01/11,323600.0,3.94,3.99,3.99,3.94
13/01/11,198160.0,3.95,3.98,3.98,3.95
14/01/11,396770.0,3.85,3.97,3.97,3.83
17/01/11,387690.0,3.9,3.9,3.9,3.83
18/01/11,655730.0,3.84,3.8,3.84,3.8
20/01/11,249190.0,3.75,3.71,3.75,3.71
20/01/11,249190.0,3.75,3.71,3.75,3.71
24/01/11,112500.0,3.75,3.75,3.75,3.75
25/01/11,954850.0,3.65,3.6,3.7,3.6
26/01/11,253370.0,3.55,3.73,3.75,3.55
27/01/11,615940.0,3.73,3.65,3.74,3.55
28/01/11,422210.0,3.5,3.74,3.74,3.5
28/01/11,422210.0,3.5,3.74,3.74,3.5
31/01/11,145770.0,3.5,3.74,3.74,3.5
31/01/11,145770.0,3.5,3.74,3.74,3.5
01/02/11,147990.0,3.65,3.72,3.72,3.65
01/02/11,147990.0,3.65,3.72,3.72,3.65
02/02/11,35150.0,3.5,3.55,3.55,3.5
03/02/11,223890.0,3.55,3.69,3.69,3.5
17/02/11,69000.0,3.45,3.45,3.45,3.45
18/02/11,708730.0,3.2,3.2,3.53,3.2
21/02/11,409640.0,3.3,3.28,3.3,3.18
21/02/11,409640.0,3.3,3.28,3.3,3.18
22/02/11,554940.0,3.25,3.25,3.26,3.21
22/02/11,554940.0,3.25,3.25,3.26,3.21
23/02/11,3250.0,3.25,3.25,3.25,3.25
23/02/11,3250.0,3.25,3.25,3.25,3.25
24/02/11,419380.0,3.25,3.32,3.32,3.25
24/02/11,419380.0,3.25,3.32,3.32,3.25
28/02/11,39640.0,3.3,3.32,3.32,3.3
02/03/11,6600.0,3.3,3.3,3.3,3.3
03/03/11,62740.0,3.3,3.34,3.34,3.3
04/03/11,295140.0,3.22,3.29,3.29,3.18
04/03/11,295140.0,3.22,3.29,3.29,3.18
16/03/11,127200.0,3.1,3.2,3.2,3.1
17/03/11,21350.0,3.06,3.15,3.15,3.0
21/03/11,6300.0,3.1,3.2,3.2,3.1
22/03/11,32160.0,3.2,3.24,3.24,3.2
29/03/11,162000.0,3.24,3.24,3.24,3.24
31/03/11,6200.0,3.0,3.2,3.2,3.0
01/04/11,16162300.0,3.2,3.25,3.25,3.2
04/04/11,445800.0,3.25,3.2,3.25,3.2
05/04/11,389600.0,3.2,3.25,3.26,3.2
06/04/11,385250.0,3.25,3.25,3.25,3.2
13/04/11,34650.0,3.15,3.15,3.15,3.15
14/04/11,145950.0,3.1,3.1,3.15,3.1
15/04/11,70170.0,3.05,3.05,3.06,3.05
